configuration,j,l,component,radius_over_L0,source_force,u,v,A,B,C,D3,D1,D2,D_Eg,K3
R8_perturbed_plus,0,3,0,2.1650635094610964,-0.028582710884878404,-0.891957913517325,0.20448984384471852,0.001225490623308918,-0.002447592354413984,1.3754745051074593e-05,-0.0010959793827075841,-0.0006989309107276301,-0.004441141031209504,0.0019219293680977016,-3.3547386331603426e-08
R8_perturbed_plus,0,3,1,2.1650635094610964,-0.05757099098806552,-1.0936553987027329,0.19438179546631454,-0.00034053074867982036,0.0030752530338647517,0.009595727898338681,0.0003739628726436934,-0.008412505693251332,-0.009556807467237022,-0.13492287419381166,1.5172549945931524e-07
R8_perturbed_plus,0,3,2,2.1650635094610964,-0.007281010653227309,-0.10968457457404933,0.06822711102378974,0.00145761568228668,-0.0012075048550387398,0.006773225654385448,-0.00033654057210949327,-0.010234347846739553,0.009170821672648767,-0.05623983190547499,7.968065185064045e-07
R8_perturbed_plus,1,-3,0,2.8613807855648994,0.016700017937894607,-0.21922067484929356,0.04907799144630296,0.0003118991907472919,-0.0006266799498409263,-1.1577099104412108e-05,0.0006849801659921676,-0.0002816937714124673,-0.006004039830517921,0.008696363356621979,5.976531783827497e-09
R8_perturbed_plus,1,-3,1,2.8613807855648994,0.10156534069569967,1.618161662607424,-0.41773519710204376,-0.004191160045559361,0.007715462638018423,-0.0026716628584667807,0.0010598336223704141,0.013755074869163265,0.006518529927294804,0.20584756950233815,8.53263714207093e-09
R8_perturbed_plus,1,-3,2,2.8613807855648994,0.03778379783055429,0.5556526777248172,-0.15413089214225256,-0.002511906187307283,0.005410520528121541,0.0015730277406164716,0.0008191846519257821,0.0021540740887541834,-0.001237285405914462,0.054753887574269605,-1.5888131955911586e-08
R8_perturbed_plus,1,-2,0,2.0463381929681126,0.021241538183260904,-0.2253353780228839,0.06488593592791311,0.0004891415034134236,-0.0009709183004054993,2.9589988755430088e-05,0.00024153384053455563,-0.0003372007473602132,-0.0026982941306339043,0.0033185870523414025,-2.2529757540415252e-08
R8_perturbed_plus,1,-2,1,2.0463381929681126,0.05642018915556156,0.8732296041076176,-0.17945796445428888,0.00016623215799687968,-0.0028014149022821465,-0.009861510373614837,-0.00021478193712340247,0.008208190876163014,0.006746267762217299,0.13598685688660045,-2.6537975393800372e-08
R8_perturbed_plus,1,-2,2,2.0463381929681126,0.010862770139661793,0.1394406967642058,-0.0656126873560793,-0.000992688276604165,-0.0001592824892580936,-0.008510638548464055,0.00041732927594990033,0.011491429277715104,-0.00817783722247833,0.0729011051509753,-7.400569299308588e-07
R8_perturbed_plus,1,-1,0,1.299038105676658,0.00852674024313372,0.16321394425029404,0.00830399572872469,0.0003369784023603583,-0.0006221905437859411,0.0002057292354846023,0.0006901396154065857,0.0008280919982138166,0.009465879456260123,0.01602706082136507,2.6804882944786237e-06
R8_perturbed_plus,1,-1,1,1.299038105676658,-0.056896982537056856,-0.0666018463207497,0.28330021016619283,0.010906238018880866,-0.026271531392767406,-0.017668441404387062,0.003666720399967055,-0.018913871551653548,0.007773022027972955,0.10509023296325458,4.516595259152558e-06
R8_perturbed_plus,1,-1,2,1.299038105676658,-0.02762850985744112,-3.2379910011762796,0.8936989903432118,0.01431407851180753,-0.03533975867762424,-0.026490061804855317,0.003676674964302055,0.0001169944106112937,-0.010704301733448371,-0.16139991859227074,1.2895235390564626e-05
R8_perturbed_plus,1,0,0,0.82915619758885,-0.00034415179544560436,-0.01589092671115095,0.14693804965602628,0.0015203332773083837,-0.00296839327251241,0.00028200437608880385,-0.010932654508848741,0.0032903088568076028,0.021417197688753414,-0.0326844170678091,-2.677082811331821e-05
R8_perturbed_plus,1,0,1,0.82915619758885,-0.10303459748647793,-3.02935310578168,1.1472379985723975,0.018683816721714534,-0.039441042961280065,-0.008097424451874724,-0.005003515733142314,-0.03762741001614029,-0.01414573153527237,-0.46767284258327646,-1.7523391729424212e-05
R8_perturbed_plus,1,0,2,0.82915619758885,-0.035384475202207756,-2.20150763634382,1.2098994414636506,0.020970174781189555,-0.044386278108892584,-0.009631622977619317,0.002852133606209826,-0.05038929189846529,0.011597632271728952,0.10807298665386449,2.7077904582723732e-06
R8_perturbed_plus,1,1,0,1.0897247358851683,-0.05427822710265888,-1.3529080443074795,0.3311265591981712,0.0019804467615564675,-0.0038601369020671147,0.00039517883277048933,0.0015273131385781357,-0.0016184428081826834,0.016378124627087622,-0.07504876294457247,5.4996657309026415e-06
R8_perturbed_plus,1,1,1,1.0897247358851683,-0.07466368445149951,-1.5572865423430073,0.1263149238023201,-0.005151611953382786,0.013983327246066542,0.014576968827991189,0.001660357997271062,-0.0035669410721335905,0.004444906098296561,0.016248737740051308,1.3001179286752524e-06
R8_perturbed_plus,1,1,2,1.0897247358851683,-0.017736807741939933,2.033175797903875,-1.5739483028196402,-0.03491373951477134,0.07695318227576216,0.028073917553923133,-0.004472858944427136,0.07032365066658625,-0.008327667994220397,0.08261447717845329,-9.489323472777676e-06
R8_perturbed_plus,1,2,0,1.7853571071357122,0.021073279873570154,-0.22539007054400953,0.0806948386743166,0.0006172376995816696,-0.0012185994569974949,6.424485663214996e-05,-0.0006290960159013469,0.0006597789872088461,4.120778159605863e-05,-0.013732839803676188,-1.5961714209175177e-06
R8_perturbed_plus,1,2,1,1.7853571071357122,0.07735813612389372,0.39822079631735546,-0.25554281728515166,-0.007014917057883298,0.017803892017274333,0.01507971052230457,-0.004957180550424602,0.006366464436963775,-0.00370022634992824,0.10117642386929446,-8.389442594255054e-06
R8_perturbed_plus,1,2,2,1.7853571071357122,0.03131299122682161,1.4896927047972834,-0.32018338172216765,-0.004465097529788076,0.014179553697174656,0.020850450570654214,-0.003955782822396327,-0.019514430880878952,0.013365245457113558,-0.06054703788111384,-1.44939331411069e-05
R8_perturbed_plus,1,3,0,2.58602010819715,0.0428337622460514,0.5696465593570427,-0.0695579567247682,-0.00010797220736010943,0.00021786867405451733,7.71633219189633e-06,0.0011309756197973055,0.000981010770833889,0.00010525676979567379,0.011569095503154617,2.0142460375447037e-09
R8_perturbed_plus,1,3,1,2.58602010819715,0.12005739398790306,1.5740145745051846,-0.41251461481755247,-0.005373281518304037,0.012554832678258835,0.0072696815470079746,0.001994551057618462,0.011137774786330434,-0.0016819158179209688,0.12321299973286812,1.5068360452785957e-07
R8_perturbed_plus,1,3,2,2.58602010819715,0.0360021485192671,0.26778980738819863,-0.01027402895899673,0.0015276866230275916,-0.0026211641673424286,0.001697683711211521,0.000718277584009388,-0.0032415161707395296,0.00725428136798954,0.07375197645878258,6.494390875609763e-07
R8_perturbed_plus,2,-3,0,2.947456530637899,0.0015554378951419768,-0.3515445070466148,0.0893122137291669,0.000572110842984918,-0.001138449257159363,2.3116730294251118e-05,-0.00011371417675007085,0.000185190131226548,-0.003148728474022005,0.00883342481476802,5.5620081779733075e-09
R8_perturbed_plus,2,-3,1,2.947456530637899,-0.03455115698491133,-0.4997874667088919,0.17301286728302268,0.0034916494038069023,-0.008977488758888512,-0.007979005312001271,-0.0004129886492730932,-0.0049593046388022016,0.0038316312835508935,-0.0839634204037334,3.0410682721827064e-09
R8_perturbed_plus,2,-3,2,2.947456530637899,-0.02532715878466823,-0.3494384232944742,0.08527151139090566,0.0007169858131371292,-0.0024526513844246567,-0.004047283285171367,-0.000510962422842355,0.0010519314893651082,-0.003164185585582837,-0.030041651806034592,-1.7179891794559406e-08
R8_perturbed_plus,2,-2,0,2.277608394786075,-0.013901242381171516,-0.7267527732932183,0.1898397535887133,0.0012489836051421085,-0.0024627250391731684,0.0001404244213088283,-0.0008795603455285561,-0.00012894990521207799,8.50148954272972e-05,0.010564106551018438,-4.75564463803944e-09
R8_perturbed_plus,2,-2,1,2.277608394786075,-0.08087818854615939,-1.2405150888456409,0.42907790201942386,0.008607016928101053,-0.02075512066640149,-0.014113685728871467,-0.0006758151917476327,-0.011209446074430595,0.0064877139780239014,-0.24081942233985235,1.0439166140579866e-07
R8_perturbed_plus,2,-2,2,2.277608394786075,-0.03304116599751523,-0.34266878418126945,0.1465078926911465,0.003977129292659563,-0.011821817521068586,-0.015311439687718136,-0.0012972439263598267,0.006861116098306952,0.0006494422325301163,0.06870453183526272,-2.0887038220247047e-07
R8_perturbed_plus,2,-1,0,1.7853571071357126,-0.014557972672615112,-0.011653453173120975,0.06871700324850524,0.0009000986587599513,-0.0017208048751087455,0.00031186045191490384,0.003001623648964408,-0.0004318744903247776,0.008260409450679558,0.027768208030176843,2.4762197047849027e-06
R8_perturbed_plus,2,-1,1,1.7853571071357126,-0.029628977016758262,0.012490122144579296,0.042946812423411244,0.0045109122969195425,-0.011377235832037496,-0.009340846527982243,0.001642967586442377,-0.002798123045903753,-0.002455539267374758,-0.03664112041592044,-1.7822676236159205e-06
R8_perturbed_plus,2,-1,2,1.7853571071357126,-0.003007297610887673,-1.7819691866755114,0.737133022522537,0.017110536612329936,-0.040125063374762585,-0.023135561588435948,0.007163161501570129,-0.01551078107055304,0.0018760669895563997,-0.14807971813562454,1.0046361469379882e-05
R8_perturbed_plus,2,0,0,1.6393596310754999,0.00038517293150803697,1.794764693551638,-0.45662289837817716,-0.0029956931239925677,0.0058620511722757744,-0.0005082278130275041,-0.005706570451170766,0.0002861385216494426,0.011651050676241713,0.020140133092250136,5.407725689284747e-07
R8_perturbed_plus,2,0,1,1.6393596310754999,0.0387188241264278,0.34109242132590983,-0.2497294630606207,-0.006856333863396873,0.015843988711669685,0.008357383202530261,-0.001490972353881682,0.014526887543423708,-0.011893925597845717,0.05552676580915372,1.1523120528524354e-05
R8_perturbed_plus,2,0,2,1.6393596310754999,0.04198156981233224,0.305936089531305,0.54681493661083,0.008347869761746719,-0.014746816127359936,0.007740304694282375,-0.0008028807685060323,-0.03481638892794946,0.002176165403187014,-0.016518367891640726,2.0231288918581634e-06
R8_perturbed_plus,2,1,0,1.920286436967152,0.04308328471242036,1.5557852532048202,-0.4053696445183769,-0.0026860747525319873,0.00533814174272531,-0.00012951539570541006,0.011569437054845717,0.0006267636141459869,0.0009250286645979481,-0.018926043869017757,1.653687673561289e-05
R8_perturbed_plus,2,1,1,1.920286436967152,0.12344252923600549,1.243554079099859,-0.5611325331052681,-0.012595220297168046,0.029969947112654636,0.01892782872738532,0.006612464039932137,0.022730009137030292,-0.008725507136706598,0.09583298473403457,1.5065184249312956e-06
R8_perturbed_plus,2,1,2,1.920286436967152,0.025625209694875882,-0.14855605316063475,-1.0463812874145146,-0.02994391094895568,0.06802296926741314,0.032202177670752535,-0.002529072517043596,0.05579588806787395,-0.012382004403703899,0.15439398436428872,-9.5667860065055e-07
R8_perturbed_plus,2,2,0,2.48746859276655,0.017114711290413743,-0.19612375254024142,0.06998535936671936,0.0005146103215177623,-0.0010348262161850145,-2.2406063991232962e-05,-0.0033602238821078077,-0.00022032492517089076,0.0020409888025787206,-0.012040918050005794,-6.278216600258038e-06
R8_perturbed_plus,2,2,1,2.48746859276655,0.03266216671383204,-0.11957115505888344,-0.03040672426645105,-0.0012733408854995506,0.004226329420231726,0.006696004750044105,-0.0038765251485563253,-0.00403111043816753,0.00820154546296948,0.024712127537254866,-3.622759702948326e-06
R8_perturbed_plus,2,2,2,2.48746859276655,-0.002434581971660705,-0.8266601311083045,0.22108325586123556,0.0018310159498270216,-0.000588658836341693,0.012253372471375135,-0.005569684498575997,-0.02245863337512314,0.007592551187411514,-0.11030762994560749,-9.95298792372564e-06
R8_perturbed_plus,3,-2,0,2.7726341266023544,-0.011859936612630451,-0.38818986455663596,0.09680197560371608,0.0006205221254089051,-0.0012127440431479353,0.00011213511265234147,-0.00036657561889037857,-0.0002460471572634194,0.0004784969211510372,0.013984635951858037,-2.998480707567332e-08
R8_perturbed_plus,3,-2,1,2.7726341266023544,-0.015234418572909789,-0.4782668404777188,0.14724122173066234,0.002901201789888467,-0.00711878284482684,-0.005263420271674125,-0.0007689607166379098,-0.002343324177192848,-0.0009490601378412881,-0.05733617358040286,-8.522999370601883e-08
R8_perturbed_plus,3,-2,2,2.7726341266023544,-0.006356972897439101,0.21501227088085667,0.060357165308577855,0.003950882577823897,-0.011454246853492165,-0.014025241967520096,0.0007970414539879983,0.005001244899896187,0.0040252562179988296,-0.010451441950602804,9.170109963545588e-08
R8_perturbed_plus,3,-1,0,2.48746859276655,-0.0011982238068030384,0.12704959296938564,-0.020075807905051438,3.213961778300766e-05,-5.553443486133463e-05,3.41249387265225e-05,0.0034524047139022837,-0.0001754664378622167,0.0012422622821810954,-0.00896816354401998,2.4630460568323566e-06
R8_perturbed_plus,3,-1,1,2.48746859276655,0.03491961259499392,0.5826758533829934,-0.24938719964071338,-0.005215699589906336,0.012480690192608838,0.007999891379645156,0.001364676192699634,0.0031445544172605472,-0.009551460481070854,0.019800605163353115,-2.626122303249848e-07
R8_perturbed_plus,3,-1,2,2.48746859276655,0.03414318165334524,0.41813105896550024,0.13789378445248296,0.008339771546074431,-0.01966121862314127,-0.01164107294465129,0.004692880979119457,-0.00791060269264118,0.011453448807132944,0.036812327440398404,2.530913795974022e-06
R8_perturbed_plus,3,0,0,2.48746859276655,0.0014143894137226094,1.511214342385655,-0.46926251008479825,-0.0035884670799395434,0.007051496444318465,-0.0004951791162825927,-0.0022605230268502477,-0.0008179830718486686,0.00621879533508376,0.026139547936108613,1.0064771782332051e-06
R8_perturbed_plus,3,0,1,2.48746859276655,0.04193311013717564,0.9275901503813553,-0.6176216970613658,-0.015719596549298824,0.036268596760447816,0.018946241291948978,-0.0010541527190909797,0.019178684868416503,-0.010658628161337105,0.10021958878244075,2.985398607776968e-06
R8_perturbed_plus,3,0,2,2.48746859276655,0.030257306267199593,1.5525445535085483,-0.18518528061177303,-0.004491895197940422,0.012928211813363566,0.015707654003311634,0.00030639733524985313,-0.006183741500177044,-0.006881773876101278,0.025315373187438303,3.276283947428486e-06
R8_perturbed_plus,3,1,0,2.772634126602354,0.01657207455651696,0.42793717557211347,-0.19053319308758793,-0.0014156094197342072,0.002802583907272543,-0.00011218432856009598,0.005378831959446615,-0.0002894200521630132,-0.012348710390792602,-0.007867966138695951,3.22061088273068e-06
R8_perturbed_plus,3,1,1,2.772634126602354,-0.00021559625690061035,-1.6200466489084047,0.1906357027115112,-0.0016788523336463482,0.0058209045580986905,0.009726119389969699,0.0024970158751017888,-0.0028557721843083597,-0.015746233086034764,0.07218234310707003,-2.9349066278330015e-06
R8_perturbed_plus,3,1,2,2.772634126602354,0.003363496286296369,-1.4486796309409447,-0.2271775369165217,-0.013725922760790382,0.03322623458122485,0.022998225255479583,-0.0012442364853548578,0.020864994597873235,-0.025745181189442478,0.08913229163580333,-1.220685010982574e-06
R8_perturbed_minus,-3,0,0,2.7726341266023544,-0.00581767737955814,-0.11853143226813166,-0.03537271664843531,-0.0004464377038260654,0.0008759313015549706,-6.731071358736244e-05,0.0019660171877367116,-0.00022101250635120985,-0.00841088592894484,-0.009582637711657429,7.067712156201969e-07
