d_over_b,domain_over_d,dx_over_b,applied_shear_MPa,balance_shear_MPa,expansion_drive_MPa,energy_derivative_with_separation_eV_L0sq,tendency,dynamic_motion_computed
128.0,4.0,0.0625,25.0,23.237753076496187,1.7622469235038132,-0.00025833095143917915,expansion within trial family,False
128.0,4.0,0.0625,50.0,23.237753076496187,26.762246923503813,-0.003923125992271892,expansion within trial family,False
128.0,16.0,0.0625,0.0,29.20596108204815,-29.20596108204815,0.004281354453449731,contraction within trial family,False
128.0,16.0,0.0625,4.0,29.20596108204815,-25.20596108204815,0.003694987246916497,contraction within trial family,False
128.0,16.0,0.0625,5.0,29.20596108204815,-24.20596108204815,0.0035483954452831886,contraction within trial family,False
128.0,16.0,0.0625,10.0,29.20596108204815,-19.20596108204815,0.002815436437116646,contraction within trial family,False
128.0,16.0,0.0625,15.0,29.20596108204815,-14.205961082048152,0.0020824774289501034,contraction within trial family,False
128.0,16.0,0.0625,25.0,29.20596108204815,-4.205961082048152,0.0006165594126170183,contraction within trial family,False
128.0,16.0,0.0625,50.0,29.20596108204815,20.79403891795185,-0.0030482356282156946,expansion within trial family,False
128.0,32.0,0.0625,0.0,29.492047830720182,-29.492047830720182,0.004323292425360979,contraction within trial family,False
128.0,32.0,0.0625,4.0,29.492047830720182,-25.492047830720182,0.0037369252188277453,contraction within trial family,False
128.0,32.0,0.0625,5.0,29.492047830720182,-24.492047830720182,0.003590333417194437,contraction within trial family,False
128.0,32.0,0.0625,10.0,29.492047830720182,-19.492047830720182,0.0028573744090278942,contraction within trial family,False
128.0,32.0,0.0625,15.0,29.492047830720182,-14.492047830720182,0.002124415400861352,contraction within trial family,False
128.0,32.0,0.0625,25.0,29.492047830720182,-4.492047830720182,0.0006584973845282666,contraction within trial family,False
128.0,32.0,0.0625,50.0,29.492047830720182,20.507952169279818,-0.003006297656304446,expansion within trial family,False
128.0,64.0,0.0625,0.0,29.56339689952789,-29.56339689952789,0.004333751613902361,contraction within trial family,False
128.0,64.0,0.0625,4.0,29.56339689952789,-25.56339689952789,0.0037473844073691266,contraction within trial family,False
128.0,64.0,0.0625,5.0,29.56339689952789,-24.56339689952789,0.003600792605735818,contraction within trial family,False
128.0,64.0,0.0625,10.0,29.56339689952789,-19.56339689952789,0.0028678335975692755,contraction within trial family,False
128.0,64.0,0.0625,15.0,29.56339689952789,-14.563396899527891,0.0021348745894027325,contraction within trial family,False
128.0,64.0,0.0625,25.0,29.56339689952789,-4.563396899527891,0.0006689565730696478,contraction within trial family,False
128.0,64.0,0.0625,50.0,29.56339689952789,20.43660310047211,-0.0029958384677630646,expansion within trial family,False
128.0,8.0,0.25,0.0,28.631333741189405,-28.631333741189405,0.00419711879628549,contraction within trial family,False
128.0,8.0,0.25,4.0,28.631333741189405,-24.631333741189405,0.003610751589752256,contraction within trial family,False
128.0,8.0,0.25,5.0,28.631333741189405,-23.631333741189405,0.0034641597881189473,contraction within trial family,False
128.0,8.0,0.25,10.0,28.631333741189405,-18.631333741189405,0.002731200779952405,contraction within trial family,False
128.0,8.0,0.25,15.0,28.631333741189405,-13.631333741189405,0.0019982417717858626,contraction within trial family,False
128.0,8.0,0.25,25.0,28.631333741189405,-3.6313337411894047,0.0005323237554527773,contraction within trial family,False
128.0,8.0,0.25,50.0,28.631333741189405,21.368666258810595,-0.0031324712853799353,expansion within trial family,False
128.0,8.0,0.125,0.0,28.05266482056353,-28.05266482056353,0.004112290676661741,contraction within trial family,False
128.0,8.0,0.125,4.0,28.05266482056353,-24.05266482056353,0.0035259234701285067,contraction within trial family,False
128.0,8.0,0.125,5.0,28.05266482056353,-23.05266482056353,0.003379331668495198,contraction within trial family,False
128.0,8.0,0.125,10.0,28.05266482056353,-18.05266482056353,0.0026463726603286556,contraction within trial family,False
128.0,8.0,0.125,15.0,28.05266482056353,-13.052664820563528,0.0019134136521621133,contraction within trial family,False
128.0,8.0,0.125,25.0,28.05266482056353,-3.0526648205635283,0.00044749563582902806,contraction within trial family,False
128.0,8.0,0.125,50.0,28.05266482056353,21.94733517943647,-0.0032172994050036845,expansion within trial family,False
128.0,8.0,0.03125,0.0,28.050404221866426,-28.050404221866426,0.0041119592914259625,contraction within trial family,False
128.0,8.0,0.03125,4.0,28.050404221866426,-24.050404221866426,0.0035255920848927284,contraction within trial family,False
128.0,8.0,0.03125,5.0,28.050404221866426,-23.050404221866426,0.00337900028325942,contraction within trial family,False
128.0,8.0,0.03125,10.0,28.050404221866426,-18.050404221866426,0.0026460412750928773,contraction within trial family,False
128.0,8.0,0.03125,15.0,28.050404221866426,-13.050404221866426,0.001913082266926335,contraction within trial family,False
128.0,8.0,0.03125,25.0,28.050404221866426,-3.050404221866426,0.00044716425059324993,contraction within trial family,False
128.0,8.0,0.03125,50.0,28.050404221866426,21.949595778133574,-0.003217630790239463,expansion within trial family,False
