radius_L0,path,path_fraction,q_plane_frame,min_eigenvalue_eV_L0sq,status
20.0,GX,0.7,"[2.1991148575128547, -1.2696595549639527, 1.7955697622266098]",49.64029568903189,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.75,"[2.356194490192345, -1.3603495231756635, 1.9238247452427963]",55.3231166639602,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.7999999999999999,"[2.513274122871834, -1.4510394913873743, 2.0520797282589824]",60.470801822847875,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.85,"[2.6703537555513237, -1.5417294595990851, 2.180334711275169]",64.81922904639687,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.9,"[2.827433388230814, -1.6324194278107964, 2.308589694291356]",68.1259805703427,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.95,"[2.984513020910303, -1.723109396022507, 2.436844677307542]",70.19530065149814,corrected +ABC cubic labels; sampled static stability only
20.0,GX,1.0,"[3.1415926535897927, -1.813799364234218, 2.5650996603237286]",70.89981034224985,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.05,"[4.5056950601330826e-18, -4.141803417676611e-18, 0.19238247452427965]",0.09256869139511147,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.1,"[9.011390120266165e-18, -8.283606835353222e-18, 0.3847649490485593]",0.37220941277841146,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.15,"[-1.25548324505378e-17, -1.8663333525163883e-17, 0.5771474235728389]",0.8443073554839926,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.2,"[1.802278024053233e-17, -1.6567213670706444e-17, 0.7695298980971186]",1.516410485859618,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.25,"[-2.316959806381882e-17, -4.2846077686751294e-18, 0.9619123726213982]",2.3962486683756072,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.3,"[-2.51096649010756e-17, -3.7326667050327766e-17, 1.1542948471456778]",3.4892537421440237,corrected +ABC cubic labels; sampled static stability only
20.0,GL,0.35,"[-5.0043203441263296e-17, -3.523054719587033e-17, 1.3466773216699575]",4.795850355704372,corrected +ABC cubic labels; sampled static stability only
