cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
77,zero_stress_hold,0.4,2.7940668901931478e-05,0.018402994226343897,2.8274401361882973e-09,1.6322081381948996e-07,-2.577055301035521e-09,-2.5770553017945286e-09,8.660677214363758e-05,0.0,0.999999999999771,-2.290390099801698e-13,7.302179677095886e-08,0.001258342151363275,0.018402996998883123,-4.435877192476905e-06,-4.5253102635726825e-06,8.943307109503075e-08,7.302179679511984e-08,0.006669266811730179,0.001258342151363275,2.3774159663820283e-11,0.000629134564783252,0.9987416578484076,0.000629207586580023
78,zero_stress_hold,0.4,2.7939019673207143e-05,0.018402999602965105,2.514071608880619e-09,1.5155715080918767e-07,-2.5876574602683825e-09,-2.5876574623285784e-09,8.660643420663888e-05,0.0,0.9999999999997595,-2.404743071338089e-13,7.043413931069048e-08,0.0012723116611942894,0.018403002068976496,-4.130286720443257e-06,-4.216550571335074e-06,8.626385089164887e-08,7.043413933279126e-08,0.006755873245936818,0.0012723116611942894,2.3774176642349492e-11,0.0006361206135274893,0.9987276883385656,0.0006361910476668
79,zero_stress_hold,0.4,2.793746495117347e-05,0.018403004387936205,2.2394623377941514e-09,1.407720778117369e-07,-2.5873846071309144e-09,-2.5873846075646217e-09,8.660610210855721e-05,0.0,0.9999999999997499,-2.5013324744804777e-13,6.784675470355956e-08,0.0012862803936650067,0.01840300658523664,-3.846442959579187e-06,-3.929537924440536e-06,8.309496486374775e-08,6.784675472522664e-08,0.006842479348045375,0.0012862803936650067,2.3774193403693322e-11,0.0006431062734551516,0.9987137196060849,0.0006431741202098551
80,zero_stress_hold,0.4,2.7935996660217558e-05,0.018403008653902837,1.99831694247532e-09,1.3079393850118486e-07,-2.576797010467807e-09,-2.576797011118355e-09,8.660577570766392e-05,0.0,0.9999999999997395,-2.604583215770617e-13,6.526995769309175e-08,0.001300248391989982,0.018403010615157502,-3.582718788821484e-06,-3.6626578347615167e-06,7.993904594056012e-08,6.526995771410828e-08,0.006929085123753039,0.001300248391989982,2.3774209900944333e-11,0.0006500915610161444,0.9986997516077498,0.0006501568309738375
81,zero_stress_hold,0.4,2.793460727365071e-05,0.018403012463668218,1.7861406034769267e-09,1.215576379782538e-07,-2.5565794284106788e-09,-2.5565794288442273e-09,8.660545462985288e-05,0.0,0.9999999999997312,-2.687849942617504e-13,6.271337826468108e-08,0.0013142156956225848,0.01840301421716684,-3.3376183517281762e-06,-3.4144262401265795e-06,7.68078883973089e-08,6.271337828526406e-08,0.007015690578382892,0.0013142156956225848,2.3774226090845006e-11,0.0006570764911221601,0.9986857843041086,0.0006571392045004248
82,zero_stress_hold,0.4,2.793328982312648e-05,0.018403015871666442,1.5991043628149626e-09,1.1300394084304206e-07,-2.5275069731385268e-09,-2.5275069748731047e-09,8.660513831632195e-05,0.0,0.9999999999997222,-2.7777780076121417e-13,6.018587129154255e-08,0.00132818234052965,0.018403017441969767,-3.1097652399241566e-06,-3.1834775771175847e-06,7.371233719455101e-08,6.018587131039095e-08,0.007102295716699214,0.00132818234052965,2.3774241936859548e-11,0.0006640610773291793,0.9986718176591924,0.0006641212632004708
83,zero_stress_hold,0.4,2.7932037865839197e-05,0.018403018925191365,1.4339365458915232e-09,1.0507885894234811e-07,-2.4904138436808743e-09,-2.4904138447648383e-09,8.660482606914158e-05,0.0,0.9999999999997145,-2.8554936193359026e-13,5.7695457447861674e-08,0.0013421483594586658,0.018403020333671756,-2.897891911355188e-06,-2.9685541269645927e-06,7.066221561186024e-08,5.769545746562611e-08,0.007188900542768355,0.0013421483594586658,2.377425740917228e-11,0.000671045332000609,0.9986578516402557,0.0006711030274580568
84,zero_stress_hold,0.4,2.7930845479259654e-05,0.018403021665426077,1.287832352911411e-09,9.77331159126891e-08,-2.4461657507525953e-09,-2.4461657517280133e-09,8.660451709284304e-05,0.0,0.9999999999997083,-2.916555885690286e-13,5.524929169710908e-08,0.001356113782195158,0.018403022930721227,-2.700830188501566e-06,-2.768496475154206e-06,6.766628665405225e-08,5.52492917138981e-08,0.007275505059861198,0.001356113782195158,2.377427248407214e-11,0.0006780292664517304,0.9986438862175129,0.0006780845157434275
85,zero_stress_hold,0.4,2.7929707236130638e-05,0.018403024128308333,1.1583814376464607e-09,9.092167673300465e-08,-2.395636446053678e-09,-2.3956364456198184e-09,8.660421053121193e-05,0.0,0.9999999999996985,-3.015365734881925e-13,5.28536552510554e-08,0.0013700786358083073,0.018403025266705248,-2.5175027053541233e-06,-2.5822349485586616e-06,6.473224320302923e-08,5.285365526827828e-08,0.00736210927039241,0.0013700786358083073,2.377428714325828e-11,0.0006850128910765281,0.9986299213638901,0.0006850657447317792
86,zero_stress_hold,0.4,2.7928618159458958e-05,0.01840302634526131,1.0435055736168763e-09,8.460333195706392e-08,-2.3396883680690017e-09,-2.339688368394044e-09,8.660390549864415e-05,0.0,0.9999999999996889,-3.1108449149996886e-13,5.05139668829864e-08,0.0013840429448833068,0.01840302737101854,-2.346915192851059e-06,-2.408781914727619e-06,6.186672187358216e-08,5.051396689988424e-08,0.007448713175891054,0.0013840429448833068,2.3774301373181112e-11,0.0006919962154582119,0.9986159570548055,0.0006920467294250949
87,zero_stress_hold,0.4,2.7927573721361003e-05,0.01840302834381239,9.414098407073412e-10,7.874033110658095e-08,-2.2791572512747695e-09,-2.2791572518165992e-09,8.66036011062405e-05,0.0,0.9999999999996798,-3.2018832030189515e-13,4.823480963171163e-08,0.0013980067317394772,0.018403029269436343,-2.1881495037159707e-06,-2.2472248394350067e-06,5.907533571898844e-08,4.823480964806764e-08,0.007535316776997295,0.0013980067317394772,2.3774315164440522e-11,0.0006989792484649228,0.9986019932679404,0.0006990274832745544
