parts,block,nw,lo_cycles_ps,hi_cycles_ps,axis,scalar_eliminated_mobility_m2_J_s,full_projected_mobility_m2_J_s,full_to_scalar,covariance_condition,spectral_condition,drift_rescale_relative,diffusion_rescale_relative,spectral_rank,dimension,inversion_failure,wrong_unscaled_thermal_diffusion_factor,production_clock_calibrated
2,0,2.0,0.08,0.16,1,264879285950.39923,317679213449.2744,1.1993358118186803,6.306792282383513,27.94962112324143,8.482963278791306e-17,9.227857328985298e-17,15,15,,144,False
2,0,3.0,0.02,0.04,0,58318325039.866066,158466445411.84497,2.7172667476906827,6.306792282383513,211.7346300878353,9.033462039848634e-17,1.1004687836475324e-16,15,15,,144,False
2,0,3.0,0.02,0.04,1,286943858136.4959,915119973852.8732,3.189195195868458,6.306792282383513,211.7346300878353,9.033462039848634e-17,1.1004687836475324e-16,15,15,,144,False
2,0,3.0,0.04,0.08,0,96727520339.86128,169375669862.70367,1.7510597735534443,6.306792282383513,57.71036262681163,8.167320374702681e-17,1.0610497982191935e-16,15,15,,144,False
2,0,3.0,0.04,0.08,1,185530363299.22882,260711603519.04153,1.4052233762867063,6.306792282383513,57.71036262681163,8.167320374702681e-17,1.0610497982191935e-16,15,15,,144,False
2,0,3.0,0.08,0.16,0,76298007309.36473,105128330984.79794,1.3778647004309719,6.306792282383513,34.429004230629936,8.105908570848062e-17,7.734567663710708e-17,15,15,,144,False
2,0,3.0,0.08,0.16,1,250332042813.40106,308941499060.6036,1.2341268644177938,6.306792282383513,34.429004230629936,8.105908570848062e-17,7.734567663710708e-17,15,15,,144,False
2,1,2.0,0.02,0.04,0,74935759981.90913,159057674779.44647,2.122587064144621,6.598260714349905,73.49577274175567,1.0529199674224307e-16,7.910119051367826e-17,15,15,,144,False
2,1,2.0,0.02,0.04,1,339184331446.4048,644519471591.9417,1.9002041422240152,6.598260714349905,73.49577274175567,1.0529199674224307e-16,7.910119051367826e-17,15,15,,144,False
2,1,2.0,0.04,0.08,0,66603508902.68179,97908290253.21207,1.470016998597949,6.598260714349905,47.69418180176954,9.180602866559614e-17,1.0387862863691944e-16,15,15,,144,False
2,1,2.0,0.04,0.08,1,185030388016.80222,276843703273.29034,1.4962066838888688,6.598260714349905,47.69418180176954,9.180602866559614e-17,1.0387862863691944e-16,15,15,,144,False
2,1,2.0,0.08,0.16,0,80955743875.05739,101257356650.7127,1.2507742107464013,6.598260714349905,32.18667803264023,9.84761303800298e-17,8.935890905700935e-17,15,15,,144,False
2,1,2.0,0.08,0.16,1,230101967157.23965,306903575074.415,1.333772061430023,6.598260714349905,32.18667803264023,9.84761303800298e-17,8.935890905700935e-17,15,15,,144,False
2,1,3.0,0.02,0.04,0,72430098135.14598,173147228404.92456,2.390542507368309,6.598260714349905,85.69226215878383,9.680653905639093e-17,1.1038649932923037e-16,15,15,,144,False
2,1,3.0,0.02,0.04,1,317203427354.36005,829777391202.7754,2.6159155912139607,6.598260714349905,85.69226215878383,9.680653905639093e-17,1.1038649932923037e-16,15,15,,144,False
2,1,3.0,0.04,0.08,0,64316233719.00631,101814420290.40884,1.5830283336432573,6.598260714349905,54.262494365585034,1.0496424971003794e-16,7.369013311473097e-17,15,15,,144,False
2,1,3.0,0.04,0.08,1,184636290262.13977,305192447694.8208,1.6529385813672917,6.598260714349905,54.262494365585034,1.0496424971003794e-16,7.369013311473097e-17,15,15,,144,False
2,1,3.0,0.08,0.16,0,83627688135.76028,104580142020.78448,1.2505444590433998,6.598260714349905,33.2520984811999,9.593829793252107e-17,1.0132978099718265e-16,15,15,,144,False
2,1,3.0,0.08,0.16,1,220420429369.07104,319867171816.0292,1.4511684453732958,6.598260714349905,33.2520984811999,9.593829793252107e-17,1.0132978099718265e-16,15,15,,144,False
