observable,role,validation_status,target,prediction,units,scale,normalized_residual
opening_3h_energy,fit,development_or_control,0.7719163228888833,0.8024909899567944,eV/cell,0.07719163228888834,0.3960878421832803
saddle_Haa,fit,development_or_control,12.717337762538286,22.50622333845301,eV/L0^2,1.2717337762538286,7.6972757653335595
saddle_Hxx,fit,development_or_control,-0.18642463121762062,-0.06980307994039789,eV/L0^2,0.018642463121762064,6.255694353021727
fault_Haa,fit,development_or_control,14.140554350039636,24.68039614999511,eV/L0^2,1.4140554350039638,7.453627021295619
fault_Hxx,fit,development_or_control,2.4858929774856264,2.6533203014907834,eV/L0^2,0.24858929774856264,0.6735097830901089
saddle_normal_path_coupling,fit,development_or_control,1.2055891043737141,0.592710321418251,eV/L0^2,0.12055891043737142,-5.0836456694243655
opening_1.1h_normal_force,fit,development_or_control,1.2761663221727821,1.2107306305872374,eV/L0,0.03173805605024358,-2.0617422655614264
opening_1.3h_normal_force,fit,development_or_control,1.4139711872929317,1.170092273687671,eV/L0,0.03173805605024358,-7.684116293045267
opening_1.5h_normal_force,fit,development_or_control,0.6379256757978651,0.8085787565889001,eV/L0,0.03173805605024358,5.376922913012668
opening_2h_normal_force,fit,development_or_control,0.5548811295393773,0.359606644757774,eV/L0,0.03173805605024358,-6.15269203861982
opening_2.5h_normal_force,fit,development_or_control,0.0005156382639574782,0.17269785300596277,eV/L0,0.03173805605024358,5.425102736898212
opening_3h_normal_force,fit,development_or_control,0.0,0.08360343272772483,eV/L0,0.03173805605024358,2.634169925069598
shockley_0.15_energy,fit,development_or_control,0.013715574532912111,0.012227217799772266,eV/cell,0.004433026104653031,-0.3357428307443585
shockley_0.35_energy,fit,development_or_control,0.04820527408303389,0.04941670738393311,eV/cell,0.004820527408303389,0.2513072114915307
shockley_0.75_energy,fit,development_or_control,0.08334161260537679,0.09944788253878904,eV/cell,0.00833416126053768,1.9325603896909906
new_direct_017_energy,fit,development_or_control,0.05826439239193282,0.050749501806313546,eV/cell,0.0058264392391932825,-1.2897912905481135
new_direct_017_normal_force,fit,development_or_control,-0.44118804525591643,-0.4483981540834111,eV/L0,0.03173805605024358,-0.22717550237105152
new_direct_017_Haa,fit,development_or_control,26.109437232644353,27.03349363636733,eV/L0^2,2.6109437232644357,0.3539166300251149
new_direct_039_energy,fit,development_or_control,0.2262381941113307,0.22892312218583083,eV/cell,0.022623819411133072,0.11867704677570452
new_direct_039_normal_force,fit,development_or_control,-1.9685101248020884,-1.957901073702795,eV/L0,0.03173805605024358,0.3342690895276779
new_direct_039_Haa,fit,development_or_control,36.31678531793335,46.65089646083233,eV/L0^2,3.6316785317933356,2.8455467774555356
new_raised_direct_energy,fit,development_or_control,0.11960599647825673,0.11934786657855698,eV/cell,0.011960599647825674,-0.02158168547566765
new_raised_direct_normal_force,fit,development_or_control,0.08783049166112324,0.16345655957166272,eV/L0,0.03173805605024358,2.3828197855224054
new_raised_direct_Haa,fit,development_or_control,20.00400949091716,17.60278864544526,eV/L0^2,2.000400949091716,-1.2003697791496137
new_off_path_positive_energy,fit,development_or_control,0.05360470506556986,0.05329535595196904,eV/cell,0.0053604705065569865,-0.0577093210796361
new_off_path_positive_normal_force,fit,development_or_control,0.35206897342006,0.41424291243629496,eV/L0,0.03173805605024358,1.9589712400094461
new_off_path_positive_Haa,fit,development_or_control,13.446420569551602,18.395319413276265,eV/L0^2,1.3446420569551603,3.680458169612119
new_off_path_negative_energy,fit,development_or_control,0.21544733160917068,0.22697557098188764,eV/cell,0.021544733160917068,0.5350838781159569
new_off_path_negative_normal_force,fit,development_or_control,-0.05312860042135701,-0.06925877007793968,eV/L0,0.03173805605024358,-0.5082280285549775
new_off_path_negative_Haa,fit,development_or_control,13.5831841481301,14.56009724295131,eV/L0^2,1.35831841481301,0.7192077234377292
new_shockley_058_energy,fit,development_or_control,0.07969505412787091,0.09229082139390303,eV/cell,0.007969505412787091,1.5804954779028295
new_shockley_058_normal_force,fit,development_or_control,-0.6123357455328253,-0.7990275787448764,eV/L0,0.03173805605024358,-5.88227057500008
new_shockley_058_Haa,fit,development_or_control,23.107568998056017,35.07173962661788,eV/L0^2,2.3107568998056016,5.177598140924464
