candidate,a_over_h,opening_angstrom,energy_J_m2,normal_traction_GPa,registry_curvature
angular_independent_range,1.16,0.3747415876349603,0.3236891688149223,12.62900542956594,1.7877909767458908
angular_independent_range,1.19,0.44500563531651544,0.4129339504210516,12.709851972137963,1.5136566997614318
angular_independent_range,1.22,0.5152696829980706,0.5015362453983186,12.464487741049648,1.2889374743110666
angular_independent_range,1.25,0.5855337306796258,0.5875629156964675,11.991236146094076,1.101530446489809
angular_independent_range,1.28,0.6557977783611809,0.6696954217524409,11.367382510675355,0.9431209901374566
angular_independent_range,1.31,0.7260618260427361,0.7470953376308607,10.65286550678837,0.8079002232674569
angular_independent_range,1.3399999999999999,0.7963258737242908,0.8192937258307872,9.893395064123379,0.6917117793566281
angular_independent_range,1.37,0.8665899214058465,0.8861006870216,9.123090668531372,0.5914889425018293
angular_independent_range,1.4,0.9368539690874009,0.9475319791580611,8.36671234561927,0.50488682246326
angular_independent_range,1.43,1.0071180167689562,1.003750053061692,7.641541804003407,0.4300444398862386
angular_independent_range,1.46,1.0773820644505112,1.0550172173731234,6.958961012499504,0.36543246685119224
angular_independent_range,1.49,1.1476461121320665,1.1016589513925692,6.325768329703289,0.3097567564414908
angular_independent_range,1.52,1.2179101598136217,1.1440356470117534,5.745267091139407,0.26189767510852235
angular_independent_range,1.55,1.2881742074951767,1.1825212915620278,5.218157546459441,0.22087200311849406
angular_independent_range,1.58,1.358438255176732,1.217487808583918,4.743259748125128,0.18580875353794768
angular_independent_range,1.6099999999999999,1.4287023028582864,1.249293957213521,4.318092130137977,0.15593334977001305
angular_independent_range,1.6400000000000001,1.498966350539842,1.2782778554416865,3.9393279130366508,0.13055666275202885
angular_independent_range,1.67,1.5692303982213969,1.3047523394222837,3.603149043623953,0.10906676653978639
angular_independent_range,1.7000000000000002,1.6394944459029526,1.3290025013671687,3.3055150888133276,0.09092215074009016
angular_independent_range,1.73,1.7097584935845074,1.3512848633021843,3.0423623449424033,0.07564568626175693
angular_independent_range,1.76,1.7800225412660624,1.3718277440066582,2.809746403003219,0.06281898475456403
angular_independent_range,1.79,1.8502865889476174,1.39083246282311,2.603939537276047,0.05207699563465785
angular_independent_range,1.82,1.9205506366291725,1.4084750977757083,2.421492569984465,0.043102797894206846
angular_independent_range,1.85,1.9908146843107275,1.424908577716427,2.2592693146015272,0.035622600711568066
angular_independent_range,1.88,2.0610787319922825,1.4402649401946184,2.114460317680807,0.029400989637687266
angular_independent_range,1.9100000000000001,2.131342779673838,1.4546576295890576,1.9845814014398113,0.024236458475326055
angular_independent_range,1.94,2.201606827355393,1.4681837448926482,1.8674614507263496,0.01995726023183348
angular_independent_range,1.97,2.271870875036948,1.4809261744852913,1.761222979261598,0.016417599487076575
angular_independent_range,2.0,2.342134922718503,1.4929555772849765,1.6642582397425885,0.013494176581304682
angular_independent_range,3.0,4.684269845437006,1.6774264061300654,0.2826336111662581,1.9638318682887297e-05
angular_independent_range,5.0,9.368539690874012,1.7162181939227987,0.01827753287758231,5.3634810166955315e-11
angular_independent_range,20.0,44.50056353165156,1.7240976018348877,0.0001660311245354574,-5.686013327572119e-53
angular_independent_range,100.0,231.8713573491318,1.7244538921001393,1.1767931863773042e-06,-1.3764218869030224e-260
Mishin_source_rigid,0.95,-0.11691342951089931,0.03981266979815251,-7.193030369704925,0.7791172354784404
Mishin_source_rigid,0.98,-0.04676537180435973,0.006075976513716625,-2.6334316590340183,0.5914415063456998
Mishin_source_rigid,1.01,0.023382685902179866,0.0014564392576060614,1.2368782936702198,0.5101042339965188
Mishin_source_rigid,1.04,0.09353074360871946,0.02232586792368836,4.641313382924404,0.4424490551113281
