candidate,log_step,index,singular_value,condition_number,rank_relative_1e8,parameter_count,scale_status
monotone_I1_I2_I3_C,0.0004,8,0.20999302804899064,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,9,0.12218043845011844,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,0,133.58311566231515,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,1,76.62094857762139,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,2,49.124988513587276,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,3,24.60028860493961,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,4,14.307210658267437,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,5,10.700092026328049,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,6,4.124047816219048,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,7,1.4438714978551461,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,8,0.20999293639338215,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0002,9,0.12218042667428666,1093.3266423960542,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,0,133.58311520372567,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,1,76.62094536144593,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,2,49.12498760513472,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,3,24.60028867152668,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,4,14.307210909924146,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,5,10.70009220193928,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,6,4.124047179309466,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,7,1.4438713878748555,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,8,0.20999285578792548,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0001,9,0.1221805138221123,1093.3258588044152,10,10,"declared model discrepancy, not measured uncertainty"
