candidate,first,second,local_inverse_curvature_correlation
even_I1_I2_I3_C,log_abs_B,log_angular_decay,0.35640329141776717
even_I1_I2_I3_C,log_abs_C,log_abs_D3,0.483773703824022
even_I1_I2_I3_C,log_abs_C,log_abs_D1,0.3625328655440096
even_I1_I2_I3_C,log_abs_C,log_abs_D2,0.527073518127864
even_I1_I2_I3_C,log_abs_C,log_scalar_decay,-0.5598585154761262
even_I1_I2_I3_C,log_abs_C,log_angular_decay,-0.45847186573339155
even_I1_I2_I3_C,log_abs_D3,log_abs_D1,0.8892320962656682
even_I1_I2_I3_C,log_abs_D3,log_abs_D2,0.8341666564332927
even_I1_I2_I3_C,log_abs_D3,log_scalar_decay,-0.693478738939926
even_I1_I2_I3_C,log_abs_D3,log_angular_decay,-0.9937989659784157
even_I1_I2_I3_C,log_abs_D1,log_abs_D2,0.49954420544344436
even_I1_I2_I3_C,log_abs_D1,log_scalar_decay,-0.8816373460564019
even_I1_I2_I3_C,log_abs_D1,log_angular_decay,-0.9123955338710028
even_I1_I2_I3_C,log_abs_D2,log_scalar_decay,-0.2940131293288381
even_I1_I2_I3_C,log_abs_D2,log_angular_decay,-0.8023839916635572
even_I1_I2_I3_C,log_scalar_decay,log_angular_decay,0.7252772402809354
monotone_I1_I2_I3_C,log_abs_u,log_abs_v,0.990695090108007
monotone_I1_I2_I3_C,log_abs_u,log_abs_A,0.993111689590832
monotone_I1_I2_I3_C,log_abs_u,log_abs_B,0.9883324702057008
monotone_I1_I2_I3_C,log_abs_u,log_abs_C,-0.9800643854020213
monotone_I1_I2_I3_C,log_abs_u,log_abs_D3,-0.13056421590184333
monotone_I1_I2_I3_C,log_abs_u,log_abs_D1,-0.3589342921434711
monotone_I1_I2_I3_C,log_abs_u,log_abs_D2,0.5399365046370921
monotone_I1_I2_I3_C,log_abs_u,log_scalar_decay,0.9951259685717712
monotone_I1_I2_I3_C,log_abs_u,log_angular_decay,0.17982704817027995
monotone_I1_I2_I3_C,log_abs_v,log_abs_A,0.994208382933992
monotone_I1_I2_I3_C,log_abs_v,log_abs_B,0.9991547912570773
monotone_I1_I2_I3_C,log_abs_v,log_abs_C,-0.9543655846458959
monotone_I1_I2_I3_C,log_abs_v,log_abs_D3,-0.19614885453987385
monotone_I1_I2_I3_C,log_abs_v,log_abs_D1,-0.4352077368438033
monotone_I1_I2_I3_C,log_abs_v,log_abs_D2,0.5203554863732773
monotone_I1_I2_I3_C,log_abs_v,log_scalar_decay,0.9961790459868713
monotone_I1_I2_I3_C,log_abs_v,log_angular_decay,0.25072945846379746
monotone_I1_I2_I3_C,log_abs_A,log_abs_B,0.9961738804807195
monotone_I1_I2_I3_C,log_abs_A,log_abs_C,-0.977534190026946
monotone_I1_I2_I3_C,log_abs_A,log_abs_D3,-0.19003335122632298
monotone_I1_I2_I3_C,log_abs_A,log_abs_D1,-0.42049987240280134
monotone_I1_I2_I3_C,log_abs_A,log_abs_D2,0.5056043813610459
monotone_I1_I2_I3_C,log_abs_A,log_scalar_decay,0.9971581644893728
monotone_I1_I2_I3_C,log_abs_A,log_angular_decay,0.24186980068632777
monotone_I1_I2_I3_C,log_abs_B,log_abs_C,-0.9564017331857348
monotone_I1_I2_I3_C,log_abs_B,log_abs_D3,-0.2112005038843835
monotone_I1_I2_I3_C,log_abs_B,log_abs_D1,-0.4494813321162357
monotone_I1_I2_I3_C,log_abs_B,log_abs_D2,0.5086092851816882
monotone_I1_I2_I3_C,log_abs_B,log_scalar_decay,0.9958786507052466
monotone_I1_I2_I3_C,log_abs_B,log_angular_decay,0.2657950189032408
monotone_I1_I2_I3_C,log_abs_C,log_abs_D3,0.10989408049312684
monotone_I1_I2_I3_C,log_abs_C,log_abs_D1,0.31481871843557646
monotone_I1_I2_I3_C,log_abs_C,log_abs_D2,-0.49954367168748204
monotone_I1_I2_I3_C,log_abs_C,log_scalar_decay,-0.9723858987833285
monotone_I1_I2_I3_C,log_abs_C,log_angular_decay,-0.15343095277283186
monotone_I1_I2_I3_C,log_abs_D3,log_abs_D1,0.9576306683890785
monotone_I1_I2_I3_C,log_abs_D3,log_abs_D2,0.690458314778714
monotone_I1_I2_I3_C,log_abs_D3,log_scalar_decay,-0.19346991775199326
monotone_I1_I2_I3_C,log_abs_D3,log_angular_decay,-0.9934478155634728
monotone_I1_I2_I3_C,log_abs_D1,log_abs_D2,0.4647373300365186
monotone_I1_I2_I3_C,log_abs_D1,log_scalar_decay,-0.4224215630496178
monotone_I1_I2_I3_C,log_abs_D1,log_angular_decay,-0.9727079352680634
monotone_I1_I2_I3_C,log_abs_D2,log_scalar_decay,0.49824909230685666
monotone_I1_I2_I3_C,log_abs_D2,log_angular_decay,-0.6446085685199561
monotone_I1_I2_I3_C,log_scalar_decay,log_angular_decay,0.2468148638166304
