set,path,s_over_b,s_angstrom,energy_ev_cell,energy_J_m2,relaxation
linear_profile,direct_110,0.0,0.0,0.0,0.0,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.6666666666666667,1.9077432786622086,0.2414630260013833,0.5455166601742774,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.6833333333333333,1.9554368606287638,0.22165713931355407,0.5007709227557755,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.7000000000000001,2.003130442595319,0.20162825209926924,0.455521379415416,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.7166666666666667,2.0508240245618743,0.18167420142031865,0.41044090782691267,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.7333333333333334,2.09851760652843,0.16206790735844445,0.36614609287264677,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.75,2.1462111884949846,0.14305250073652565,0.3231862191229259,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.7666666666666667,2.1939047704615398,0.12483800973453092,0.282035785192202,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.7833333333333333,2.2415983524280954,0.10759961021391484,0.24309055084736914,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.7999999999999999,2.28929193439465,0.0914773730747287,0.20666696623339958,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.8166666666666667,2.3369855163612057,0.07657738106106443,0.1730046949758905,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.8333333333333333,2.384679098327761,0.0629740389858183,0.14227183347330175,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.85,2.4323726802943164,0.050713366157954964,0.11457234919487976,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.8666666666666666,2.480066262260871,0.039817037704285824,0.08995521089158737,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.8833333333333334,2.5277598442274267,0.03028693156679314,0.06842466123633038,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.9,2.575453426193982,0.022109938782769477,0.04995108427641851,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.9166666666666667,2.6231470081605366,0.015262804465804733,0.034481942245812594,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.9333333333333333,2.670840590127092,0.009716783854489734,0.021952294575759247,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.9500000000000001,2.7185341720936473,0.005441920101631241,0.012294462336275581,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.9666666666666667,2.766227754060202,0.002410776556998719,0.005446460261758049,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,0.9833333333333334,2.8139213360267576,0.0006014848396354288,0.0013588829987639605,rigid half crystals; fixed interface spacing
linear_historical_box,direct_110,1.0,2.861614917993313,7.125369897123699e-17,1.609773576167718e-16,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.0,0.0,0.0,0.0,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.009622504486493764,0.027535902387008142,0.00019426630650640935,0.000438889168518752,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.01924500897298753,0.055071804774016284,0.0007530555412526191,0.001701313656971681,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.028867513459481294,0.08260770716102442,0.0016411536541219413,0.003707717388683283,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.03849001794597506,0.11014360954803257,0.0028243917264726046,0.006380905462687152,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.04811252243246882,0.1376795119350407,0.004269614797756457,0.009645973726385057,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.05773502691896259,0.16521541432204884,0.005944649056549434,0.013430234653062112,rigid half crystals; fixed interface spacing
linear_historical_box,shockley_112,0.06735753140545635,0.19275131670905696,0.007818270072925586,0.017663145572019943,rigid half crystals; fixed interface spacing
