a_reduced_L0,s_reduced_L0,a_over_b,s_over_b,energy_ev_cell
0.8709296867318791,0.33333333348986005,0.8709296863229078,0.3333333333333333,0.06326413710990586
0.8709296867318791,0.3750000001760926,0.8709296863229078,0.375,0.07877053881404095
0.8709296867318791,0.41666666686232506,0.8709296863229078,0.4166666666666667,0.09255362882582929
0.8709296867318791,0.45833333354855754,0.8709296863229078,0.4583333333333333,0.1020736024127622
0.8709296867318791,0.5000000002347901,0.8709296863229078,0.5,0.10547374870519644
0.8709296867318791,0.5416666669210226,0.8709296863229078,0.5416666666666667,0.10207360241276309
0.8709296867318791,0.583333333607255,0.8709296863229078,0.5833333333333333,0.09255362882582929
0.8709296867318791,0.6250000002934876,0.8709296863229078,0.625,0.0787705388140374
0.8709296867318791,0.6666666669797201,0.8709296863229078,0.6666666666666666,0.06326413710990675
0.8709296867318791,0.7083333336659526,0.8709296863229078,0.7083333333333334,0.04861402858454156
0.8709296867318791,0.7500000003521852,0.8709296863229078,0.75,0.036840854623092945
0.8709296867318791,0.7916666670384176,0.8709296863229078,0.7916666666666666,0.029014236797348048
0.8709296867318791,0.8333333337246501,0.8709296863229078,0.8333333333333334,0.025149562659279923
0.8709296867318791,0.8750000004108827,0.8709296863229078,0.875,0.02438401117705702
0.8709296867318791,0.9166666670971151,0.8709296863229078,0.9166666666666666,0.02535063281438621
0.8709296867318791,0.9583333337833476,0.8709296863229078,0.9583333333333333,0.02663381646939289
0.8709296867318791,1.0000000004695802,0.8709296863229078,1.0,0.027189087740014273
0.9185586539750288,0.0,0.9185586535436918,0.0,0.07112486250253802
0.9185586539750288,0.041666666686232506,0.9185586535436918,0.041666666666666664,0.06986924615030077
0.9185586539750288,0.08333333337246501,0.9185586535436918,0.08333333333333333,0.06630347079556564
0.9185586539750288,0.12500000005869752,0.9185586535436918,0.125,0.06099053948887345
0.9185586539750288,0.16666666674493003,0.9185586535436918,0.16666666666666666,0.0547421137075812
0.9185586539750288,0.20833333343116253,0.9185586535436918,0.20833333333333334,0.048453902762094714
0.9185586539750288,0.25000000011739504,0.9185586535436918,0.25,0.042923817933697705
0.9185586539750288,0.2916666668036275,0.9185586535436918,0.29166666666666663,0.03869453432624148
0.9185586539750288,0.33333333348986005,0.9185586535436918,0.3333333333333333,0.03596091822861247
0.9185586539750288,0.3750000001760926,0.9185586535436918,0.375,0.03456990987867492
0.9185586539750288,0.41666666686232506,0.9185586535436918,0.4166666666666667,0.03411641759405093
0.9185586539750288,0.45833333354855754,0.9185586535436918,0.4583333333333333,0.03410928026879212
0.9185586539750288,0.5000000002347901,0.9185586535436918,0.5,0.034156486728312174
0.9185586539750288,0.5416666669210226,0.9185586535436918,0.5416666666666667,0.03410928026878857
0.9185586539750288,0.583333333607255,0.9185586535436918,0.5833333333333333,0.03411641759405093
0.9185586539750288,0.6250000002934876,0.9185586535436918,0.625,0.03456990987867492
0.9185586539750288,0.6666666669797201,0.9185586535436918,0.6666666666666666,0.03596091822861247
0.9185586539750288,0.7083333336659526,0.9185586535436918,0.7083333333333334,0.03869453432624148
