set,log_step,mode,singular_value,condition_number,right_vector_0,right_vector_1,right_vector_2,right_vector_3,right_vector_4
linear_historical_box,0.0001,5,0.4817686862237922,1670.7160649424045,0.08644865854525491,-0.0016552716462476837,-0.9607511927485455,0.18323992925857102,0.1894839398710705
legacy_unidentified,0.0004,1,394.66183137686585,7621.393936639862,0.05290583908116499,0.9866422678779861,0.029985125494756945,-0.09947902131749964,0.11376653284018877
legacy_unidentified,0.0004,2,105.96558570172942,7621.393936639862,-0.09367556988113221,-0.13673602851171046,-0.02194643234095103,-0.8588168397723633,0.48423149003880883
legacy_unidentified,0.0004,3,15.01179333874161,7621.393936639862,-0.1596401238774539,-0.04452438273122298,0.21234145411121214,0.48739505978328346,0.8305960346375245
legacy_unidentified,0.0004,4,11.363200955940716,7621.393936639862,0.03134458894709428,-0.02371474295236182,0.9764887222448771,-0.1222306916129587,-0.17316050666022545
legacy_unidentified,0.0004,5,0.05178341844784175,7621.393936639862,0.9807947835254281,-0.07277007662862134,-0.0003585401943032719,0.006578280002453367,0.1808388958103624
legacy_unidentified,0.0002,1,394.6604288020419,7621.381283341095,0.0529060358680602,0.9866421862025346,0.029985229841798425,-0.09947929361078624,0.1137668840579045
legacy_unidentified,0.0002,2,105.96560881316951,7621.381283341095,-0.09367547956949047,-0.13673643186515128,-0.021946383699665183,-0.8588167607467586,0.4842315359734067
legacy_unidentified,0.0002,3,15.01179553490312,7621.381283341095,-0.15963984288723354,-0.04452454337061067,0.21234149080168638,0.4873951497404202,0.8305960178656101
legacy_unidentified,0.0002,4,11.3631991008736,7621.381283341095,0.03134452836417347,-0.023714811794108864,0.9764887121556873,-0.12223066721328188,-0.17316058231687914
legacy_unidentified,0.0002,5,0.05178332038900814,7621.381283341095,0.9807948292077809,-0.07277030538261531,-0.0003585393788479189,0.006578267648334734,0.18083855644762595
legacy_unidentified,0.0001,1,394.6600781628083,7621.378122399692,0.052906085064463676,0.9866421657738768,0.029985256260658982,-0.0994793616823492,0.11376697186108006
legacy_unidentified,0.0001,2,105.96561459150969,7621.378122399692,-0.09367545698966016,-0.13673653268880587,-0.021946371745913663,-0.8588167409887827,0.4842315474549523
legacy_unidentified,0.0001,3,15.011796099880161,7621.378122399692,-0.15963977214671113,-0.04452458398201529,0.21234151541289584,0.4873951702645695,0.8305960109494274
legacy_unidentified,0.0001,4,11.363198807002092,7621.378122399692,0.03134451574971742,-0.023714828651402425,0.9764887062613459,-0.12223066896155653,-0.17316061429697138
legacy_unidentified,0.0001,5,0.05178329585864247,7621.378122399692,0.9807948406278918,-0.07277036256979418,-0.0003585392188363893,0.006578264562960936,0.180838471609713
