family,stage,decay,squared_loss,admissible,reason,u,v,A,B,independent_observation_count,parameter_count
square,complete_elastic,0.35,11.43414998883302,True,positive pair and embedding coefficients,0.09024828107551816,0.02096669111285181,3.7581635268937257,0.0,5,4
square,complete_elastic,0.37357774948527905,11.432278730048239,True,positive pair and embedding coefficients,0.09023347829930087,0.020902480598217425,3.7585351541192793,0.0,5,4
square,complete_elastic,0.39874381402995984,11.430025970825842,True,positive pair and embedding coefficients,0.09021571593094839,0.020825321105919406,3.7589818809427467,0.0,5,4
square,complete_elastic,0.42560519047568296,11.427316449178939,True,positive pair and embedding coefficients,0.09019442288644161,0.020732679174076854,3.7595184479668893,0.0,5,4
square,complete_elastic,0.4542760835061691,11.424058235482278,True,positive pair and embedding coefficients,0.09016892308568339,0.020621546999211864,3.760162367832419,0.0,5,4
square,complete_elastic,0.4848783912034896,11.420146554283956,True,positive pair and embedding coefficients,0.09013842011385997,0.020488362732913514,3.7609344018759217,0.0,5,4
square,complete_elastic,0.5175422233138354,11.415454344170595,True,positive pair and embedding coefficients,0.09010197540494183,0.02032891295318504,3.7618591306848943,0.0,5,4
square,complete_elastic,0.5524064544262582,11.409832384519946,True,positive pair and embedding coefficients,0.09005848697979621,0.02013822516165419,3.7629655952168437,0.0,5,4
square,complete_elastic,0.5896193144162969,11.403105038359065,True,positive pair and embedding coefficients,0.09000666421704477,0.019910443017795088,3.7642880391225346,0.0,5,4
square,complete_elastic,0.6293390186648382,11.395066202788819,True,positive pair and embedding coefficients,0.08994499991607732,0.019638684628575185,3.765866755410854,0.0,5,4
square,complete_elastic,0.6717344407316694,11.3854754673523,True,positive pair and embedding coefficients,0.0898717396057962,0.019314882300996743,3.7677490483432523,0.0,5,4
square,complete_elastic,0.7169858303436848,11.374051228485097,True,positive pair and embedding coefficients,0.08978484714601975,0.018929600858595005,3.769990326596488,0.0,5,4
square,complete_elastic,0.7652855797503654,11.360471306328115,True,positive pair and embedding coefficients,0.0896819700945293,0.018471837345112117,3.7726553236399862,0.0,5,4
square,complete_elastic,0.8168390417047958,11.344360563517677,True,positive pair and embedding coefficients,0.0895603985310532,0.01792879254317454,3.775819483241511,0.0,5,4
square,complete_elastic,0.8718654025479705,11.325293140943364,True,positive pair and embedding coefficients,0.08941702674153983,0.017285623916706603,3.7795704862581228,0.0,5,4
square,complete_elastic,0.930598614108422,11.30278505149761,True,positive pair and embedding coefficients,0.08924831073066931,0.016525170014814572,3.784009955755795,0.0,5,4
square,complete_elastic,0.9932883883792686,11.276293332150995,True,positive pair and embedding coefficients,0.08905022772316856,0.015627651605048518,3.7892553317766495,0.0,5,4
square,complete_elastic,1.0602012592016772,11.245216078652556,True,positive pair and embedding coefficients,0.08881823737378196,0.014570347496265745,3.795441928477092,0.0,5,4
square,complete_elastic,1.131621715468633,11.208896412284705,True,positive pair and embedding coefficients,0.08854724754835848,0.013327246595599671,3.80272517525885,0.0,5,4
square,complete_elastic,1.2078534106669794,11.166632475347248,True,positive pair and embedding coefficients,0.08823158787658102,0.011868678142021204,3.8112830418851655,0.0,5,4
square,complete_elastic,1.2892204539002534,11.11769583396987,True,positive pair and embedding coefficients,0.08786499518261175,0.010160923070530275,3.821318644065249,0.0,5,4
square,complete_elastic,1.3760687878812763,11.061362518654423,True,positive pair and embedding coefficients,0.08744061640867772,0.008165811439703666,3.8330630178208063,0.0,5,4
square,complete_elastic,1.4687676597532089,10.996962502057862,True,positive pair and embedding coefficients,0.0869510363697576,0.005840313233721208,3.8467780404655856,0.0,5,4
square,complete_elastic,1.5677111909924681,10.923955631421245,True,positive pair and embedding coefficients,0.08638834001016503,0.0031361333190400163,3.8627594599176187,0.0,5,4
square,complete_elastic,1.673320053068151,10.842046044453934,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08574442162748323,0.0,3.881335711803177,0.0,5,4
square,complete_elastic,1.7860432559822503,10.782194275892557,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08608341151645522,0.0,3.879919188142672,0.0,5,4
square,complete_elastic,1.9063600572948836,10.79381184494762,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08648301564231067,0.0,3.878284522487959,0.0,5,4
square,complete_elastic,2.034781999751001,10.910966161651412,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08695347091301038,0.0,3.876402281131662,0.0,5,4
square,complete_elastic,2.1718550861718136,11.177586471649366,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08750664849044769,0.0,3.8742407352832604,0.0,5,4
square,complete_elastic,2.3181621008577795,11.649224761102325,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08815630643410394,0.0,3.87176662051782,0.0,5,4
