model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,step,normal_load_MPa,shear_x_MPa,shear_y_MPa,equilibrium_residual_eV_L0,du_norm_L0,da_from_initial_L0,static_unload,physical_time_available
scoped_static_candidate,pure_x_shear,0.8164965809277515,2.7676992590269982e-17,-1.3997216580873486e-16,4.472570161703043e-15,1.008920330292778e-14,3.712428856266628e-15,3.9944937179761135,3.9944937179761264,24.091909480580803,-3.709400960086445e-15,-2.921887334730112e-11,24.091909480580803,1.2269722417455136e-15,2.4805308304758223e-15,5.311702676349407e-18,4.184017026704949e-14,1.2269722417455136e-15,3.9944937179761255,-1.240906383823104e-15,1.4981427156843596e-16,1.1800838662839762e-12,2.4805308304758223e-15,-1.240906383823104e-15,3.9944937179761144,4,0,0,0,3.709400960086445e-15,1.295003469008364e-16,7.771561172376096e-16,True,False
scoped_static_candidate,pure_x_shear,0.8165032536353936,-0.0015895439518153179,1.4592756336647654e-05,5.045623536360576e-06,1.1381894483013635e-05,0.006347611210048242,3.920047822435571,4.0667360931876555,24.09400773400592,-1.2474355731609118e-14,-9.826023773999684e-11,24.091972888516718,0.20223698395406028,-0.00012844377330238264,-0.006347611210048242,-49.99999999999626,0.20223698395406028,3.9941184269400916,0.07333488432360634,-6.685405964425808e-16,-5.266080217580385e-12,-0.00012844377330238264,0.07333488432360634,3.9947003341723395,5,0,-50,0,1.2474355731609118e-14,0.0015896109345653947,6.672707642874087e-06,False,False
scoped_static_candidate,pure_x_shear,0.8164965809277513,-6.717941679886105e-17,-7.995949112423859e-17,1.799620547763326e-15,4.059575796033307e-15,6.395443470566162e-15,3.9944937179761277,3.9944937179761304,24.091909480580544,6.392727807096498e-15,5.035538248606309e-11,24.091909480580544,-8.703950058946251e-15,-1.3215074145700964e-15,1.744137028243698e-16,1.3738530689171747e-12,-8.703950058946251e-15,3.99449371797613,-4.4189367223543227e-16,6.563710726150348e-17,5.170221134337537e-13,-1.3215074145700964e-15,-4.4189367223543227e-16,3.994493717976128,6,0,0,0,6.392727807096498e-15,2.7776175033766424e-17,6.661338147750939e-16,True,False
scoped_static_candidate,mixed_traction,0.8164965809277507,-9.242602340934653e-17,-9.154071533249135e-17,2.3948387810680604e-15,5.402266362822382e-15,9.461313219808422e-16,3.9944937179762157,3.994493717976227,24.091909480581023,-3.1197000724089057e-16,-2.4573811857523665e-12,24.091909480581023,2.5650471138385328e-14,1.0644144258691593e-14,-7.423117948832171e-16,-5.847174396157764e-12,2.5650471138385328e-14,3.9944937179762228,5.730925196063177e-15,-4.968021660506236e-16,-3.913300213347587e-12,1.0644144258691593e-14,5.730925196063177e-15,3.99449371797622,0,0,0,0,7.423117948832171e-16,0.0,0.0,False,False
scoped_static_candidate,mixed_traction,0.816630866433479,0.0008023873983595501,0.00048113811544135855,1.9514738472645843e-06,4.402125774121342e-06,0.004875692685524311,3.934134797585592,4.020571172619982,24.003600075748523,0.0031738056050328264,25.000000000066702,24.00290599642713,-0.10120449063323946,-0.06072011746903314,0.003173805605024521,25.000000000001283,-0.10120449063323946,3.955647062594976,-0.03676465263304076,0.0019042833630141327,14.9999999999962,-0.06072011746903314,-0.03676465263304076,3.9997529869319917,1,25,25,15,8.468486328849778e-15,0.0009355850699839677,0.00013428550572835984,False,False
scoped_static_candidate,mixed_traction,0.8167696360597161,0.0016179808530304353,0.0008127032521172944,7.3425806173465924e-06,1.6563359754727385e-05,0.009521416815081531,3.875925086858172,4.043241450734862,23.916555429076578,0.006347611210062253,50.000000000106624,23.91399575102411,-0.20254605461276523,-0.10130531578529627,0.006347611210048183,49.9999999999958,-0.20254605461276523,3.9239549298705763,-0.07367032121919223,0.0031738056050237213,24.99999999999498,-0.10130531578529627,-0.07367032121919223,3.997771285774929,2,50,50,25,1.3536914644785014e-14,0.0018106210583044618,0.0002730551319654051,False,False
scoped_static_candidate,mixed_traction,0.8173300427612297,0.003203426338400347,-0.0015863027055565413,3.349733181674924e-05,7.556312781824019e-05,0.02375058637245533,3.73059306432225,4.045958345038275,23.569341368596664,0.019042833630155687,150.00000000007512,23.55883840805049,-0.4049933269400532,0.20236631342052297,0.012695222420096733,99.99999999999447,-0.4049933269400532,3.966118476178319,-0.14577147140214788,-0.006347611210049483,-50.00000000000604,0.20236631342052297,-0.14577147140214788,3.8209358937283766,3,150,100,-50,9.540979117872439e-15,0.0035746743319096017,0.0008334618334789878,False,False
scoped_static_candidate,mixed_traction,0.8164965809277509,3.706472020112856e-17,-4.787420056339791e-17,2.2090043121805357e-16,4.983061818340978e-16,6.514657804958974e-15,3.9944937179762103,3.99449371797622,24.091909480581023,-6.509900629534821e-15,-5.12783503440569e-11,24.091909480581023,1.6311436966395798e-15,1.181856908096404e-14,-1.7468509021453406e-16,-1.375990781681739e-12,1.6311436966395798e-15,3.994493717976219,-1.5688886457983034e-15,-1.7732802528580586e-16,-1.3968091256525218e-12,1.181856908096404e-14,-1.5688886457983034e-15,3.9944937179762094,4,0,0,0,6.509900629534821e-15,1.3665510306195392e-16,2.220446049250313e-16,True,False
scoped_static_candidate,compression_shear,0.8164965809277507,-9.242602340934653e-17,-9.154071533249135e-17,2.3948387810680604e-15,5.402266362822382e-15,9.461313219808422e-16,3.9944937179762157,3.994493717976227,24.091909480581023,-3.1197000724089057e-16,-2.4573811857523665e-12,24.091909480581023,2.5650471138385328e-14,1.0644144258691593e-14,-7.423117948832171e-16,-5.847174396157764e-12,2.5650471138385328e-14,3.9944937179762228,5.730925196063177e-15,-4.968021660506236e-16,-3.913300213347587e-12,1.0644144258691593e-14,5.730925196063177e-15,3.99449371797622,0,0,0,0,7.423117948832171e-16,0.0,0.0,False,False
scoped_static_candidate,compression_shear,0.8162413009629428,0.001584952718095735,0.0004859561910067156,6.2933784056980315e-06,1.4196574207159127e-05,0.009176635073620638,3.9492287251381777,4.1044444055361415,24.272336571222823,-0.006347611210038757,-49.99999999992154,24.2701425679283,-0.20213149945225503,-0.06073267324213563,0.006347611210049036,50.000000000002515,-0.20213149945225503,4.005682024042304,-0.07346651279000177,0.0019042833630146967,15.000000000000643,-0.06073267324213563,-0.07346651279000177,4.0501851099265425,1,-50,50,15,9.95904747558285e-15,0.0016577781932988489,-0.0002552799648078974,False,False
