index,eigenvalue
859,20.162462898886417
860,20.21845647194203
861,20.22418281516501
862,20.262374918539102
863,20.274572126179702
864,20.27714777510093
865,20.31358571683585
866,20.32198575372283
867,20.33605970304095
868,20.34604770198144
869,20.36667539744649
870,20.372472961672955
871,20.375041200494287
872,20.386782132937615
873,20.419519150024904
874,20.419885357383805
875,20.451369989305633
876,20.46208255287376
877,20.491352463038496
878,20.541865668595275
879,20.55162347818848
880,20.554973521013334
881,20.611390016553518
882,20.635795530952375
883,20.65628998068501
884,20.657261924610765
885,20.657903501914966
886,20.69963081859107
887,20.70520682385952
888,20.73780051407272
889,20.740383606575236
890,20.771755530897998
891,20.796164670515818
892,20.821187744550855
893,20.856897784555578
894,20.884087188789643
895,20.892696202235676
896,20.911177585670213
897,20.931906304400744
898,20.952748205288025
899,20.9752817062946
900,20.977905049351758
901,21.003320254174607
902,21.017857896845307
903,21.02565203844415
904,21.05252818296953
905,21.053786795256304
906,21.075048682609665
907,21.076901566893216
908,21.12421969133741
909,21.127455369016285
910,21.183958380130157
911,21.184527043348453
912,21.194731185444283
913,21.23022893341614
914,21.256812451052834
915,21.2864370491916
916,21.29757245614458
917,21.306918063138376
918,21.36576079221439
919,21.372590414207256
920,21.38773664577985
921,21.43736217152929
922,21.438145021914064
923,21.440974900045585
924,21.47519810565755
925,21.49165304876993
926,21.517572834675732
927,21.51943767312789
928,21.5423459528589
929,21.600027975905206
930,21.61068639401726
931,21.613815531480896
932,21.666622663529726
933,21.69061498637084
934,21.705428686099896
935,21.745022106378947
936,21.770163956601504
937,21.775978478165797
938,21.80927660259892
939,21.83099025581816
940,21.853447380058334
941,21.881662086844834
942,21.88288059521061
943,21.8878493037937
944,21.92128667604409
945,21.940612608583276
946,21.948354763188647
947,21.969053537570097
948,21.996199870156648
949,22.02432368141407
950,22.080440037479764
951,22.080845181989783
952,22.08558908908211
953,22.12204698657189
954,22.14046548521146
955,22.20063943333882
956,22.201646778794338
957,22.21323986288281
958,22.218401716150307
959,22.240200873941486
960,22.266333569074924
961,22.324814783960765
962,22.360369117929864
963,22.369895514272706
964,22.370883748568186
965,22.389826284593486
966,22.42113684526443
967,22.43203708935951
968,22.439218928104548
969,22.462608467634315
970,22.49504321498099
971,22.527175870788533
972,22.540788696579963
973,22.55051660043066
974,22.572974472742533
975,22.633062896792584
976,22.636987377130517
977,22.677868847861337
978,22.68956560151135
979,22.71709873325476
980,22.754218166188547
981,22.786455413067372
982,22.818688435363025
983,22.877464231651487
984,22.924125180998484
985,22.953432077395068
986,22.965805469291098
987,22.987476129280477
988,23.020852388771136
989,23.03381636918767
990,23.036192322278545
991,23.060356886957745
992,23.118226857263213
993,23.12956659335904
994,23.137041939178264
995,23.166200774064105
996,23.219832433326236
997,23.234077029208763
998,23.2551474956172
999,23.290026005016408
1000,23.336024114876647
1001,23.350174808546644
1002,23.36097435006243
1003,23.375714022105644
1004,23.395340855827985
1005,23.415294131002064
1006,23.415524857455605
1007,23.459955554417206
1008,23.490534526919745
1009,23.495319136553892
1010,23.505745339959198
1011,23.537777788214377
1012,23.54967852611195
1013,23.577026723860847
1014,23.665341408017152
1015,23.675530577088384
1016,23.681608006666373
1017,23.707194315636414
1018,23.718243141780015
1019,23.751739877568003
1020,23.808022311356705
1021,23.823977731171926
1022,23.853160334299197
1023,23.863792204790748
1024,23.895165936533086
1025,23.948850098753713
1026,23.95250286453293
1027,23.96197588531598
1028,23.994654650512807
1029,24.01024423239388
1030,24.06408133442478
1031,24.088963642745654
1032,24.10442335205926
1033,24.117583441555542
1034,24.161691150742143
1035,24.16367293962123
1036,24.21599204770171
1037,24.241306221222032
1038,24.264941695994587
1039,24.298894224871432
1040,24.346182596239156
1041,24.354674456813846
1042,24.382933122044342
1043,24.389152232045152
1044,24.42640342352799
1045,24.462041984520983
1046,24.490398715125092
1047,24.535440070804423
1048,24.588668264778505
1049,24.589492919706423
1050,24.61410685282578
1051,24.66488334894364
1052,24.68002827808774
1053,24.704881139564133
1054,24.723395437788085
1055,24.76358896836362
1056,24.78524386098411
1057,24.82212572194112
1058,24.861511828565156
1059,24.889350950322275
1060,24.921894038571374
1061,24.936427928916668
1062,24.94326674717689
1063,24.95920295561439
1064,24.969195359731405
1065,25.04201267139989
1066,25.051684715824884
1067,25.08597891904506
1068,25.104425241332827
1069,25.14557049932137
1070,25.147135272298357
1071,25.225823743018303
1072,25.23371183717446
1073,25.255239209699408
1074,25.27117602749133
1075,25.30492628200018
1076,25.313961468025653
1077,25.3509169761524
1078,25.37790531577781
1079,25.42544640442152
1080,25.458669785198094
1081,25.490060185912064
1082,25.537878108826156
1083,25.559271411165415
1084,25.578613681590376
1085,25.669456589935315
1086,25.679253518746982
1087,25.701190489172912
1088,25.70263080204924
1089,25.75576134485101
1090,25.781824827629777
1091,25.787500021155147
1092,25.818701839457333
1093,25.84718521539617
1094,25.90969936710584
1095,25.917153053118213
1096,25.957424263226613
1097,25.961740863705817
1098,26.008548894635858
1099,26.07127680662724
1100,26.115593996257502
1101,26.148015795824293
1102,26.166725688785075
1103,26.214978423578813
1104,26.23212883379847
1105,26.245042981786405
1106,26.290248862112076
1107,26.30154448684319
1108,26.31384971711478
1109,26.352783925140336
1110,26.37972490267434
1111,26.4038817068434
1112,26.416893813187947
1113,26.477376920968123
1114,26.493354706396524
1115,26.495657885685056
1116,26.532173930361022
1117,26.552139693034313
1118,26.584273216897458
1119,26.588088762910917
1120,26.612108849953913
1121,26.65632123774265
1122,26.686874888380686
1123,26.708252621915594
1124,26.723883278971744
1125,26.810875064303087
1126,26.84701694425101
1127,26.859841168276265
1128,26.901762182855787
1129,26.90668669051556
1130,26.968502500454772
1131,26.975175248680802
1132,27.015612960180825
1133,27.025124455813327
1134,27.058311563212897
1135,27.11735273339926
1136,27.125337685252905
1137,27.170631567589734
1138,27.199011005496533
1139,27.20078456593224
1140,27.293309580563598
1141,27.30186148901923
1142,27.32841841688151
1143,27.35124128481209
1144,27.408821669816785
1145,27.40898920931257
1146,27.487704460547118
1147,27.49114623856528
1148,27.531848942926846
1149,27.53752000938066
1150,27.615622560731172
1151,27.642561474383896
1152,27.66175209619602
1153,27.676735303663136
1154,27.72974778485667
1155,27.758957652002938
1156,27.809119997241005
1157,27.856708871515515
1158,27.862527203751544
1159,27.90970929179752
1160,27.94541609643606
1161,27.97679498100591
1162,28.014128644014804
1163,28.024767324918418
1164,28.031952209830585
1165,28.094214997078
1166,28.111919173036547
1167,28.15216675969781
1168,28.191129936789572
1169,28.21793522570312
1170,28.242164478431995
1171,28.248362282713778
1172,28.28042539087888
1173,28.311400976933474
1174,28.403121646813975
1175,28.46228367690491
1176,28.475027457332697
1177,28.499833019608975
1178,28.55293101607724
1179,28.568985018255777
1180,28.588530103890108
1181,28.633181865594523
1182,28.647518286857224
1183,28.65008180598952
1184,28.68233262458916
1185,28.727052424963965
1186,28.765317222485454
1187,28.81452299765142
1188,28.829973971717557
1189,28.863865878968628
1190,28.905936416827966
1191,28.971658255741037
1192,28.999924040991388
1193,29.015966227983938
1194,29.044551193597577
1195,29.067310927707165
1196,29.087916892014732
1197,29.093598898542506
1198,29.172754395196634
1199,29.217505525376755
1200,29.248295145100276
1201,29.274784426774527
1202,29.283028729813488
1203,29.349311050205827
1204,29.40290168289587
1205,29.448362071780778
1206,29.448543843192702
1207,29.46828907628247
1208,29.472914424619344
1209,29.513651358098343
1210,29.620707240273397
1211,29.641467621276416
1212,29.643278005560898
1213,29.653011669148615
1214,29.730526358550645
1215,29.734608974248257
1216,29.817734899493182
1217,29.851563551992484
1218,29.864016767876198
1219,29.919243438071522
1220,29.949468633842358
1221,29.95965125275098
1222,29.976005792480038
1223,30.02317165669356
1224,30.057346906108297
