M,omega,lag_k,scaled_lag_eta,C_k,rho_k
63,0.009841269841269842,10,0.15873015873015872,1.0746798225103998e-05,0.6120496614021294
63,0.009841269841269842,11,0.1746031746031746,9.957601227418304e-06,0.5671034602084775
63,0.009841269841269842,12,0.19047619047619047,9.149456516293458e-06,0.5210781523495781
63,0.009841269841269842,13,0.20634920634920634,8.322700660713667e-06,0.47399290603986227
63,0.009841269841269842,14,0.2222222222222222,7.477728133504671e-06,0.42587018722261544
63,0.009841269841269842,15,0.23809523809523808,6.614991965171786e-06,0.37673579680724095
63,0.009841269841269842,16,0.25396825396825395,5.735003784646575e-06,0.3266188729898573
63,0.009841269841269842,17,0.2698412698412698,4.838333253852583e-06,0.27555185905078994
63,0.009841269841269842,18,0.2857142857142857,3.92560650174645e-06,0.22357041417037132
63,0.009841269841269842,19,0.30158730158730157,2.9975041895309066e-06,0.17071330323930983
63,0.009841269841269842,20,0.31746031746031744,2.0547587035139144e-06,0.11702223698692356
63,0.009841269841269842,21,0.3333333333333333,1.0981508268414517e-06,0.06254168243028259
63,0.009841269841269842,22,0.3492063492063492,1.2850601477166742e-07,0.007318650744312728
63,0.009841269841269842,23,0.36507936507936506,-8.533096415554124e-07,-0.048597532608844383
63,0.009841269841269842,24,0.38095238095238093,-1.8463939555396246e-06,-0.10515548646508896
63,0.009841269841269842,25,0.3968253968253968,-2.849813438220647e-06,-0.16230204693410497
63,0.009841269841269842,26,0.4126984126984127,-3.86260877125903e-06,-0.21998257909556188
63,0.009841269841269842,27,0.42857142857142855,-4.883800439473294e-06,-0.2781412977823238
63,0.009841269841269842,28,0.4444444444444444,-5.912394619525793e-06,-0.3367216029517959
63,0.009841269841269842,29,0.4603174603174603,-6.947389408377078e-06,-0.39566643440770305
63,0.009841269841269842,30,0.47619047619047616,-7.987781038466437e-06,-0.45491862576590075
63,0.009841269841269842,31,0.49206349206349204,-9.032570743238784e-06,-0.5144212954585903
63,0.009841269841269842,32,0.5079365079365079,-1.0080772105163974e-05,-0.5741182652173534
63,0.009841269841269842,33,0.5238095238095238,-1.1131418413495697e-05,-0.6339544791108739
63,0.009841269841269842,34,0.5396825396825397,-1.2183570283419551e-05,-0.6938764374692463
63,0.009841269841269842,35,0.5555555555555556,-1.3236323303557318e-05,-0.7538326324232233
63,0.009841269841269842,36,0.5714285714285714,-1.4288815649770845e-05,-0.8137739815241634
63,0.009841269841269842,37,0.5873015873015873,-1.5340235786245487e-05,-0.8736542663347082
63,0.009841269841269842,38,0.6031746031746031,-1.6389830311769635e-05,-0.9334305792886408
63,0.009841269841269842,39,0.6190476190476191,-1.7436911560965248e-05,-0.9930637565947581
63,0.009841269841269842,40,0.6349206349206349,-1.848086467209478e-05,-1.0525187807613021
63,0.009841269841269842,41,0.6507936507936508,-1.9521153961081217e-05,-1.1117651436079674
63,0.009841269841269842,42,0.6666666666666666,-2.0557328338311922e-05,-1.1707771547627108
63,0.009841269841269842,43,0.6825396825396826,-2.1589025625694857e-05,-1.2295341875259376
63,0.009841269841269842,44,0.6984126984126984,-2.261597589394898e-05,-1.2880208689352444
63,0.009841269841269842,45,0.7142857142857143,-2.3638003466797954e-05,-1.34622719390789
63,0.009841269841269842,46,0.7301587301587301,-2.4655026892590223e-05,-1.404148523624506
63,0.009841269841269842,47,0.746031746031746,-2.5667057163294223e-05,-1.461785484097642
63,0.009841269841269842,48,0.7619047619047619,-2.667419316047697e-05,-1.5191437068119826
63,0.009841269841269842,49,0.7777777777777778,-2.767661574668344e-05,-1.57623349221768
63,0.009841269841269842,50,0.7936507936507936,-2.8674578847663307e-05,-1.6330693018469835
63,0.009841269841269842,51,0.8095238095238095,-2.966839916542969e-05,-1.6896691724542672
63,0.009841269841269842,52,0.8253968253968254,-3.065844406478256e-05,-1.7460540261315554
63,0.009841269841269842,53,0.8412698412698413,-3.1645116919235916e-05,-1.8022468357324823
63,0.009841269841269842,54,0.8571428571428571,-3.262884186125243e-05,-1.858271756370481
63,0.009841269841269842,55,0.873015873015873,-3.361004639821177e-05,-1.9141531353666317
63,0.009841269841269842,56,0.8888888888888888,-3.458914414076422e-05,-1.969914528598058
63,0.009841269841269842,57,0.9047619047619048,-3.556651684089944e-05,-2.0255776775333456
63,0.009841269841269842,58,0.9206349206349206,-3.654249595330116e-05,-2.0811614591182317
63,0.009841269841269842,59,0.9365079365079365,-3.751734538879924e-05,-2.1366809035534025
63,0.009841269841269842,60,0.9523809523809523,-3.849124444602647e-05,-2.192146222221374
63,0.009841269841269842,61,0.9682539682539683,-3.946427420407172e-05,-2.2475620327233923
63,0.009841269841269842,62,0.9841269841269841,-4.0436403870528435e-05,-2.302926581376025
127,0.004881889763779528,0,0.0,1.4146403432813952e-05,1.0
127,0.004881889763779528,1,0.007874015748031496,1.3903365690532838e-05,0.9828198210636802
127,0.004881889763779528,2,0.015748031496062992,1.365657005610718e-05,0.9653739991911615
127,0.004881889763779528,3,0.023622047244094488,1.3406015702555123e-05,0.9476624759236382
127,0.004881889763779528,4,0.031496062992125984,1.315170232791863e-05,0.9296852299158939
127,0.004881889763779528,5,0.03937007874015748,1.289363026581378e-05,0.9114422847510313
127,0.004881889763779528,6,0.047244094488188976,1.2631800608000387e-05,0.8929337176048368
127,0.004881889763779528,7,0.05511811023622047,1.236621531995202e-05,0.8741596674153508
127,0.004881889763779528,8,0.06299212598425197,1.2096877363518553e-05,0.8551203435538022
127,0.004881889763779528,9,0.07086614173228346,1.1823790817887061e-05,0.8358160343752558
127,0.004881889763779528,10,0.07874015748031496,1.15469610027822e-05,0.8162471159275655
127,0.004881889763779528,11,0.08661417322834646,1.1266394604305105e-05,0.7964140608468449
127,0.004881889763779528,12,0.09448818897637795,1.0982099799674614e-05,0.7763174471753415
127,0.004881889763779528,13,0.10236220472440945,1.0694086377945784e-05,0.7559579668949505
127,0.004881889763779528,14,0.11023622047244094,1.0402365864516749e-05,0.735336434728523
127,0.004881889763779528,15,0.11811023622047244,1.0106951640502814e-05,0.7144537965783417
127,0.004881889763779528,16,0.12598425196850394,9.807859072802854e-06,0.6933111387204309
127,0.004881889763779528,17,0.13385826771653545,9.505105628436112e-06,0.6719096958869489
127,0.004881889763779528,18,0.14173228346456693,9.198710988381644e-06,0.6502508593134241
127,0.004881889763779528,19,0.14960629921259844,8.888697153354883e-06,0.6283361842160312
127,0.004881889763779528,20,0.15748031496062992,8.575088545578095e-06,0.6061673969856781
127,0.004881889763779528,21,0.16535433070866143,8.257912115724659e-06,0.5837464027478273
127,0.004881889763779528,22,0.1732283464566929,7.937197436978569e-06,0.5610752920114996
127,0.004881889763779528,23,0.18110236220472442,7.612976794242716e-06,0.5381563469753506
127,0.004881889763779528,24,0.1889763779527559,7.285285257791503e-06,0.5149920467341246
127,0.004881889763779528,25,0.1968503937007874,6.954160756046197e-06,0.4915850724230972
127,0.004881889763779528,26,0.2047244094488189,6.619644133121127e-06,0.46793831128597835
127,0.004881889763779528,27,0.2125984251968504,6.281779211585526e-06,0.4440548611115056
127,0.004881889763779528,28,0.2204724409448819,5.940612839046336e-06,0.41993803352635267
127,0.004881889763779528,29,0.2283464566929134,5.596194921289712e-06,0.39559135633787995
127,0.004881889763779528,30,0.23622047244094488,5.248578448087134e-06,0.3710185753583521
127,0.004881889763779528,31,0.2440944881889764,4.8978195043758424e-06,0.3462236551952757
127,0.004881889763779528,32,0.25196850393700787,4.5439772723562804e-06,0.321210779399666
127,0.004881889763779528,33,0.25984251968503935,4.187114028015747e-06,0.2959843502203062
127,0.004881889763779528,34,0.2677165354330709,3.827295122716443e-06,0.27054898730221855
127,0.004881889763779528,35,0.2755905511811024,3.4645889512120997e-06,0.24490952542578068
127,0.004881889763779528,36,0.28346456692913385,3.09906690732635e-06,0.21907101137365873
127,0.004881889763779528,37,0.29133858267716534,2.7308033214165325e-06,0.19303869951016453
127,0.004881889763779528,38,0.2992125984251969,2.359875401080308e-06,0.16681804758984525
127,0.004881889763779528,39,0.30708661417322836,1.986363148824919e-06,0.14041471093757707
127,0.004881889763779528,40,0.31496062992125984,1.6103492676834043e-06,0.1138345357766373
127,0.004881889763779528,41,0.3228346456692913,1.2319190583803315e-06,0.0870835519594172
127,0.004881889763779528,42,0.33070866141732286,8.511602991954589e-07,0.06016796447506298
127,0.004881889763779528,43,0.33858267716535434,4.6816312617794096e-07,0.03309414498189634
127,0.004881889763779528,44,0.3464566929133858,8.301990338506244e-08,0.00586862263467545
127,0.004881889763779528,45,0.3543307086614173,-3.0417492556003084e-07,-0.021501926408691814
127,0.004881889763779528,46,0.36220472440944884,-6.933249905494899e-07,-0.04901068980835478
127,0.004881889763779528,47,0.3700787401574803,-1.0843321652897376e-06,-0.07665073108084308
127,0.004881889763779528,48,0.3779527559055118,-1.477096744064678e-06,-0.10441500209434217
127,0.004881889763779528,49,0.3858267716535433,-1.8715176120922725e-06,-0.13229635511108825
127,0.004881889763779528,50,0.3937007874015748,-2.267492440764156e-06,-0.16028755658872895
127,0.004881889763779528,51,0.4015748031496063,-2.664917882551346e-06,-0.18838130095808034
127,0.004881889763779528,52,0.4094488188976378,-3.0636897811211737e-06,-0.2165702254761552
127,0.004881889763779528,53,0.41732283464566927,-3.463703388920222e-06,-0.24484692560695864
127,0.004881889763779528,54,0.4251968503937008,-3.864853584422715e-06,-0.2732039703786344
127,0.004881889763779528,55,0.4330708661417323,-4.267035097268985e-06,-0.3016339182983559
127,0.004881889763779528,56,0.4409448818897638,-4.670142727061628e-06,-0.3301293328188831
127,0.004881889763779528,57,0.44881889763779526,-5.0740715822327315e-06,-0.35868279922393076
127,0.004881889763779528,58,0.4566929133858268,-5.478717316801156e-06,-0.38728694136438535
127,0.004881889763779528,59,0.4645669291338583,-5.883976379835026e-06,-0.41593443929264545
127,0.004881889763779528,60,0.47244094488188976,-6.2897462616744806e-06,-0.4446180466679471
127,0.004881889763779528,61,0.48031496062992124,-6.695925742016189e-06,-0.4733306082932953
127,0.004881889763779528,62,0.4881889763779528,-7.102415132544265e-06,-0.5020650772668851
127,0.004881889763779528,63,0.49606299212598426,-7.509116533394233e-06,-0.530814533111371
127,0.004881889763779528,64,0.5039370078740157,-7.915934088711458e-06,-0.5595721998391253
127,0.004881889763779528,65,0.5118110236220472,-8.322774248341998e-06,-0.5883314644509938
127,0.004881889763779528,66,0.5196850393700787,-8.729546026353315e-06,-0.6170858952109544
127,0.004881889763779528,67,0.5275590551181102,-9.136161238009112e-06,-0.6458292583977141
127,0.004881889763779528,68,0.5354330708661418,-9.542534749073201e-06,-0.6745555359278365
127,0.004881889763779528,69,0.5433070866141733,-9.94858471709251e-06,-0.7032589424118788
127,0.004881889763779528,70,0.5511811023622047,-1.0354232834665628e-05,-0.7319339423508864
127,0.004881889763779528,71,0.5590551181102362,-1.0759404561997719e-05,-0.7605752665755481
127,0.004881889763779528,72,0.5669291338582677,-1.116402935816993e-05,-0.7891779285944781
127,0.004881889763779528,73,0.5748031496062992,-1.1568040886656265e-05,-0.8177372391220707
127,0.004881889763779528,74,0.5826771653543307,-1.1971377225159012e-05,-0.8462488209116279
127,0.004881889763779528,75,0.5905511811023622,-1.2373981045503825e-05,-0.8747086214720258
127,0.004881889763779528,76,0.5984251968503937,-1.277579980979401e-05,-0.9031129269337326
127,0.004881889763779528,77,0.6062992125984252,-1.3176785935493161e-05,-0.931458373718392
127,0.004881889763779528,78,0.6141732283464567,-1.3576896946573414e-05,-0.9597419592233944
127,0.004881889763779528,79,0.6220472440944882,-1.3976095610137532e-05,-0.9879610514796027
127,0.004881889763779528,80,0.6299212598425197,-1.4374350021509721e-05,-1.0161133951663661
127,0.004881889763779528,81,0.6377952755905512,-1.4771633702717713e-05,-1.0441971185731547
127,0.004881889763779528,82,0.6456692913385826,-1.516792565927004e-05,-1.0722107376131074
127,0.004881889763779528,83,0.6535433070866141,-1.5563210440880474e-05,-1.1001531601156023
127,0.004881889763779528,84,0.6614173228346457,-1.5957478149983024e-05,-1.1280236864281779
127,0.004881889763779528,85,0.6692913385826772,-1.6350724441195472e-05,-1.155822009378609
127,0.004881889763779528,86,0.6771653543307087,-1.6742950483378344e-05,-1.1835482115928808
127,0.004881889763779528,87,0.6850393700787402,-1.713416288590741e-05,-1.2112027602834416
127,0.004881889763779528,88,0.6929133858267716,-1.7524373621994695e-05,-1.2387865018288122
127,0.004881889763779528,89,0.7007874015748031,-1.7913599916197353e-05,-1.266300653821665
127,0.004881889763779528,90,0.7086614173228346,-1.830186409913619e-05,-1.2937467947989696
127,0.004881889763779528,91,0.7165354330708661,-1.8689193441974e-05,-1.321126852541375
127,0.004881889763779528,92,0.7244094488188977,-1.9075619952992615e-05,-1.3484430896933752
127,0.004881889763779528,93,0.7322834645669292,-1.9461180138943698e-05,-1.3756980868933517
127,0.004881889763779528,94,0.7401574803149606,-1.9845914765419487e-05,-1.4028947258343394
127,0.004881889763779528,95,0.7480314960629921,-2.0229868572249198e-05,-1.4300361691455836
127,0.004881889763779528,96,0.7559055118110236,-2.0613089983680474e-05,-1.4571258399054574
127,0.004881889763779528,97,0.7637795275590551,-2.099563079911813e-05,-1.4841673997799847
127,0.004881889763779528,98,0.7716535433070866,-2.1377545866444733e-05,-1.5111647259300867
127,0.004881889763779528,99,0.7795275590551181,-2.175889273838357e-05,-1.5381218867201054
127,0.004881889763779528,100,0.7874015748031497,-2.2139731297600773e-05,-1.5650431152165167
127,0.004881889763779528,101,0.7952755905511811,-2.252012338202549e-05,-1.5919327827020602
127,0.004881889763779528,102,0.8031496062992126,-2.290013237949593e-05,-1.6187953700215318
127,0.004881889763779528,103,0.8110236220472441,-2.327982284703329e-05,-1.6456354406685085
127,0.004881889763779528,104,0.8188976377952756,-2.3659260105746676e-05,-1.672457612149441
127,0.004881889763779528,105,0.8267716535433071,-2.4038509866163147e-05,-1.69926652949848
127,0.004881889763779528,106,0.8346456692913385,-2.4417637806166914e-05,-1.726066835442275
127,0.004881889763779528,107,0.84251968503937,-2.4796709161841644e-05,-1.7528631414768843
127,0.004881889763779528,108,0.8503937007874016,-2.5175788310454076e-05,-1.7796599983891594
127,0.004881889763779528,109,0.8582677165354331,-2.5554938383145737e-05,-1.8064618688781762
127,0.004881889763779528,110,0.8661417322834646,-2.5934220871864112e-05,-1.8332730997694564
127,0.004881889763779528,111,0.8740157480314961,-2.6313695264568235e-05,-1.8600978962278902
127,0.004881889763779528,112,0.8818897637795275,-2.669341868524653e-05,-1.8869402963108322
127,0.004881889763779528,113,0.889763779527559,-2.7073445486058558e-05,-1.9138041421368686
127,0.004881889763779528,114,0.8976377952755905,-2.7453826903079666e-05,-1.9406930555506325
127,0.004881889763779528,115,0.905511811023622,-2.7834610678790852e-05,-1.9676104114368589
127,0.004881889763779528,116,0.9133858267716536,-2.8215840768809432e-05,-1.994559316989367
127,0.004881889763779528,117,0.9212598425196851,-2.859755703152096e-05,-2.021542589771345
127,0.004881889763779528,118,0.9291338582677166,-2.89797949389017e-05,-2.0485627372735786
127,0.004881889763779528,119,0.937007874015748,-2.9362585286757056e-05,-2.075621936431397
127,0.004881889763779528,120,0.9448818897637795,-2.974595392657045e-05,-2.102722014669243
127,0.004881889763779528,121,0.952755905511811,-3.0129921525727748e-05,-2.1298644329510976
127,0.004881889763779528,122,0.9606299212598425,-3.0514503261503105e-05,-2.157050264148537
127,0.004881889763779528,123,0.968503937007874,-3.0899708588949184e-05,-2.1842801766330457
127,0.004881889763779528,124,0.9763779527559056,-3.128554102024456e-05,-2.2115544186782286
127,0.004881889763779528,125,0.984251968503937,-3.167199784766551e-05,-2.238872798876868
127,0.004881889763779528,126,0.9921259842519685,-3.205907008201352e-05,-2.2662346817884047
255,0.0024313725490196078,0,0.0,1.260622125044592e-05,1.0
255,0.0024313725490196078,1,0.00392156862745098,1.2496574653158854e-05,0.9913021836513312
255,0.0024313725490196078,2,0.00784313725490196,1.2386114009798206e-05,0.9825397923553081
255,0.0024313725490196078,3,0.011764705882352941,1.2274839653971485e-05,0.9737128525756509
255,0.0024313725490196078,4,0.01568627450980392,1.2162751945097795e-05,0.9648213928236078
255,0.0024313725490196078,5,0.0196078431372549,1.2049851269211825e-05,0.9558654437217327
255,0.0024313725490196078,6,0.023529411764705882,1.1936138042798432e-05,0.9468450383080667
255,0.0024313725490196078,7,0.027450980392156862,1.1821612715309092e-05,0.9377602122357582
255,0.0024313725490196078,8,0.03137254901960784,1.170627577399154e-05,0.9286110041561783
255,0.0024313725490196078,9,0.03529411764705882,1.159012774419532e-05,0.9193974557431588
255,0.0024313725490196078,10,0.0392156862745098,1.1473169194922904e-05,0.9101196121333396
255,0.0024313725490196078,11,0.043137254901960784,1.1355400738979161e-05,0.9007775219380262
255,0.0024313725490196078,12,0.047058823529411764,1.123682303965702e-05,0.8913712377735351
255,0.0024313725490196078,13,0.050980392156862744,1.1117436812095726e-05,0.8819008163689392
255,0.0024313725490196078,14,0.054901960784313725,1.0997242824610747e-05,0.872366318671564
255,0.0024313725490196078,15,0.058823529411764705,1.0876241905317518e-05,0.8627678103724217
255,0.0024313725490196078,16,0.06274509803921569,1.0754434942751388e-05,0.8531053619553894
255,0.0024313725490196078,17,0.06666666666666667,1.0631822889308505e-05,0.8433790489701602
255,0.0024313725490196078,18,0.07058823529411765,1.050840676500888e-05,0.8335889523307523
255,0.0024313725490196078,19,0.07450980392156863,1.038418766144318e-05,0.8237351586285907
255,0.0024313725490196078,20,0.0784313725490196,1.0259166743409986e-05,0.8138177602623854
255,0.0024313725490196078,21,0.08235294117647059,1.0133345253564549e-05,0.8038368558068979
255,0.0024313725490196078,22,0.08627450980392157,1.0006724514440447e-05,0.7937925501733106
255,0.0024313725490196078,23,0.09019607843137255,9.879305931762172e-06,0.7836849548720011
255,0.0024313725490196078,24,0.09411764705882353,9.751090999630376e-06,0.7735141884238665
255,0.0024313725490196078,25,0.09803921568627451,9.622081300439283e-06,0.7632803763537722
255,0.0024313725490196078,26,0.10196078431372549,9.492278511867999e-06,0.7529836517451436
255,0.0024313725490196078,27,0.10588235294117647,9.361684406029556e-06,0.7426241551724634
255,0.0024313725490196078,28,0.10980392156862745,9.230300856526764e-06,0.7322020352609836
255,0.0024313725490196078,29,0.11372549019607843,9.098129838595538e-06,0.721717448698095
255,0.0024313725490196078,30,0.11764705882352941,8.965173434540451e-06,0.7111705606645073
255,0.0024313725490196078,31,0.12156862745098039,8.83143383391278e-06,0.7005615448483729
255,0.0024313725490196078,32,0.12549019607843137,8.69691334088543e-06,0.6898905840303091
255,0.0024313725490196078,33,0.12941176470588237,8.561614373389893e-06,0.6791578700149375
255,0.0024313725490196078,34,0.13333333333333333,8.425539467121673e-06,0.6683636039486167
255,0.0024313725490196078,35,0.13725490196078433,8.28869127953441e-06,0.6575079966362809
255,0.0024313725490196078,36,0.1411764705882353,8.151072592980523e-06,0.6465912687905739
255,0.0024313725490196078,37,0.1450980392156863,8.012686315302372e-06,0.6356136510787433
255,0.0024313725490196078,38,0.14901960784313725,7.873535485538898e-06,0.6245753845753252
255,0.0024313725490196078,39,0.15294117647058825,7.733623273821794e-06,0.6134767207539081
255,0.0024313725490196078,40,0.1568627450980392,7.592952986396641e-06,0.6023179218854385
255,0.0024313725490196078,41,0.1607843137254902,7.451528067235594e-06,0.5910992611661493
255,0.0024313725490196078,42,0.16470588235294117,7.309352101173177e-06,0.5798210229663091
255,0.0024313725490196078,43,0.16862745098039217,7.1664288152773835e-06,0.5684835029389862
255,0.0024313725490196078,44,0.17254901960784313,7.0227620822397554e-06,0.55708700828897
255,0.0024313725490196078,45,0.17647058823529413,6.878355921368034e-06,0.5456318578515132
255,0.0024313725490196078,46,0.1803921568627451,6.733214504026362e-06,0.5341183825238818
255,0.0024313725490196078,47,0.1843137254901961,6.587342152256424e-06,0.5225469251559749
255,0.0024313725490196078,48,0.18823529411764706,6.440743343093079e-06,0.5109178408926665
255,0.0024313725490196078,49,0.19215686274509805,6.293422709324073e-06,0.4992314972340705
255,0.0024313725490196078,50,0.19607843137254902,6.1453850425083555e-06,0.48748827427497154
255,0.0024313725490196078,51,0.2,5.996635293368227e-06,0.4756885647359321
255,0.0024313725490196078,52,0.20392156862745098,5.847178573983068e-06,0.4638327741373122
255,0.0024313725490196078,53,0.20784313725490197,5.697020159816689e-06,0.45192132096009086
255,0.0024313725490196078,54,0.21176470588235294,5.546165490720672e-06,0.4399546367254571
255,0.0024313725490196078,55,0.21568627450980393,5.394620171283562e-06,0.4279331660225095
255,0.0024313725490196078,56,0.2196078431372549,5.24238997170968e-06,0.4158573665779697
255,0.0024313725490196078,57,0.2235294117647059,5.0894808317077195e-06,0.40372770956464765
255,0.0024313725490196078,58,0.22745098039215686,4.935898856668388e-06,0.39154467929823067
255,0.0024313725490196078,59,0.23137254901960785,4.7816503227232665e-06,0.37930877363858145
255,0.0024313725490196078,60,0.23529411764705882,4.6267416726307885e-06,0.36702050366338973
255,0.0024313725490196078,61,0.23921568627450981,4.471179521350072e-06,0.35468039411032176
255,0.0024313725490196078,62,0.24313725490196078,4.314970651085703e-06,0.34228898298394295
255,0.0024313725490196078,63,0.24705882352941178,4.158122015975775e-06,0.329846821927601
255,0.0024313725490196078,64,0.25098039215686274,4.0006407378489576e-06,0.31735447588685173
255,0.0024313725490196078,65,0.2549019607843137,3.842534108816967e-06,0.30481252331510883
255,0.0024313725490196078,66,0.25882352941176473,3.6838095906064663e-06,0.2922215561206463
255,0.0024313725490196078,67,0.2627450980392157,3.5244748113727594e-06,0.27958217941384206
255,0.0024313725490196078,68,0.26666666666666666,3.364537568173826e-06,0.2668950117034327
255,0.0024313725490196078,69,0.27058823529411763,3.2040058245656673e-06,0.2541606847057624
255,0.0024313725490196078,70,0.27450980392156865,3.042887707618195e-06,0.2413798431080653
255,0.0024313725490196078,71,0.2784313725490196,2.8811915110772454e-06,0.2285531448192954
255,0.0024313725490196078,72,0.2823529411764706,2.7189256886386806e-06,0.21568126043658833
255,0.0024313725490196078,73,0.28627450980392155,2.5560988547123944e-06,0.20276487330586693
255,0.0024313725490196078,74,0.2901960784313726,2.3927197827437347e-06,0.18980467938868653
255,0.0024313725490196078,75,0.29411764705882354,2.2287974030693196e-06,0.17680138709214552
255,0.0024313725490196078,76,0.2980392156862745,2.0643407999214526e-06,0.16375571703125794
255,0.0024313725490196078,77,0.30196078431372547,1.8993592098510959e-06,0.15066840190385442
255,0.0024313725490196078,78,0.3058823529411765,1.733862016505834e-06,0.13754018607633925
255,0.0024313725490196078,79,0.30980392156862746,1.5678587511625823e-06,0.12437182562594817
255,0.0024313725490196078,80,0.3137254901960784,1.4013590891600886e-06,0.11116408805775309
255,0.0024313725490196078,81,0.3176470588235294,1.2343728424152282e-06,0.09791775171101053
255,0.0024313725490196078,82,0.3215686274509804,1.066909962146828e-06,0.08463360597523133
255,0.0024313725490196078,83,0.3254901960784314,8.989805312718291e-07,0.07131245068699944
255,0.0024313725490196078,84,0.32941176470588235,7.305947597576684e-07,0.05795509576129525
255,0.0024313725490196078,85,0.3333333333333333,5.617629852920431e-07,0.0445623612446253
255,0.0024313725490196078,86,0.33725490196078434,3.92495664030133e-07,0.031135076581037258
255,0.0024313725490196078,87,0.3411764705882353,2.2280336991114487e-07,0.01767408055790419
255,0.0024313725490196078,88,0.34509803921568627,5.269678783494571e-08,0.004180220764654727
255,0.0024313725490196078,89,0.34901960784313724,-1.178132885503873e-07,-0.009345646582731513
255,0.0024313725490196078,90,0.35294117647058826,-2.8871596405378657e-07,-0.022902657213284577
255,0.0024313725490196078,91,0.3568627450980392,-4.600002459774339e-07,-0.03648993912122257
255,0.0024313725490196078,92,0.3607843137254902,-6.316550468334072e-07,-0.05010661278145214
255,0.0024313725490196078,93,0.36470588235294116,-8.036691940400064e-07,-0.06375179191873839
255,0.0024313725490196078,94,0.3686274509803922,-9.7603143166041e-07,-0.07742458364562536
255,0.0024313725490196078,95,0.37254901960784315,-1.1487304276302383e-06,-0.09112408903576909
255,0.0024313725490196078,96,0.3764705882352941,-1.3217547777309021e-06,-0.10484940343912715
255,0.0024313725490196078,97,0.3803921568627451,-1.4950930153653976e-06,-0.11859961725743244
255,0.0024313725490196078,98,0.3843137254901961,-1.6687336113890393e-06,-0.13237381593076603
255,0.0024313725490196078,99,0.38823529411764707,-1.8426649861037725e-06,-0.14617108088901676
255,0.0024313725490196078,100,0.39215686274509803,-2.016875511546835e-06,-0.15999048973343158
255,0.0024313725490196078,101,0.396078431372549,-2.191353519459945e-06,-0.1738311168687786
255,0.0024313725490196078,102,0.4,-2.3660873070276458e-06,-0.18769203395854647
