cutoff_L0,path,fraction,lambda_min,lambda_mid,lambda_max
12.0,GK,0.25058823529411767,1.97998204059646,9.058634020460559,9.622971541466647
12.0,GK,0.30823529411764705,3.277947298330834,11.568529543085724,15.869830366423733
12.0,GK,0.3658823529411765,5.018685218194201,16.128838791297248,24.278027044262473
12.0,GK,0.42352941176470593,7.226324197336806,24.764346795531807,35.00527954290045
12.0,GK,0.4811764705882353,9.892400963949392,38.84217902133139,48.01704777836534
12.0,GK,0.5388235294117647,12.97905809245481,58.41301701862464,63.053540887279524
12.0,GK,0.5964705882352941,16.428682003054146,79.63779243828647,82.05974905910261
12.0,GK,0.6541176470588236,20.177032265948473,97.13175910765993,107.21856265509612
12.0,GK,0.711764705882353,24.16556622093856,114.8360572148955,130.77295666769393
12.0,GK,0.7694117647058824,28.348558276620096,132.11389513663966,149.69973949243655
12.0,GK,0.8270588235294118,32.691601550110846,148.50520954727733,161.61611693303348
12.0,GK,0.8847058823529412,37.16057051209774,163.79028689618139,165.15972204789426
12.0,GK,0.9423529411764706,41.70324682623439,160.18393989369858,177.97023084476206
12.0,GK,1.0,46.22912247225224,147.76742221904112,191.1577040608999
