model,a_over_h,energy_J_m2,normal_traction_MPa,Haa_eV_L0sq
old_candidate,5.151857026468379,1.7406446270846985,35.82272431005538,-0.0009030453244288209
old_candidate,5.2566259481807505,1.7415138732298503,35.1088675405717,-0.0012031635022750086
old_candidate,5.363525466084046,1.7423803971180003,34.19743828709464,-0.0014368603857853439
old_candidate,5.472598908295556,1.743239161318397,33.12492935978548,-0.001610923440994747
old_candidate,5.583890484059541,1.7440857496484132,31.925320134227565,-0.0017324173252184557
old_candidate,5.6974453016659465,1.744916357670144,30.62969063343566,-0.001808376779646996
old_candidate,5.813309386733527,1.7457277711880368,29.266006824844666,-0.0018455826261477147
old_candidate,5.931529700864797,1.7465173357014083,27.85904241699268,-0.001850406145749189
old_candidate,6.052154160680311,1.747282919365222,26.430406752294306,-0.0018287086465441319
old_candidate,6.175231657240066,1.748022871630861,24.998652634877928,-0.0017857846555514496
old_candidate,6.300812075859843,1.7487359793833062,23.57944196490811,-0.001726338793724152
old_candidate,6.428946316330536,1.749421422066592,22.185750779400642,-0.00165448794607278
old_candidate,6.559686313548663,1.7500787269980909,20.82809866905728,-0.001573781774081796
old_candidate,6.693085058566437,1.7507077258149937,19.51479052605931,-0.0014872359086775685
old_candidate,6.829196620069901,1.7513085127719774,18.25216117669603,-0.0013973732971541608
old_candidate,6.968076166293829,1.7518814054168206,17.04481567898846,-0.001306270155725528
old_candidate,7.109779987382342,1.7524269080074037,15.895859943710219,-0.0012156038073512087
old_candidate,7.2543655182042,1.7529456778969936,14.807117898425998,-0.001126700373626849
old_candidate,7.401891361632091,1.753438495003229,13.77933269246223,-0.0010405808540134467
old_candidate,7.552417312295342,1.7539062343848022,12.812350470808504,-0.0009580045807915436
old_candidate,7.706004380815652,1.7543498418784775,11.90528606045115,-0.0008795093991349999
old_candidate,7.86271481853568,1.7547703126934007,11.056670545016372,-0.0008054482030811543
old_candidate,8.022612142750546,1.7551686728178046,10.264581181544356,-0.0007360216731652086
old_candidate,8.185761162452428,1.7555459630646983,9.52675446239173,-0.0006713072218496722
old_candidate,8.352228004598674,1.7559032255618676,8.84068336829741,-0.0006112842688503343
old_candidate,8.522080140914172,1.7562414924823953,8.203700015275937,-0.0005558560487937712
old_candidate,8.695386415238724,1.7565617768052852,7.613044985278026,-0.0005048682057310919
old_candidate,8.872217071430565,1.7568650648984143,7.06592466310001,-0.00045812445905572417
old_candidate,9.052643781837368,1.7571523107201479,6.559557892295891,-0.0004153996384494891
old_candidate,9.236739676346202,1.7574244314449077,6.0912132213729615,-0.0003764503858224362
old_candidate,9.424579372024255,1.7576823043283516,5.658237947159405,-0.0003410238132588775
old_candidate,9.616239003362374,1.7579267646402499,5.258080082229659,-0.0003088643905229837
old_candidate,9.811796253133604,1.758158604506298,4.888304283634311,-0.0002797193159500033
old_candidate,10.011330383879262,1.7583785725140588,4.546602685698937,-0.0002533426023257527
old_candidate,10.214922270035375,1.7585873739516682,4.230801484092558,-0.00022949808601681597
old_candidate,10.422654430712385,1.7587856715615544,3.9388640245817648,-0.00020796154420501064
old_candidate,10.634611063141477,1.758974086704584,3.668891059973482,-0.00018852208237206508
old_candidate,10.85087807680112,1.7591532008425115,3.4191187541509813,-0.00017098293271380655
old_candidate,11.07154312823757,1.7593235572577763,3.187914933732789,-0.00015516178428781347
old_candidate,11.296695656593469,1.7594856629414,2.973774016211698,-0.00014089074761321446
old_candidate,11.526426919859025,1.7596399905887015,2.7753109786081116,-0.00012801604022657565
old_candidate,11.760830031860353,1.7597869806527304,2.591254672598428,-0.00011639746534449035
old_candidate,11.999999999999998,1.7599270434128362,2.420440740480155,-0.00010590774321848835
best_feasible_same_family,1.00001,1.6929983392508735e-09,1.4480253040968336,22.512955102410316
best_feasible_same_family,1.0055655000000001,0.0005113771317250697,776.0518361142849,20.863494028675266
best_feasible_same_family,1.0111210000000002,0.0019915322888369035,1493.6261451554637,19.3197055670367
best_feasible_same_family,1.0166765,0.004368789461446517,2157.837848877425,17.875550775716746
best_feasible_same_family,1.022232,0.007576096593014328,2772.143599176746,16.525297826779912
best_feasible_same_family,1.0277875,0.011550761178812275,3339.8005263109108,15.263508083501709
best_feasible_same_family,1.0333430000000001,0.01623419778197525,3863.8764740967204,14.08502272071156
