model,role,order,radius_A,reference,prediction,error
source_density_gauge,excluded,2,4.475,0.10975833348804613,-0.01590177856262698,-0.12566011205067312
source_density_gauge,excluded,2,4.725,0.1046656322329554,-0.008001446190869127,-0.11266707842382452
source_density_gauge,excluded,2,4.975,-0.03677278102737831,0.00036070300422810266,0.03713348403160641
source_density_gauge,excluded,2,5.225,-0.14658784522328236,0.0015452544053215522,0.1481330996286039
source_density_gauge,excluded,2,5.475,-0.12829892373871687,0.0027966904723815546,0.13109561421109842
source_density_gauge,excluded,2,5.725,-0.06958978052292884,8.496363715611879e-05,0.06967474416008496
source_density_gauge,excluded,2,5.975,0.08624514383646689,-0.011956935395606692,-0.09820207923207358
quadratic_density_gauge,fit,0,2.1,1.0557462688917805,1.5698165721500636,0.5140703032582832
quadratic_density_gauge,fit,0,2.35,0.4243090888718944,0.3311171460007694,-0.09319194287112498
quadratic_density_gauge,fit,0,2.6,0.07840391033983327,0.029867164293079257,-0.04853674604675401
quadratic_density_gauge,fit,0,2.85,-0.03977715496730979,-0.03833327631222186,0.001443878655087931
quadratic_density_gauge,fit,0,3.1,-0.06718805223508954,-0.04340087620247534,0.023787176032614203
quadratic_density_gauge,fit,0,3.35,-0.06342222424710821,-0.03336441044966471,0.030057813797443496
quadratic_density_gauge,fit,0,3.6,-0.05323359500405456,-0.02236553799781362,0.030868057006240936
quadratic_density_gauge,fit,0,3.85,-0.05122341565930674,-0.013936915216628834,0.03728650044267791
quadratic_density_gauge,fit,0,4.1,-0.055315255640364255,-0.008286939153020012,0.04702831648734424
quadratic_density_gauge,fit,0,4.35,-0.05294899043649517,-0.004765339768004602,0.04818365066849056
quadratic_density_gauge,fit,0,4.6,-0.04427558739789523,-0.0026711970615100437,0.04160439033638519
quadratic_density_gauge,fit,0,4.85,-0.0285316461202155,-0.001467045018323622,0.02706460110189188
quadratic_density_gauge,fit,0,5.1,-0.010704825445008928,-0.0007921468990990864,0.009912678545909843
quadratic_density_gauge,fit,0,5.35,0.001256832735030885,-0.0004215314583956295,-0.0016783641934265145
quadratic_density_gauge,fit,0,5.6,0.004756619554422246,-0.00022142201516101752,-0.004978041569583263
quadratic_density_gauge,fit,0,5.85,0.0017291231994778177,-0.00011492449592236322,-0.001844047695400181
quadratic_density_gauge,fit,0,6.1,-6.213530858619344e-05,-5.896401548419097e-05,3.1712931020024676e-06
quadratic_density_gauge,fit,1,2.1,-2.860621826340706,-9.460410157025796,-6.59978833068509
quadratic_density_gauge,fit,1,2.35,-2.0386596659733605,-2.2338944485526375,-0.19523478257927707
quadratic_density_gauge,fit,1,2.6,-0.8152085543622667,-0.5463111469884531,0.2688974073738136
quadratic_density_gauge,fit,1,2.85,-0.23628296699121218,-0.09385571451992548,0.14242725247128668
quadratic_density_gauge,fit,1,3.1,-0.017140494979552588,0.025655585541360756,0.04279608052091334
quadratic_density_gauge,fit,1,3.35,0.033159186952258515,0.04645057812643827,0.013291391174179754
quadratic_density_gauge,fit,1,3.6,0.038803572837861566,0.039593143620659625,0.0007895707827980589
quadratic_density_gauge,fit,1,3.85,-0.019030936532425505,0.027837403891863677,0.04686834042428918
quadratic_density_gauge,fit,1,4.1,-0.003599518022384618,0.01784130452685583,0.021440822549240447
quadratic_density_gauge,fit,1,4.35,0.02146858940134793,0.01080983406263204,-0.010658755338715891
quadratic_density_gauge,fit,1,4.6,0.04890475992637511,0.006301307954729765,-0.04260345197164534
quadratic_density_gauge,fit,1,4.85,0.0728873238939706,0.0035692675350153824,-0.06931805635895522
quadratic_density_gauge,fit,1,5.1,0.06411249670164484,0.0019768276619573488,-0.062135669039687494
quadratic_density_gauge,fit,1,5.35,0.030348200792916127,0.0010749960700074802,-0.029273204722908647
quadratic_density_gauge,fit,1,5.6,-0.0015713912514412147,0.0005756334221367459,0.0021470246735779608
quadratic_density_gauge,fit,1,5.85,-0.016091440568437587,0.0003041323634839433,0.01639557293192153
quadratic_density_gauge,fit,1,6.1,0.00018576307443612225,0.00015876367546560196,-2.6999398970520294e-05
quadratic_density_gauge,fit,2,2.1,1.4620422766761552,57.4225719328453,55.96052965616914
quadratic_density_gauge,fit,2,2.35,5.1144326393308495,12.444674427075181,7.330241787744332
quadratic_density_gauge,fit,2,2.6,3.649553174018949,3.2198146632131346,-0.4297385108058145
quadratic_density_gauge,fit,2,2.85,1.288556908644618,0.8841872670214305,-0.40436964162318756
quadratic_density_gauge,fit,2,3.1,0.47181224632751917,0.20450057047774908,-0.2673116758497701
quadratic_density_gauge,fit,2,3.35,0.09944937903185946,0.0034179328934749544,-0.0960314461383845
quadratic_density_gauge,fit,2,3.6,-0.1485032320766139,-0.0448581822437747,0.1036450498328392
quadratic_density_gauge,fit,2,3.85,-0.10228833603621694,-0.04535405055528117,0.05693428548093577
quadratic_density_gauge,fit,2,4.1,0.11882979174680557,-0.03403161053236622,-0.15286140227917178
quadratic_density_gauge,fit,2,4.35,0.09787747011974561,-0.02259165299769282,-0.12046912311743843
quadratic_density_gauge,fit,2,4.6,0.1215332829234435,-0.013996930504161944,-0.13553021342760543
quadratic_density_gauge,fit,2,4.85,0.034198968138245744,-0.008287297792583767,-0.04248626593082951
