span_um,frequency_Hz,segments,absolute_transfer_error,phase_error_degrees,work_per_cycle_J,dissipation_per_cycle_J,work_dissipation_relative_residual
1.0,1.0,64,0.00024414057514021703,-3.2555712065405073e-10,7.515092679518022e-29,7.515092679518028e-29,-7.458582477067669e-16
1.0,1.0,128,6.103510639465792e-05,-8.138923029816003e-11,7.515093099456489e-29,7.5150930994565e-29,-1.3425447708516555e-15
1.0,25.0,16,0.0039062499501464343,-1.3022287318940237e-07,1.8787446140572425e-27,1.8787446140572425e-27,0.0
1.0,25.0,32,0.0009765624501442138,-3.2555717050893984e-08,1.8787714901246295e-27,1.878771490124629e-27,1.90939882126568e-16
1.0,25.0,64,0.0002441405751419934,-8.138928016307701e-09,1.8787731698788484e-27,1.878773169878848e-27,1.909397114129993e-16
1.0,25.0,128,6.103510637001097e-05,-2.034730758384264e-09,1.8787732748635694e-27,1.878773274863574e-27,-2.4822161096642326e-15
1.0,100.0,16,0.0039062499501629766,-5.208914927554085e-07,7.5149784561896e-27,7.514978456189597e-27,3.818852271723427e-16
1.0,100.0,32,0.0009765624501485437,-1.302228682028557e-07,7.515085960459324e-27,7.515085960459327e-27,-3.8187976425512736e-16
1.0,100.0,64,0.00024414057514421383,-3.2555712064965863e-08,7.51509267947624e-27,7.515092679476243e-27,-3.8187942282798796e-16
1.0,100.0,128,6.1035106383666715e-05,-8.138923031741888e-09,7.515093099414953e-27,7.515093099414952e-27,1.9093970074440217e-16
1.0,42406764.88434117,16,0.004214753753600729,-0.12872860928999277,1.5905573314289113e-21,1.5905573314289108e-21,3.547418739617537e-16
1.0,42406764.88434117,32,0.001054547994672426,-0.03224454558122098,1.5944221990983288e-21,1.5944221990983292e-21,-2.359213215143739e-16
1.0,42406764.88434117,64,0.00026369032970643974,-0.008065018224403213,1.595383069206601e-21,1.5953830692066014e-21,-2.357792304077784e-16
1.0,42406764.88434117,128,6.592587750795972e-05,-0.0020164949420298324,1.595622951002284e-21,1.5956229510022842e-21,-1.1787189198640248e-16
5.0,0.1,16,0.003906249950144214,-1.0712673448765341e-08,1.5892746216441566e-26,1.5892746216441563e-26,1.8057667415391448e-16
5.0,0.1,32,0.0009765624501465453,-2.678168259641672e-09,1.589297356746884e-26,1.589297356746884e-26,0.0
5.0,0.1,64,0.00024414057515231846,-6.695419623452397e-10,1.5892987776907856e-26,1.5892987776907876e-26,-1.2640175067490725e-15
5.0,0.1,128,6.1035106404871975e-05,-1.673853880127743e-10,1.5892988664997692e-26,1.589298866499774e-26,-3.0697566305688778e-15
5.0,1.0,16,0.0039062499501466563,-1.0712673448760827e-07,1.589274621643781e-25,1.5892746216437804e-25,4.3338401796949724e-16
5.0,1.0,32,0.0009765624501442138,-2.678168259652224e-08,1.5892973567465244e-25,1.589297356746523e-25,8.667556367109536e-16
5.0,1.0,64,0.000244140575140106,-6.6954196238202005e-09,1.589298777690457e-25,1.5892987776904569e-25,1.444591436284955e-16
5.0,1.0,128,6.1035106345586065e-05,-1.6738538818915692e-09,1.5892988664995964e-25,1.5892988664995994e-25,-1.8779687622305786e-15
5.0,25.0,16,0.0039062499506094016,-2.6781683618624057e-06,3.973186553523426e-24,3.9731865535234235e-24,5.54731543082777e-16
5.0,25.0,32,0.0009765624502587889,-6.695420648325334e-07,3.973243391283099e-24,3.973243391283097e-24,3.698157383842901e-16
5.0,25.0,64,0.0002441405751728576,-1.6738549057186965e-07,3.973246943643584e-24,3.973246943643589e-24,-1.2943539271010964e-15
5.0,25.0,128,6.1035106403428685e-05,-4.18463470045677e-08,3.9732471656662216e-24,3.973247165666228e-24,-1.6641692418514947e-15
5.0,100.0,16,0.003906249957587661,-1.0712673427685229e-05,1.5892746178874966e-23,1.5892746178874966e-23,0.0
5.0,100.0,32,0.0009765624520060589,-2.6781682544082947e-06,1.5892973530082662e-23,1.5892973530082653e-23,5.547236087998006e-16
5.0,100.0,64,0.00024414057560995242,-6.695419610617995e-07,1.589298773956681e-23,1.5892987739566808e-23,1.8490770427888213e-16
5.0,100.0,128,6.103510649446697e-05,-1.6738538776746954e-07,1.5892988627668507e-23,1.5892988627668533e-23,-1.6641692455159974e-15
5.0,2061980.4355356293,16,0.004214753753600852,-0.12872860928999605,1.6355730060903745e-19,1.6355730060903743e-19,1.4719076565335673e-16
5.0,2061980.4355356293,32,0.0010545479946719204,-0.032244545581365885,1.6395472565668056e-19,1.639547256566805e-19,4.4050192896394e-16
5.0,2061980.4355356293,64,0.00026369032970809824,-0.008065018224303479,1.640535321052361e-19,1.6405353210523595e-19,8.804732453817894e-16
5.0,2061980.4355356293,128,6.592587750203756e-05,-0.0020164949429885386,1.6407819919406201e-19,1.6407819919406192e-19,5.868939182192513e-16
