line_time_seconds,applied_shear_Pa,mean_bow_m,phase
3.5463828804241603e-09,5857.978574564389,1.8031839862438798e-10,cyclic
3.5924398009491496e-09,5758.081914178453,1.8059523216889688e-10,cyclic
3.6384967214741385e-09,5657.318107836132,1.8082440914967606e-10,cyclic
3.6845536419991278e-09,5555.702330196022,1.8100614426118246e-10,cyclic
3.730610562524117e-09,5453.249884220463,1.8114065620342873e-10,cyclic
3.776667483049106e-09,5349.976198870972,1.8122816769883153e-10,cyclic
3.822724403574095e-09,5245.89682678469,1.8126890550668423e-10,cyclic
3.8687813240990845e-09,5141.027441932217,1.8126310043539187e-10,cyclic
3.914838244624073e-09,5035.383837257175,1.8121098735258402e-10,cyclic
3.960895165149062e-09,4928.981922297841,1.8111280519322574e-10,cyclic
4.006952085674051e-09,4821.837720791228,1.8096879696581608e-10,cyclic
4.053009006199041e-09,4713.967368259976,1.8077920975677487e-10,cyclic
4.09906592672403e-09,4605.3871095824,1.8054429473309204e-10,cyclic
4.1451228472490185e-09,4496.113296546066,1.8026430714332521e-10,cyclic
4.191179767774008e-09,4386.162385385277,1.7993950631700124e-10,cyclic
4.237236688298997e-09,4275.550934302822,1.7957015566249133e-10,cyclic
4.283293608823986e-09,4164.295600976373,1.7915652266341832e-10,cyclic
4.329350529348975e-09,4052.4131400499004,1.7869887887364045e-10,cyclic
4.3754074498739645e-09,3939.920400610481,1.7819749991086415e-10,cyclic
4.421464370398953e-09,3826.8343236508986,1.7765266544892584e-10,cyclic
4.467521290923942e-09,3713.171939518376,1.7706465920878883e-10,cyclic
4.513578211448932e-09,3598.9503653498805,1.7643376894828152e-10,cyclic
4.559635131973921e-09,3484.1868024943474,1.757602864506167e-10,cyclic
4.60569205249891e-09,3368.8985339222027,1.7504450751172561e-10,cyclic
4.6517489730238985e-09,3253.102921622632,1.742867319264271e-10,cyclic
4.697805893548888e-09,3136.817403988916,1.7348726347346494e-10,cyclic
4.743862814073877e-09,3020.0594931922797,1.7264640989943358e-10,cyclic
4.789919734598866e-09,2902.846772544625,1.717644829016213e-10,cyclic
4.8359766551238556e-09,2785.1968938505306,1.7084179810978426e-10,cyclic
4.8820335756488444e-09,2667.127574748984,1.6987867506687502e-10,cyclic
4.928090496173833e-09,2548.656596045146,1.6887543720874917e-10,cyclic
4.974147416698822e-09,2429.80179903264,1.6783241184285848e-10,cyclic
5.020204337223812e-09,2310.5810828067106,1.667499301259547e-10,cyclic
5.066261257748801e-09,2191.0124015686997,1.6562832704081536e-10,cyclic
5.11231817827379e-09,2071.1137619221854,1.6446794137201248e-10,cyclic
5.158375098798779e-09,1950.903220161281,1.6326911568073155e-10,cyclic
5.204432019323768e-09,1830.3988795514106,1.6203219627865795e-10,cyclic
5.250488939848757e-09,1709.6188876030114,1.6075753320094824e-10,cyclic
5.296545860373746e-09,1588.581433338616,1.5944548017829093e-10,cyclic
5.3426027808987356e-09,1467.3047445536174,1.5809639460807624e-10,cyclic
5.3886597014237244e-09,1345.8070850712622,1.567106375246813e-10,cyclic
5.434716621948713e-09,1224.1067519921628,1.5528857356889076e-10,cyclic
5.480773542473702e-09,1102.2220729388318,1.5383057095645323e-10,cyclic
5.526830462998692e-09,980.1714032956055,1.5233700144579455e-10,cyclic
5.572887383523681e-09,857.973123444401,1.5080824030489157e-10,cyclic
5.61894430404867e-09,735.6456359966745,1.4924466627732531e-10,cyclic
5.665001224573659e-09,613.2073630220842,1.476466615475151e-10,cyclic
5.711058145098648e-09,490.67674327418126,1.4601461170514948e-10,cyclic
5.757115065623637e-09,368.0722294135877,1.4434890570882622e-10,cyclic
5.803171986148626e-09,245.41228522912485,1.426499358489056e-10,cyclic
5.8492289066736156e-09,122.71538285719944,1.4091809770959215e-10,cyclic
5.8952858271986044e-09,6.123233995736766e-13,1.3915379013025193e-10,cyclic
5.941342747723593e-09,-122.71538285719824,1.3735741516597996e-10,cyclic
5.987399668248583e-09,-245.41228522912144,1.355293780474218e-10,cyclic
6.033456588773572e-09,-368.0722294135887,1.336700871398622e-10,cyclic
6.079513509298561e-09,-490.67674327417785,1.3177995390159427e-10,cyclic
6.1255704298235496e-09,-613.2073630220852,1.2985939284157215e-10,cyclic
6.171627350348539e-09,-735.6456359966733,1.2790882147636299e-10,cyclic
6.217684270873528e-09,-857.9731234443975,1.2592866028640413e-10,cyclic
6.263741191398517e-09,-980.1714032956043,1.2391933267158078e-10,cyclic
6.309798111923507e-09,-1102.2220729388307,1.2188126490612753e-10,cyclic
6.3558550324484956e-09,-1224.1067519921594,1.198148860928679e-10,cyclic
6.4019119529734844e-09,-1345.807085071261,1.1772062811680277e-10,cyclic
6.447968873498473e-09,-1467.3047445536163,1.1559892559805415e-10,cyclic
6.494025794023463e-09,-1588.581433338615,1.1345021584417759e-10,cyclic
6.540082714548452e-09,-1709.6188876030124,1.1127493880185019e-10,cyclic
6.586139635073441e-09,-1830.398879551407,1.0907353700794973e-10,cyclic
6.6321965555984296e-09,-1950.903220161282,1.0684645554002826e-10,cyclic
6.678253476123419e-09,-2071.1137619221845,1.0459414196619578e-10,cyclic
6.724310396648408e-09,-2191.0124015686965,1.0231704629442063e-10,cyclic
6.770367317173397e-09,-2310.581082806709,1.0001562092126107e-10,cyclic
6.816424237698387e-09,-2429.801799032639,9.769032058003334e-11,cyclic
6.8624811582233755e-09,-2548.656596045143,9.534160228842962e-11,cyclic
6.908538078748364e-09,-2667.127574748983,9.296992529559742e-11,cyclic
6.954594999273353e-09,-2785.196893850528,9.057575102868692e-11,cyclic
7.000651919798343e-09,-2902.846772544624,8.815954303888073e-11,cyclic
7.046708840323332e-09,-3020.059493192281,8.572176694691313e-11,cyclic
7.092765760848321e-09,-3136.8174039889122,8.326289038809367e-11,cyclic
7.13882268137331e-09,-3253.10292162263,8.078338295684092e-11,cyclic
7.184879601898299e-09,-3368.8985339221995,7.828371615073966e-11,cyclic
7.230936522423288e-09,-3484.186802494344,7.576436331413327e-11,cyclic
7.276993442948277e-09,-3598.9503653498796,7.322579958125892e-11,cyclic
7.323050363473267e-09,-3713.171939518375,7.066850181893911e-11,cyclic
7.3691072839982555e-09,-3826.834323650899,6.809294856883796e-11,cyclic
7.415164204523244e-09,-3939.92040061048,6.549961998929629e-11,cyclic
7.461221125048234e-09,-4052.413140049899,6.28889977967528e-11,cyclic
7.507278045573223e-09,-4164.295600976374,6.02615652067641e-11,cyclic
7.553334966098212e-09,-4275.550934302819,5.761780687463529e-11,cyclic
7.5993918866232e-09,-4386.162385385273,5.495820883566994e-11,cyclic
7.64544880714819e-09,-4496.113296546063,5.228325844505211e-11,cyclic
7.691505727673178e-09,-4605.387109582397,4.9593444317370813e-11,cyclic
7.737562648198169e-09,-4713.967368259977,4.6889256265797865e-11,cyclic
7.783619568723158e-09,-4821.837720791227,4.417118524093121e-11,cyclic
7.829676489248147e-09,-4928.981922297839,4.1439723269312426e-11,cyclic
7.875733409773136e-09,-5035.3838372571745,3.8695363391632614e-11,cyclic
7.921790330298124e-09,-5141.027441932216,3.5938599600635676e-11,cyclic
7.967847250823113e-09,-5245.896826784688,3.3169926778730753e-11,cyclic
8.013904171348102e-09,-5349.976198870971,3.038984063532524e-11,cyclic
8.059961091873093e-09,-5453.249884220466,2.7598837643889155e-11,cyclic
8.106018012398082e-09,-5555.702330196023,2.4797414978763057e-11,cyclic
8.15207493292307e-09,-5657.318107836132,2.198607045171868e-11,cyclic
8.19813185344806e-09,-5758.081914178453,1.9165302448286296e-11,cyclic
8.244188773973048e-09,-5857.9785745643885,1.6335609863857934e-11,cyclic
8.290245694498037e-09,-5956.993044924334,1.3497492039578725e-11,cyclic
8.336302615023026e-09,-6055.110414043251,1.065144869803742e-11,cyclic
8.382359535548016e-09,-6152.315905806267,7.797979878767284e-12,cyclic
8.428416456073005e-09,-6248.594881423865,4.93758587356938e-12,cyclic
8.474473376597994e-09,-6343.932841636454,2.070767161667969e-12,cyclic
8.520530297122983e-09,-6438.315428897916,-8.019756552886131e-13,cyclic
8.566587217647972e-09,-6531.728429537765,-3.680141918371713e-12,cyclic
8.61264413817296e-09,-6624.157775901719,-6.563230976648913e-12,cyclic
8.65870105869795e-09,-6715.589548470181,-9.450742252582043e-12,cyclic
8.70475797922294e-09,-6806.00997795453,-1.2342175307535512e-11,cyclic
8.750814899747929e-09,-6895.405447370669,-1.5237029907382934e-11,cyclic
8.796871820272918e-09,-6983.762494089728,-1.8134806088202232e-11,cyclic
8.842928740797907e-09,-7071.067811865475,-2.103500422204595e-11,cyclic
8.888985661322896e-09,-7157.308252838186,-2.393712508277694e-11,cyclic
8.935042581847884e-09,-7242.4708295146675,-2.6840669911957345e-11,cyclic
8.981099502372873e-09,-7326.542716724127,-2.974514048478001e-11,cyclic
9.027156422897864e-09,-7409.511253549592,-3.2650039176030666e-11,cyclic
9.073213343422853e-09,-7491.363945234593,-3.5554869026069614e-11,cyclic
9.119270263947841e-09,-7572.088465064843,-3.845913380682233e-11,cyclic
9.16532718447283e-09,-7651.672656224589,-4.1362338087766615e-11,cyclic
9.21138410499782e-09,-7730.104533627366,-4.4263987301905826e-11,cyclic
9.257441025522808e-09,-7807.372285720945,-4.7163587811716863e-11,cyclic
9.303497946047797e-09,-7883.464276266059,-5.006064697506151e-11,cyclic
9.349554866572787e-09,-7958.369046088835,-5.2954673211050104e-11,cyclic
9.395611787097776e-09,-8032.075314806449,-5.58451760658461e-11,cyclic
9.441668707622765e-09,-8104.571982525947,-5.873166627840122e-11,cyclic
9.487725628147754e-09,-8175.848131515838,-6.161365584610876e-11,cyclic
9.533782548672743e-09,-8245.89302785025,-6.449065809036511e-11,cyclic
9.579839469197732e-09,-8314.696123025451,-6.736218772202793e-11,cyclic
9.62589638972272e-09,-8382.247055548378,-7.022776090676009e-11,cyclic
9.671953310247711e-09,-8448.53565249707,-7.308689533024825e-11,cyclic
9.7180102307727e-09,-8513.551931052654,-7.59391102632851e-11,cyclic
9.764067151297689e-09,-8577.28610000272,-7.878392662670485e-11,cyclic
9.810124071822678e-09,-8639.728561215867,-8.162086705616029e-11,cyclic
9.856180992347667e-09,-8700.869911087113,-8.444945596673109e-11,cyclic
9.902237912872655e-09,-8760.700941954063,-8.726921961735231e-11,cyclic
9.948294833397644e-09,-8819.21264348355,-9.00796861750526e-11,cyclic
9.994351753922635e-09,-8876.39620402854,-9.288038577899104e-11,cyclic
1.0040408674447624e-08,-8932.243011955154,-9.567085060428216e-11,cyclic
1.0086465594972613e-08,-8986.74465693954,-9.84506149255982e-11,cyclic
1.0132522515497601e-08,-9039.892931234432,-1.0121921518053871e-10,cyclic
1.017857943602259e-08,-9091.679830905221,-1.0397619003275587e-10,cyclic
1.022463635654758e-08,-9142.097557035308,-1.067210804348261e-10,cyclic
1.0270693277072568e-08,-9191.138516900577,-1.094534296908566e-10,cyclic
1.0316750197597559e-08,-9238.79532511287,-1.1217278351881727e-10,cyclic
1.0362807118122547e-08,-9285.060804732155,-1.1487869011258697e-10,cyclic
1.0408864038647536e-08,-9329.927988347388,-1.1757070020370406e-10,cyclic
1.0454920959172525e-08,-9373.39011912575,-1.2024836712281147e-10,cyclic
1.0500977879697514e-08,-9415.440651830208,-1.2291124686078483e-10,cyclic
1.0547034800222503e-08,-9456.073253805213,-1.2555889812953532e-10,cyclic
1.0593091720747492e-08,-9495.281805930366,-1.2819088242247568e-10,cyclic
1.063914864127248e-08,-9533.060403541938,-1.3080676407464008e-10,cyclic
1.0685205561797471e-08,-9569.403357322088,-1.3340611032244777e-10,cyclic
1.073126248232246e-08,-9604.305194155659,-1.3598849136310096e-10,cyclic
1.0777319402847449e-08,-9637.760657954399,-1.3855348041360628e-10,cyclic
1.0823376323372438e-08,-9669.76471044852,-1.411006537694107e-10,cyclic
1.0869433243897427e-08,-9700.31253194544,-1.4362959086264307e-10,cyclic
1.0915490164422415e-08,-9729.399522055599,-1.461398743199495e-10,cyclic
1.0961547084947404e-08,-9757.021300385284,-1.4863109001991507e-10,cyclic
1.1007604005472395e-08,-9783.173707196276,-1.5110282715006171e-10,cyclic
1.1053660925997384e-08,-9807.852804032304,-1.5355467826341233e-10,cyclic
1.1099717846522373e-08,-9831.054874312164,-1.55986239334613e-10,cyclic
1.1145774767047361e-08,-9852.776423889412,-1.5839710981560282e-10,cyclic
1.119183168757235e-08,-9873.014181578583,-1.607868926908232e-10,cyclic
1.123788860809734e-08,-9891.76509964781,-1.6315519453195725e-10,cyclic
1.1283945528622328e-08,-9909.0263542778,-1.6550162555218938e-10,cyclic
1.1330002449147319e-08,-9924.7953459871,-1.6782579965997796e-10,cyclic
1.1376059369672307e-08,-9939.069700023561,-1.7012733451233081e-10,cyclic
1.1422116290197296e-08,-9951.847266721968,-1.7240585156757496e-10,cyclic
1.1468173210722285e-08,-9963.12612182778,-1.7466097613761244e-10,cyclic
1.1514230131247274e-08,-9972.904566786901,-1.7689233743965373e-10,cyclic
1.1560287051772263e-08,-9981.181129001492,-1.7909956864741906e-10,cyclic
1.1606343972297252e-08,-9987.954562051724,-1.8128230694180108e-10,cyclic
1.1652400892822242e-08,-9993.223845883496,-1.8344019356097879e-10,cyclic
1.1698457813347231e-08,-9996.988186962042,-1.8557287384997632e-10,cyclic
1.174451473387222e-08,-9999.247018391445,-1.876799973096558e-10,cyclic
1.1790571654397209e-08,-10000.0,-1.8976121764513956e-10,cyclic
1.1836628574922198e-08,-9999.247018391445,-1.9181619281365118e-10,cyclic
1.1882685495447187e-08,-9996.988186962042,-1.938445850717687e-10,cyclic
1.1928742415972175e-08,-9993.223845883496,-1.9584606102208174e-10,cyclic
1.1974799336497166e-08,-9987.954562051724,-1.978202916592452e-10,cyclic
1.2020856257022155e-08,-9981.181129001492,-1.9976695241542287e-10,cyclic
1.2066913177547144e-08,-9972.904566786901,-2.0168572320511003e-10,cyclic
1.2112970098072133e-08,-9963.12612182778,-2.0357628846933304e-10,cyclic
1.2159027018597121e-08,-9951.847266721968,-2.0543833721921406e-10,cyclic
1.220508393912211e-08,-9939.069700023561,-2.0727156307889618e-10,cyclic
1.2251140859647099e-08,-9924.7953459871,-2.090756643278206e-10,cyclic
1.229719778017209e-08,-9909.0263542778,-2.1085034394235023e-10,cyclic
1.2343254700697079e-08,-9891.76509964781,-2.125953096367325e-10,cyclic
1.2389311621222067e-08,-9873.014181578585,-2.1431027390339254e-10,cyclic
1.2435368541747056e-08,-9852.776423889414,-2.159949540525542e-10,cyclic
1.2481425462272045e-08,-9831.054874312164,-2.1764907225117864e-10,cyclic
1.2527482382797034e-08,-9807.852804032305,-2.19272355561216e-10,cyclic
1.2573539303322023e-08,-9783.173707196278,-2.208645359771635e-10,cyclic
1.2619596223847013e-08,-9757.021300385286,-2.2242535046292325e-10,cyclic
1.2665653144372002e-08,-9729.399522055603,-2.239545409879554e-10,cyclic
1.2711710064896991e-08,-9700.312531945441,-2.254518545627172e-10,cyclic
1.275776698542198e-08,-9669.764710448522,-2.269170432733864e-10,cyclic
1.2803823905946969e-08,-9637.760657954399,-2.283498643158604e-10,cyclic
1.2849880826471958e-08,-9604.305194155659,-2.2975008002902626e-10,cyclic
1.2895937746996947e-08,-9569.40335732209,-2.311174579272961e-10,cyclic
1.2941994667521937e-08,-9533.06040354194,-2.3245177073240286e-10,cyclic
1.2988051588046926e-08,-9495.281805930366,-2.337527964044511e-10,cyclic
1.3034108508571915e-08,-9456.073253805213,-2.3502031817221587e-10,cyclic
1.3080165429096904e-08,-9415.440651830208,-2.362541245626885e-10,cyclic
1.3126222349621893e-08,-9373.39011912575,-2.374540094298603e-10,cyclic
1.3172279270146881e-08,-9329.92798834739,-2.386197719827418e-10,cyclic
1.321833619067187e-08,-9285.060804732157,-2.3975121681261216e-10,cyclic
1.3264393111196859e-08,-9238.79532511287,-2.4084815391949486e-10,cyclic
1.331045003172185e-08,-9191.138516900577,-2.419103987378528e-10,cyclic
1.3356506952246839e-08,-9142.097557035308,-2.4293777216150357e-10,cyclic
1.3402563872771827e-08,-9091.679830905225,-2.4393010056774346e-10,cyclic
1.3448620793296816e-08,-9039.892931234435,-2.448872158406836e-10,cyclic
1.3494677713821805e-08,-8986.744656939538,-2.4580895539378905e-10,cyclic
1.3540734634346794e-08,-8932.243011955155,-2.466951621916198e-10,cyclic
1.3586791554871783e-08,-8876.396204028542,-2.4754568477076814e-10,cyclic
1.3632848475396773e-08,-8819.21264348355,-2.483603772599906e-10,cyclic
1.3678905395921762e-08,-8760.700941954066,-2.491390993995299e-10,cyclic
1.3724962316446751e-08,-8700.869911087117,-2.4988171655962357e-10,cyclic
1.377101923697174e-08,-8639.728561215868,-2.50588099758197e-10,cyclic
1.3817076157496729e-08,-8577.28610000272,-2.512581256777366e-10,cyclic
1.3863133078021718e-08,-8513.551931052652,-2.518916766813417e-10,cyclic
1.3909189998546707e-08,-8448.535652497074,-2.5248864082795073e-10,cyclic
1.3955246919071697e-08,-8382.247055548381,-2.5304891188673965e-10,cyclic
1.4001303839596686e-08,-8314.696123025453,-2.5357238935069194e-10,cyclic
1.4047360760121675e-08,-8245.893027850252,-2.540589784493333e-10,cyclic
1.4093417680646664e-08,-8175.848131515837,-2.54508590160634e-10,cyclic
1.4139474601171653e-08,-8104.571982525951,-2.549211412220725e-10,cyclic
1.4185531521696641e-08,-8032.075314806451,-2.552965541408621e-10,cyclic
1.423158844222163e-08,-7958.369046088836,-2.556347572033344e-10,cyclic
1.427764536274662e-08,-7883.4642762660615,-2.5593568448348155e-10,cyclic
1.432370228327161e-08,-7807.372285720944,-2.56199275850655e-10,cyclic
1.4369759203796599e-08,-7730.104533627371,-2.5642547697641605e-10,cyclic
1.4415816124321587e-08,-7651.67265622459,-2.566142393405415e-10,cyclic
1.4461873044846576e-08,-7572.088465064848,-2.567655202361804e-10,cyclic
1.4507929965371565e-08,-7491.363945234592,-2.568792827741614e-10,cyclic
1.4553986885896554e-08,-7409.511253549594,-2.569554958864493e-10,cyclic
1.4600043806421544e-08,-7326.542716724128,-2.5699413432875014e-10,cyclic
1.4646100726946533e-08,-7242.47082951467,-2.569951786822671e-10,cyclic
1.4692157647471522e-08,-7157.308252838187,-2.569586153545992e-10,cyclic
1.4738214567996511e-08,-7071.067811865473,-2.568844365797911e-10,cyclic
1.47842714885215e-08,-6983.76249408973,-2.567726404175283e-10,cyclic
1.4830328409046489e-08,-6895.40544737067,-2.5662323075147834e-10,cyclic
1.4876385329571478e-08,-6806.009977954533,-2.564362172867796e-10,cyclic
1.4922442250096468e-08,-6715.589548470183,-2.5621161554667617e-10,cyclic
1.4968499170621455e-08,-6624.15777590172,-2.5594944686830016e-10,cyclic
1.5014556091146446e-08,-6531.728429537764,-2.556497383975995e-10,cyclic
1.5060613011671433e-08,-6438.315428897921,-2.553125230834174e-10,cyclic
1.5106669932196424e-08,-6343.93284163646,-2.5493783967071413e-10,cyclic
1.5152726852721414e-08,-6248.5948814238645,-2.5452573269294465e-10,cyclic
1.51987837732464e-08,-6152.315905806273,-2.540762524635815e-10,cyclic
1.5244840693771392e-08,-6055.110414043256,-2.53589455066789e-10,cyclic
1.529089761429638e-08,-5956.993044924339,-2.5306540234725363e-10,cyclic
1.533695453482137e-08,-5857.978574564391,-2.5250416189916107e-10,cyclic
1.5383011455346357e-08,-5758.081914178459,-2.519058070543362e-10,cyclic
1.5429068375871347e-08,-5657.318107836135,-2.512704168695308e-10,cyclic
1.5475125296396338e-08,-5555.702330196022,-2.505980761128773e-10,cyclic
1.5521182216921325e-08,-5453.249884220468,-2.498888752494972e-10,cyclic
1.5567239137446316e-08,-5349.976198870972,-2.4914291042627126e-10,cyclic
1.5613296057971303e-08,-5245.896826784693,-2.483602834557781e-10,cyclic
1.5659352978496293e-08,-5141.027441932218,-2.475411017993923e-10,cyclic
1.570540989902128e-08,-5035.38383725718,-2.466854785495572e-10,cyclic
1.575146681954627e-08,-4928.981922297842,-2.4579353241122243e-10,cyclic
1.579752374007126e-08,-4821.837720791225,-2.448653876824604e-10,cyclic
1.584358066059625e-08,-4713.967368259979,-2.4390117423425473e-10,cyclic
1.588963758112124e-08,-4605.387109582399,-2.4290102748946744e-10,cyclic
1.5935694501646227e-08,-4496.113296546069,-2.4186508840099283e-10,cyclic
1.5981751422171217e-08,-4386.162385385276,-2.407935034290885e-10,cyclic
1.6027808342696204e-08,-4275.550934302824,-2.396864245179026e-10,cyclic
1.6073865263221195e-08,-4164.295600976372,-2.38544009071185e-10,cyclic
1.6119922183746185e-08,-4052.4131400498954,-2.3736641992719906e-10,cyclic
1.6165979104271172e-08,-3939.920400610482,-2.361538253328289e-10,cyclic
1.6212036024796163e-08,-3826.834323650895,-2.3490639891688754e-10,cyclic
1.625809294532115e-08,-3713.1719395183777,-2.3362431966263586e-10,cyclic
1.630414986584614e-08,-3598.9503653498796,-2.3230777187950468e-10,cyclic
1.6350206786371128e-08,-3484.1868024943483,-2.3095694517403788e-10,cyclic
1.639626370689612e-08,-3368.8985339221995,-2.295720344200463e-10,cyclic
1.644232062742111e-08,-3253.1029216226243,-2.2815323972799103e-10,cyclic
1.6488377547946096e-08,-3136.8174039889145,-2.2670076641358893e-10,cyclic
1.6534434468471087e-08,-3020.0594931922765,-2.25214824965649e-10,cyclic
1.6580491388996074e-08,-2902.8467725446244,-2.236956310131502e-10,cyclic
1.6626548309521064e-08,-2785.196893850528,-2.2214340529155246e-10,cyclic
1.6672605230046052e-08,-2667.1275747489935,-2.2055837360836117e-10,cyclic
1.6718662150571042e-08,-2548.6565960451517,-2.189407668079344e-10,cyclic
1.6764719071096033e-08,-2429.801799032641,-2.1729082073555393e-10,cyclic
1.681077599162102e-08,-2310.581082806709,-2.156087762007513e-10,cyclic
1.685683291214601e-08,-2191.0124015686924,-2.1389487893990132e-10,cyclic
1.6902889832670998e-08,-2071.1137619221936,-2.1214937957809176e-10,cyclic
1.6948946753195988e-08,-1950.9032201612868,-2.1037253359026347e-10,cyclic
1.6995003673720975e-08,-1830.3988795514094,-2.0856460126164089e-10,cyclic
1.7041060594245966e-08,-1709.6188876030083,-2.067258476474443e-10,cyclic
1.7087117514770956e-08,-1588.5814333386063,-2.0485654253190405e-10,cyclic
1.7133174435295944e-08,-1467.304744553623,-2.0295696038657026e-10,cyclic
