profile,completed,eta,positive_LJ,elapsed_seconds,error
124,True,12.463020005537782,True,15.0856172000058,
125,True,10.708533775689586,True,13.82959700000356,
126,True,10.859968614769796,True,13.321971900004428,
127,True,10.278731213140855,True,13.283851699990919,
128,True,10.266359024475758,True,13.476920899993274,
129,True,10.266763409883614,True,12.755256100004772,
130,True,10.266310931796673,True,13.211159700003918,
131,True,10.266310617227216,True,12.091276299994206,
132,True,10.266317054497351,True,12.38459950001561,
133,True,140.50031044840057,True,5.2884590000030585,
134,True,51.65340646433707,True,4.453465500002494,
135,True,20.0146524345459,True,4.3272858999844175,
136,True,10.514774597941143,True,4.9349864999821875,
137,True,10.861880902386675,True,5.108906099980231,
138,True,10.565530721014076,True,5.093547900003614,
139,True,10.398683539401347,True,5.027790799998911,
140,True,10.336055176172264,True,5.072776100016199,
141,True,10.300409342261146,True,5.053429499996128,
142,True,10.279459522983885,True,5.005691400001524,
143,True,10.266905118158663,True,5.009285100008128,
144,True,10.25929191031012,True,4.999440100014908,
145,True,10.254641388554962,True,5.057708200009074,
146,True,10.251787867698772,True,5.070325200009393,
147,True,10.25003213151883,True,5.0747643999930006,
148,True,10.248950007432715,True,5.042815299995709,
149,True,10.248282353425166,True,5.093616199999815,
150,True,10.2478701535531,True,5.096828999987338,
151,True,10.24761556524518,True,5.070300799998222,
152,True,10.247453878331052,True,5.053954600007273,
153,True,59.54911264960171,True,2.4150237000139896,
154,True,31.836012516728168,False,2.4056439999840222,
155,True,10.096451511990573,True,2.380134100007126,
156,True,10.2442062532911,True,2.357496699987678,
157,True,10.222262543575098,True,2.368754000024637,
158,True,9.983578690533978,True,2.375406799983466,
159,True,13.427745941089396,True,2.3756002000009175,
