model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,robust_margin,normalized_density,normalized_density_truncation
nested_range,0.99,12.0,0.4,0.32,0.32,17.66646805888764,0.00025852813996264017,17.66620953074768,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4,0.4,0.0,10.758724254971318,0.00025854367133890593,10.758465711299978,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4,0.4,0.08,11.172225694535875,0.00025854143231529304,11.17196715310356,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4,0.4,0.16,12.334594189210884,0.00025853441247145975,12.334335654798412,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4,0.4,0.24,14.037116414882123,0.0002585222019956888,14.036857892680127,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4,0.4,0.32,16.004857117455092,0.0002585050125299637,16.004598612442564,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4,0.4,0.4,17.96983131699637,0.00025848387139310096,17.969572833124978,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.0,0.0,19.743370073122072,0.00025858561788309395,19.74311148750419,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.08,0.0,19.01036550381442,0.0002585826766025908,19.01010692113782,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.08,0.08,20.072543766752332,0.0002585797731479666,20.072285186979183,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.16,0.0,17.312327066201554,0.00025857371634502345,17.31206849248521,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.16,0.08,18.636430848647812,0.0002585709318346955,18.63617227771598,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.16,0.16,20.721292677660454,0.000258562451532862,20.721034115208923,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.24,0.0,15.505542010157548,0.0002585586658125087,15.505283451491735,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.24,0.08,16.48442024583321,0.0002585560906397462,16.48416168974257,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.24,0.16,19.043282699226936,0.0002585482167178852,19.04302415101022,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.24,0.24,21.002223301049963,0.0002585349337669288,21.001964766116195,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.32,0.0,14.08664893933482,0.0002585380845569146,14.086390401250263,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.32,0.08,14.70095737795199,0.0002585358075521235,14.700698842144439,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.32,0.16,16.438614368004213,0.00025852876322294286,16.43835583924099,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.32,0.24,18.929349965389026,0.0002585167010065481,18.92909144868802,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.32,0.32,20.553826235085175,0.00025849992411606956,20.55356773516106,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.4,0.0,13.378343213970096,0.00025851331307598385,13.37808470065702,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.4,0.08,13.76489313817938,0.0002585114067659273,13.764634626772613,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.4,0.16,14.854357923567136,0.0002585053622814603,14.854099418204854,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.4,0.24,16.461443409170467,0.00025849469652584596,16.461184914473943,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.4,0.32,18.345331345013868,0.00025847946989305284,18.345072865543976,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.4,0.4,19.724651271894825,0.00025846049709548155,19.724392811397728,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.0,14.229880574049893,0.0002584861559017305,14.229622087893992,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.08,14.523088429439248,0.0002584846762282525,14.52282994476302,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.16,15.330914190279886,0.0002584797581837503,15.330655710521702,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.24,16.46065536589004,0.0002584706225667607,16.460396895267476,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.32,17.656478507897226,0.00025845702877896627,17.65622005086845,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.4,18.668167217133895,0.0002584394391475905,18.66790877769475,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.48,0.48,0.48,19.307676726554252,0.00025841910842724496,19.307418307445825,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.0,0.0,26.648555869996578,0.00025854781848949816,26.648297322178088,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.08,0.0,26.00751702867596,0.000258544889922498,26.007258483786035,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.08,0.08,26.642421261755263,0.00025854203119524876,26.64216271972407,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.16,0.0,24.595407044490187,0.0002585362207950928,24.595148508269393,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.16,0.08,25.552169685386378,0.00025853356139611864,25.55191115182498,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.16,0.16,26.355859266357577,0.00025852565177736695,26.3556007407058,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.24,0.0,23.08788978606037,0.000258522232130669,23.08763126382824,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.24,0.08,23.7513023336054,0.00025851987685038155,23.751043813728547,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.24,0.16,25.05008022348667,0.00025851279895272177,25.049821710687716,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.24,0.24,25.298476754346066,0.000258501123939165,25.298218253222128,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.32,0.0,21.539204438372202,0.00025850375626156475,21.538945934615942,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.32,0.08,21.876022095080067,0.00025850178363714585,21.87576359329643,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.32,0.16,22.738425637416892,0.0002584957158192406,22.738167141701073,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.32,0.24,23.587754851059422,0.0002584853872695134,23.587496365672152,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.32,0.32,23.372161881079766,0.0002584710702461491,23.37190341000952,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.4,0.0,19.852087338308102,0.0002584820129046806,19.8518288562952,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.4,0.08,20.004701692574585,0.00025848048840902883,20.004443212086176,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.4,0.16,20.44668628875699,0.0002584755561502278,20.446427813200838,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.4,0.24,21.07019876916226,0.0002584666477863948,21.069940302514475,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.4,0.32,21.53752969184557,0.00025845369493206953,21.537271238150637,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.56,0.4,0.4,21.144830080860782,0.0002584374331277951,21.144571643427653,1.0356264383129798,4.52556902145815e-09
