study,axis,parts,block,nw,lower_cycle_THz,upper_cycle_THz,mobility_m2_per_J_s,integral_proxy_m2_s,cell_extensivity_hypothesis_mobility_m2_per_J_s,zero_frequency_certified
nve_1000ps_dt5,direct110,2,0,2.0,0.04,0.08,49143373545.689125,3.416481871665129e-39,28306583162316.938,False
nve_1000ps_dt5,transverse,2,0,2.0,0.04,0.08,46952610200.57941,3.4158849062303094e-39,27044703475533.74,False
nve_1000ps_dt5,normal,2,0,2.0,0.08,0.16,18276989391.077557,4.03185953176098e-40,10527545889260.672,False
nve_1000ps_dt5,direct110,2,0,2.0,0.08,0.16,54049046293.0322,3.0921077817800575e-39,31132250664786.55,False
nve_1000ps_dt5,transverse,2,0,2.0,0.08,0.16,51380233706.57563,3.125421300049024e-39,29595014614987.562,False
nve_1000ps_dt5,normal,2,0,3.0,0.02,0.04,19463443842.89967,3.874954521008293e-40,11210943653510.209,False
nve_1000ps_dt5,direct110,2,0,3.0,0.02,0.04,46153468348.31285,3.6399868999699764e-39,26584397768628.203,False
nve_1000ps_dt5,transverse,2,0,3.0,0.02,0.04,46797859999.083954,3.520362607829454e-39,26955567359472.36,False
nve_1000ps_dt5,normal,2,0,3.0,0.04,0.08,13527490963.834526,5.4757974693882465e-40,7791834795168.6875,False
nve_1000ps_dt5,direct110,2,0,3.0,0.04,0.08,49100595196.73281,3.429067628947993e-39,28281942833318.098,False
nve_1000ps_dt5,transverse,2,0,3.0,0.04,0.08,46857250513.642624,3.4226273243843954e-39,26989776295858.152,False
nve_1000ps_dt5,normal,2,0,3.0,0.08,0.16,18080108124.312187,4.076862176699958e-40,10414142279603.82,False
nve_1000ps_dt5,direct110,2,0,3.0,0.08,0.16,53812175992.6631,3.1066491754441994e-39,30995813371773.945,False
nve_1000ps_dt5,transverse,2,0,3.0,0.08,0.16,51069857033.4308,3.145657113398899e-39,29416237651256.14,False
nve_1000ps_dt5,normal,2,1,2.0,0.02,0.04,14295312660.5882,5.171107885423282e-40,8234100092498.803,False
nve_1000ps_dt5,direct110,2,1,2.0,0.02,0.04,55297609899.349,3.2635899713965816e-39,31851423302025.023,False
nve_1000ps_dt5,transverse,2,1,2.0,0.02,0.04,44663938626.27156,3.945603793744001e-39,25726428648732.418,False
nve_1000ps_dt5,normal,2,1,2.0,0.04,0.08,20496051991.516556,3.591983777508546e-40,11805725947113.535,False
nve_1000ps_dt5,direct110,2,1,2.0,0.04,0.08,45042851666.58716,3.9391055974378316e-39,25944682559954.203,False
nve_1000ps_dt5,transverse,2,1,2.0,0.04,0.08,47955973378.909035,3.629189504078647e-39,27622640666251.605,False
nve_1000ps_dt5,normal,2,1,2.0,0.08,0.16,16543241633.764519,4.4356952485089734e-40,9528907181048.363,False
nve_1000ps_dt5,direct110,2,1,2.0,0.08,0.16,51821968553.13997,3.4168248759503766e-39,29849453886608.62,False
nve_1000ps_dt5,transverse,2,1,2.0,0.08,0.16,54901407503.01074,3.152653500816177e-39,31623210721734.188,False
nve_1000ps_dt5,normal,2,1,3.0,0.02,0.04,13699801087.745058,5.398664180602128e-40,7891085426541.153,False
nve_1000ps_dt5,direct110,2,1,3.0,0.02,0.04,55875161667.262856,3.25397483569935e-39,32184093120343.406,False
nve_1000ps_dt5,transverse,2,1,3.0,0.02,0.04,42295331955.07547,4.1917148824345386e-39,24362111206123.47,False
nve_1000ps_dt5,normal,2,1,3.0,0.04,0.08,21227968767.522106,3.470330113995394e-40,12227310010092.732,False
nve_1000ps_dt5,direct110,2,1,3.0,0.04,0.08,46585045906.65691,3.812923188659742e-39,26832986442234.383,False
nve_1000ps_dt5,transverse,2,1,3.0,0.04,0.08,48303218115.10463,3.607516602297336e-39,27822653634300.266,False
nve_1000ps_dt5,normal,2,1,3.0,0.08,0.16,16251526544.378336,4.518119368695601e-40,9360879289561.922,False
nve_1000ps_dt5,direct110,2,1,3.0,0.08,0.16,51701286390.2417,3.428885279162275e-39,29779940960779.22,False
nve_1000ps_dt5,transverse,2,1,3.0,0.08,0.16,54233358888.540886,3.193801784981888e-39,31238414719799.55,False
nve_1000ps_dt5,normal,4,0,2.0,0.02,0.04,16127909121.996695,4.556917107430264e-40,9289675654270.096,False
nve_1000ps_dt5,direct110,4,0,2.0,0.02,0.04,54276109552.06279,3.087309407882217e-39,31263039101988.168,False
nve_1000ps_dt5,transverse,4,0,2.0,0.02,0.04,52596393027.31295,3.134189016237039e-39,30295522383732.258,False
nve_1000ps_dt5,normal,4,0,2.0,0.04,0.08,11236370352.39749,6.5428136671702936e-40,6472149322980.954,False
nve_1000ps_dt5,direct110,4,0,2.0,0.04,0.08,56859160467.33334,2.922747301822316e-39,32750876429184.008,False
nve_1000ps_dt5,transverse,4,0,2.0,0.04,0.08,43898529044.43069,3.778960172120143e-39,25285552729592.074,False
nve_1000ps_dt5,normal,4,0,2.0,0.08,0.16,17771807945.062466,4.1539849191863085e-40,10236561376355.98,False
nve_1000ps_dt5,direct110,4,0,2.0,0.08,0.16,50890216847.0409,3.2873584857641575e-39,29312764903895.56,False
nve_1000ps_dt5,transverse,4,0,2.0,0.08,0.16,53287895080.80597,3.116646151470853e-39,30693827566544.24,False
nve_1000ps_dt5,normal,4,0,3.0,0.02,0.04,16340925511.749994,4.478430511764254e-40,9412373094767.996,False
nve_1000ps_dt5,direct110,4,0,3.0,0.02,0.04,52828774706.930504,3.1575099035839656e-39,30429374231191.97,False
nve_1000ps_dt5,transverse,4,0,3.0,0.02,0.04,56132803349.291725,2.9354547801809256e-39,32332494729192.035,False
nve_1000ps_dt5,normal,4,0,3.0,0.04,0.08,10857562511.599619,6.795530762669857e-40,6253956006681.381,False
nve_1000ps_dt5,direct110,4,0,3.0,0.04,0.08,57670094744.42979,2.884306126595961e-39,33217974572791.56,False
nve_1000ps_dt5,transverse,4,0,3.0,0.04,0.08,45278009683.69982,3.6763256505937594e-39,26080133577811.098,False
nve_1000ps_dt5,normal,4,0,3.0,0.08,0.16,18239045769.709312,4.057654655776558e-40,10505690363352.564,False
nve_1000ps_dt5,direct110,4,0,3.0,0.08,0.16,51482152045.550735,3.2552297413524994e-39,29653719578237.223,False
nve_1000ps_dt5,transverse,4,0,3.0,0.08,0.16,53226753318.526,3.1338632957838335e-39,30658609911470.977,False
nve_1000ps_dt5,normal,4,1,2.0,0.02,0.04,21850252404.558167,3.43107772889071e-40,12585745385025.504,False
nve_1000ps_dt5,direct110,4,1,2.0,0.02,0.04,47590623912.48551,3.596176365940403e-39,27412199373591.656,False
nve_1000ps_dt5,transverse,4,1,2.0,0.02,0.04,61721807428.06819,2.598463513389659e-39,35551761078567.28,False
nve_1000ps_dt5,normal,4,1,2.0,0.04,0.08,19269659861.81716,3.897656800399293e-40,11099324080406.686,False
nve_1000ps_dt5,direct110,4,1,2.0,0.04,0.08,43566432759.6467,3.91197125366976e-39,25094265269556.5,False
nve_1000ps_dt5,transverse,4,1,2.0,0.04,0.08,53727414906.530205,2.911282252200147e-39,30946990986161.4,False
nve_1000ps_dt5,normal,4,1,2.0,0.08,0.16,20023838825.85897,3.739736534801016e-40,11533731163694.768,False
nve_1000ps_dt5,direct110,4,1,2.0,0.08,0.16,60936419844.607086,2.7909659706789787e-39,35099377830493.68,False
nve_1000ps_dt5,transverse,4,1,2.0,0.08,0.16,51578534430.19825,3.0357228115357135e-39,29709235831794.19,False
nve_1000ps_dt5,normal,4,1,3.0,0.02,0.04,21669133258.705265,3.4459982664386553e-40,12481420757014.232,False
nve_1000ps_dt5,direct110,4,1,3.0,0.02,0.04,46919491051.53855,3.6564800618535534e-39,27025626845686.207,False
nve_1000ps_dt5,transverse,4,1,3.0,0.02,0.04,68521598868.80793,2.3319884414435054e-39,39468440948433.37,False
nve_1000ps_dt5,normal,4,1,3.0,0.04,0.08,21605813697.196613,3.4628886700886937e-40,12444948689585.25,False
nve_1000ps_dt5,direct110,4,1,3.0,0.04,0.08,42907764649.33703,3.9568200533486816e-39,24714872438018.13,False
nve_1000ps_dt5,transverse,4,1,3.0,0.04,0.08,57782804643.29072,2.7055290119479666e-39,33282895474535.453,False
nve_1000ps_dt5,normal,4,1,3.0,0.08,0.16,20605829378.947243,3.6505074534620595e-40,11868957722273.611,False
nve_1000ps_dt5,direct110,4,1,3.0,0.08,0.16,61609981615.84679,2.769694700783451e-39,35487349410727.75,False
nve_1000ps_dt5,transverse,4,1,3.0,0.08,0.16,53172764472.44647,2.9423719920286416e-39,30627512336129.168,False
nve_1000ps_dt5,normal,4,2,2.0,0.02,0.04,19943958550.17674,3.795886022103826e-40,11487720124901.8,False
nve_1000ps_dt5,direct110,4,2,2.0,0.02,0.04,44069379580.8177,4.018282812807622e-39,25383962638550.996,False
nve_1000ps_dt5,transverse,4,2,2.0,0.02,0.04,45348414355.05569,3.507170040281602e-39,26120686668512.074,False
nve_1000ps_dt5,normal,4,2,2.0,0.04,0.08,17755440311.400063,4.233519015745053e-40,10227133619366.436,False
nve_1000ps_dt5,direct110,4,2,2.0,0.04,0.08,50286223943.251,3.468635015085787e-39,28964864991312.574,False
nve_1000ps_dt5,transverse,4,2,2.0,0.04,0.08,44326556099.51387,3.60120391974974e-39,25532096313319.99,False
nve_1000ps_dt5,normal,4,2,2.0,0.08,0.16,19528495762.754353,3.88121266344327e-40,11248413559346.508,False
nve_1000ps_dt5,direct110,4,2,2.0,0.08,0.16,52213557223.20437,3.363254696682178e-39,30075008960565.715,False
nve_1000ps_dt5,transverse,4,2,2.0,0.08,0.16,58068475161.42347,2.7440347822831125e-39,33447441692979.918,False
nve_1000ps_dt5,normal,4,2,3.0,0.02,0.04,19552363339.42048,3.852117290084111e-40,11262161283506.195,False
nve_1000ps_dt5,direct110,4,2,3.0,0.02,0.04,44165068427.62975,3.994853896063951e-39,25439079414314.74,False
nve_1000ps_dt5,transverse,4,2,3.0,0.02,0.04,48366120112.65006,3.2903522329411005e-39,27858885184886.438,False
nve_1000ps_dt5,normal,4,2,3.0,0.04,0.08,17280525458.11311,4.331625735156546e-40,9953582663873.15,False
nve_1000ps_dt5,direct110,4,2,3.0,0.04,0.08,49429355369.80786,3.5383169262643125e-39,28471308693009.33,False
nve_1000ps_dt5,transverse,4,2,3.0,0.04,0.08,43866539298.846794,3.6342109344528306e-39,25267126636135.754,False
nve_1000ps_dt5,normal,4,2,3.0,0.08,0.16,20067002874.78197,3.791376918215605e-40,11558593655874.416,False
nve_1000ps_dt5,direct110,4,2,3.0,0.08,0.16,53103785220.10721,3.322994011779101e-39,30587780286781.75,False
nve_1000ps_dt5,transverse,4,2,3.0,0.08,0.16,59301738642.483826,2.7078963221613462e-39,34157801458070.684,False
nve_1000ps_dt5,normal,4,3,2.0,0.02,0.04,11953941344.871159,6.383706087676296e-40,6885470214645.787,False
nve_1000ps_dt5,direct110,4,3,2.0,0.02,0.04,78036644580.46402,2.4706176679434536e-39,44949107278347.27,False
nve_1000ps_dt5,transverse,4,3,2.0,0.02,0.04,57800273418.04427,3.312226201539968e-39,33292957488793.5,False
nve_1000ps_dt5,normal,4,3,2.0,0.04,0.08,19894753521.4364,3.6537165269176155e-40,11459378028347.367,False
nve_1000ps_dt5,direct110,4,3,2.0,0.04,0.08,38625433848.85694,4.682480923193771e-39,22248249896941.598,False
nve_1000ps_dt5,transverse,4,3,2.0,0.04,0.08,53990208782.735565,3.5019799196476e-39,31098360258855.688,False
nve_1000ps_dt5,normal,4,3,2.0,0.08,0.16,14902767515.727222,4.8389557608731905e-40,8583994089058.88,False
nve_1000ps_dt5,direct110,4,3,2.0,0.08,0.16,52040034593.73626,3.4802906027140537e-39,29975059925992.086,False
nve_1000ps_dt5,transverse,4,3,2.0,0.08,0.16,55583933832.28758,3.4101010736254185e-39,32016345887397.65,False
nve_1000ps_dt5,normal,4,3,3.0,0.02,0.04,12403477994.052864,6.071289800227153e-40,7144403324574.449,False
nve_1000ps_dt5,direct110,4,3,3.0,0.02,0.04,84693830921.97533,2.235416034926161e-39,48783646611057.79,False
nve_1000ps_dt5,transverse,4,3,3.0,0.02,0.04,59045022306.061485,3.232872601822186e-39,34009932848291.414,False
nve_1000ps_dt5,normal,4,3,3.0,0.04,0.08,19899072501.491848,3.6555929176882044e-40,11461865760859.305,False
nve_1000ps_dt5,direct110,4,3,3.0,0.04,0.08,37281393530.32395,4.850332032444189e-39,21474082673466.598,False
nve_1000ps_dt5,transverse,4,3,3.0,0.04,0.08,53815082319.76733,3.515051700523554e-39,30997487416185.98,False
nve_1000ps_dt5,normal,4,3,3.0,0.08,0.16,15022518953.973038,4.805774312787475e-40,8652970917488.47,False
nve_1000ps_dt5,direct110,4,3,3.0,0.08,0.16,52180653433.47207,3.5014631604024375e-39,30056056377679.91,False
nve_1000ps_dt5,transverse,4,3,3.0,0.08,0.16,58643835049.13345,3.261369438175506e-39,33778848988300.867,False
nvt_1000ps_dt5,normal,1,0,2.0,0.02,0.04,14923071914.527218,4.8236059165574355e-40,8595689422767.678,False
nvt_1000ps_dt5,direct110,1,0,2.0,0.02,0.04,51120711080.08255,3.267550647532476e-39,29445529582127.547,False
nvt_1000ps_dt5,transverse,1,0,2.0,0.02,0.04,63542324450.98006,2.6813049028658755e-39,36600378883764.516,False
nvt_1000ps_dt5,normal,1,0,2.0,0.04,0.08,16282445946.732378,4.4450123064688e-40,9378688865317.85,False
nvt_1000ps_dt5,direct110,1,0,2.0,0.04,0.08,48528427678.71272,3.460485565987545e-39,27952374342938.527,False
nvt_1000ps_dt5,transverse,1,0,2.0,0.04,0.08,54681766319.06881,3.111082607529577e-39,31496697399783.633,False
nvt_1000ps_dt5,normal,1,0,2.0,0.08,0.16,16927078449.231508,4.249647603807798e-40,9749997186757.35,False
nvt_1000ps_dt5,direct110,1,0,2.0,0.08,0.16,53187022227.20401,3.1422114459433964e-39,30635724802869.508,False
nvt_1000ps_dt5,transverse,1,0,2.0,0.08,0.16,51263930474.1508,3.322825090617156e-39,29528023953110.863,False
nvt_1000ps_dt5,normal,1,0,3.0,0.02,0.04,14444299393.426231,4.986647112099196e-40,8319916450613.51,False
nvt_1000ps_dt5,direct110,1,0,3.0,0.02,0.04,49276709227.50027,3.391568421583565e-39,28383384515040.152,False
nvt_1000ps_dt5,transverse,1,0,3.0,0.02,0.04,63115658047.54109,2.702228032685122e-39,36354619035383.67,False
nvt_1000ps_dt5,normal,1,0,3.0,0.04,0.08,16158137854.824787,4.480117069673185e-40,9307087404379.078,False
nvt_1000ps_dt5,direct110,1,0,3.0,0.04,0.08,47928171095.09877,3.5044784484719154e-39,27606626550776.89,False
nvt_1000ps_dt5,transverse,1,0,3.0,0.04,0.08,54873680837.85908,3.100069216328531e-39,31607240162606.83,False
nvt_1000ps_dt5,normal,1,0,3.0,0.08,0.16,16912808628.157284,4.25339062721099e-40,9741777769818.596,False
nvt_1000ps_dt5,direct110,1,0,3.0,0.08,0.16,52291019665.608055,3.200303307630243e-39,30119627327390.24,False
nvt_1000ps_dt5,transverse,1,0,3.0,0.08,0.16,51999757092.68668,3.280309412573538e-39,29951860085387.53,False
nvt_1000ps_dt5,normal,2,0,2.0,0.02,0.04,17396994450.25201,4.198359388454975e-40,10020668803345.158,False
nvt_1000ps_dt5,direct110,2,0,2.0,0.02,0.04,57093006439.69298,2.7977263580201287e-39,32885571709263.156,False
nvt_1000ps_dt5,transverse,2,0,2.0,0.02,0.04,57951343353.16261,3.0536077389993116e-39,33379973771421.664,False
nvt_1000ps_dt5,normal,2,0,2.0,0.04,0.08,17581303407.178047,4.112574069697542e-40,10126830762534.555,False
nvt_1000ps_dt5,direct110,2,0,2.0,0.04,0.08,48922909903.7719,3.2588249867817545e-39,28179596104572.613,False
nvt_1000ps_dt5,transverse,2,0,2.0,0.04,0.08,54445392489.42604,3.224109896475767e-39,31360546073909.4,False
nvt_1000ps_dt5,normal,2,0,2.0,0.08,0.16,17017138739.975483,4.271891670585803e-40,9801871914225.879,False
nvt_1000ps_dt5,direct110,2,0,2.0,0.08,0.16,52155476488.3536,3.0567193199649356e-39,30041554457291.67,False
nvt_1000ps_dt5,transverse,2,0,2.0,0.08,0.16,49910060430.07273,3.5430574184059616e-39,28748194807721.895,False
nvt_1000ps_dt5,normal,2,0,3.0,0.02,0.04,18263283694.150513,3.973461676345514e-40,10519651407830.695,False
nvt_1000ps_dt5,direct110,2,0,3.0,0.02,0.04,57854947384.00514,2.7532972811130312e-39,33324449693186.96,False
nvt_1000ps_dt5,transverse,2,0,3.0,0.02,0.04,60289351600.65721,2.9237806018008072e-39,34726666521978.555,False
nvt_1000ps_dt5,normal,2,0,3.0,0.04,0.08,16945035917.834372,4.279960170349039e-40,9760340688672.598,False
nvt_1000ps_dt5,direct110,2,0,3.0,0.04,0.08,48475496459.34282,3.3023899592558816e-39,27921885960581.465,False
nvt_1000ps_dt5,transverse,2,0,3.0,0.04,0.08,55574523154.87885,3.166557423122916e-39,32010925337210.22,False
nvt_1000ps_dt5,normal,2,0,3.0,0.08,0.16,17142211878.369102,4.2475009062342076e-40,9873914041940.604,False
nvt_1000ps_dt5,direct110,2,0,3.0,0.08,0.16,54731592328.708046,2.912128030432254e-39,31525397181335.836,False
nvt_1000ps_dt5,transverse,2,0,3.0,0.08,0.16,48574909097.86818,3.6479204442448226e-39,27979147640372.07,False
nvt_1000ps_dt5,normal,2,1,2.0,0.02,0.04,14546959815.37777,5.008431800680248e-40,8379048853657.596,False
nvt_1000ps_dt5,direct110,2,1,2.0,0.02,0.04,55629644153.71194,3.157162792730137e-39,32042675032538.074,False
nvt_1000ps_dt5,transverse,2,1,2.0,0.02,0.04,73733320804.7737,2.264542716491352e-39,42470392783549.65,False
nvt_1000ps_dt5,normal,2,1,2.0,0.04,0.08,16179213769.355045,4.485279071587931e-40,9319227131148.506,False
nvt_1000ps_dt5,direct110,2,1,2.0,0.04,0.08,57794988029.756325,3.0718875789407366e-39,33289913105139.645,False
nvt_1000ps_dt5,transverse,2,1,2.0,0.04,0.08,53828268511.31366,3.078633144359012e-39,31005082662516.668,False
nvt_1000ps_dt5,normal,2,1,2.0,0.08,0.16,17341104541.136375,4.143947904613641e-40,9988476215694.553,False
nvt_1000ps_dt5,direct110,2,1,2.0,0.08,0.16,55406550159.925156,3.160347782246102e-39,31914172892116.89,False
nvt_1000ps_dt5,transverse,2,1,2.0,0.08,0.16,50513198231.68665,3.269785650664051e-39,29095602181451.51,False
nvt_1000ps_dt5,normal,2,1,3.0,0.02,0.04,15420608569.516916,4.730796002945601e-40,8882270536041.744,False
nvt_1000ps_dt5,direct110,2,1,3.0,0.02,0.04,56377348930.99066,3.127596287438451e-39,32473352984250.62,False
nvt_1000ps_dt5,transverse,2,1,3.0,0.02,0.04,71851208282.6107,2.3182631300864274e-39,41386295970783.766,False
nvt_1000ps_dt5,normal,2,1,3.0,0.04,0.08,16175282924.156519,4.468176876254288e-40,9316962964314.154,False
nvt_1000ps_dt5,direct110,2,1,3.0,0.04,0.08,57725404163.93758,3.061616217033305e-39,33249832798428.043,False
nvt_1000ps_dt5,transverse,2,1,3.0,0.04,0.08,53779482980.39618,3.076025762705624e-39,30976982196708.2,False
nvt_1000ps_dt5,normal,2,1,3.0,0.08,0.16,17129356182.32934,4.195477978879949e-40,9866509161021.7,False
nvt_1000ps_dt5,direct110,2,1,3.0,0.08,0.16,54157434566.86371,3.234919992961452e-39,31194682310513.496,False
nvt_1000ps_dt5,transverse,2,1,3.0,0.08,0.16,50601777524.42168,3.26492079590535e-39,29146623854066.887,False
nvt_1000ps_dt5,normal,4,0,2.0,0.02,0.04,16146420652.013783,4.62404237137402e-40,9300338295559.94,False
nvt_1000ps_dt5,direct110,4,0,2.0,0.02,0.04,52877330219.94466,2.8999114657988437e-39,30457342206688.12,False
nvt_1000ps_dt5,transverse,4,0,2.0,0.02,0.04,59910352523.36365,3.246982653420566e-39,34508363053457.46,False
nvt_1000ps_dt5,normal,4,0,2.0,0.04,0.08,19334441180.120693,3.677822457024732e-40,11136638119749.52,False
nvt_1000ps_dt5,direct110,4,0,2.0,0.04,0.08,51239494450.211876,2.9237248666802872e-39,29513948803322.04,False
nvt_1000ps_dt5,transverse,4,0,2.0,0.04,0.08,63772631927.40901,3.0166099069575427e-39,36733035990187.59,False
nvt_1000ps_dt5,normal,4,0,2.0,0.08,0.16,16126877162.364832,4.4303306193358105e-40,9289081245522.143,False
nvt_1000ps_dt5,direct110,4,0,2.0,0.08,0.16,48167755355.79155,3.1059454183116425e-39,27744627084935.934,False
nvt_1000ps_dt5,transverse,4,0,2.0,0.08,0.16,53671496376.577156,3.575005418471189e-39,30914781912908.44,False
nvt_1000ps_dt5,normal,4,0,3.0,0.02,0.04,15709820634.631454,4.819656552995934e-40,9048856685547.719,False
nvt_1000ps_dt5,direct110,4,0,3.0,0.02,0.04,56163283978.807526,2.7661155907823388e-39,32350051571793.133,False
nvt_1000ps_dt5,transverse,4,0,3.0,0.02,0.04,59595136344.725655,3.276624282951068e-39,34326798534561.977,False
nvt_1000ps_dt5,normal,4,0,3.0,0.04,0.08,20185759612.371365,3.5359130482142177e-40,11626997536725.906,False
nvt_1000ps_dt5,direct110,4,0,3.0,0.04,0.08,54783065607.25156,2.7528947851321e-39,31555045789776.9,False
nvt_1000ps_dt5,transverse,4,0,3.0,0.04,0.08,62397020917.04069,3.0981061573559264e-39,35940684048215.44,False
nvt_1000ps_dt5,normal,4,0,3.0,0.08,0.16,17360525112.61784,4.118265374066011e-40,9999662464867.875,False
nvt_1000ps_dt5,direct110,4,0,3.0,0.08,0.16,46846151823.060936,3.195553296284224e-39,26983383450083.098,False
nvt_1000ps_dt5,transverse,4,0,3.0,0.08,0.16,55172136244.13159,3.4826217081387067e-39,31779150476619.797,False
nvt_1000ps_dt5,normal,4,1,2.0,0.02,0.04,15269188664.16538,4.832202781327049e-40,8795052670559.259,False
nvt_1000ps_dt5,direct110,4,1,2.0,0.02,0.04,55217307702.29123,3.0803386440421543e-39,31805169236519.75,False
nvt_1000ps_dt5,transverse,4,1,2.0,0.02,0.04,51479252151.90044,3.1354047248637657e-39,29652049239494.652,False
nvt_1000ps_dt5,normal,4,1,2.0,0.04,0.08,18606740686.03176,3.949394464359801e-40,10717482635154.295,False
nvt_1000ps_dt5,direct110,4,1,2.0,0.04,0.08,50605058861.04954,3.3961896230505945e-39,29148513903964.535,False
nvt_1000ps_dt5,transverse,4,1,2.0,0.04,0.08,42728110393.87975,3.788180025889772e-39,24611391586874.74,False
nvt_1000ps_dt5,normal,4,1,2.0,0.08,0.16,17025326286.10419,4.338789718096705e-40,9806587940796.014,False
nvt_1000ps_dt5,direct110,4,1,2.0,0.08,0.16,51107949852.179665,3.4240292838813196e-39,29438179114855.49,False
nvt_1000ps_dt5,transverse,4,1,2.0,0.08,0.16,53720561868.70828,3.0948884777656055e-39,30943043636375.97,False
nvt_1000ps_dt5,normal,4,1,3.0,0.02,0.04,14211422226.82617,5.19415258980669e-40,8185779202651.874,False
nvt_1000ps_dt5,direct110,4,1,3.0,0.02,0.04,55422090138.38449,3.068971827621357e-39,31923123919709.47,False
nvt_1000ps_dt5,transverse,4,1,3.0,0.02,0.04,49251248003.377014,3.27874187001506e-39,28368718849945.16,False
nvt_1000ps_dt5,normal,4,1,3.0,0.04,0.08,18939576495.576458,3.8765205138491156e-40,10909196061452.04,False
nvt_1000ps_dt5,direct110,4,1,3.0,0.04,0.08,48878268371.0465,3.510848879603019e-39,28153882581722.785,False
nvt_1000ps_dt5,transverse,4,1,3.0,0.04,0.08,41544807003.20293,3.894361947472371e-39,23929808833844.887,False
nvt_1000ps_dt5,normal,4,1,3.0,0.08,0.16,16568462174.36606,4.457610172156195e-40,9543434212434.852,False
nvt_1000ps_dt5,direct110,4,1,3.0,0.08,0.16,48819859735.52537,3.598183909420215e-39,28120239207662.613,False
nvt_1000ps_dt5,transverse,4,1,3.0,0.08,0.16,53592292221.232735,3.107160734732898e-39,30869160319430.055,False
nvt_1000ps_dt5,normal,4,2,2.0,0.02,0.04,11342399113.973957,6.696582911491929e-40,6533221889648.999,False
nvt_1000ps_dt5,direct110,4,2,2.0,0.02,0.04,52451330989.88559,3.7360025637614156e-39,30211966650174.1,False
nvt_1000ps_dt5,transverse,4,2,2.0,0.02,0.04,74767018608.03447,2.1880641906618388e-39,43065802718227.85,False
nvt_1000ps_dt5,normal,4,2,2.0,0.04,0.08,15625115485.584192,5.0142804850373246e-40,9000066519696.494,False
nvt_1000ps_dt5,direct110,4,2,2.0,0.04,0.08,61137823231.569984,3.341618469089684e-39,35215386181384.31,False
nvt_1000ps_dt5,transverse,4,2,2.0,0.04,0.08,64398044365.94099,2.5506577335426652e-39,37093273554782.01,False
nvt_1000ps_dt5,normal,4,2,2.0,0.08,0.16,19064943519.692303,4.025815530934405e-40,10981407467342.766,False
nvt_1000ps_dt5,direct110,4,2,2.0,0.08,0.16,60124964681.7544,3.2588288188178704e-39,34631979656690.535,False
