model,a_over_h,energy_J_m2,source_energy_J_m2,traction_MPa,source_traction_MPa,Haa,source_Haa,rank1_Haa
positive_pair_refinement,3.0999999999999996,1.774397872217588,1.7412853086487758,385.1913799994738,0.0,-0.09824572028241199,0.0,-0.004172142163916897
positive_pair_refinement,3.1333333333333333,1.7773196178725716,1.7412853086487758,364.7258750740914,0.0,-0.09273273478388025,0.0,-0.003587124902335161
positive_pair_refinement,3.1666666666666665,1.7800863664847786,1.7412853086487758,345.40772764559034,0.0,-0.08753861989290597,0.0,-0.0030832348273403566
positive_pair_refinement,3.2,1.782706799913442,1.7412853086487758,327.1706826178338,0.0,-0.08264395702029581,0.0,-0.0026493717109747155
positive_pair_refinement,3.2333333333333334,1.785189099464081,1.7412853086487758,309.95250635529123,0.0,-0.07803063147803437,0.0,-0.00227592886715945
positive_pair_refinement,3.2666666666666666,1.7875409761709908,1.7412853086487758,293.6947177474073,0.0,-0.07368173480704322,0.0,-0.001954596521626578
positive_pair_refinement,3.3,1.7897696990631904,1.7412853086487758,278.34233943762314,0.0,-0.06958147429107184,0.0,-0.0016781903079021697
positive_pair_refinement,3.333333333333333,1.7918821215650602,1.7412853086487758,263.8436677056908,0.0,-0.06571508937265515,0.0,-0.0014405018173389516
positive_pair_refinement,3.3666666666666663,1.793884706171383,1.7412853086487758,250.1500595593794,0.0,-0.0620687746291462,0.0,-0.0012361684802677734
positive_pair_refinement,3.4000000000000004,1.7957835475254322,1.7412853086487758,237.21573566943067,0.0,-0.05862960892878154,0.0,-0.001060560370158399
positive_pair_refinement,3.4333333333333336,1.7975843940188043,1.7412853086487758,224.99759786564206,0.0,-0.05538549036516516,0.0,-0.0009096818053973236
positive_pair_refinement,3.466666666666667,1.7992926680214754,1.7412853086487758,213.45505999917125,0.0,-0.05232507656031036,0.0,-0.0007800858762355961
positive_pair_refinement,3.5,1.8009134848420805,1.7412853086487758,202.5498910639443,0.0,-0.04943772992857159,0.0,-0.0006688002500336473
positive_pair_refinement,3.533333333333333,1.802451670509899,1.7412853086487758,192.2460695564788,0.0,-0.04671346750393206,0.0,-0.0005732628085197702
positive_pair_refinement,3.5666666666666664,1.8039117784623582,1.7412853086487758,182.5096481370471,0.0,-0.0441429149490322,0.0,-0.0004912658486980226
positive_pair_refinement,3.5999999999999996,1.8052981052150556,1.7412853086487758,173.3086277348302,0.0,-0.04171726438424784,0.0,-0.00042090773649406017
positive_pair_refinement,3.633333333333333,1.8066147050847607,1.7412853086487758,164.61284031488358,0.0,-0.039428235697593975,0.0,-0.00036055104128369426
positive_pair_refinement,3.666666666666667,1.8078654040300712,1.7412853086487758,156.3938395949217,0.0,-0.03726804102008156,0.0,-0.00030878630203116036
positive_pair_refinement,3.7,1.8090538126691798,1.7412853086487758,148.62479906492823,0.0,-0.03522935207547842,0.0,-0.00026440068364286734
positive_pair_refinement,3.7333333333333334,1.810183338529364,1.7412853086487758,141.28041672240397,0.0,-0.0333052701375421,0.0,-0.00022635087693559567
positive_pair_refinement,3.7666666666666666,1.811257197578194,1.7412853086487758,134.33682599076838,0.0,-0.031489298351192435,0.0,-0.0001937396787959054
positive_pair_refinement,3.8,1.812278425083253,1.7412853086487758,127.7715123382204,0.0,-0.02977531619642035,0.0,-0.00016579576199844757
positive_pair_refinement,3.833333333333333,1.8132498858424013,1.7412853086487758,121.56323515950977,0.0,-0.028157555894754605,0.0,-0.0001418562079505571
positive_pair_refinement,3.8666666666666663,1.8141742838246286,1.7412853086487758,115.69195452386201,0.0,-0.02663058057768649,0.0,-0.00012135143141051632
positive_pair_refinement,3.9000000000000004,1.815054171257629,1.7412853086487758,110.13876242905201,0.0,-0.025189264054522636,0.0,-0.00010379217494470687
positive_pair_refinement,3.9333333333333336,1.8158919571961079,1.7412853086487758,104.88581823466397,0.0,-0.023828772033679224,0.0,-8.875829339719885e-05
positive_pair_refinement,3.966666666666667,1.816689915602016,1.7412853086487758,99.91628797723281,0.0,-0.02254454466648599,0.0,-7.588908570188257e-05
positive_pair_refinement,4.0,1.8174501929662967,1.7412853086487758,95.21428729655058,0.0,-0.021332280296188038,0.0,-6.487496364352133e-05
nested_range,1.0,1.0692872652184746e-44,0.0,-3.6624911904546577e-09,-0.2726757163300154,27.653670528668407,19.660912863289713,12.776649235338189
nested_range,1.0025,0.00012775113470486123,9.191387220755714e-05,433.3318636742569,314.1847389258653,26.255526551786165,19.45278530982212,12.549764791571553
nested_range,1.005,0.0005023268010608125,0.0003666447538931567,844.6226143490724,625.1629663256588,24.914446001636513,19.23006959440188,12.324727309667354
nested_range,1.0075,0.0011111308768991216,0.000822144690769696,1234.889542813079,932.6953968989891,23.641890560008626,19.02157390036222,12.101556268230608
nested_range,1.01,0.0019422076735962682,0.0014564392576060614,1605.2939927450795,1236.87829367022,22.444649596780014,18.812875397007133,11.880270042396416
nested_range,1.0125,0.00298430714780882,0.0022675434849492855,1957.081141095166,1537.6067525831725,21.32662089428207,18.600268449531374,11.66088592674495
nested_range,1.015,0.004226922575746353,0.0032534625894745637,2291.5447841182786,1835.0056169251397,20.290138215839235,18.39295935022697,11.443420158036377
nested_range,1.0175,0.005660313191859875,0.00441227058028426,2610.0099662909347,2129.101961568485,19.336873113911533,18.18424977596185,11.227887937758465
nested_range,1.02,0.007275520327803217,0.005742018628163071,2913.827172158933,2419.9155906034475,18.468385415745978,17.997028710970987,11.014303454480624
nested_range,1.0225,0.009064382291668536,0.007240912851756283,3204.373105876468,2707.827959651273,17.68640532759694,17.818048788624388,10.802679906008619
nested_range,1.025,0.011019550694009783,0.008907259589704099,3483.0543302525894,2992.7893630899275,16.992916915267706,17.625872664816765,10.593029521335195
nested_range,1.0275,0.013134509042421406,0.010739309103001454,3751.310985584389,3274.795663993691,16.390090480528645,17.45006701874917,10.38536358238088
nested_range,1.03,0.015403592988217021,0.012735373013312429,4010.6183845247383,3553.9275301347784,15.880088316135202,17.273181439341535,10.179692445520166
nested_range,1.0325,0.017822010403480207,0.014893774255718034,4262.4845131323955,3830.1942689551097,15.464749429578594,17.08354966318709,9.976025562889633
nested_range,1.035,0.020385858319971636,0.017212798344876237,4508.441452325355,4103.472969039556,15.145147034500635,16.90166910832563,9.774371503471205
nested_range,1.0375,0.02309213256332309,0.019690734269007422,4750.028599655295,4373.883921853478,14.921009987902769,16.72786632420293,9.574737973951043
nested_range,1.04,0.025938724643696866,0.02232586792368836,4988.765480830309,4641.313382924404,14.79000771443009,16.548204851575456,9.377131839344768
