time_reduced,force_reduced,mean_lambda,variance,skewness,mean_shifted_energy,tail_conditional,survival,hazard_reduced,initiation
36.72,0.010576871868792751,1.0131988228228686,0.0006105664410892552,0.38660574010295734,0.0003057734881443639,0.0,0.7304857466418407,0.00568852567317229,0.26951425335815926
36.839999999999996,0.010980455040955489,1.013626467217915,0.0006138290863877907,0.3830848726788264,0.0003099438289171555,0.0,0.7299591384199301,0.006011845894215769,0.2700408615800699
36.96,0.011372275718712008,1.0140587710713596,0.0006171625202763804,0.37944034468372323,0.00031430756913415896,0.0,0.7294028260300794,0.006355797395687303,0.27059717396992056
37.08,0.011750787564852953,1.0144941043809041,0.0006205514401846093,0.3756788360884736,0.00031884952094376925,0.0,0.7288150944273459,0.0067201727757311425,0.27118490557265407
37.199999999999996,0.012114496766047308,1.0149308131555896,0.0006239804768687227,0.3718086619860429,0.00032355225894534814,0.0,0.7281942776294493,0.007104523442074501,0.2718057223705507
37.32,0.012461967928240822,1.0153672251848174,0.0006274343065771345,0.3678398465386758,0.00032839618928855304,0.0,0.7275387828156149,0.007508131402715797,0.2724612171843851
37.44,0.012791829741500813,1.0158016561824743,0.0006308977655529519,0.36378416483335474,0.0003333596522303257,0.0,0.726847116531702,0.00792998358000736,0.273152883468298
37.559999999999995,0.013102780391949856,1.016232416280371,0.0006343559646139232,0.35965515078828403,0.0003384190572229914,0.0,0.7261179126367515,0.008368749784067315,0.2738820873632485
37.68,0.013393592699430515,1.016657816834729,0.0006377944013196594,0.3554680700986648,0.00034354904901658133,0.0,0.7253499615217358,0.00882276551266919,0.2746500384782642
37.8,0.013663118960624622,1.0170761774996466,0.0006411990670967622,0.3512398580929694,0.0003487227026870619,0.0,0.7245422400304369,0.009290020727028291,0.2754577599695631
37.92,0.013910295478514108,1.0174858335125634,0.000644556546658212,0.3469890232774319,0.0003539117449662855,0.0,0.7236939414202745,0.009768155680305599,0.27630605857972546
38.04,0.014134146760307047,1.017885143129263,0.0006478541071325399,0.34273551821807974,0.0003590867987656051,0.0,0.7228045046230616,0.010254464744896606,0.27719549537693844
38.16,0.014333789367262127,1.0182724951401296,0.000651079774513155,0.3385005802287609,0.0003642176473684351,0.0,0.7218736420074621,0.010745908995589852,0.27812635799253793
38.28,0.014508435401217759,1.0186463163955648,0.0006542223953445369,0.3343065450495427,0.0003692735144306563,0.0,0.7209013648112815,0.011239138061963501,0.27909863518871847
38.4,0.014657395614066072,1.0190050792667875,0.000657271681969076,0.3301766372990769,0.00037422335568177047,0.0,0.7198880054066868,0.011730521472135054,0.28011199459331315
38.519999999999996,0.014780082127900416,1.0193473089687848,0.0006602182401494879,0.32613474193949327,0.00037903615807053867,0.0,0.7188342355879491,0.012216189381918032,0.2811657644120509
38.64,0.014876010755100819,1.019671590674922,0.0006630535784354874,0.3222051612922977,0.00038368124204882134,0.0,0.7177410801306797,0.01269208223238079,0.2822589198693203
38.76,0.014944802909201343,1.0199765763574624,0.0006657700992347428,0.31841236229052694,0.0003881285627345763,0.0,0.7166099249635826,0.013154008520917313,0.28339007503641744
