case,comparison,metric,coarse,fine,coarse_value,fine_value,absolute_change,relative_change,status
axial30,normal_domain,last_cycle_net_transfer,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,5.260567626820534e-08,5.260579285029654e-08,1.1658209120302132e-13,2.2161455019751527e-06,observed numerical change; not a physical certificate
axial30,normal_domain,last_cycle_registry_amplitude,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,0.0004608555806501986,0.00046085573416110493,1.5351090635207926e-10,3.330996990446803e-07,observed numerical change; not a physical certificate
axial30,normal_domain,last_cycle_registry_phase_deg,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,-42.297072627861375,-42.2970576412269,1.498663447563331e-05,3.5431860539220705e-07,observed numerical change; not a physical certificate
axial30,normal_domain,last_cycle_external_work_ev,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,1.5529640968158846e-06,1.5529616350407063e-06,2.4617751782228428e-12,1.585213132556436e-06,observed numerical change; not a physical certificate
axial30,normal_domain,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,0.266028040697898,0.2660280432439357,2.5460377139907564e-09,9.570561369938563e-09,observed numerical change; not a physical certificate
axial30,domain_3_5,end_outside_mass,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,0.022031671612348678,0.02203199746010686,3.2584775818203515e-07,1.4789751077815107e-05,observed numerical change; not a physical certificate
axial30,domain_3_5,excess_outside_mass,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,2.7220677055531106e-06,2.7221911397708187e-06,1.2343421770810714e-10,4.534369975155348e-05,observed numerical change; not a physical certificate
axial30,domain_3_5,hold_excess_mean_n,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,9.14542028170474e-07,9.3294501217207e-07,1.8402984001595947e-08,0.019725689897575387,observed numerical change; not a physical certificate
axial30,domain_3_5,last_cycle_net_transfer,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,5.260567626820534e-08,5.7354813735741245e-08,4.749137467535908e-09,0.08280277030306933,observed numerical change; not a physical certificate
axial30,domain_3_5,last_cycle_registry_amplitude,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,0.0004608555806501986,0.00046083082225929057,2.475839090801445e-08,5.3725553309635006e-05,observed numerical change; not a physical certificate
axial30,domain_3_5,last_cycle_registry_phase_deg,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,-42.297072627861375,-42.29758067220656,0.0005080443451817018,1.2011191588447852e-05,observed numerical change; not a physical certificate
axial30,domain_3_5,last_cycle_external_work_ev,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,1.5529640968158846e-06,1.552897827296988e-06,6.626951889655756e-11,4.267474506800483e-05,observed numerical change; not a physical certificate
axial30,domain_3_5,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w5_dt128_upper2,0.266028040697898,0.26733783707566394,0.0013097963777659594,0.0048994051575095635,observed numerical change; not a physical certificate
axial30,domain_5_7,end_outside_mass,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,0.02203199746010686,0.02203199746097034,8.634794268491675e-13,3.919206274323608e-11,observed numerical change; not a physical certificate
axial30,domain_5_7,excess_outside_mass,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,2.7221911397708187e-06,2.7221911443019164e-06,4.53109771925142e-15,1.664503879066649e-09,observed numerical change; not a physical certificate
axial30,domain_5_7,hold_excess_mean_n,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,9.3294501217207e-07,9.330979512697394e-07,1.52939097669442e-10,0.00016390465487714961,observed numerical change; not a physical certificate
axial30,domain_5_7,last_cycle_net_transfer,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,5.7354813735741245e-08,5.739574026093769e-08,4.092652519644248e-11,0.000713058582577359,observed numerical change; not a physical certificate
axial30,domain_5_7,last_cycle_registry_amplitude,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,0.00046083082225929057,0.00046083070109855754,1.2116073303067992e-10,2.6291810146730513e-07,observed numerical change; not a physical certificate
axial30,domain_5_7,last_cycle_registry_phase_deg,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,-42.29758067220656,-42.29758417862863,3.5064220753611153e-06,8.28988733860781e-08,observed numerical change; not a physical certificate
axial30,domain_5_7,last_cycle_external_work_ev,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,1.552897827296988e-06,1.5528975340094395e-06,2.932875485255369e-13,1.8886471393144352e-07,observed numerical change; not a physical certificate
axial30,domain_5_7,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w5_dt128_upper2,axial30_p40_a61_s49_w7_dt128_upper2,0.26733783707566394,0.2673416740290471,3.8369533831850156e-06,1.4352245668844447e-05,observed numerical change; not a physical certificate
axial50,a_only,end_outside_mass,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,0.02219582923003788,0.02219764818467551,1.8189546376300159e-06,8.194357449478631e-05,observed numerical change; not a physical certificate
axial50,a_only,excess_outside_mass,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,6.634781406025109e-06,6.636530582498912e-06,1.7491764738031268e-09,0.0002635679067637919,observed numerical change; not a physical certificate
axial50,a_only,hold_excess_mean_n,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,2.5412743644201532e-06,2.5424290739692915e-06,1.1547095491382518e-09,0.000454175717608317,observed numerical change; not a physical certificate
axial50,a_only,last_cycle_net_transfer,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,1.4982806808248872e-07,1.4989999435298385e-07,7.192627049512623e-11,0.000479828373613908,observed numerical change; not a physical certificate
axial50,a_only,last_cycle_registry_amplitude,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,0.0007577484095739307,0.0007578036819501432,5.527237621251197e-08,7.293759258370614e-05,observed numerical change; not a physical certificate
axial50,a_only,last_cycle_registry_phase_deg,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,-43.190666355187204,-43.187444295191334,0.003222059995870552,7.46064058305323e-05,observed numerical change; not a physical certificate
axial50,a_only,last_cycle_external_work_ev,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,4.33013074558766e-06,4.328515836202504e-06,1.614909385155932e-09,0.00037308616769962547,observed numerical change; not a physical certificate
axial50,a_only,cumulative_gross_grid_traffic,axial50_p40_a31_s25_w3_dt128_upper2,axial50_p40_a61_s25_w3_dt128_upper2,0.1379445348540173,0.13794294257901235,1.5922750049579548e-06,1.154299723630961e-05,observed numerical change; not a physical certificate
axial50,s_only,end_outside_mass,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,0.02219764818467551,0.02203555258596701,0.00016209559870850043,0.0073560941154581444,observed numerical change; not a physical certificate
axial50,s_only,excess_outside_mass,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,6.636530582498912e-06,6.603041323886144e-06,3.348925861276775e-08,0.005071792976915375,observed numerical change; not a physical certificate
axial50,s_only,hold_excess_mean_n,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,2.5424290739692915e-06,2.5449381778873393e-06,2.5091039180478348e-09,0.0009859193986907564,observed numerical change; not a physical certificate
axial50,s_only,last_cycle_net_transfer,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,1.4989999435298385e-07,1.5016253953129e-07,2.6254517830615054e-10,0.0017484066207567228,observed numerical change; not a physical certificate
axial50,s_only,last_cycle_registry_amplitude,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,0.0007578036819501432,0.0007680757610392036,1.027207908906036e-05,0.013373783694413525,observed numerical change; not a physical certificate
axial50,s_only,last_cycle_registry_phase_deg,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,-43.187444295191334,-42.298449836445016,0.8889944587463177,0.02101718767907059,observed numerical change; not a physical certificate
axial50,s_only,last_cycle_external_work_ev,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,4.328515836202504e-06,4.313817805690398e-06,1.4698030512105843e-08,0.00340719779419463,observed numerical change; not a physical certificate
axial50,s_only,cumulative_gross_grid_traffic,axial50_p40_a61_s25_w3_dt128_upper2,axial50_p40_a61_s49_w3_dt128_upper2,0.13794294257901235,0.26608394167682053,0.12814099909780818,0.48158110666236786,observed numerical change; not a physical certificate
axial50,combined_spatial,end_outside_mass,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,0.02203555258596701,0.022004661924816697,3.089066115031375e-05,0.0014038234832172306,observed numerical change; not a physical certificate
axial50,combined_spatial,excess_outside_mass,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,6.603041323886144e-06,6.597260190442655e-06,5.78113344348874e-09,0.000876293078733468,observed numerical change; not a physical certificate
axial50,combined_spatial,hold_excess_mean_n,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,2.5449381778873393e-06,2.5458074651043677e-06,8.692872170284112e-10,0.00034145835022632943,observed numerical change; not a physical certificate
axial50,combined_spatial,last_cycle_net_transfer,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,1.5016253953129e-07,1.502377330042659e-07,7.519347297590961e-11,0.0005004965894538261,observed numerical change; not a physical certificate
axial50,combined_spatial,last_cycle_registry_amplitude,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,0.0007680757610392036,0.0007700641511636454,1.988390124441834e-06,0.0025821097131156854,observed numerical change; not a physical certificate
axial50,combined_spatial,last_cycle_registry_phase_deg,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,-42.298449836445016,-42.12536508331373,0.17308475313128469,0.0041088012599763855,observed numerical change; not a physical certificate
axial50,combined_spatial,last_cycle_external_work_ev,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,4.313817805690398e-06,4.310246051685742e-06,3.5717540046562276e-09,0.0008286659187958216,observed numerical change; not a physical certificate
axial50,combined_spatial,cumulative_gross_grid_traffic,axial50_p40_a61_s49_w3_dt128_upper2,axial50_p40_a91_s73_w3_dt128_upper2,0.26608394167682053,0.39518799129041826,0.12910404961359773,0.3266902144268876,observed numerical change; not a physical certificate
axial50,dt_64_128,end_outside_mass,axial50_p40_a61_s49_w3_dt64_upper2,axial50_p40_a61_s49_w3_dt128_upper2,0.02203549196362603,0.02203555258596701,6.062234098047625e-08,2.7511150784157154e-06,observed numerical change; not a physical certificate
axial50,dt_64_128,excess_outside_mass,axial50_p40_a61_s49_w3_dt64_upper2,axial50_p40_a61_s49_w3_dt128_upper2,6.717203774441599e-06,6.603041323886144e-06,1.1416245055545504e-07,0.017289373934777384,observed numerical change; not a physical certificate
axial50,dt_64_128,hold_excess_mean_n,axial50_p40_a61_s49_w3_dt64_upper2,axial50_p40_a61_s49_w3_dt128_upper2,2.562273313292035e-06,2.5449381778873393e-06,1.7335135404695722e-08,0.006811613561114616,observed numerical change; not a physical certificate
axial50,dt_64_128,last_cycle_net_transfer,axial50_p40_a61_s49_w3_dt64_upper2,axial50_p40_a61_s49_w3_dt128_upper2,1.5130788255136862e-07,1.5016253953129e-07,1.1453430200786263e-09,0.007627355155644304,observed numerical change; not a physical certificate
axial50,dt_64_128,last_cycle_registry_amplitude,axial50_p40_a61_s49_w3_dt64_upper2,axial50_p40_a61_s49_w3_dt128_upper2,0.0007597671985247372,0.0007680757610392036,8.308562514466379e-06,0.010817373670567244,observed numerical change; not a physical certificate
