grid,s_reduced,fixed_domain_F_minus_F0_ev,conditional_a_over_h,sampled_min_a_over_h
grid_a85_s49_upper2.5.npz,-0.3673469387755103,0.16204892943851915,1.1051111679116379,1.091764705882353
grid_a85_s49_upper2.5.npz,-0.34693877551020413,0.154387493275676,1.1001450019506163,1.091764705882353
grid_a85_s49_upper2.5.npz,-0.326530612244898,0.1457683665404769,1.0946450252280304,1.0705882352941176
grid_a85_s49_upper2.5.npz,-0.30612244897959184,0.13626325486807692,1.0886784387353972,1.0705882352941176
grid_a85_s49_upper2.5.npz,-0.2857142857142858,0.12596258210320668,1.0823196644134367,1.0705882352941176
grid_a85_s49_upper2.5.npz,-0.2653061224489798,0.11497809562670475,1.0756504244012406,1.0705882352941176
grid_a85_s49_upper2.5.npz,-0.24489795918367363,0.1034451691150147,1.0687599771433562,1.0494117647058823
grid_a85_s49_upper2.5.npz,-0.22448979591836749,0.09152452782350273,1.0617454513668223,1.0494117647058823
grid_a85_s49_upper2.5.npz,-0.20408163265306134,0.07940306156472646,1.0547121603353713,1.0494117647058823
grid_a85_s49_upper2.5.npz,-0.1836734693877552,0.0672933384521292,1.0477737130204756,1.028235294117647
grid_a85_s49_upper2.5.npz,-0.16326530612244905,0.05543140516198592,1.0410516741889329,1.028235294117647
grid_a85_s49_upper2.5.npz,-0.1428571428571429,0.04407248117999226,1.034674476573295,1.028235294117647
grid_a85_s49_upper2.5.npz,-0.12244897959183676,0.033484253925082204,1.0287752776878725,1.028235294117647
grid_a85_s49_upper2.5.npz,-0.10204081632653073,0.02393768391414363,1.0234885097079334,1.0070588235294118
grid_a85_s49_upper2.5.npz,-0.08163265306122469,0.015695542252484325,1.0189450189174103,1.0070588235294118
grid_a85_s49_upper2.5.npz,-0.061224489795918546,0.008999301660435492,1.0152659389987424,1.0070588235294118
grid_a85_s49_upper2.5.npz,-0.0408163265306124,0.0040554190505967605,1.0125557604959425,1.0070588235294118
grid_a85_s49_upper2.5.npz,-0.020408163265306256,0.0010223786875671395,1.0108953719852922,1.0070588235294118
grid_a85_s49_upper2.5.npz,-1.1102230246251565e-16,0.0,1.0103360504486225,1.0070588235294118
grid_a85_s49_upper2.5.npz,0.020408163265306034,0.0010223786875671395,1.0108953719852922,1.0070588235294118
grid_a85_s49_upper2.5.npz,0.04081632653061218,0.0040554190505967605,1.0125557604959425,1.0070588235294118
grid_a85_s49_upper2.5.npz,0.061224489795918324,0.008999301660435492,1.0152659389987424,1.0070588235294118
grid_a85_s49_upper2.5.npz,0.08163265306122436,0.015695542252484325,1.0189450189174103,1.0070588235294118
grid_a85_s49_upper2.5.npz,0.10204081632653039,0.02393768391414363,1.0234885097079334,1.0070588235294118
grid_a85_s49_upper2.5.npz,0.12244897959183654,0.033484253925082204,1.0287752776878725,1.028235294117647
grid_a85_s49_upper2.5.npz,0.14285714285714268,0.04407248117999226,1.034674476573295,1.028235294117647
grid_a85_s49_upper2.5.npz,0.16326530612244883,0.05543140516198592,1.0410516741889329,1.028235294117647
grid_a85_s49_upper2.5.npz,0.18367346938775497,0.0672933384521292,1.0477737130204756,1.028235294117647
grid_a85_s49_upper2.5.npz,0.20408163265306112,0.07940306156472646,1.0547121603353713,1.0494117647058823
grid_a85_s49_upper2.5.npz,0.22448979591836726,0.09152452782350273,1.0617454513668223,1.0494117647058823
grid_a85_s49_upper2.5.npz,0.2448979591836734,0.1034451691150147,1.0687599771433562,1.0494117647058823
grid_a85_s49_upper2.5.npz,0.26530612244897944,0.11497809562670475,1.0756504244012406,1.0705882352941176
grid_a85_s49_upper2.5.npz,0.2857142857142855,0.12596258210320668,1.0823196644134367,1.0705882352941176
grid_a85_s49_upper2.5.npz,0.3061224489795916,0.13626325486807692,1.0886784387353972,1.0705882352941176
grid_a85_s49_upper2.5.npz,0.32653061224489777,0.1457683665404769,1.0946450252280304,1.0705882352941176
grid_a85_s49_upper2.5.npz,0.3469387755102039,0.154387493275676,1.1001450019506163,1.091764705882353
grid_a85_s49_upper2.5.npz,0.36734693877551006,0.16204892943851915,1.1051111679116379,1.091764705882353
grid_a85_s49_upper2.5.npz,0.3877551020408162,0.16869699691911408,1.1094836323860944,1.091764705882353
grid_a85_s49_upper2.5.npz,0.40816326530612235,0.17428943564757743,1.1132100502250055,1.091764705882353
grid_a85_s49_upper2.5.npz,0.4285714285714285,0.17879499978260588,1.1162459592841765,1.091764705882353
grid_a85_s49_upper2.5.npz,0.44897959183673464,0.1821913502968624,1.1185551664933224,1.091764705882353
grid_a85_s49_upper2.5.npz,0.46938775510204067,0.18446330826760415,1.1201101289175532,1.112941176470588
grid_a85_s49_upper2.5.npz,0.4897959183673467,0.18560151289467575,1.1208922826384387,1.112941176470588
grid_a91_s73_upper2.npz,-0.4931506849315068,0.18567973930819032,1.1209461043629823,1.1071428571428572
grid_a91_s73_upper2.npz,-0.4794520547945206,0.1851666918760465,1.1205932192771688,1.1071428571428572
grid_a91_s73_upper2.npz,-0.46575342465753433,0.18414148566058725,1.1198893502975258,1.1071428571428572
grid_a91_s73_upper2.npz,-0.452054794520548,0.1826059400131808,1.1188382880426802,1.1071428571428572
grid_a91_s73_upper2.npz,-0.43835616438356173,0.18056288878456667,1.1174456895337934,1.1071428571428572
grid_a91_s73_upper2.npz,-0.4246575342465755,0.1780163052196968,1.1157190449292593,1.0928571428571427
grid_a91_s73_upper2.npz,-0.41095890410958913,0.1749714669235784,1.113667635551191,1.0928571428571427
grid_a91_s73_upper2.npz,-0.3972602739726028,0.17143515941888882,1.1113024852464835,1.0928571428571427
grid_a91_s73_upper2.npz,-0.3835616438356164,0.16741591627111402,1.1086363076084287,1.0928571428571427
grid_a91_s73_upper2.npz,-0.36986301369863017,0.1629242930974829,1.1056834520071563,1.0928571428571427
grid_a91_s73_upper2.npz,-0.3561643835616439,0.15797317197971922,1.1024598516937998,1.0928571428571427
grid_a91_s73_upper2.npz,-0.34246575342465757,0.1525780918454429,1.0989829774012396,1.0785714285714285
grid_a91_s73_upper2.npz,-0.3287671232876713,0.14675759924569048,1.0952717998080177,1.0785714285714285
grid_a91_s73_upper2.npz,-0.3150684931506851,0.14053361261351888,1.0913467639083723,1.0785714285714285
grid_a91_s73_upper2.npz,-0.3013698630136987,0.1339317915196217,1.0872297776944564,1.0785714285714285
grid_a91_s73_upper2.npz,-0.28767123287671237,0.12698190062973874,1.0829442165726768,1.0642857142857143
grid_a91_s73_upper2.npz,-0.273972602739726,0.11971815601126194,1.078514943584548,1.0642857142857143
grid_a91_s73_upper2.npz,-0.26027397260273977,0.11217953915007818,1.0739683437794834,1.0642857142857143
grid_a91_s73_upper2.npz,-0.24657534246575352,0.10441006157404341,1.06933236900629,1.05
grid_a91_s73_upper2.npz,-0.23287671232876717,0.09645896043664272,1.0646365869873793,1.05
grid_a91_s73_upper2.npz,-0.21917808219178092,0.08838080296027594,1.059912225879964,1.05
grid_a91_s73_upper2.npz,-0.20547945205479468,0.08023547552465209,1.055192202719626,1.0357142857142858
grid_a91_s73_upper2.npz,-0.19178082191780832,0.07208803176038144,1.0505111213526228,1.0357142857142858
grid_a91_s73_upper2.npz,-0.17808219178082196,0.06400837371991085,1.045905222946181,1.0357142857142858
grid_a91_s73_upper2.npz,-0.1643835616438356,0.056070741580229594,1.04141227027471,1.0357142857142858
grid_a91_s73_upper2.npz,-0.15068493150684936,0.04835299095856403,1.0370713461769687,1.0214285714285714
grid_a91_s73_upper2.npz,-0.13698630136986312,0.040935643330113916,1.032922547416661,1.0214285714285714
grid_a91_s73_upper2.npz,-0.12328767123287676,0.0339007046088754,1.0290065582375107,1.0214285714285714
grid_a91_s73_upper2.npz,-0.10958904109589052,0.02733025977158683,1.0253640936826616,1.0214285714285714
grid_a91_s73_upper2.npz,-0.09589041095890427,0.021304867102106342,1.022035211503765,1.007142857142857
grid_a91_s73_upper2.npz,-0.08219178082191791,0.015901793270582665,1.0190585030460215,1.007142857142857
grid_a91_s73_upper2.npz,-0.06849315068493156,0.011193148501213918,1.0164701871025406,1.007142857142857
grid_a91_s73_upper2.npz,-0.0547945205479452,0.007243997490511939,1.0143031449708584,1.007142857142857
grid_a91_s73_upper2.npz,-0.04109589041095896,0.004110534242000877,1.0125859478464658,1.007142857142857
grid_a91_s73_upper2.npz,-0.027397260273972712,0.0018384154492457894,1.0113419370144399,1.007142857142857
grid_a91_s73_upper2.npz,-0.013698630136986356,0.00046134590901594774,1.0105884209916867,1.007142857142857
grid_a91_s73_upper2.npz,-1.1102230246251565e-16,0.0,1.0103360504400847,1.007142857142857
grid_a91_s73_upper2.npz,0.013698630136986134,0.00046134590901594774,1.0105884209916867,1.007142857142857
grid_a91_s73_upper2.npz,0.02739726027397249,0.0018384154492457894,1.0113419370144399,1.007142857142857
grid_a91_s73_upper2.npz,0.041095890410958846,0.004110534242000877,1.0125859478464658,1.007142857142857
grid_a91_s73_upper2.npz,0.0547945205479452,0.007243997490511939,1.0143031449708584,1.007142857142857
grid_a91_s73_upper2.npz,0.06849315068493145,0.011193148501213918,1.0164701871025406,1.007142857142857
grid_a91_s73_upper2.npz,0.08219178082191769,0.015901793270582665,1.0190585030460215,1.007142857142857
grid_a91_s73_upper2.npz,0.09589041095890405,0.021304867102106342,1.022035211503765,1.007142857142857
grid_a91_s73_upper2.npz,0.1095890410958903,0.02733025977158683,1.0253640936826616,1.0214285714285714
grid_a91_s73_upper2.npz,0.12328767123287654,0.0339007046088754,1.0290065582375107,1.0214285714285714
grid_a91_s73_upper2.npz,0.1369863013698629,0.040935643330113916,1.032922547416661,1.0214285714285714
grid_a91_s73_upper2.npz,0.15068493150684925,0.04835299095856403,1.0370713461769687,1.0214285714285714
grid_a91_s73_upper2.npz,0.1643835616438356,0.056070741580229594,1.04141227027471,1.0357142857142858
grid_a91_s73_upper2.npz,0.17808219178082185,0.06400837371991085,1.045905222946181,1.0357142857142858
