candidate,metric,target,reference,prediction,units,role,scale,error,normalized_residual
historical,independent_cubic,C11_GPa,113.99999999999996,87.81616955806348,GPa,fit,5.699999999999998,-26.18383044193648,-4.5936544634976295
historical,independent_cubic,C12_GPa,62.000000000000014,64.83263414445743,GPa,fit,3.100000000000001,2.8326341444574155,0.9137529498249725
historical,independent_cubic,C44_GPa,32.0,49.27104857203213,GPa,fit,1.6,17.27104857203213,10.79440535752008
historical,independent_cubic,perfect_Haa,19.66091286328976,22.902007120346788,eV/L0^2,fit,1.9660912863289761,3.2410942570570285,1.6484963234381136
historical,independent_cubic,perfect_Hxx,4.393593035123306,4.945211215219163,eV/L0^2,fit,0.43935930351233066,0.5516181800958568,1.2555058597510174
historical,independent_cubic,saddle_energy_at_source_state,0.07624909750742465,0.07330850624166689,eV/cell,fit,0.007624909750742465,-0.0029405912657577554,-0.3856558781527112
historical,independent_cubic,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.19201717063350807,eV/L0,fit,0.03173805605024358,0.19201717063350657,6.050060858470029
historical,independent_cubic,fault_energy_at_source_state,0.06670794504308616,0.05655663699416266,eV/cell,fit,0.006670794504308616,-0.010151308048923502,-1.5217539743379664
historical,independent_cubic,fault_normal_force_at_source_state,5.29078226360765e-15,0.11459941604522933,eV/L0,fit,0.03173805605024358,0.11459941604522404,3.610788759834726
historical,independent_cubic,saddle_path_force_at_source_state,2.296700476743968e-16,-0.1002547510055404,eV/L0,fit,0.03173805605024358,-0.10025475100554064,-3.1588182605396593
historical,independent_cubic,opening_1.1h_energy,0.05670265774764735,0.052736151161659965,eV/cell,fit,0.005670265774764736,-0.003966506585987385,-0.6995274548928809
historical,independent_cubic,opening_1.5h_energy,0.4710312483934004,0.4055972942884202,eV/cell,fit,0.04710312483934004,-0.06543395410498021,-1.3891637620256236
historical,independent_cubic,opening_2h_energy,0.7060534019484034,0.6432885859985569,eV/cell,fit,0.07060534019484034,-0.06276481594984651,-0.888952815419381
historical,independent_cubic,opening_40h_energy,0.7719163228888833,0.7814396545038739,eV/cell,fit,0.07719163228888834,0.009523331614990527,0.12337259017077945
historical,independent_cubic,direct_quarter_energy,0.117221996542065,0.13737163970023514,eV/cell,heldout,0.0117221996542065,0.02014964315817014,1.7189302138305977
historical,independent_cubic,direct_half_energy,0.26732847628894163,0.3014351407762327,eV/cell,heldout,0.026732847628894163,0.03410666448729105,1.2758335722688556
historical,independent_cubic,oblique_energy,0.13339289745734875,0.1374729254511243,eV/cell,heldout,0.013339289745734876,0.004080027993775548,0.30586545997174264
historical,independent_cubic,opening_1.25h_energy,0.24853683654490819,0.19997904266117422,eV/cell,heldout,0.02485368365449082,-0.04855779388373396,-1.9537463564263255
historical,independent_cubic,opening_3h_energy,0.7719163228888833,0.7654370075837443,eV/cell,heldout,0.07719163228888834,-0.006479315305139011,-0.08393805277870386
historical,independent_cubic,saddle_Haa,12.717337762538286,17.426385233625265,eV/L0^2,heldout,1.2717337762538286,4.709047471086979,3.7028563359844964
historical,independent_cubic,saddle_Hxx,-0.18642463121762062,0.6843712505110633,eV/L0^2,heldout,0.018642463121762064,0.8707958817286839,46.710344874555254
historical,independent_cubic,fault_Haa,14.140554350039636,18.45615271320163,eV/L0^2,heldout,1.4140554350039638,4.3155983631619925,3.051930112732741
historical,independent_cubic,fault_Hxx,2.4858929774856264,2.7520902976900428,eV/L0^2,heldout,0.24858929774856264,0.26619732020441633,1.0708317800296594
v10_exchange,legacy_modes,normal_strain_force_ev,0.0,1.4210854715202004e-14,eV/strain,exact,0.1,1.4210854715202004e-14,1.4210854715202004e-13
v10_exchange,legacy_modes,cohesive_ev_atom,3.36,3.360000000000005,eV/atom,exact,0.0672,5.329070518200751e-15,7.930164461608262e-14
v10_exchange,legacy_modes,hydrostatic_strain_curvature_ev,74.01042469890372,66.46744456429309,eV/strain^2,fit,3.700521234945186,-7.54298013461063,-2.038356127612482
v10_exchange,legacy_modes,normal_strain_curvature_ev,12.646038954154417,14.647106839490089,eV/strain^2,fit,0.6323019477077209,2.0010678853356723,3.164734653420138
v10_exchange,legacy_modes,simple_shear_strain_curvature_ev,2.90236959603544,2.541612183460507,eV/strain^2,fit,0.145118479801772,-0.3607574125749329,-2.4859508800513757
v10_exchange,legacy_modes,perfect_Haa,19.66091286328976,22.516023216576365,eV/L0^2,fit,1.9660912863289761,2.855110353286605,1.4521758847818187
v10_exchange,legacy_modes,perfect_Hxx,4.393593035123306,4.804458154627653,eV/L0^2,fit,0.43935930351233066,0.4108651195043471,0.9351460552213302
v10_exchange,legacy_modes,saddle_energy_at_source_state,0.07624909750742465,0.07390967986058665,eV/cell,fit,0.007624909750742465,-0.0023394176468379962,-0.30681250313948943
v10_exchange,legacy_modes,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.007593854700010481,eV/L0,fit,0.03173805605024358,0.007593854700008991,0.23926653503879958
v10_exchange,legacy_modes,fault_energy_at_source_state,0.06670794504308616,0.06739277099234092,eV/cell,fit,0.006670794504308616,0.0006848259492547581,0.10266032761351503
v10_exchange,legacy_modes,fault_normal_force_at_source_state,5.29078226360765e-15,0.02292046497398828,eV/L0,fit,0.03173805605024358,0.02292046497398299,0.7221760821676753
v10_exchange,legacy_modes,saddle_path_force_at_source_state,2.296700476743968e-16,-0.009268993395728738,eV/L0,fit,0.03173805605024358,-0.009268993395728967,-0.29204666413895974
v10_exchange,legacy_modes,opening_1.1h_energy,0.05670265774764735,0.04922053999246195,eV/cell,fit,0.005670265774764736,-0.007482117755185404,-1.31953563596335
v10_exchange,legacy_modes,opening_1.5h_energy,0.4710312483934004,0.40393118122149474,eV/cell,fit,0.04710312483934004,-0.06710006717190564,-1.4245353657697115
v10_exchange,legacy_modes,opening_2h_energy,0.7060534019484034,0.6801383687783251,eV/cell,fit,0.07060534019484034,-0.02591503317007826,-0.36704069548512797
v10_exchange,legacy_modes,opening_40h_energy,0.7719163228888833,0.8315859767841521,eV/cell,fit,0.07719163228888834,0.05966965389526879,0.7730067641523132
v10_exchange,legacy_modes,direct_quarter_energy,0.117221996542065,0.14403009034010056,eV/cell,heldout,0.0117221996542065,0.02680809379803556,2.2869507932681814
v10_exchange,legacy_modes,direct_half_energy,0.26732847628894163,0.3376819095468409,eV/cell,heldout,0.026732847628894163,0.07035343325789928,2.6317223752047223
v10_exchange,legacy_modes,oblique_energy,0.13339289745734875,0.09513133904499077,eV/cell,heldout,0.013339289745734876,-0.03826155841235798,-2.8683355067380396
v10_exchange,legacy_modes,opening_1.25h_energy,0.24853683654490819,0.18460196760055259,eV/cell,heldout,0.02485368365449082,-0.0639348689443556,-2.572450419549908
v10_exchange,legacy_modes,opening_3h_energy,0.7719163228888833,0.7463288147912502,eV/cell,heldout,0.07719163228888834,-0.025587508097633105,-0.3314803345765808
v10_exchange,legacy_modes,saddle_Haa,12.717337762538286,18.761686695137534,eV/L0^2,heldout,1.2717337762538286,6.044348932599249,4.752841392955849
v10_exchange,legacy_modes,saddle_Hxx,-0.18642463121762062,0.3397650261837786,eV/L0^2,heldout,0.018642463121762064,0.5261896574013992,28.225329129773513
v10_exchange,legacy_modes,fault_Haa,14.140554350039636,17.83633362451177,eV/L0^2,heldout,1.4140554350039638,3.695779274472134,2.613602821350334
v10_exchange,legacy_modes,fault_Hxx,2.4858929774856264,1.8406413677768505,eV/L0^2,heldout,0.24858929774856264,-0.6452516097087759,-2.5956532141678124
v10_exchange,independent_cubic,normal_strain_force_ev,0.0,1.4210854715202004e-14,eV/strain,exact,0.1,1.4210854715202004e-14,1.4210854715202004e-13
v10_exchange,independent_cubic,cohesive_ev_atom,3.36,3.360000000000005,eV/atom,exact,0.0672,5.329070518200751e-15,7.930164461608262e-14
v10_exchange,independent_cubic,C11_GPa,113.99999999999996,85.25867788363038,GPa,fit,5.699999999999998,-28.741322116369574,-5.042337213398172
v10_exchange,independent_cubic,C12_GPa,62.000000000000014,64.24244209889052,GPa,fit,3.100000000000001,2.242442098890507,0.7233684189969375
v10_exchange,independent_cubic,C44_GPa,32.0,52.542770519044296,GPa,fit,1.6,20.542770519044296,12.839231574402685
v10_exchange,independent_cubic,perfect_Haa,19.66091286328976,22.516023216576365,eV/L0^2,fit,1.9660912863289761,2.855110353286605,1.4521758847818187
v10_exchange,independent_cubic,perfect_Hxx,4.393593035123306,4.804458154627653,eV/L0^2,fit,0.43935930351233066,0.4108651195043471,0.9351460552213302
v10_exchange,independent_cubic,saddle_energy_at_source_state,0.07624909750742465,0.07390967986058665,eV/cell,fit,0.007624909750742465,-0.0023394176468379962,-0.30681250313948943
