run,parameter,value,units
rational_direct_svd,A,17.92571823187185,eV per normalized site basis
rational_direct_svd,B,35.40937266275977,eV per normalized site basis
rational_direct_svd,C,2.249933664137509,eV per normalized site basis
rational_direct_svd,D3,162.40753944489407,eV per normalized site basis
rational_direct_svd,D1,3.195190441372921,eV per normalized site basis
rational_direct_svd,D2,5.506877877394785,eV per normalized site basis
rational_direct_svd,D_E,0.27202308861347013,eV per normalized site basis
rational_direct_svd,K3,518983.7404544781,eV per normalized site basis
rational_direct_svd,shape_0,2.359476304043065,see definition.json: reduced exponential decay or declared extension shape
rational_direct_svd,shape_1,4.400023998396962,see definition.json: reduced exponential decay or declared extension shape
rational_direct_svd,shape_2,11.50241316101267,see definition.json: reduced exponential decay or declared extension shape
rational_direct_svd,shape_3,934.8749637387139,see definition.json: reduced exponential decay or declared extension shape
spatial_stiffness_fit,u,0.4764648793864645,eV per normalized site basis
spatial_stiffness_fit,v,2.746257423923284,eV per normalized site basis
spatial_stiffness_fit,A,14.670170789488468,eV per normalized site basis
spatial_stiffness_fit,B,29.530597673375418,eV per normalized site basis
spatial_stiffness_fit,C,1.263540315583659,eV per normalized site basis
spatial_stiffness_fit,D3,41.728166910152574,eV per normalized site basis
spatial_stiffness_fit,D1,16.62223316293381,eV per normalized site basis
spatial_stiffness_fit,D2,3.548494272855348,eV per normalized site basis
spatial_stiffness_fit,D_E,0.2805529775827269,eV per normalized site basis
spatial_stiffness_fit,K3,254074.05410460863,eV per normalized site basis
spatial_stiffness_fit,shape_0,2.9001205503037526,see definition.json: reduced exponential decay or declared extension shape
spatial_stiffness_fit,shape_1,5.106153345950392,see definition.json: reduced exponential decay or declared extension shape
spatial_stiffness_fit,shape_2,11.999999999999995,see definition.json: reduced exponential decay or declared extension shape
spectral_cross_fit,u,0.7297189136729687,eV per normalized site basis
spectral_cross_fit,v,4.196577734083128,eV per normalized site basis
spectral_cross_fit,A,23.47072900631897,eV per normalized site basis
spectral_cross_fit,B,47.285801063026206,eV per normalized site basis
spectral_cross_fit,C,1.2730016644369657,eV per normalized site basis
spectral_cross_fit,D3,222.12683434202847,eV per normalized site basis
spectral_cross_fit,D1,24.797908107084623,eV per normalized site basis
spectral_cross_fit,D2,338.5629531151257,eV per normalized site basis
spectral_cross_fit,D_E,0.000789947468272606,eV per normalized site basis
spectral_cross_fit,K3,62478.353773688104,eV per normalized site basis
spectral_cross_fit,E_xI,-564.0391771684396,eV per normalized site basis
spectral_cross_fit,shape_0,2.5847703553127874,see definition.json: reduced exponential decay or declared extension shape
spectral_cross_fit,shape_1,4.600403080368724,see definition.json: reduced exponential decay or declared extension shape
spectral_cross_fit,shape_2,4.486561078085058,see definition.json: reduced exponential decay or declared extension shape
spectral_refined_fit,u,0.7287384857098302,eV per normalized site basis
spectral_refined_fit,v,4.188567178844881,eV per normalized site basis
spectral_refined_fit,A,23.447454425360917,eV per normalized site basis
spectral_refined_fit,B,47.20388223325361,eV per normalized site basis
spectral_refined_fit,C,1.2663021647924517,eV per normalized site basis
spectral_refined_fit,D3,236.06428092277847,eV per normalized site basis
spectral_refined_fit,D1,26.826487346817345,eV per normalized site basis
spectral_refined_fit,D2,351.073483942508,eV per normalized site basis
spectral_refined_fit,D_E,0.00019285220019704674,eV per normalized site basis
spectral_refined_fit,K3,83929.95106252062,eV per normalized site basis
spectral_refined_fit,shape_0,2.5836502535673174,see definition.json: reduced exponential decay or declared extension shape
spectral_refined_fit,shape_1,4.552390064895911,see definition.json: reduced exponential decay or declared extension shape
spectral_refined_fit,shape_2,4.45527411738198,see definition.json: reduced exponential decay or declared extension shape
strain_cross_bloch,u,0.48868428162807914,eV per normalized site basis
strain_cross_bloch,v,2.89874696878298,eV per normalized site basis
strain_cross_bloch,A,14.615481543859158,eV per normalized site basis
strain_cross_bloch,B,30.611732946135096,eV per normalized site basis
strain_cross_bloch,C,1.3714510753076998,eV per normalized site basis
strain_cross_bloch,D3,61.20759036418386,eV per normalized site basis
strain_cross_bloch,D1,11.113969207034136,eV per normalized site basis
strain_cross_bloch,D2,3.8856635311635204,eV per normalized site basis
strain_cross_bloch,D_E,0.3344912364227172,eV per normalized site basis
strain_cross_bloch,K3,206245.96561220757,eV per normalized site basis
strain_cross_bloch,E_xI,-1063.6846361911537,eV per normalized site basis
strain_cross_bloch,shape_0,3.007471762194739,see definition.json: reduced exponential decay or declared extension shape
strain_cross_bloch,shape_1,5.205162352862228,see definition.json: reduced exponential decay or declared extension shape
strain_cross_bloch,shape_2,11.999999183119678,see definition.json: reduced exponential decay or declared extension shape
strain_stable_cross,u,0.5629558475016155,eV per normalized site basis
strain_stable_cross,v,3.2869178824924274,eV per normalized site basis
strain_stable_cross,A,18.30063178946739,eV per normalized site basis
strain_stable_cross,B,37.02355355546006,eV per normalized site basis
strain_stable_cross,C,1.7433524395009181,eV per normalized site basis
strain_stable_cross,D3,193.63662071272273,eV per normalized site basis
strain_stable_cross,D1,8.469527250250753,eV per normalized site basis
strain_stable_cross,D2,8.462443301015622,eV per normalized site basis
strain_stable_cross,D_E,0.2271444035365987,eV per normalized site basis
strain_stable_cross,K3,138789.1490037443,eV per normalized site basis
strain_stable_cross,E_xI,-983.7853454731743,eV per normalized site basis
strain_stable_cross,shape_0,2.6194864505552564,see definition.json: reduced exponential decay or declared extension shape
strain_stable_cross,shape_1,4.704312878441584,see definition.json: reduced exponential decay or declared extension shape
strain_stable_cross,shape_2,9.987262048464206,see definition.json: reduced exponential decay or declared extension shape
strain_stable_quartic,u,0.5269551440966778,eV per normalized site basis
strain_stable_quartic,v,3.0730020231639874,eV per normalized site basis
strain_stable_quartic,A,17.526241395273583,eV per normalized site basis
strain_stable_quartic,B,35.08470349978276,eV per normalized site basis
strain_stable_quartic,C,1.9064761380364845,eV per normalized site basis
strain_stable_quartic,D3,175.90945923657102,eV per normalized site basis
strain_stable_quartic,D1,15.391499336435214,eV per normalized site basis
strain_stable_quartic,D2,5.961564207260396,eV per normalized site basis
strain_stable_quartic,D_E,0.2585516161455323,eV per normalized site basis
strain_stable_quartic,K3,171171.9823952848,eV per normalized site basis
strain_stable_quartic,shape_0,2.54825785609907,see definition.json: reduced exponential decay or declared extension shape
strain_stable_quartic,shape_1,4.678211074906818,see definition.json: reduced exponential decay or declared extension shape
strain_stable_quartic,shape_2,11.048742006284282,see definition.json: reduced exponential decay or declared extension shape
