occupation,charge_rate,time_model,survival,projected_hard_basin_limit_survival,difference_from_limit,MFPT_model,hard_basin_limit_MFPT_model,boundary_charge_rate,spatial_rate
0.2,100000.0,20.0,0.05513430664011948,0.05513208658858152,2.2200515379586228e-06,7.5001199994358565,7.5,20000.0,0.4
0.8,0.01,0.0,1.0,1.0,0.0,33.51793993146541,7.5,0.008,0.4
0.8,0.01,0.2,0.9976340051701058,0.9970429006656347,0.000591104504471085,33.51793993146541,7.5,0.008,0.4
0.8,0.01,2.0,0.8730370843763283,0.8415099111074295,0.03152717326889887,33.51793993146541,7.5,0.008,0.4
0.8,0.01,8.0,0.4727480421001639,0.344831136903223,0.12791690519694093,33.51793993146541,7.5,0.008,0.4
0.8,0.01,20.0,0.22914538587084374,0.05513208658858152,0.17401329928226222,33.51793993146541,7.5,0.008,0.4
0.8,0.1,0.0,1.0,1.0,0.0,10.846153846153838,7.5,0.08000000000000002,0.4
0.8,0.1,0.2,0.9976311782291112,0.9970429006656347,0.0005882775634764581,10.846153846153838,7.5,0.08000000000000002,0.4
0.8,0.1,2.0,0.8715602107777933,0.8415099111074295,0.030050299670363878,10.846153846153838,7.5,0.08000000000000002,0.4
0.8,0.1,8.0,0.44919876927687163,0.344831136903223,0.10436763237364866,10.846153846153838,7.5,0.08000000000000002,0.4
0.8,0.1,20.0,0.1471353223860471,0.05513208658858152,0.09200323579746558,10.846153846153838,7.5,0.08000000000000002,0.4
0.8,1.0,0.0,1.0,1.0,0.0,8.074675324675322,7.5,0.8,0.4
0.8,1.0,0.2,0.9976039946023549,0.9970429006656347,0.0005610939367202139,8.074675324675322,7.5,0.8,0.4
0.8,1.0,2.0,0.8612641733431735,0.8415099111074295,0.019754262235744058,8.074675324675322,7.5,0.8,0.4
0.8,1.0,8.0,0.376911665450279,0.344831136903223,0.03208052854705601,8.074675324675322,7.5,0.8,0.4
0.8,1.0,20.0,0.06742293636657655,0.05513208658858152,0.012290849777995029,8.074675324675322,7.5,0.8,0.4
0.8,10.0,0.0,1.0,1.0,0.0,7.572218406593399,7.5,8.0,0.4
0.8,10.0,0.2,0.9974133866156554,0.9970429006656347,0.0003704859500206492,7.572218406593399,7.5,8.0,0.4
0.8,10.0,2.0,0.8452163234004566,0.8415099111074295,0.0037064122930271504,7.572218406593399,7.5,8.0,0.4
0.8,10.0,8.0,0.348801278692441,0.344831136903223,0.003970141789218007,7.572218406593399,7.5,8.0,0.4
0.8,10.0,20.0,0.0564926457174367,0.05513208658858152,0.0013605591288551808,7.572218406593399,7.5,8.0,0.4
0.8,100.0,0.0,1.0,1.0,0.0,7.507470237626529,7.5,80.0,0.4
0.8,100.0,0.2,0.997112203331475,0.9970429006656347,6.930266584026512e-05,7.507470237626529,7.5,80.0,0.4
0.8,100.0,2.0,0.8419051318442232,0.8415099111074295,0.00039522073679376657,7.507470237626529,7.5,80.0,0.4
0.8,100.0,8.0,0.34523996592935363,0.344831136903223,0.00040882902613065264,7.507470237626529,7.5,80.0,0.4
0.8,100.0,20.0,0.05527054838106331,0.05513208658858152,0.00013846179248178797,7.507470237626529,7.5,80.0,0.4
0.8,1000.0,0.0,1.0,1.0,0.0,7.500749700240348,7.5,800.0,0.4
0.8,1000.0,0.2,0.9970502472013018,0.9970429006656347,7.346535667029919e-06,7.500749700240348,7.5,800.0,0.4
0.8,1000.0,2.0,0.8415496884667564,0.8415099111074295,3.977735932692017e-05,7.500749700240348,7.5,800.0,0.4
0.8,1000.0,8.0,0.3448721460994091,0.344831136903223,4.100919618610366e-05,7.500749700240348,7.5,800.0,0.4
0.8,1000.0,20.0,0.055145958858444165,0.05513208658858152,1.3872269862644226e-05,7.500749700240348,7.5,800.0,0.4
0.8,10000.0,0.0,1.0,1.0,0.0,7.500074996996178,7.5,8000.0,0.4
0.8,10000.0,0.2,0.9970436394837365,0.9970429006656347,7.38818101808647e-07,7.500074996996178,7.5,8000.0,0.4
0.8,10000.0,2.0,0.8415138914057811,0.8415099111074295,3.980298351691225e-06,7.500074996996178,7.5,8000.0,0.4
0.8,10000.0,8.0,0.34483523909248737,0.344831136903223,4.102189264387768e-06,7.500074996996178,7.5,8000.0,0.4
0.8,10000.0,20.0,0.05513347407889821,0.05513208658858152,1.3874903166885555e-06,7.500074996996178,7.5,8000.0,0.4
0.8,100000.0,0.0,1.0,1.0,0.0,7.500007499913593,7.5,80000.0,0.4
0.8,100000.0,0.2,0.9970429745877438,0.9970429006656347,7.392210910062147e-08,7.500007499913593,7.5,80000.0,0.4
0.8,100000.0,2.0,0.8415103091711508,0.8415099111074295,3.980637213185645e-07,7.500007499913593,7.5,80000.0,0.4
0.8,100000.0,8.0,0.3448315471477634,0.344831136903223,4.102445403941779e-07,7.500007499913593,7.5,80000.0,0.4
0.8,100000.0,20.0,0.05513222533806486,0.05513208658858152,1.3874948334019477e-07,7.500007499913593,7.5,80000.0,0.4
