occupation,charge_rate,intervals,diffusion,length,mean_time_numerical,mean_time_discrete_exact,mean_time_continuum_exact,fast_absorbing_mean_time,discrete_formula_relative_error,linear_system_max_residual,continuum_relative_error,excess_over_fast_boundary,continuum_excess,charge_to_grid_rate_ratio,cells_across_charge_boundary_layer
0.02,10000.0,256,0.4,1.0,1.9902632206598572,1.9902632206601552,2.024758026741253,1.25,1.497208292431556e-13,2.9103830456733704e-11,-0.01703650788183986,0.7402632206598572,0.774758026741253,0.3814697265625,1.6190861620062102
0.02,10000.0,512,0.4,1.0,2.015684126736535,2.01568412673992,2.024758026741253,1.25,1.6794754702773056e-12,1.1641532182693481e-10,-0.0044814737785345065,0.7656841267365349,0.774758026741253,0.095367431640625,3.2381723240124205
0.02,10000.0,1024,0.4,1.0,2.022459338722358,2.022459338739888,2.024758026741253,1.25,8.667653847885804e-12,4.656612873077393e-10,-0.0011352902364311168,0.7724593387223582,0.774758026741253,0.02384185791015625,6.476344648024841
0.02,1000000.0,8,0.4,1.0,1.2507839598634012,1.2507839598622825,1.3274758026741253,1.25,8.943676570136683e-13,1.3705125923024752e-10,-0.05777268606797409,0.0007839598634011846,0.07747580267412535,39062.5,0.005059644256269407
0.02,1000000.0,16,0.4,1.0,1.2515676789708872,1.2515676789722163,1.3274758026741253,1.25,1.0619953098922617e-12,2.4991209102154244e-10,-0.057182303097597365,0.0015676789708871652,0.07747580267412535,9765.625,0.010119288512538814
0.02,1000000.0,32,0.4,1.0,1.2531334341404228,1.253133434141297,1.3274758026741253,1.25,6.976029732930094e-13,3.9108272176235914e-10,-0.0560028050107912,0.003133434140422775,0.07747580267412535,2441.40625,0.020238577025077628
0.02,1000000.0,64,0.4,1.0,1.2562515483803036,1.256251548379485,1.3274758026741253,1.25,6.516835417354538e-13,4.6338755055330694e-10,-0.053653900244618004,0.006251548380303618,0.07747580267412535,610.3515625,0.040477154050155256
0.02,1000000.0,128,0.4,1.0,1.2623827468189905,1.2623827468133966,1.3274758026741253,1.25,4.431278664095372e-12,4.874891601502895e-10,-0.04903521082946183,0.012382746818990542,0.07747580267412535,152.587890625,0.08095430810031051
0.02,1000000.0,256,0.4,1.0,1.2738678273282054,1.2738678273291202,1.3274758026741253,1.25,7.181465397467586e-13,6.002665031701326e-10,-0.04038339172580754,0.02386782732820536,0.07747580267412535,38.14697265625,0.16190861620062102
0.02,1000000.0,512,0.4,1.0,1.2921152114503638,1.2921152114502907,1.3274758026741253,1.25,5.653727653150977e-14,6.693881005048752e-10,-0.026637465747043856,0.04211521145036379,0.07747580267412535,9.5367431640625,0.32381723240124205
0.02,1000000.0,1024,0.4,1.0,1.3113258139844053,1.3113258139905082,1.3274758026741253,1.25,4.653989040139997e-12,9.313225746154785e-10,-0.012165938284665391,0.061325813984405286,0.07747580267412535,2.384185791015625,0.6476344648024841
0.2,0.01,8,0.4,1.0,404.56455461468295,404.5645546152107,404.5777909723054,1.25,1.3044501666876875e-12,3.637978807091713e-12,-3.271647114060405e-05,403.31455461468295,403.3277909723054,0.00039062499999999997,50.59644256269407
0.2,0.01,16,0.4,1.0,404.5744817027042,404.57448170503983,404.5777909723054,1.25,5.77307601737118e-12,1.4551915228366852e-11,-8.179563176907848e-06,403.3244817027042,403.3277909723054,9.765624999999999e-05,101.19288512538814
0.2,0.01,32,0.4,1.0,404.57696365476374,404.57696364436356,404.5777909723054,1.25,2.570632175378443e-11,5.021094651169733e-11,-2.0448911436519327e-06,403.32696365476374,403.3277909723054,2.4414062499999998e-05,202.3857702507763
0.2,0.01,64,0.4,1.0,404.57758414278555,404.57758413962466,404.5777909723054,1.25,7.812820374897708e-12,3.00868663316578e-10,-5.112231182320067e-07,403.32758414278555,403.3277909723054,6.1035156249999995e-06,404.7715405015526
0.2,0.01,128,0.4,1.0,404.5777391625978,404.5777392640919,404.5777909723054,1.25,2.5086425934071984e-10,1.2188816622682452e-09,-1.2805870405082577e-07,403.3277391625978,403.3277909723054,1.5258789062499999e-06,809.5430810031052
0.2,0.01,256,0.4,1.0,404.57777794445053,404.57777804524926,404.5777909723054,1.25,2.4914549150554526e-10,4.8050716738856636e-09,-3.2201112323960695e-08,403.32777794445053,403.3277909723054,3.8146972656249997e-07,1619.0861620062103
0.2,0.01,512,0.4,1.0,404.5777859068965,404.5777877405412,404.5777909723054,1.25,4.532242679939367e-09,2.1517414738880802e-08,-1.2520234740216434e-08,403.3277859068965,403.3277909723054,9.536743164062499e-08,3238.1723240124206
