cut,opening_angstrom,energy_eV_surface_cell,energy_J_m2
shuffle,2.2,2.1682999999586485,2.720054167418825
shuffle,2.25,2.1682999999586485,2.720054167418825
shuffle,2.3000000000000003,2.1682999999586485,2.720054167418825
shuffle,2.35,2.1682999999586485,2.720054167418825
shuffle,2.4000000000000004,2.1682999999586485,2.720054167418825
shuffle,2.45,2.1682999999586485,2.720054167418825
shuffle,2.5,2.1682999999586485,2.720054167418825
shuffle,2.5500000000000003,2.1682999999586485,2.720054167418825
shuffle,2.6,2.1682999999586485,2.720054167418825
shuffle,2.6500000000000004,2.1682999999586485,2.720054167418825
shuffle,2.7,2.1682999999586485,2.720054167418825
shuffle,2.75,2.1682999999586485,2.720054167418825
shuffle,2.8000000000000003,2.1682999999586485,2.720054167418825
shuffle,2.85,2.1682999999586485,2.720054167418825
shuffle,2.9000000000000004,2.1682999999586485,2.720054167418825
shuffle,2.95,2.1682999999586485,2.720054167418825
shuffle,3.0,2.1682999999586485,2.720054167418825
shuffle,3.0500000000000003,2.1682999999586485,2.720054167418825
shuffle,3.1,2.1682999999586485,2.720054167418825
shuffle,3.1500000000000004,2.1682999999586485,2.720054167418825
shuffle,3.2,2.1682999999586485,2.720054167418825
shuffle,3.25,2.1682999999586485,2.720054167418825
shuffle,3.3000000000000003,2.1682999999586485,2.720054167418825
shuffle,3.35,2.1682999999586485,2.720054167418825
shuffle,3.4000000000000004,2.1682999999586485,2.720054167418825
shuffle,3.45,2.1682999999586485,2.720054167418825
shuffle,3.5,2.1682999999586485,2.720054167418825
shuffle,3.5500000000000003,2.1682999999586485,2.720054167418825
shuffle,3.6,2.1682999999586485,2.720054167418825
shuffle,3.6500000000000004,2.1682999999586485,2.720054167418825
shuffle,3.7,2.1682999999586485,2.720054167418825
shuffle,3.75,2.1682999999586485,2.720054167418825
shuffle,3.8000000000000003,2.1682999999586485,2.720054167418825
shuffle,3.85,2.1682999999586485,2.720054167418825
shuffle,3.9000000000000004,2.1682999999586485,2.720054167418825
shuffle,3.95,2.1682999999586485,2.720054167418825
shuffle,4.0,2.1682999999586485,2.720054167418825
glide,0.0,0.0,0.0
glide,0.05,0.009983203936684504,0.012523569373559274
glide,0.1,0.03997617892635219,0.050148675039514194
glide,0.15000000000000002,0.0898250755298875,0.11268231842385316
glide,0.2,0.15910235520679805,0.19958816784331254
glide,0.25,0.24713583202040468,0.3100229902773788
glide,0.30000000000000004,0.35304392262443685,0.44288087120546166
glide,0.35000000000000003,0.4757753954409907,0.5968430785174038
glide,0.4,0.6141518548614329,0.7704313574116591
glide,0.45,0.7669112022383757,0.9620624506426501
glide,0.5,0.9327503699610986,1.1701017068775184
glide,0.55,1.110365715272522,1.392913753283036
glide,0.6000000000000001,1.2984895747573688,1.6289083518129581
glide,0.65,1.4959216084407103,1.87657971924947
glide,0.7000000000000001,1.7015536965921854,2.1345377593463764
glide,0.75,1.914387288319503,2.4015298260141105
glide,0.8,2.1335422384434253,2.676451808860768
glide,0.8500000000000001,2.358256312102398,2.95834751173648
glide,0.9,2.5878746943840696,3.2463954929444037
glide,0.9500000000000001,2.8218290303670557,3.5398827717288714
glide,1.0,3.059605761477954,3.8381651073769643
glide,1.05,3.300703846962577,4.140613962328611
glide,1.1,3.5445824029398807,4.446550817257726
glide,1.1500000000000001,3.7905994030111003,4.755170273196646
glide,1.2000000000000002,4.037943418527718,5.065454422163539
glide,1.25,4.285561492793832,5.376082367949921
glide,1.3,4.532087698955024,5.6853406045682355
glide,1.35,4.7757787684863615,5.991042264511097
glide,1.4000000000000001,5.014465401890334,6.290466039777447
glide,1.4500000000000002,5.245530420194257,6.580328773713839
glide,1.5,5.465927596073385,6.856809083979391
glide,1.55,5.67225742574449,7.115642415654163
glide,1.6,5.860917555238359,7.352309745574082
glide,1.6500000000000001,6.028344832775204,7.562341228308191
glide,1.7000000000000002,6.171360945209031,7.741749784615477
glide,1.75,6.287620751353316,7.887593519436349
glide,1.8,6.3761356709230625,7.998632294448582
