profile,observable,previous_role,target,scale,units,baseline,prediction,normalized_residual,used_in_core_objective,retained_as_exact_anchor
sign_only,v16_off_plus_normal_force,fit,-0.08042066717244803,0.03173805605024358,eV/L0,-0.29427207880871975,-0.4244769447054621,-10.840496248048359,False,False
sign_only,v16_off_plus_Haa,fit,20.981095919956758,2.098109591995676,eV/L0^2,24.780067674618387,28.053873394304027,3.3710238499123384,False,False
sign_only,v16_off_minus_energy,fit,0.21182429891635463,0.021182429891635463,eV/cell,0.17189081294605688,0.1302629854702876,-3.8504229148079947,False,False
sign_only,v16_off_minus_normal_force,fit,0.3481661631135443,0.03173805605024358,eV/L0,0.491628088412568,0.26086216824745523,-2.750766925607564,False,False
sign_only,v16_off_minus_Haa,fit,5.497617912510364,0.5497617912510364,eV/L0^2,10.637011743089628,11.653161436953802,11.196746704487957,False,False
sign_only,v16_shockley043_energy,fit,0.061697611386283796,0.00616976113862838,eV/cell,0.0649186946838625,0.050811013342436206,-1.7645088357938967,False,False
sign_only,v16_shockley043_normal_force,fit,-0.43484281773712713,0.03173805605024358,eV/L0,-0.60491384205198,-0.756417763698437,-10.13215634417666,False,False
sign_only,v16_shockley043_Haa,fit,25.03469226049791,2.5034692260497913,eV/L0^2,30.317346429071698,34.79651327055808,3.899317358681212,False,False
sign_only,v16_opening1.21_energy,fit,0.19627832926906572,0.019627832926906574,eV/cell,0.16070258106368174,0.13260210523629817,-3.244180051353391,False,False
sign_only,v16_opening1.21_normal_force,fit,1.631864707518524,0.03173805605024358,eV/L0,1.1392096579844966,0.9056726079754549,-22.880799579957127,False,False
sign_only,v16_opening1.21_Haa,fit,-1.3832350292334812,0.13832350292334814,eV/L0^2,-1.5829939857860578,-2.1672993084110788,-5.668337358489874,False,False
sign_only,v16_opening1.62_energy,fit,0.5246331923940108,0.05246331923940109,eV/cell,0.48177077358105647,0.321711472407471,-3.867878032279384,False,False
sign_only,v16_opening1.62_normal_force,fit,0.5093642313524578,0.03173805605024358,eV/L0,0.7634495703438124,0.30028910409531334,-6.587521520730942,False,False
sign_only,v16_opening1.62_Haa,fit,-0.15582859326870177,0.1,eV/L0^2,-1.2631382783155423,-1.0340475124623842,-8.782189191936824,False,False
sign_only,v16_opening1.93_energy,fit,0.6719836252695317,0.06719836252695317,eV/cell,0.6362310912227844,0.3736429930481052,-4.439700924286101,False,False
sign_only,v16_opening1.93_normal_force,fit,0.6270410192299789,0.03173805605024358,eV/L0,0.46827417385068126,0.1377847631700299,-15.415444956219808,False,False
sign_only,v16_opening1.93_Haa,fit,-0.6638075680371565,0.1,eV/L0^2,-1.0072125076821423,-0.3664830897226553,2.9732447831450113,False,False
sign_only,v16_opening2.71_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,0.7925907346553065,0.4222651196280526,-4.529651633123487,False,False
sign_only,v16_opening2.71_normal_force,fit,0.0,0.03173805605024358,eV/L0,0.10360583932325519,0.04455152328381112,1.4037256476352213,False,False
sign_only,v16_opening2.71_Haa,fit,0.0,0.1,eV/L0^2,-0.25509885453549913,-0.05267782658584998,-0.5267782658584997,False,False
sign_only,v16_opening4.3_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,0.8327870298735089,0.4544559386242662,-4.112626911120718,False,False
sign_only,v16_opening4.3_normal_force,fit,0.0,0.03173805605024358,eV/L0,0.0042063510495622385,0.012792891852451133,0.4030773602579529,False,False
sign_only,v16_opening4.3_Haa,fit,0.0,0.1,eV/L0^2,-0.010173452308810286,-0.011240266021090451,-0.1124026602109045,False,False
sign_only,v16_opening6.2_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,0.8345781150173228,0.4656587987563497,-3.9674964118697504,False,False
sign_only,v16_opening6.2_normal_force,fit,0.0,0.03173805605024358,eV/L0,0.00018635074545727298,0.003802155435184473,0.11979799358742681,False,False
sign_only,v16_opening6.2_Haa,fit,0.0,0.1,eV/L0^2,-0.00025395230208974834,-0.0025762695783149827,-0.025762695783149825,False,False
sign_only,v17_near_0.985_normal_force,fit,-0.24821900083247345,0.03173805605024358,eV/L0,-0.2876862412428222,-0.2791754707323638,-0.9753738493272586,False,False
sign_only,v17_near_0.985_Haa,fit,20.878110673451364,2.0878110673451364,eV/L0^2,27.784765847587863,26.259533133756232,2.5775428363582216,False,False
sign_only,v17_near_1.015_normal_force,fit,0.2329580444899274,0.03173805605024358,eV/L0,0.20725173812135786,0.21100583249046434,-0.6916684489028303,False,False
sign_only,v17_near_1.015_Haa,fit,18.39295935022696,1.839295935022696,eV/L0^2,14.723279113160737,15.130052417399176,-1.7739977948613914,False,False
sign_only,v17_near_1.065_normal_force,fit,0.9078686582498847,0.03173805605024358,eV/L0,0.7701442095136843,0.6972015717752571,-6.637680837828466,False,False
sign_only,v17_near_1.065_Haa,fit,14.605604041867348,1.4605604041867348,eV/L0^2,16.182307926938584,10.640838366551769,-2.714550979165582,False,False
sign_only,v17_near_1.095_normal_force,fit,1.2303804278835464,0.03173805605024358,eV/L0,1.1597267013091668,0.9303204323640821,-9.454265095645686,False,False
