state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_2pct,topological_min_cut,51,86,True,True,True,2.322392113939579,2.339902519013343,-11.411930281039355
loading_2pct,topological_min_cut,55,90,False,False,True,2.359388782886468,2.383292252929145,-11.425202896752634
loading_2pct,topological_min_cut,59,94,False,False,True,2.3684911212150874,2.3906950679245456,-11.431879037777218
loading_2pct,topological_min_cut,73,108,True,True,False,2.488812832461743,2.518795517380183,-9.889048098474001
loading_2pct,topological_min_cut,74,75,True,True,False,2.4889327011901425,2.5187877624208537,-9.889134164918293
loading_2pct,topological_min_cut,77,112,False,True,False,2.4149728157126087,2.434510299004055,-9.474911621690227
loading_2pct,topological_min_cut,78,79,False,True,False,2.329433551446925,2.342887537088609,-9.569538447640277
loading_2pct,topological_min_cut,81,116,False,True,False,2.32934462348775,2.3428939724917193,-9.569481015352666
loading_2pct,topological_min_cut,82,83,False,True,False,2.4150199664642154,2.4344932481829225,-9.474972768848918
loading_2pct,topological_min_cut,85,120,True,True,False,2.3413233701808465,2.3547176473345086,-9.408431546438496
loading_2pct,topological_min_cut,89,124,False,False,False,2.37329576528131,2.395329207693104,-9.522220541758436
loading_2pct,topological_min_cut,93,128,False,False,False,2.351791228018767,2.378991097148213,-9.455942852306347
loading_2pct,topological_min_cut,96,97,True,True,True,2.3223166646789712,2.3399102851722504,-11.411952651215579
loading_2pct,topological_min_cut,98,99,True,True,False,2.341319304842055,2.354725229769689,-9.408394720812984
loading_2pct,topological_min_cut,100,101,False,False,True,2.3683799976805577,2.3907246099439012,-11.431880625421545
loading_2pct,topological_min_cut,102,103,False,False,False,2.3516337932600155,2.379024378412503,-9.455908768953325
loading_2pct,topological_min_cut,104,105,False,False,True,2.3592593390077603,2.3833156228218337,-11.425211325961012
loading_2pct,topological_min_cut,106,107,False,False,False,2.3730329315311827,2.395357478034959,-9.522199265874082
loading_4pct,formed,109,117,True,False,False,3.0687234411595146,2.6919344839323696,-6.7417767273656555
loading_4pct,formed,110,114,True,False,False,3.0693905705760223,2.69193336457258,-6.741779622561237
loading_4pct,topological_min_cut,51,86,True,True,True,2.322392113939579,2.3589617357515493,-11.705721051192603
loading_4pct,topological_min_cut,55,90,False,False,True,2.359388782886468,2.408045045276391,-11.717836622105118
loading_4pct,topological_min_cut,59,94,False,False,True,2.3684911212150874,2.4121963981305345,-11.722605214457635
loading_4pct,topological_min_cut,73,108,True,True,False,2.488812832461743,2.532689300588403,-10.181220944090239
loading_4pct,topological_min_cut,74,75,True,True,False,2.4889327011901425,2.532691266913308,-10.181225022870358
loading_4pct,topological_min_cut,77,112,False,True,False,2.4149728157126087,2.452814612908228,-9.726358692516285
loading_4pct,topological_min_cut,78,79,False,True,False,2.329433551446925,2.356696126024995,-9.819502618119087
loading_4pct,topological_min_cut,81,116,False,True,False,2.32934462348775,2.3566965858703304,-9.819496735666949
loading_4pct,topological_min_cut,82,83,False,True,False,2.4150199664642154,2.4528117831295573,-9.726367162934723
loading_4pct,topological_min_cut,85,120,True,True,False,2.3413233701808465,2.36915635722877,-9.656186013893835
loading_4pct,topological_min_cut,89,124,False,False,False,2.37329576528131,2.4197898997025846,-9.775653342422537
loading_4pct,topological_min_cut,93,128,False,False,False,2.351791228018767,2.4093262831541633,-9.706887320129496
loading_4pct,topological_min_cut,96,97,True,True,True,2.3223166646789712,2.3589605466476886,-11.705724227364382
loading_4pct,topological_min_cut,98,99,True,True,False,2.341319304842055,2.3691585689775243,-9.656178489027045
loading_4pct,topological_min_cut,100,101,False,False,True,2.3683799976805577,2.4122009661884936,-11.722604758582353
loading_4pct,topological_min_cut,102,103,False,False,False,2.3516337932600155,2.4093307694820396,-9.706883192620666
loading_4pct,topological_min_cut,104,105,False,False,True,2.3592593390077603,2.408047473168188,-11.717837432885323
loading_4pct,topological_min_cut,106,107,False,False,False,2.3730329315311827,2.4197903964189207,-9.77565192262512
loading_6pct,formed,109,117,True,False,False,3.0687234411595146,2.5729123746784825,-6.914434470536288
