state,neighborhood_cutoff_A,atom,neighbors,rank,residual_degrees_of_freedom,condition,D2_A2,free,initial_coordination,initial_surface,initial_grip_neighbor,x_A,y_A,z_A,green_min,green_middle,green_max
loading_0pct,4.2,180,7,3,12,2.662586544311593,7.252175184605511e-31,True,2,True,False,3.055223091482739,8.073078281308204,-0.5232054985327904,-3.460831871278568e-16,1.1305302834571617e-17,2.237555818307695e-16
loading_0pct,4.2,181,8,3,15,2.2879056668463473,1.1796095214456462e-30,True,3,True,False,4.088838037280335,7.084540763351609,1.4174727498991277,-4.476097642748952e-16,-1.2469597316948265e-16,2.392388300568307e-16
loading_0pct,4.2,182,8,3,15,2.286494233206092,5.765545884003543e-31,True,3,True,False,-3.1223394977469474,-7.07947710551038,1.4178588471000313,-2.2652299769982856e-16,1.6661385113001796e-16,2.819537514948416e-16
loading_0pct,4.2,183,7,3,12,2.656724417209858,6.533889724259524e-30,True,2,True,False,-2.1626108450725963,-8.023599273611095,3.4115955044384765,-1.3481166172571363e-15,5.197598391570534e-18,6.767852040904713e-16
loading_0pct,4.2,184,9,3,18,1.7508864515834996,2.3870633223908962e-30,True,2,True,False,-1.4447268159766364,7.473166466881288,-0.500879266807313,1.7865300496375619e-16,4.440892098500626e-16,4.874808098113377e-16
loading_0pct,4.2,185,11,3,24,1.284698993271472,9.015056830953514e-31,True,4,False,False,-2.1050185649866706,6.259809091250616,1.4498207887623185,-2.5525966425172398e-17,2.3137706478094685e-16,4.602827164193195e-16
loading_0pct,4.2,186,12,3,27,1.2808530406908454,2.0777947485132947e-30,True,4,False,False,-0.2785031560996019,-5.809379233368583,1.4418404498359594,-6.282158312175091e-16,-3.7221986312994186e-16,2.232795771098411e-16
loading_0pct,4.2,187,10,3,21,1.4610106162704093,1.706617756467316e-30,True,2,True,False,-0.011416615840740895,-7.045767194290313,3.398535256929912,-4.594506883331647e-16,-3.4989831730358703e-16,3.2192888399142116e-17
loading_0pct,4.2,188,10,3,21,1.460789418979797,3.715387439672254e-31,True,2,True,False,0.9217246898587104,7.061289790565899,-0.5016532028409552,-2.2379445210470355e-16,-5.062257415333012e-18,2.2885670952003665e-16
loading_0pct,4.2,189,12,3,27,1.2809001891450214,4.381692389259447e-28,True,4,False,False,1.246916413276024,5.813544324874124,1.4414172357267814,-5.77766189704801e-15,-6.633085139350646e-16,6.9960819232956545e-15
loading_0pct,4.2,190,11,3,24,1.2846706090077373,2.650222501111805e-30,True,4,False,False,3.073231325246781,-6.256902373789385,1.4502799290886565,-6.67931649174608e-16,-2.203178658060107e-16,2.221157002055248e-16
loading_0pct,4.2,191,9,3,18,1.7539061722649065,2.8355505961245305e-28,True,2,True,False,2.3525191949571673,-7.478043274007363,3.3838854986252525,-5.700512370648974e-15,-2.206182257437545e-16,6.47624210870531e-15
loading_0pct,4.2,192,10,3,21,1.3407174060435447,3.051077477197703e-30,True,3,True,False,5.195430756142302,-3.640988568322784,-0.47430703834857757,-9.694692552625632e-17,4.696461235170248e-16,7.375238266343882e-16
loading_0pct,4.2,193,10,3,21,1.302318456577483,4.725403611858612e-30,True,3,True,False,5.080387047884877,-4.99074159498489,1.4498928667401163,-9.021844072812337e-16,-5.46920724537645e-16,-2.1622940511885632e-16
loading_0pct,4.2,194,10,3,21,1.3221973622235852,3.7707485597045974e-29,True,3,True,False,-4.3834492758905474,-0.8494796093105548,1.4268049816889188,-1.6522405634334267e-15,-1.1126986950706442e-16,1.6524881304779753e-15
loading_0pct,4.2,195,10,3,21,1.301956831172834,1.4389181585590742e-30,True,3,True,False,-4.378307893765074,-2.133205734055496,3.382749335424665,-4.499359319304616e-16,-3.31655136206512e-16,1.1545725336187988e-16
