state,reference_midpoint_A,reference_gap_A,current_mean_layer_gap_A,initial_crossing_pairs,current_crossing_pairs,lost_initial_pairs,new_pairs
loading_8pct,8.220723500550001,1.9342878824999996,2.1255914105302507,18,18,0,0
loading_8pct,10.155011383049999,1.9342878824999996,2.1604888649874887,18,18,0,0
loading_10pct,-9.18786744175,1.9342878824999996,1.9638571602846469,18,18,0,0
loading_10pct,-7.2535795593,1.9342878824000005,1.9744734613064763,18,18,0,0
loading_10pct,-5.31929167685,1.9342878824999996,1.9649520205899416,18,18,0,0
loading_10pct,-3.38500379435,1.9342878825,2.056048347613819,18,18,0,0
loading_10pct,-1.45071591185,1.9342878825,2.2840588394018724,18,18,4,4
loading_10pct,0.48357197064999996,1.9342878825,2.6141503228155987,18,16,6,4
loading_10pct,2.4178598531,1.9342878824000003,2.634740318781462,18,14,4,0
loading_10pct,4.35214773555,1.9342878824999996,2.3145115929026163,18,16,2,0
loading_10pct,6.28643561805,1.9342878825000005,2.2051945584320887,18,22,2,6
loading_10pct,8.220723500550001,1.9342878824999996,2.0982216427395954,18,20,2,4
loading_10pct,10.155011383049999,1.9342878824999996,2.140596967355867,18,22,0,4
return_8pct,-9.18786744175,1.9342878824999996,1.9294596659829821,18,18,0,0
return_8pct,-7.2535795593,1.9342878824000005,1.9414164273361125,18,18,0,0
return_8pct,-5.31929167685,1.9342878824999996,1.92274365983379,18,18,0,0
return_8pct,-3.38500379435,1.9342878825,2.0128590116114387,18,18,0,0
return_8pct,-1.45071591185,1.9342878825,2.194816664281312,18,18,4,4
return_8pct,0.48357197064999996,1.9342878825,2.5268772116545155,18,16,6,4
return_8pct,2.4178598531,1.9342878824000003,2.5282657118351213,18,14,4,0
return_8pct,4.35214773555,1.9342878824999996,2.222336332148153,18,16,2,0
return_8pct,6.28643561805,1.9342878825000005,2.1356688540719224,18,22,2,6
return_8pct,8.220723500550001,1.9342878824999996,2.2148129914648136,18,20,4,6
return_8pct,10.155011383049999,1.9342878824999996,2.161710283369853,18,22,2,6
