model,observable,a_L0,x_L0,y_L0,target,prediction,scale,units,normalized_residual,fitted
shape_refinement/old_family,v20_new_5_Hxx,1.486840273869389,0.0,0.0,0.05966529359502488,-0.001066176050205963,0.1,eV/L0^2,-0.6073146964523083,False
shape_refinement/old_family,v20_new_6_energy,1.6795334669683324,0.0,0.0,0.729941495134474,0.6796654503815953,0.0729941495134474,eV/cell,-0.6887681422141453,False
shape_refinement/old_family,v20_new_6_force,1.6795334669683324,0.0,0.0,0.4717044111502519,0.37229128251968635,0.03173805605024358,eV/L0,-3.1323004935522065,False
shape_refinement/old_family,v20_new_6_Haa,1.6795334669683324,0.0,0.0,-1.7417609490586863,-0.8436672771333515,0.17417609490586863,eV/L0^2,5.156239565542554,False
shape_refinement/old_family,v20_new_6_Hxx,1.6795334669683324,0.0,0.0,0.20899465255336805,-0.001005650648557472,0.1,eV/L0^2,-2.1000030320192553,False
shape_refinement/old_family,v20_new_7_energy,0.8271110364797863,0.083,-0.041,0.02046914476243608,0.019905055054722173,0.004433026104653031,eV/cell,-0.1272470981214895,False
shape_refinement/old_family,v20_new_7_force,0.8271110364797863,0.083,-0.041,0.06281548916376087,-0.17450528602172274,0.03173805605024358,eV/L0,-7.477483019432195,False
shape_refinement/old_family,v20_new_7_Haa,0.8271110364797863,0.083,-0.041,21.501318205218237,25.281657044307853,2.150131820521824,eV/L0^2,1.758189336583164,False
shape_refinement/old_family,v20_new_7_Hxx,0.8271110364797863,0.083,-0.041,4.662002299739686,4.554019393184807,0.4662002299739686,eV/L0^2,-0.23162345192517053,False
shape_refinement/old_family,v20_new_8_energy,0.8548719202313291,0.213,0.079,0.06003679436536899,0.05728980714223301,0.006003679436536899,eV/cell,-0.4575506157804663,False
shape_refinement/old_family,v20_new_8_force,0.8548719202313291,0.213,0.079,0.3178698348179461,0.20432600191886569,0.03173805605024358,eV/L0,-3.5775295348691976,False
shape_refinement/old_family,v20_new_8_Haa,0.8548719202313291,0.213,0.079,14.458727489192233,17.287911965091624,1.4458727489192233,eV/L0^2,1.95673130848768,False
shape_refinement/old_family,v20_new_8_Hxx,0.8548719202313291,0.213,0.079,0.86111106885732,0.6315807019337953,0.1,eV/L0^2,-2.295303669235247,False
shape_refinement/old_family,v20_new_9_energy,0.9005957287632818,0.383,0.183,0.09377427653904365,0.09406482730553958,0.009377427653904365,eV/cell,0.03098405844538439,False
shape_refinement/old_family,v20_new_9_force,0.9005957287632818,0.383,0.183,0.5947790357818696,0.808504699283932,0.03173805605024358,eV/L0,6.73405022549962,False
shape_refinement/old_family,v20_new_9_Haa,0.9005957287632818,0.383,0.183,11.056850642860084,11.274314968378773,1.1056850642860085,eV/L0^2,0.19667836036033973,False
shape_refinement/old_family,v20_new_9_Hxx,0.9005957287632818,0.383,0.183,0.0757661767331005,-0.24004179608140366,0.1,eV/L0^2,-3.1580797281450415,False
shape_refinement/old_family,v20_new_10_energy,0.8107811048612319,0.123,-0.021,0.038168092494978115,0.04272203779230338,0.004433026104653031,eV/cell,1.027276896146701,False
shape_refinement/old_family,v20_new_10_force,0.8107811048612319,0.123,-0.021,-0.4360667641505048,-0.76707052696396,0.03173805605024358,eV/L0,-10.4292387123349,False
shape_refinement/old_family,v20_new_10_Haa,0.8107811048612319,0.123,-0.021,26.40271381173358,23.576631594854806,2.640271381173358,eV/L0^2,-1.0703756579836274,False
shape_refinement/old_family,v20_new_10_Hxx,0.8107811048612319,0.123,-0.021,4.254835571305176,2.7378253621677624,0.42548355713051766,eV/L0^2,-3.565379163811186,False
shape_refinement/old_family,v20_new_11_energy,1.0230702159024407,0.443,0.163,0.2277352928888806,0.21564425201249104,0.022773529288888063,eV/cell,-0.5309252124697763,False
shape_refinement/old_family,v20_new_11_force,1.0230702159024407,0.443,0.163,1.3946641093269667,0.973596587447956,0.03173805605024358,eV/L0,-13.266960056168253,False
shape_refinement/old_family,v20_new_11_Haa,1.0230702159024407,0.443,0.163,2.8654264155114735,-0.12789675572895112,0.28654264155114734,eV/L0^2,-10.446344582560576,False
shape_refinement/old_family,v20_new_11_Hxx,1.0230702159024407,0.443,0.163,-0.12044589256531853,-0.18688312268103374,0.1,eV/L0^2,-0.6643723011571521,False
