model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,margin,radius_change
shape_refinement/old_family,0.98,12.0,0.64,0.56,0.08,25.85771703489186,2.834091073159175e-05,25.857688693981128,
shape_refinement/old_family,0.98,12.0,0.64,0.56,0.16,25.15636907187761,2.835953550123568e-05,25.156340712342107,
shape_refinement/old_family,0.98,12.0,0.64,0.56,0.24,24.22253163470543,2.8380263644817084e-05,24.222503254441786,
shape_refinement/old_family,0.98,12.0,0.64,0.64,0.0,27.11436653290963,2.831445155169e-05,27.11433821845808,
shape_refinement/old_family,0.98,12.0,0.64,0.64,0.08,26.960954301262554,2.8326727745456165e-05,26.96092597453481,
shape_refinement/old_family,0.98,12.0,0.64,0.64,0.16,26.504944214658686,2.834916797734793e-05,26.50491586549071,
shape_refinement/old_family,0.98,12.0,0.72,0.0,0.0,41.15375512967409,2.8376223916767287e-05,41.15372675345017,
shape_refinement/old_family,0.98,12.0,0.72,0.08,0.0,40.79205798649789,2.8374784808140685e-05,40.792029611713076,
shape_refinement/old_family,0.98,12.0,0.72,0.08,0.08,40.234803019173775,2.837355061067027e-05,40.23477464562316,
shape_refinement/old_family,0.98,12.0,0.72,0.16,0.0,41.20621046785046,2.83705351047974e-05,41.206182097315356,
shape_refinement/old_family,0.98,12.0,0.72,0.16,0.08,39.77167024495478,2.8369914717503726e-05,39.77164187504006,
shape_refinement/old_family,0.98,12.0,0.72,0.16,0.16,37.47723576029065,2.8368094882839196e-05,37.477207392195766,
shape_refinement/old_family,0.98,12.0,0.72,0.24,0.0,43.637117746258795,2.836363714064237e-05,43.63708938262165,
shape_refinement/old_family,0.98,12.0,0.72,0.24,0.08,41.11605159937347,2.8364038940132767e-05,41.11602323533453,
shape_refinement/old_family,0.98,12.0,0.72,0.24,0.16,36.545874524408234,2.836515630561478e-05,36.54584615925193,
shape_refinement/old_family,0.98,12.0,0.72,0.24,0.24,33.09610225475302,2.8366686067676542e-05,33.096073888066954,
shape_refinement/old_family,0.98,12.0,0.72,0.32,0.0,46.573903278621664,2.8354260825592068e-05,46.57387492436084,
shape_refinement/old_family,0.98,12.0,0.72,0.32,0.08,43.4457757881393,2.835610675984049e-05,43.44574743203254,
shape_refinement/old_family,0.98,12.0,0.72,0.32,0.16,37.142356525787235,2.8361145726583407e-05,37.14232816464151,
shape_refinement/old_family,0.98,12.0,0.72,0.32,0.24,31.510114994685626,2.836808419624959e-05,31.51008662660143,
shape_refinement/old_family,0.98,12.0,0.72,0.32,0.32,27.85309352310345,2.8375298918043934e-05,27.853065147804532,
shape_refinement/old_family,0.98,12.0,0.72,0.4,0.0,47.58228722763853,2.8342526911390314e-05,47.58225888511162,
shape_refinement/old_family,0.98,12.0,0.72,0.4,0.08,44.532724647508246,2.8346313969664282e-05,44.53269630119428,
shape_refinement/old_family,0.98,12.0,0.72,0.4,0.16,37.839876941965436,2.835609238246274e-05,37.83984858587306,
shape_refinement/old_family,0.98,12.0,0.72,0.4,0.24,31.141658053890108,2.8368690365285514e-05,31.141629685199742,
shape_refinement/old_family,0.98,12.0,0.72,0.4,0.32,26.08009510834326,2.8381293058888688e-05,26.080066727050202,
shape_refinement/old_family,0.98,12.0,0.72,0.48,0.0,45.310393894079276,2.8328537185016227e-05,45.31036556554209,
shape_refinement/old_family,0.98,12.0,0.72,0.48,0.08,42.85580770583977,2.8335035314795476e-05,42.855779370804456,
shape_refinement/old_family,0.98,12.0,0.72,0.48,0.16,37.144757332932,2.8350186701432e-05,37.1447289827453,
shape_refinement/old_family,0.98,12.0,0.72,0.48,0.24,30.923733657012026,2.836798827926227e-05,30.923705289023747,
shape_refinement/old_family,0.98,12.0,0.72,0.56,0.0,40.30336507582348,2.8312479255754073e-05,40.30333676334422,
shape_refinement/old_family,0.98,12.0,0.72,0.56,0.08,38.71645309625793,2.8323343584920927e-05,38.716424772914344,
shape_refinement/old_family,0.98,12.0,0.72,0.56,0.16,34.86659704996281,2.8344066928575876e-05,34.86656870589589,
shape_refinement/old_family,0.98,12.0,0.72,0.64,0.0,35.33810504790535,2.8294739280176343e-05,35.33807675316607,
shape_refinement/old_family,0.98,12.0,0.72,0.64,0.08,34.58526311571057,2.831434059838099e-05,34.58523480136997,
shape_refinement/old_family,0.98,12.0,0.72,0.72,0.0,35.21488225006122,2.8297605181910302e-05,35.21485395245604,
shape_refinement/old_family,0.98,12.0,0.8,0.0,0.0,46.724581751494746,2.837021972796472e-05,46.724553381275015,
shape_refinement/old_family,0.98,12.0,0.8,0.08,0.0,47.9570484119118,2.836802520868826e-05,47.957020043886594,
shape_refinement/old_family,0.98,12.0,0.8,0.08,0.08,45.43950746154648,2.836598676489263e-05,45.43947909555971,
shape_refinement/old_family,0.98,12.0,0.8,0.16,0.0,53.11864295012003,2.836166616839855e-05,53.11861458845386,
shape_refinement/old_family,0.98,12.0,0.8,0.16,0.08,46.90877421764155,2.836011141181741e-05,46.908745857530135,
shape_refinement/old_family,0.98,12.0,0.8,0.16,0.16,41.68731401287668,2.8355733262692307e-05,41.68728565714342,
shape_refinement/old_family,0.98,12.0,0.8,0.24,0.0,62.29192803581601,2.8351749572368615e-05,62.291899684066436,
shape_refinement/old_family,0.98,12.0,0.8,0.24,0.08,53.50254370695163,2.8351059619585693e-05,53.50251535589201,
shape_refinement/old_family,0.98,12.0,0.8,0.24,0.16,42.06734742694943,2.8349331548464832e-05,42.06731907761788,
shape_refinement/old_family,0.98,12.0,0.8,0.24,0.24,35.95729609632965,2.834744527860218e-05,35.95726774888437,
shape_refinement/old_family,0.98,12.0,0.8,0.32,0.0,71.73181481825883,2.833908807854657e-05,71.73178647917075,
shape_refinement/old_family,0.98,12.0,0.8,0.32,0.08,62.14324763936886,2.8339766057322226e-05,62.143219299602805,
shape_refinement/old_family,0.98,12.0,0.8,0.32,0.16,46.545527771166604,2.8342064580533992e-05,46.54549942910202,
shape_refinement/old_family,0.98,12.0,0.8,0.32,0.24,35.11781096126038,2.834638138063466e-05,35.117782614879005,
shape_refinement/old_family,0.98,12.0,0.8,0.32,0.32,29.34598181779429,2.8352492788875233e-05,29.345953465301502,
shape_refinement/old_family,0.98,12.0,0.8,0.4,0.0,76.99546119896996,2.83244814194886e-05,76.99543287448854,
shape_refinement/old_family,0.98,12.0,0.8,0.4,0.08,68.24063244512287,2.8327325600405285e-05,68.24060411779728,
shape_refinement/old_family,0.98,12.0,0.8,0.4,0.16,51.56485459086544,2.8335268560038153e-05,51.56482625559688,
shape_refinement/old_family,0.98,12.0,0.8,0.4,0.24,37.16768615766808,2.8346664335417497e-05,37.16765781100374,
shape_refinement/old_family,0.98,12.0,0.8,0.48,0.0,75.57665707342066,2.8308556288500735e-05,75.57662876486437,
shape_refinement/old_family,0.98,12.0,0.8,0.48,0.08,68.55615880260001,2.8315236843036342e-05,68.55613048736316,
shape_refinement/old_family,0.98,12.0,0.8,0.48,0.16,53.669280805895866,2.8330353063678724e-05,53.669252475542805,
shape_refinement/old_family,0.98,12.0,0.8,0.56,0.0,67.60422777952232,2.829174828452093e-05,67.60419948777404,
shape_refinement/old_family,0.98,12.0,0.8,0.56,0.08,62.641578384234,2.830692548504761e-05,62.641550077308516,
shape_refinement/old_family,0.98,12.0,0.8,0.64,0.0,55.89087950251371,2.829356355358887e-05,55.89085120895016,
