dt_ps,prefix_ps,parts,block,nw,lower_cycle_THz,upper_cycle_THz,axis,mobility_m2_per_J_s,normalized_collective_energy_mobility_m2_per_J_s,temperature_K
0.0025,1000,2,1,3.0,0.04,0.08,transverse,217045278009.823,31254520033414.51,299.05530263352335
0.0025,1000,2,1,3.0,0.08,0.16,normal,77236971613.93062,11122123912406.01,299.05530263352335
0.0025,1000,2,1,3.0,0.08,0.16,direct110,219117669936.96017,31552944470922.266,299.05530263352335
0.0025,1000,2,1,3.0,0.08,0.16,transverse,259864529084.94717,37420492188232.39,299.05530263352335
0.0025,1000,4,0,2.0,0.02,0.04,normal,60394762682.26237,8696845826245.781,299.0599913903678
0.0025,1000,4,0,2.0,0.02,0.04,direct110,265191911509.43936,38187635257359.266,299.0599913903678
0.0025,1000,4,0,2.0,0.02,0.04,transverse,219247898887.683,31571697439826.355,299.0599913903678
0.0025,1000,4,0,2.0,0.04,0.08,normal,71560223974.74088,10304672252362.686,299.0599913903678
0.0025,1000,4,0,2.0,0.04,0.08,direct110,244482797369.92374,35205522821269.016,299.0599913903678
0.0025,1000,4,0,2.0,0.04,0.08,transverse,274183547589.06638,39482430852825.555,299.0599913903678
0.0025,1000,4,0,2.0,0.08,0.16,normal,77346319508.98572,11137870009293.943,299.0599913903678
0.0025,1000,4,0,2.0,0.08,0.16,direct110,258440463891.43292,37215426800366.34,299.0599913903678
0.0025,1000,4,0,2.0,0.08,0.16,transverse,280282309883.06793,40360652623161.78,299.0599913903678
0.0025,1000,4,0,3.0,0.02,0.04,normal,64807611676.97622,9332296081484.576,299.0599913903678
0.0025,1000,4,0,3.0,0.02,0.04,direct110,285239896438.1433,41074545087092.64,299.0599913903678
0.0025,1000,4,0,3.0,0.02,0.04,transverse,220088877160.29477,31692798311082.445,299.0599913903678
0.0025,1000,4,0,3.0,0.04,0.08,normal,74008542997.0874,10657230191580.586,299.0599913903678
0.0025,1000,4,0,3.0,0.04,0.08,direct110,248264302316.43887,35750059533567.195,299.0599913903678
0.0025,1000,4,0,3.0,0.04,0.08,transverse,288553839945.65717,41551752952174.63,299.0599913903678
0.0025,1000,4,0,3.0,0.08,0.16,normal,79889180565.58405,11504042001444.102,299.0599913903678
0.0025,1000,4,0,3.0,0.08,0.16,direct110,260286513730.7242,37481257977224.29,299.0599913903678
0.0025,1000,4,0,3.0,0.08,0.16,transverse,274462636679.4896,39522619681846.5,299.0599913903678
0.0025,1000,4,1,2.0,0.02,0.04,normal,74540101478.20876,10733774612862.06,299.10437333107035
0.0025,1000,4,1,2.0,0.02,0.04,direct110,249604122439.91162,35942993631347.27,299.10437333107035
0.0025,1000,4,1,2.0,0.02,0.04,transverse,208142936647.32352,29972582877214.586,299.10437333107035
0.0025,1000,4,1,2.0,0.04,0.08,normal,70077169962.35669,10091112474579.363,299.10437333107035
0.0025,1000,4,1,2.0,0.04,0.08,direct110,215621313365.36655,31049469124612.78,299.10437333107035
0.0025,1000,4,1,2.0,0.04,0.08,transverse,241840161036.13074,34824983189202.83,299.10437333107035
0.0025,1000,4,1,2.0,0.08,0.16,normal,88045130905.6084,12678498850407.61,299.10437333107035
0.0025,1000,4,1,2.0,0.08,0.16,direct110,201929219710.89432,29077807638368.78,299.10437333107035
0.0025,1000,4,1,2.0,0.08,0.16,transverse,252182748894.4382,36314315840799.1,299.10437333107035
0.0025,1000,4,1,3.0,0.02,0.04,normal,70303897146.62431,10123761189113.9,299.10437333107035
0.0025,1000,4,1,3.0,0.02,0.04,direct110,275679138595.1664,39697795957703.96,299.10437333107035
0.0025,1000,4,1,3.0,0.02,0.04,transverse,209284145685.2522,30136916978676.316,299.10437333107035
0.0025,1000,4,1,3.0,0.04,0.08,normal,66880597597.64027,9630806054060.2,299.10437333107035
0.0025,1000,4,1,3.0,0.04,0.08,direct110,217936813888.63583,31382901199963.56,299.10437333107035
0.0025,1000,4,1,3.0,0.04,0.08,transverse,240458682228.09375,34626050240845.5,299.10437333107035
0.0025,1000,4,1,3.0,0.08,0.16,normal,89141630587.4122,12836394804587.357,299.10437333107035
0.0025,1000,4,1,3.0,0.08,0.16,direct110,204209019654.25827,29406098830213.19,299.10437333107035
0.0025,1000,4,1,3.0,0.08,0.16,transverse,266536815673.22324,38381301456944.15,299.10437333107035
0.0025,1000,4,2,2.0,0.02,0.04,normal,130504357034.72134,18792627412999.875,299.04855090209173
0.0025,1000,4,2,2.0,0.02,0.04,direct110,125174436015.88292,18025118786287.14,299.04855090209173
0.0025,1000,4,2,2.0,0.02,0.04,transverse,235845611919.26,33961768116373.44,299.04855090209173
0.0025,1000,4,2,2.0,0.04,0.08,normal,84840612444.28934,12217048191977.664,299.04855090209173
0.0025,1000,4,2,2.0,0.04,0.08,direct110,173696438721.1705,25012287175848.55,299.04855090209173
