observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
v16_direct011_energy,fit,fit,development_or_control,0.025339211626875774,0.025339211626875774,0.023194732092231794,eV/cell,0.004433026104653031,-0.4837507120459031,-0.4837507120459031
v16_direct011_normal_force,fit,fit,development_or_control,-0.1684646879274777,-0.1684646879274777,-0.25088930758356953,eV/L0,0.03173805605024358,-2.5970279819787274,-2.5970279819787274
v16_direct011_Haa,fit,fit,development_or_control,23.17866876533168,23.17866876533168,19.200912189411486,eV/L0^2,2.317866876533168,-1.7161281418671124,-1.7161281418671124
v16_direct031_energy,fit,fit,development_or_control,0.16617323878813156,0.16617323878813156,0.1532544685483253,eV/cell,0.016617323878813157,-0.7774278418125734,-0.7774278418125734
v16_direct031_normal_force,fit,fit,development_or_control,-1.4977500080753077,-1.4977500080753077,-1.351822577040346,eV/L0,0.03173805605024358,4.597869220595875,4.597869220595875
v16_direct031_Haa,fit,fit,development_or_control,34.460781638400974,34.460781638400974,33.45911585806161,eV/L0^2,3.4460781638400975,-0.2906683286670349,-0.2906683286670349
v16_raised043_energy,fit,fit,development_or_control,0.1726273519698645,0.1726273519698645,0.1605303863966251,eV/cell,0.017262735196986453,-0.700756017815252,-0.700756017815252
v16_raised043_normal_force,fit,fit,development_or_control,-0.17083895700384927,-0.17083895700384927,-0.2540908999639502,eV/L0,0.03173805605024358,-2.6230952150411233,-2.6230952150411233
v16_raised043_Haa,fit,fit,development_or_control,18.238440853611248,18.238440853611248,14.50088964262467,eV/L0^2,1.8238440853611249,-2.049271229369661,-2.049271229369661
v16_off_plus_energy,fit,fit,development_or_control,0.0652424878354941,0.0652424878354941,0.060472659686179625,eV/cell,0.006524248783549411,-0.731092315385241,-0.731092315385241
v16_off_plus_normal_force,fit,fit,development_or_control,-0.08042066717244803,-0.08042066717244803,-0.16015681752925265,eV/L0,0.03173805605024358,-2.5123199174699504,-2.5123199174699504
v16_off_plus_Haa,fit,fit,development_or_control,20.981095919956758,20.981095919956758,18.37943663359172,eV/L0^2,2.098109591995676,-1.2400016168318437,-1.2400016168318437
v16_off_minus_energy,fit,fit,development_or_control,0.21182429891635463,0.21182429891635463,0.18074039875222905,eV/cell,0.021182429891635463,-1.4674378871141696,-1.4674378871141696
v16_off_minus_normal_force,fit,fit,development_or_control,0.3481661631135443,0.3481661631135443,0.16399612185628315,eV/L0,0.03173805605024358,-5.8028141662396395,-5.8028141662396395
v16_off_minus_Haa,fit,fit,development_or_control,5.497617912510364,5.497617912510364,7.964651000949045,eV/L0^2,0.5497617912510364,4.487458255010242,4.487458255010242
v16_shockley043_energy,fit,fit,development_or_control,0.061697611386283796,0.061697611386283796,0.05980111650223721,eV/cell,0.00616976113862838,-0.3073854629756705,-0.3073854629756705
v16_shockley043_normal_force,fit,fit,development_or_control,-0.43484281773712713,-0.43484281773712713,-0.5066769213012527,eV/L0,0.03173805605024358,-2.263342891902616,-2.263342891902616
v16_shockley043_Haa,fit,fit,development_or_control,25.03469226049791,25.03469226049791,24.19099680735181,eV/L0^2,2.5034692260497913,-0.33701051499537,-0.33701051499537
v16_opening1.21_energy,fit,fit,development_or_control,0.19627832926906572,0.19627832926906572,0.12515082661980814,eV/cell,0.019627832926906574,-3.623808237727218,-3.623808237727218
v16_opening1.21_normal_force,fit,fit,development_or_control,1.631864707518524,1.631864707518524,0.9547335234393547,eV/L0,0.03173805605024358,-21.334992382873825,-21.334992382873825
v16_opening1.21_Haa,fit,fit,development_or_control,-1.3832350292334812,-1.3832350292334812,0.1341197814658034,eV/L0^2,0.13832350292334814,10.969609492467276,10.969609492467276
