observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
new_opening_1.78h_normal_force,fit,fit,development_or_control,0.5989965116849877,0.5989965116849877,0.6297999274336765,eV/L0,0.03173805605024358,0.9705514320072047,0.9705514320072047
new_opening_2.23h_energy,fit,fit,development_or_control,0.7765619947928292,0.7765619947928292,0.6831988192123967,eV/cell,0.07765619947928293,-1.202263002908607,-1.202263002908607
new_opening_2.23h_normal_force,fit,fit,development_or_control,0.15664558956102492,0.15664558956102492,0.3435217819385797,eV/L0,0.03173805605024358,5.888079348077166,5.888079348077166
new_opening_3.4h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.827641589383343,eV/cell,0.07719163228888834,0.7219081245219533,0.7219081245219533
new_opening_3.4h_normal_force,fit,fit,development_or_control,0.0,0.0,0.045256144756537456,eV/L0,0.03173805605024358,1.4259268017201112,1.4259268017201112
new_opening_5.5h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.84697674841616,eV/cell,0.07719163228888834,0.9723907022248774,0.9723907022248774
new_opening_5.5h_normal_force,fit,fit,development_or_control,0.0,0.0,0.0008220432753320647,eV/L0,0.03173805605024358,0.025900870363033963,0.025900870363033963
v16_direct011_energy,fit,fit,development_or_control,0.025339211626875774,0.025339211626875774,0.022480900348847872,eV/cell,0.004433026104653031,-0.6447765500473224,-0.6447765500473224
v16_direct011_normal_force,fit,fit,development_or_control,-0.1684646879274777,-0.1684646879274777,-0.23571557388275938,eV/L0,0.03173805605024358,-2.1189352570560334,-2.1189352570560334
v16_direct011_Haa,fit,fit,development_or_control,23.17866876533168,23.17866876533168,18.80006292406378,eV/L0^2,2.317866876533168,-1.8890670062195187,-1.8890670062195187
v16_direct031_energy,fit,fit,development_or_control,0.16617323878813156,0.16617323878813156,0.14891836524268406,eV/cell,0.016617323878813157,-1.0383665668000372,-1.0383665668000372
v16_direct031_normal_force,fit,fit,development_or_control,-1.4977500080753077,-1.4977500080753077,-1.3408872235479403,eV/L0,0.03173805605024358,4.942419418474858,4.942419418474858
v16_direct031_Haa,fit,fit,development_or_control,34.460781638400974,34.460781638400974,33.09206112537461,eV/L0^2,3.4460781638400975,-0.3971820858239451,-0.3971820858239451
