family,case,observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
old_family,normal_scan_0,v17_opening3.75_energy,heldout,heldout,retrospective,0.7719163228888833,0.7719163228888833,0.8345792118058755,eV/cell,0.07719163228888834,0.8117834415325919,0.8117834415325919
old_family,normal_scan_0,v17_opening3.75_normal_force,heldout,heldout,retrospective,0.0,0.0,0.019605551264486227,eV/L0,0.03173805605024358,0.6177300598829764,0.6177300598829764
old_family,normal_scan_0,v17_opening3.75_Haa,heldout,heldout,retrospective,0.0,0.0,-0.04186881412389551,eV/L0^2,0.1,-0.4186881412389551,-0.4186881412389551
old_family,normal_scan_0,v17_opening3.75_Hxx,heldout,heldout,retrospective,0.0,0.0,-1.9155041115293653e-08,eV/L0^2,0.1,-1.915504111529365e-07,-1.915504111529365e-07
old_family,normal_scan_0,v19_new_0_energy,heldout,heldout,retrospective,0.00042417681882149505,0.00042417681882149505,0.000631192351230634,eV/cell,0.004433026104653031,0.04669846906424701,0.04669846906424701
old_family,normal_scan_0,v19_new_0_force,heldout,heldout,retrospective,-0.13054663793646185,-0.13054663793646185,-0.1982527356505516,eV/L0,0.03173805605024358,-2.1332780308569066,-2.1332780308569066
old_family,normal_scan_0,v19_new_0_Haa,heldout,heldout,retrospective,20.302032153219432,20.302032153219432,32.6179687434684,eV/L0^2,2.030203215321943,6.066356558447253,6.066356558447253
old_family,normal_scan_0,v19_new_0_Hxx,heldout,heldout,retrospective,4.57090105595751,4.57090105595751,5.102134512214271,eV/L0^2,0.45709010559575103,1.1622072973213353,1.1622072973213353
old_family,normal_scan_0,v19_new_1_energy,heldout,heldout,retrospective,0.004931943136885955,0.004931943136885955,0.006115755661904823,eV/cell,0.004433026104653031,0.26704388764512454,0.26704388764512454
old_family,normal_scan_0,v19_new_1_force,heldout,heldout,retrospective,0.42285939529142164,0.42285939529142164,0.49106295392116395,eV/L0,0.03173805605024358,2.1489519875373357,2.1489519875373357
old_family,normal_scan_0,v19_new_1_Haa,heldout,heldout,retrospective,17.415188636660293,17.415188636660293,16.61603567950664,eV/L0^2,1.7415188636660295,-0.4588827453016352,-0.4588827453016352
old_family,normal_scan_0,v19_new_1_Hxx,heldout,heldout,retrospective,3.8361643120715834,3.8361643120715834,2.81887925099392,eV/L0^2,0.3836164312071584,-2.6518286974217613,-2.6518286974217613
old_family,normal_scan_0,v19_new_2_energy,heldout,heldout,retrospective,0.10968805888528045,0.10968805888528045,0.10587907304950875,eV/cell,0.010968805888528046,-0.34725619857631085,-0.34725619857631085
old_family,normal_scan_0,v19_new_2_force,heldout,heldout,retrospective,1.574309479391436,1.574309479391436,1.2812510268792394,eV/L0,0.03173805605024358,-9.233661067592308,-9.233661067592308
old_family,normal_scan_0,v19_new_2_Haa,heldout,heldout,retrospective,5.20946471789603,5.20946471789603,1.413075370964702,eV/L0^2,0.5209464717896031,-7.287484516191508,-7.287484516191508
old_family,normal_scan_0,v19_new_2_Hxx,heldout,heldout,retrospective,0.9642979846199059,0.9642979846199059,1.087645609003761,eV/L0^2,0.1,1.2334762438385505,1.2334762438385505
old_family,normal_scan_0,v19_new_3_energy,heldout,heldout,retrospective,0.3373623063206088,0.3373623063206088,0.2890109232423384,eV/cell,0.03373623063206088,-1.433218298914526,-1.433218298914526
old_family,normal_scan_0,v19_new_3_force,heldout,heldout,retrospective,1.321138459506241,1.321138459506241,1.115257773281222,eV/L0,0.03173805605024358,-6.486871341429835,-6.486871341429835
old_family,normal_scan_0,v19_new_3_Haa,heldout,heldout,retrospective,-4.940080180276789,-4.940080180276789,-2.3839177559837585,eV/L0^2,0.4940080180276789,5.1743338792323215,5.1743338792323215
old_family,normal_scan_0,v19_new_3_Hxx,heldout,heldout,retrospective,-1.007259835979608,-1.007259835979608,0.4045860513773659,eV/L0^2,0.10072598359796081,14.01669993109461,14.01669993109461
old_family,normal_scan_0,v19_new_4_energy,heldout,heldout,retrospective,0.5605338261337047,0.5605338261337047,0.5412928530981638,eV/cell,0.05605338261337048,-0.3432615863391513,-0.3432615863391513
old_family,normal_scan_0,v19_new_4_force,heldout,heldout,retrospective,0.5382315998098468,0.5382315998098468,0.586726324242228,eV/L0,0.03173805605024358,1.5279676976942338,1.5279676976942338
old_family,normal_scan_0,v19_new_4_Haa,heldout,heldout,retrospective,0.9032785116339533,0.9032785116339533,-1.0838344886108615,eV/L0^2,0.1,-19.871130002448147,-19.871130002448147
old_family,normal_scan_0,v19_new_4_Hxx,heldout,heldout,retrospective,0.6453579543796875,0.6453579543796875,0.012561781671972496,eV/L0^2,0.1,-6.327961727077149,-6.327961727077149
old_family,normal_scan_0,v19_new_5_energy,heldout,heldout,retrospective,0.7666938699728523,0.7666938699728523,0.703025188395726,eV/cell,0.07666938699728523,-0.8304315981994309,-0.8304315981994309
old_family,normal_scan_0,v19_new_5_force,heldout,heldout,retrospective,0.27979903523926664,0.27979903523926664,0.28869878778023633,eV/L0,0.03173805605024358,0.2804126543503723,0.2804126543503723
old_family,normal_scan_0,v19_new_5_Haa,heldout,heldout,retrospective,-2.478203100860398,-2.478203100860398,-0.5545942643364911,eV/L0^2,0.2478203100860398,7.762111329196773,7.762111329196773
old_family,normal_scan_0,v19_new_5_Hxx,heldout,heldout,retrospective,0.0933444416558671,0.0933444416558671,-0.0002202432750184195,eV/L0^2,0.1,-0.9356468493088551,-0.9356468493088551
old_family,normal_scan_0,v19_new_6_energy,heldout,heldout,retrospective,0.07503741336914271,0.07503741336914271,0.06283998472260255,eV/cell,0.007503741336914272,-1.6255129406627515,-1.6255129406627515
