span_um,loading_axis,static_step,axial_stress_MPa,signed_area_m2,axial_slip_strain,forward_area_m2,backward_area_m2,gross_area_m2,area_balance_residual_m2,work_identity_max_residual_J,physical_hold_performed,residual_plasticity_certified
0.2,100,12,18.85687562573796,2.7118130371472837e-15,3.963092029565706e-07,2.509393957328533e-14,2.2382126536138047e-14,4.747606610942338e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,13,37.71375125147592,5.168725366855667e-15,7.553667610488459e-07,2.7550851902993713e-14,2.2382126536138047e-14,4.9932978439131756e-14,-7.888609052210118e-31,1.5407439555097887e-33,False,False
0.2,100,14,56.570626877213876,7.743525804631044e-15,1.131652697906951e-06,3.012565234076909e-14,2.2382126536138047e-14,5.250777887690714e-14,1.5777218104420236e-30,1.5407439555097887e-33,False,False
0.2,100,15,75.42750250295184,1.1191063268069023e-14,1.6354819831792515e-06,3.3573189804207073e-14,2.2382126536138047e-14,5.595531634034512e-14,3.1554436208840472e-30,1.5407439555097887e-33,False,False
0.2,100,16,37.71375125147592,5.168725366855667e-15,7.553667610488459e-07,3.3573189804207073e-14,2.8404464437351404e-14,6.197765424155848e-14,2.3665827156630354e-30,1.5407439555097887e-33,False,False
0.2,100,17,0.0,0.0,0.0,3.3573189804207073e-14,3.3573189804207073e-14,6.714637960841415e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,18,-37.71375125147592,-5.168725366855667e-15,-7.553667610488459e-07,3.3573189804207073e-14,3.874191517106274e-14,7.231510497526981e-14,-2.3665827156630354e-30,1.5407439555097887e-33,False,False
0.2,100,19,-75.42750250295184,-1.1191063268069023e-14,-1.6354819831792515e-06,3.3573189804207073e-14,4.47642530722761e-14,7.833744287648317e-14,-3.1554436208840472e-30,1.5407439555097887e-33,False,False
0.2,100,20,-37.71375125147592,-5.168725366855667e-15,-7.553667610488459e-07,3.959552770542043e-14,4.47642530722761e-14,8.435978077769654e-14,-2.3665827156630354e-30,1.5407439555097887e-33,False,False
0.2,100,21,0.0,0.0,0.0,4.47642530722761e-14,4.47642530722761e-14,8.95285061445522e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,22,0.0,0.0,0.0,4.47642530722761e-14,4.47642530722761e-14,8.95285061445522e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,23,18.85687562573796,2.7118130371472837e-15,3.963092029565706e-07,4.747606610942338e-14,4.47642530722761e-14,9.224031918169947e-14,-3.1554436208840472e-30,1.5407439555097887e-33,False,False
0.2,100,24,37.71375125147592,5.168725366855667e-15,7.553667610488459e-07,4.993297843913176e-14,4.47642530722761e-14,9.469723151140786e-14,-3.944304526105059e-30,1.5407439555097887e-33,False,False
0.2,100,25,56.570626877213876,7.743525804631044e-15,1.131652697906951e-06,5.250777887690714e-14,4.47642530722761e-14,9.727203194918323e-14,-4.733165431326071e-30,1.5407439555097887e-33,False,False
0.2,100,26,75.42750250295184,1.1191063268069023e-14,1.6354819831792515e-06,5.595531634034512e-14,4.47642530722761e-14,1.0071956941262123e-13,-3.1554436208840472e-30,1.5407439555097887e-33,False,False
0.2,100,27,37.71375125147592,5.168725366855667e-15,7.553667610488459e-07,5.595531634034512e-14,5.078659097348946e-14,1.0674190731383458e-13,-3.944304526105059e-30,1.5407439555097887e-33,False,False
0.2,100,28,0.0,0.0,0.0,5.595531634034512e-14,5.5955316340345126e-14,1.1191063268069024e-13,-6.310887241768095e-30,1.5407439555097887e-33,False,False
0.2,100,29,-37.71375125147592,-5.168725366855667e-15,-7.553667610488459e-07,5.595531634034512e-14,6.11240417072008e-14,1.1707935804754592e-13,-8.67746995743113e-30,1.5407439555097887e-33,False,False
0.2,100,30,-75.42750250295184,-1.1191063268069023e-14,-1.6354819831792515e-06,5.595531634034512e-14,6.714637960841415e-14,1.2310169594875928e-13,-3.1554436208840472e-30,1.5407439555097887e-33,False,False
0.2,100,31,-37.71375125147592,-5.168725366855667e-15,-7.553667610488459e-07,6.197765424155847e-14,6.714637960841415e-14,1.2912403384997262e-13,-8.67746995743113e-30,1.5407439555097887e-33,False,False
0.2,100,32,0.0,0.0,0.0,6.714637960841413e-14,6.714637960841415e-14,1.3429275921682827e-13,-1.262177448353619e-29,1.5407439555097887e-33,False,False
0.2,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,False,False
