span_um,loading_axis,axial_stress_MPa,resolved_shear_MPa,critical_resolved_shear_MPa,hypothetical_specimen_volume_m3,initial_pinned_line_density_m2,swept_area_m2,axial_bow_strain,status,experimental_yield_MPa
0.2,110,30.0,12.247448713915887,38.49143618848605,7.999999999999999e-19,250000000000.00003,4.177200024735374e-15,6.10463475806032e-07,subcritical recoverable bow,
0.2,110,50.0,20.412414523193146,38.49143618848605,7.999999999999999e-19,250000000000.00003,6.798936224443324e-15,9.93608688781942e-07,subcritical recoverable bow,
0.2,111,0.0,0.0,38.49143618848605,7.999999999999999e-19,250000000000.00003,0.0,0.0,subcritical recoverable bow,
0.2,111,2.0,0.5443310539518175,38.49143618848605,7.999999999999999e-19,250000000000.00003,1.991977982646487e-16,1.9407414788450275e-08,subcritical recoverable bow,
0.2,111,5.0,1.3608276348795436,38.49143618848605,7.999999999999999e-19,250000000000.00003,4.973458790509351e-16,4.845534364413143e-08,subcritical recoverable bow,
0.2,111,10.0,2.7216552697590872,38.49143618848605,7.999999999999999e-19,250000000000.00003,9.902369964871912e-16,9.647666940657484e-08,subcritical recoverable bow,
0.2,111,15.0,4.08248290463863,38.49143618848605,7.999999999999999e-19,250000000000.00003,1.4750676131475832e-15,1.4371267784461698e-07,subcritical recoverable bow,
0.2,111,20.0,5.4433105395181745,38.49143618848605,7.999999999999999e-19,250000000000.00003,1.949609276217982e-15,1.8994625557408862e-07,subcritical recoverable bow,
0.2,111,30.0,8.16496580927726,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.86600975492833e-15,2.792291912169691e-07,subcritical recoverable bow,
0.2,111,50.0,13.608276348795437,38.49143618848605,7.999999999999999e-19,250000000000.00003,4.605645891405866e-15,4.48718213564202e-07,subcritical recoverable bow,
1.0,100,0.0,0.0,9.814191666857537,9.999999999999999e-17,10000000000.0,0.0,0.0,subcritical recoverable bow,
1.0,100,2.0,0.816496580927726,9.814191666857537,9.999999999999999e-17,10000000000.0,2.9063798083643404e-14,3.397948308571051e-08,subcritical recoverable bow,
1.0,100,5.0,2.041241452319315,9.814191666857537,9.999999999999999e-17,10000000000.0,7.033851366466588e-14,8.223516859235335e-08,subcritical recoverable bow,
1.0,100,10.0,4.08248290463863,9.814191666857537,9.999999999999999e-17,10000000000.0,1.3408358611722263e-13,1.5676171894084494e-07,subcritical recoverable bow,
1.0,100,15.0,6.123724356957945,9.814191666857537,9.999999999999999e-17,10000000000.0,2.0219710755759088e-13,2.363955728174211e-07,subcritical recoverable bow,
1.0,100,20.0,8.16496580927726,9.814191666857537,9.999999999999999e-17,10000000000.0,2.9861867014062226e-13,3.491253284212411e-07,subcritical recoverable bow,
1.0,100,30.0,12.24744871391589,9.814191666857537,9.999999999999999e-17,10000000000.0,,,no subcritical branch; emission not implemented,
1.0,100,50.0,20.41241452319315,9.814191666857537,9.999999999999999e-17,10000000000.0,,,no subcritical branch; emission not implemented,
1.0,110,0.0,0.0,9.814191666857537,9.999999999999999e-17,10000000000.0,0.0,0.0,subcritical recoverable bow,
1.0,110,2.0,0.8164965809277258,9.814191666857537,9.999999999999999e-17,10000000000.0,2.906379808364343e-14,3.397948308571053e-08,subcritical recoverable bow,
1.0,110,5.0,2.0412414523193143,9.814191666857537,9.999999999999999e-17,10000000000.0,7.033851366466604e-14,8.223516859235353e-08,subcritical recoverable bow,
1.0,110,10.0,4.082482904638629,9.814191666857537,9.999999999999999e-17,10000000000.0,1.3408358611722263e-13,1.567617189408449e-07,subcritical recoverable bow,
1.0,110,15.0,6.123724356957943,9.814191666857537,9.999999999999999e-17,10000000000.0,2.0219710755759052e-13,2.3639557281742063e-07,subcritical recoverable bow,
1.0,110,20.0,8.164965809277257,9.814191666857537,9.999999999999999e-17,10000000000.0,2.9861867014062206e-13,3.4912532842124076e-07,subcritical recoverable bow,
1.0,110,30.0,12.247448713915887,9.814191666857537,9.999999999999999e-17,10000000000.0,,,no subcritical branch; emission not implemented,
1.0,110,50.0,20.412414523193146,9.814191666857537,9.999999999999999e-17,10000000000.0,,,no subcritical branch; emission not implemented,
1.0,111,0.0,0.0,9.814191666857537,9.999999999999999e-17,10000000000.0,0.0,0.0,subcritical recoverable bow,
1.0,111,2.0,0.5443310539518175,9.814191666857537,9.999999999999999e-17,10000000000.0,1.946278083661613e-14,1.5169736369518667e-08,subcritical recoverable bow,
1.0,111,5.0,1.3608276348795436,9.814191666857537,9.999999999999999e-17,10000000000.0,4.782498768886031e-14,3.727588884680796e-08,subcritical recoverable bow,
1.0,111,10.0,2.7216552697590872,9.814191666857537,9.999999999999999e-17,10000000000.0,9.195884124508455e-14,7.167482335874112e-08,subcritical recoverable bow,
1.0,111,15.0,4.08248290463863,9.814191666857537,9.999999999999999e-17,10000000000.0,1.340835861172227e-13,1.0450781262723003e-07,subcritical recoverable bow,
1.0,111,20.0,5.4433105395181745,9.814191666857537,9.999999999999999e-17,10000000000.0,1.7801140645993476e-13,1.387461601419308e-07,subcritical recoverable bow,
1.0,111,30.0,8.16496580927726,9.814191666857537,9.999999999999999e-17,10000000000.0,2.9861867014062226e-13,2.3275021894749406e-07,subcritical recoverable bow,
1.0,111,50.0,13.608276348795437,9.814191666857537,9.999999999999999e-17,10000000000.0,,,no subcritical branch; emission not implemented,
5.0,100,0.0,0.0,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,0.0,0.0,subcritical recoverable bow,
5.0,100,2.0,0.816496580927726,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,2.792729749718283e-12,2.6120609018934383e-08,subcritical recoverable bow,
5.0,100,5.0,2.041241452319315,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,7.855554786666661e-12,7.347358806559679e-08,subcritical recoverable bow,
5.0,100,10.0,4.08248290463863,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,100,15.0,6.123724356957945,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,100,20.0,8.16496580927726,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,100,30.0,12.24744871391589,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,100,50.0,20.41241452319315,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,110,0.0,0.0,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,0.0,0.0,subcritical recoverable bow,
5.0,110,2.0,0.8164965809277258,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,2.7927297497182774e-12,2.6120609018934324e-08,subcritical recoverable bow,
5.0,110,5.0,2.0412414523193143,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,7.855554786666655e-12,7.347358806559671e-08,subcritical recoverable bow,
5.0,110,10.0,4.082482904638629,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,110,15.0,6.123724356957943,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,110,20.0,8.164965809277257,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,110,30.0,12.247448713915887,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,110,50.0,20.412414523193146,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,,,no subcritical branch; emission not implemented,
5.0,111,0.0,0.0,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,0.0,0.0,subcritical recoverable bow,
5.0,111,2.0,0.5443310539518175,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,1.9174735984043387e-12,1.1956182100589654e-08,subcritical recoverable bow,
5.0,111,5.0,1.3608276348795436,2.3860192192035723,1.2499999999999996e-14,400000000.0000001,4.582676250764139e-12,2.857474116346588e-08,subcritical recoverable bow,
