case,axis,fraction,sign,parts,block,real_A2_eV,imag_A2_eV,magnitude_A2_eV,phase_rad,offset_A,residual_rms_A
axis1_fraction1_sign-1,1,1.0,-1,4,1,0.012221361129815268,-0.00023461919825931487,0.012223612969721815,-0.0191951108991298,-0.00012872337000763024,0.01718902692965974
axis1_fraction1_sign-1,1,1.0,-1,4,2,0.011960696426656573,4.0671328589183265e-05,0.011960765576149567,0.0034004016472823292,-0.00012218953855664522,0.016910616428570592
axis1_fraction1_sign-1,1,1.0,-1,4,3,0.012033124320933165,-9.543280227701894e-05,0.0120335027461992,-0.007930675272298343,3.6172030888991774e-07,0.018442363047509513
axis1_fraction1_sign+1,1,1.0,1,1,0,0.012020661825422493,-0.00011609167092825421,0.01202122240028977,-0.009657376898042429,-7.223560232189064e-06,0.017092578924342218
axis1_fraction1_sign+1,1,1.0,1,2,0,0.012115008786960571,-6.367952317515845e-05,0.012115176143573136,-0.005256202273978374,0.00012660117250378093,0.01649906479499943
axis1_fraction1_sign+1,1,1.0,1,2,1,0.01192631486388448,-0.00016850381868134762,0.011927505177924765,-0.014127801389455762,-0.0001410482929681592,0.017664437961625794
axis1_fraction1_sign+1,1,1.0,1,4,0,0.012003222694172738,-8.306065224799988e-05,0.012003510074884566,-0.00691975218903847,0.0002801604266871627,0.016201047117578252
axis1_fraction1_sign+1,1,1.0,1,4,1,0.012226676161314572,-1.4067148575226022e-05,0.012226684253644857,-0.0011505287440884758,-3.404249798334493e-05,0.01678945943673628
axis1_fraction1_sign+1,1,1.0,1,4,2,0.012030709296378197,-0.0002010116660016626,0.012032388452166492,-0.01670665952282166,-0.0003056361222746759,0.018814049745438766
axis1_fraction1_sign+1,1,1.0,1,4,3,0.011822043451027272,-0.00016732250352812796,0.011823227485681046,-0.014152488349475677,1.9950463890288328e-05,0.01643227482861363
