model,radius,coordinate,mode_index,planes,q_cubic_fraction,predicted_mode_variance_m2,actual_MD_mode_variance_m2,mode_variance_relative_difference,MD_empirical_block_mode_range_m2,conjugate_mode_index,conjugate_modes_independent,source_temperature_K,kinetic_calibration
tied_control,16.0,normal,2,12,0.16666666666666666,2.013052933752742e-25,2.0018630373033496e-25,0.005589741276439186,9.771371185839643e-26,10,False,300,False
tied_control,16.0,normal,3,12,0.25,1.3780723393650886e-25,2.234817114872155e-25,-0.3833623654506858,1.111534463271718e-25,9,False,300,False
tied_control,16.0,normal,4,12,0.3333333333333333,1.0999010074918883e-25,1.534355830374283e-25,-0.2831512836083244,5.0439749309525364e-26,8,False,300,False
tied_control,16.0,normal,5,12,0.4166666666666667,1.092752636250873e-25,1.374316551533673e-25,-0.20487559068439354,1.1534432116399411e-26,7,False,300,False
tied_control,16.0,normal,6,12,0.5,1.138823340495734e-25,1.6735368072084394e-25,-0.3195110286248438,6.221381324517737e-26,6,False,300,False
tied_control,16.0,normal,7,12,0.5833333333333334,1.0927526362508734e-25,1.3743165515336726e-25,-0.20487559068439298,1.1534432116399457e-26,5,False,300,False
tied_control,16.0,normal,8,12,0.6666666666666666,1.0999010074918892e-25,1.534355830374283e-25,-0.28315128360832376,5.0439749309525364e-26,4,False,300,False
tied_control,16.0,normal,9,12,0.75,1.3780723393650927e-25,2.234817114872155e-25,-0.3833623654506839,1.111534463271718e-25,3,False,300,False
tied_control,16.0,normal,10,12,0.8333333333333334,2.0130529337527503e-25,2.0018630373033496e-25,0.005589741276443183,9.771371185839639e-26,2,False,300,False
tied_control,16.0,normal,11,12,0.9166666666666666,2.244483021000557e-25,1.6287273053160333e-25,0.37805942939296666,1.1567789756989106e-25,1,False,300,False
tied_control,16.0,slip_110,1,12,0.08333333333333333,9.144614819827253e-25,1.0195807473230298e-24,-0.10310048087540047,2.2301288727548764e-25,11,False,300,False
tied_control,16.0,slip_110,2,12,0.16666666666666666,8.854221858655549e-25,1.28680768831255e-24,-0.31192345685574063,4.280836190581922e-25,10,False,300,False
tied_control,16.0,slip_110,3,12,0.25,8.52625562987905e-25,1.092683457384956e-24,-0.21969573418047816,5.218205305588863e-25,9,False,300,False
tied_control,16.0,slip_110,4,12,0.3333333333333333,8.266301759149873e-25,1.1583231714691442e-24,-0.2863561773813592,4.349924972360571e-25,8,False,300,False
tied_control,16.0,slip_110,5,12,0.4166666666666667,8.113743195565145e-25,9.34117897808894e-25,-0.13140052079110343,3.645053277654598e-25,7,False,300,False
tied_control,16.0,slip_110,6,12,0.5,8.065241451763373e-25,1.2343440824923194e-24,-0.34659698489593893,1.0488318028437323e-24,6,False,300,False
tied_control,16.0,slip_110,7,12,0.5833333333333334,8.1137431955651555e-25,9.34117897808894e-25,-0.13140052079110232,3.645053277654598e-25,5,False,300,False
tied_control,16.0,slip_110,8,12,0.6666666666666666,8.266301759149876e-25,1.1583231714691442e-24,-0.286356177381359,4.349924972360571e-25,4,False,300,False
tied_control,16.0,slip_110,9,12,0.75,8.526255629879066e-25,1.0926834573849559e-24,-0.2196957341804765,5.218205305588861e-25,3,False,300,False
tied_control,16.0,slip_110,10,12,0.8333333333333334,8.854221858655577e-25,1.2868076883125498e-24,-0.3119234568557384,4.280836190581927e-25,2,False,300,False
tied_control,16.0,slip_110,11,12,0.9166666666666666,9.144614819827317e-25,1.0195807473230296e-24,-0.10310048087539403,2.2301288727548764e-25,1,False,300,False
