sheet,row,temperature_K,resistivity_Ohm_cm,Hall_voltage_source_value,polarity,reported_Hall_n_cm3,recomputed_Hall_n_cm3,reported_Hall_mobility_cm2_Vs,recomputed_Hall_mobility_cm2_Vs,Hall_Rh_cm3_C,concentration_relative_difference,mobility_relative_difference
HDS Temperature data,15,190,0.001356463360044534,4.769419800000004e-06,P-type,1.0470367491548057e+20,1.0469213172572076e+20,43.95087199262259,43.95087199262259,0.05961774750000003,-0.0001102462713855612,0.0
HDS Temperature data,16,180,0.0013365638532293876,5.3971993125000025e-06,P-type,9.252498404461258e+19,9.251478351011162e+19,50.47644468555844,50.47644468555844,0.06746499140625004,-0.00011024627138600529,0.0
HDS Temperature data,17,170,0.0013165697229290342,5.546543812499999e-06,P-type,9.003368532837256e+19,9.0023759450266e+19,52.660938838851834,52.660938838851834,0.06933179765624997,-0.00011024627138578325,0.0
HDS Temperature data,18,160,0.0012972208419159224,5.212622475000002e-06,P-type,9.580125602222067e+19,9.579069429095011e+19,50.22874967169479,50.2287496716948,0.06515778093750003,-0.00011024627138611631,2.220446049250313e-16
HDS Temperature data,19,150,0.0012778423800505947,4.8254862125e-06,P-type,1.0348714270099195e+20,1.0347573362937281e+20,47.20345685659741,47.20345685659741,0.06031857765625,-0.00011024627138567222,0.0
HDS Temperature data,20,140,0.0012596594932936939,5.132348874999995e-06,P-type,9.729965605166645e+19,9.728892912737965e+19,50.929922950647835,50.929922950647835,0.06415436093749992,-0.00011024627138567222,0.0
HDS Temperature data,21,130,0.001240816214926113,5.117004349999997e-06,P-type,9.759143164978099e+19,9.758067255832242e+19,51.5487737874289,51.5487737874289,0.06396255437499995,-0.0001102462713855612,0.0
HDS Temperature data,22,120,0.0012245850221126254,5.089814037500001e-06,P-type,9.811277516141602e+19,9.810195859377919e+19,51.95447790059497,51.95447790059497,0.06362267546875,-0.0001102462713855612,0.0
HDS Temperature data,23,110,0.0012084669003415516,4.564117150000001e-06,P-type,1.0941344489254766e+20,1.0940138246820879e+20,47.209786514529625,47.209786514529625,0.057051464375,-0.00011024627138578325,0.0
HDS Temperature data,24,100,0.001194236632938764,4.365580775000002e-06,P-type,1.1438931175764502e+20,1.1437670076253735e+20,45.69426040232527,45.69426040232527,0.05456975968750002,-0.00011024627138589427,0.0
HDS Temperature data,25,90,0.001180811547952577,5.566527900000002e-06,P-type,8.971046031668262e+19,8.970057007292839e+19,58.926929424638814,58.92692942463882,0.06958159875000001,-0.00011024627138589427,2.220446049250313e-16
HDS Temperature data,26,80,0.001169901483155254,4.897655512499996e-06,P-type,1.019622100819728e+20,1.0195096912848901e+20,52.32978570224236,52.32978570224236,0.06122069390624994,-0.00011024627138578325,0.0
HDS Temperature data,27,70,0.001159145957366965,4.717252237500001e-06,P-type,1.0586158109266392e+20,1.0584991024806545e+20,50.869912105540415,50.869912105540415,0.05896565296875001,-0.00011024627138578325,0.0
HDS Temperature data,28,60,0.0011503787148470946,5.2010887e-06,P-type,9.601370195333464e+19,9.600311680069232e+19,56.514961473919,56.51496147391901,0.06501360875000001,-0.00011024627138600529,2.220446049250313e-16
HDS Temperature data,29,50,0.0011418214636874015,4.875697775000002e-06,P-type,1.0242139757619749e+20,1.024101059990046e+20,53.37631505951913,53.37631505951913,0.060946222187500024,-0.00011024627138567222,0.0
HDS Temperature data,30,40,0.0011349820249255858,5.074451212500001e-06,P-type,9.840981011789688e+19,9.83989608032636e+19,55.88691165431346,55.88691165431346,0.06343064015625001,-0.00011024627138578325,0.0
HDS Temperature data,31,30,0.0011296290879919374,5.254863225000001e-06,P-type,9.503116615840303e+19,9.502068932666864e+19,58.148104551083264,58.148104551083264,0.0656857903125,-0.0001102462713855612,0.0
HDS Temperature data,32,20,0.0011256371858482288,4.3622819624999995e-06,P-type,1.14475814394278e+20,1.1446319386257718e+20,48.44236243862163,48.44236243862163,0.05452852453124999,-0.00011024627138578325,0.0
HDS Temperature data,33,10,0.0011230543356971006,5.370330775000004e-06,P-type,9.298789985141213e+19,9.29776482821695e+19,59.77371935956397,59.77371935956397,0.06712913468750004,-0.00011024627138589427,0.0
