axis,frequency_per_ps,dt_ps,fraction,parts,block,envelope,real_chi_A2_eV,imag_chi_A2_eV,radius_A2_eV,null_radius_A2_eV,dt_difference_A2_eV,amplitude_difference_A2_eV,block_difference_A2_eV,sign_difference_A2_eV,matched_dt_control_available,matched_amplitude_control_available,storage_impedance_eV_A2,drag_eV_ps_A2,mobility_m2_per_J_s,passive_point,production_clock_calibrated,dispersion_coefficient_eV_ps2_A2,storage_to_static_ratio,confidence_interval,inverse_set_bounded,drag_lower_eV_ps_A2,drag_upper_eV_ps_A2,mobility_lower_m2_per_J_s,mobility_upper_m2_per_J_s,positive_drag_resolved,passive_drag_feasible
0,2.0,0.0025,1.0,2,1,null_only,0.002646805540721002,-2.7887695362107066e-05,5.285006243319526e-05,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,4.405312067672099e-06,1.62811475994104e-05,True,True,377.77199044770197,0.3167455199691772,197051218753.40588,True,False,0.29348172262735395,1.1225546074007533,False,True,-0.2836330200685808,0.9173767059763421,68036489631.79279,,False,True
0,2.0,0.0025,1.0,2,1,null_plus_observed_controls,0.002646805540721002,-2.7887695362107066e-05,0.00011928407443078093,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,4.405312067672099e-06,1.62811475994104e-05,True,True,377.77199044770197,0.3167455199691772,197051218753.40588,True,False,0.29348172262735395,1.1225546074007533,False,True,-1.0401829209873157,1.6749630888004088,37263561902.912544,,False,True
0,2.0,0.00125,1.0,1,0,null_only,0.0026428749993374595,-4.0800054344102856e-05,2.8557553845805014e-05,2.8557553845805014e-05,1.1459500170867568e-05,3.4288052159635593e-05,2.2302158585229937e-05,4.578589544624013e-06,True,True,378.28566723134526,0.4647229727396519,134306015423.88985,True,False,0.29022882639433345,1.1208875988986957,False,True,0.1394614668756239,0.7900929861913586,78997145697.34308,447543627231.9676,True,True
0,2.0,0.00125,1.0,1,0,null_plus_observed_controls,0.0026428749993374595,-4.0800054344102856e-05,0.00010118585430616214,2.8557553845805014e-05,1.1459500170867568e-05,3.4288052159635593e-05,2.2302158585229937e-05,4.578589544624013e-06,True,True,378.28566723134526,0.4647229727396519,134306015423.88985,True,False,0.29022882639433345,1.1208875988986957,False,True,-0.6888190430126607,1.6196290813272078,38536657228.61772,,False,True
0,2.0,0.00125,1.0,2,0,null_only,0.002662308294089987,-5.1742327079755634e-05,5.285006243319526e-05,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,2.2302158585229937e-05,7.138293192144461e-06,True,True,375.47207447061936,0.5807047653078501,107481623147.21045,True,False,0.30804611069459975,1.1291295850309615,False,True,-0.012437026545999,1.1743042422929515,53150698512.96429,,False,True
0,2.0,0.00125,1.0,2,0,null_plus_observed_controls,0.002662308294089987,-5.1742327079755634e-05,0.00012803806654107283,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,2.2302158585229937e-05,7.138293192144461e-06,True,True,375.47207447061936,0.5807047653078501,107481623147.21045,True,False,0.30804611069459975,1.1291295850309615,False,True,-0.8582523343401308,2.0223533264513924,30862604436.25195,,False,True
0,2.0,0.00125,1.0,2,1,null_only,0.0026234417045849145,-2.9857781608448112e-05,5.285006243319526e-05,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,2.2302158585229937e-05,1.0614138095728678e-05,True,True,381.1292945713732,0.345182353845069,180817733146.99017,True,False,0.27222134589874963,1.1126456127664226,False,True,-0.265918999654179,0.9565639580843767,65249260352.23053,,False,True
0,2.0,0.00125,1.0,2,1,null_plus_observed_controls,0.0026234417045849145,-2.9857781608448112e-05,0.00013151391144465707,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,2.2302158585229937e-05,1.0614138095728678e-05,True,True,381.1292945713732,0.345182353845069,180817733146.99017,True,False,0.27222134589874963,1.1126456127664226,False,True,-1.178195215213362,1.8702989867151747,33371718205.455425,,False,True
1,1.0,0.0025,0.5,1,0,null_only,0.013823969415687093,-0.00028573094900997725,0.0004907333590730902,0.0004907333590730902,2.7891774637484367e-05,4.5614959894602566e-05,3.410847424411615e-05,0.00020025499337746457,True,True,72.30723208908766,0.23786272399239133,262399629908.40103,True,False,0.2933253721244134,1.1596548284609662,False,True,-0.17087379416016835,0.647199232005404,96438758975.6696,,False,True
1,1.0,0.0025,0.5,1,0,null_plus_observed_controls,0.013823969415687093,-0.00028573094900997725,0.0007986035612267578,0.0004907333590730902,2.7891774637484367e-05,4.5614959894602566e-05,3.410847424411615e-05,0.00020025499337746457,True,True,72.30723208908766,0.23786272399239133,262399629908.40103,True,False,0.2933253721244134,1.1596548284609662,False,True,-0.4283805973230707,0.9056983237718573,68913775267.54681,,False,True
1,1.0,0.0025,0.5,2,0,null_only,0.01385037333266822,-0.0002641387934133811,0.0008160423269572763,0.0008160423269572763,2.7891774637484367e-05,4.5614959894602566e-05,3.410847424411615e-05,0.00034344145633911715,True,True,72.17397031791579,0.2190642142300849,284916872269.4824,True,False,0.2967009322217656,1.1618697805414229,False,True,-0.45931655405131766,0.8989706349116561,69429510064.85468,,False,True
1,1.0,0.0025,0.5,2,0,null_plus_observed_controls,0.01385037333266822,-0.0002641387934133811,0.0012670989920725965,0.0008160423269572763,2.7891774637484367e-05,4.5614959894602566e-05,3.410847424411615e-05,0.00034344145633911715,True,True,72.17397031791579,0.2190642142300849,284916872269.4824,True,False,0.2967009322217656,1.1618697805414229,False,True,-0.8388256980806988,1.2806506240775009,48737016615.72803,,False,True
1,1.0,0.0025,0.5,2,1,null_only,0.013797565498705826,-0.0003073231046065805,0.0008160423269572763,0.0008160423269572763,2.7891774637484367e-05,4.5614959894602566e-05,3.410847424411615e-05,0.00010050271360946154,True,True,72.4406147970133,0.25679999240301854,243049425977.6075,True,False,0.28994674866330206,1.1574398763804976,False,True,-0.42657855073966505,0.9419805202823647,66259428301.02082,,False,True
1,1.0,0.0025,0.5,2,1,null_plus_observed_controls,0.013797565498705826,-0.0003073231046065805,0.001024160249342941,0.0008160423269572763,2.7891774637484367e-05,4.5614959894602566e-05,3.410847424411615e-05,0.00010050271360946154,True,True,72.4406147970133,0.25679999240301854,243049425977.6075,True,False,0.28994674866330206,1.1574398763804976,False,True,-0.6023079114635719,1.1187519563607369,55789927686.59985,,False,True
1,1.0,0.0025,1.0,1,0,null_only,0.013811138301630362,-0.0003295040809318465,0.0002453666795365451,0.0002453666795365451,2.7891774637484367e-05,4.5614959894602566e-05,0.00012329514491812488,6.0158114864001125e-05,True,True,72.36413863327627,0.2747735040576331,227151052859.5807,True,False,0.29188391252086726,1.1585784615418138,False,True,0.07018433140829265,0.47953608384087754,130157234977.37569,889302348433.1854,True,True
1,1.0,0.0025,1.0,1,0,null_plus_observed_controls,0.013811138301630362,-0.0003295040809318465,0.0005023266738507581,0.0002453666795365451,2.7891774637484367e-05,4.5614959894602566e-05,0.00012329514491812488,6.0158114864001125e-05,True,True,72.36413863327627,0.2747735040576331,227151052859.5807,True,False,0.29188391252086726,1.1585784615418138,False,True,-0.14430757693673057,0.6945821065215239,89859917436.08716,,False,True
1,1.0,0.0025,1.0,2,0,null_only,0.013906916068052753,-0.0002518618745007306,0.0004080211634786381,0.0004080211634786381,2.7891774637484367e-05,4.5614959894602566e-05,0.00012329514491812488,8.885424070259536e-05,True,True,71.88309116799046,0.2071946198505862,301238954899.5861,True,False,0.3040689871635935,1.166612995325207,False,True,-0.12857535908797385,0.5433214964001516,114876902824.8414,,False,True
1,1.0,0.0025,1.0,2,0,null_plus_observed_controls,0.013906916068052753,-0.0002518618745007306,0.0006936772836314453,0.0004080211634786381,2.7891774637484367e-05,4.5614959894602566e-05,0.00012329514491812488,8.885424070259536e-05,True,True,71.88309116799046,0.2071946198505862,301238954899.5861,True,False,0.3040689871635935,1.166612995325207,False,True,-0.36436648622375994,0.77978896506451,80041002810.86201,,False,True
1,1.0,0.0025,1.0,2,1,null_only,0.013715360535207834,-0.0004071462873629694,0.0004080211634786381,0.0004080211634786381,2.7891774637484367e-05,4.5614959894602566e-05,0.00012329514491812488,3.2232292997184754e-05,True,True,72.84675812446795,0.34417047522038113,181349346438.3941,True,False,0.2796590179967662,1.150543927758409,False,True,-0.0007402081827249207,0.6896903534082486,90497265093.19792,,False,True
1,1.0,0.0025,1.0,2,1,null_plus_observed_controls,0.013715360535207834,-0.0004071462873629694,0.0006370553359260347,0.0004080211634786381,2.7891774637484367e-05,4.5614959894602566e-05,0.00012329514491812488,3.2232292997184754e-05,True,True,72.84675812446795,0.34417047522038113,181349346438.3941,True,False,0.2796590179967662,1.150543927758409,False,True,-0.1947674368298287,0.8845953431265602,70557788066.12802,,False,True
1,1.0,0.00125,1.0,1,0,null_only,0.013795873713282792,-0.00035284810447123365,0.0002453666795365451,0.0002453666795365451,2.7891774637484367e-05,4.5614959894602566e-05,5.039087470648701e-05,9.18676201588308e-05,True,True,72.4380563845105,0.2948665437065132,211672338136.57294,True,False,0.29001155400905915,1.1572979571476387,False,True,0.08984800446411233,0.5000715669399554,124812316618.07707,694674201356.7799,True,True
