axis,dt_ps,prefix_ps,nw,parts,block,drag_J_s_m2,mobility_m2_J_s,objective
0,0.005,1000,2.0,4,0,1.2068401231004301e-11,82861017036.03888,0.09099190445515688
0,0.005,1000,2.0,4,1,1.3506301210752601e-11,74039515659.83754,0.16587610663830216
0,0.005,1000,2.0,4,2,1.2046853016459678e-11,83009230596.04817,0.37378973456324693
0,0.005,1000,2.0,4,3,1.2199373207113088e-11,81971424516.87027,0.1548534707708773
0,0.005,1000,3.0,1,0,1.34300245593121e-11,74460027648.02249,0.08068914052391309
0,0.005,1000,3.0,2,0,1.5330091776445194e-11,65231181559.95047,0.022179984291750606
0,0.005,1000,3.0,2,1,1.2130676595334358e-11,82435632682.23763,0.1635322326735546
0,0.005,1000,3.0,4,0,1.1870814995177743e-11,84240214375.0221,0.0866347763501576
0,0.005,1000,3.0,4,1,1.3330893482735865e-11,75013726671.43782,0.4795539823922048
0,0.005,1000,3.0,4,2,1.2149071953910692e-11,82310813845.9998,0.41229517372250757
0,0.005,1000,3.0,4,3,1.2013860646419203e-11,83237189895.16125,0.12171880726612339
0,0.005,2000,2.0,1,0,1.227951526199062e-11,81436439359.73178,0.03266439987486342
0,0.005,2000,2.0,2,0,1.3508601853635219e-11,74026906028.83495,0.07049595319329385
0,0.005,2000,2.0,2,1,1.2203786816545607e-11,81941778812.80453,0.12332407432529108
0,0.005,2000,2.0,4,0,1.4505300231548284e-11,68940317265.89508,0.024687234330525925
0,0.005,2000,2.0,4,1,1.2250773966983219e-11,81627495756.19281,0.14670459723686335
0,0.005,2000,2.0,4,2,1.2019615159599006e-11,83197339242.71179,0.1499383298649991
0,0.005,2000,2.0,4,3,1.1534449173216592e-11,86696814471.38683,0.011460716863317587
0,0.005,2000,3.0,1,0,1.2035068262673251e-11,83090513337.71814,0.0331700614448128
0,0.005,2000,3.0,2,0,1.3400560687761282e-11,74623743237.34819,0.09349051676474507
0,0.005,2000,3.0,2,1,1.2351356683288778e-11,80962765924.57141,0.17292108621304286
0,0.005,2000,3.0,4,0,1.5193311574158694e-11,65818435639.85316,0.01992487814095512
0,0.005,2000,3.0,4,1,1.2351830518135148e-11,80959660070.77126,0.13192827014789466
0,0.005,2000,3.0,4,2,1.1866368371953625e-11,84271781277.54048,0.13890926284481236
0,0.005,2000,3.0,4,3,1.147590070729923e-11,87139129686.26083,0.002077241906696957
0,0.005,5000,2.0,1,0,1.3227481994230093e-11,75600178509.8786,0.06399088753575491
0,0.005,5000,2.0,2,0,1.2485360367693646e-11,80093803506.6684,0.03164515341351533
0,0.005,5000,2.0,2,1,1.3511411863959012e-11,74011510423.08524,0.03620314301721628
0,0.005,5000,2.0,4,0,1.2826953153490408e-11,77960836687.69655,0.02929067702763434
0,0.005,5000,2.0,4,1,1.286136043568413e-11,77752272397.67558,0.09233656471902801
0,0.005,5000,2.0,4,2,1.4185498357323183e-11,70494527214.38974,0.12186351492273347
0,0.005,5000,2.0,4,3,1.3699798009065977e-11,72993776940.23227,0.018372536860373496
0,0.005,5000,3.0,1,0,1.3401039655902788e-11,74621076101.32529,0.0833105662573117
0,0.005,5000,3.0,2,0,1.2377393244917493e-11,80792456069.91022,0.03463347576088609
0,0.005,5000,3.0,2,1,1.3341706827764014e-11,74952928655.20068,0.05798219007482239
0,0.005,5000,3.0,4,0,1.261858144614147e-11,79248210606.57191,0.039600285873578694
0,0.005,5000,3.0,4,1,1.296471604287111e-11,77132425939.23749,0.0852825176110666
0,0.005,5000,3.0,4,2,1.4424363378022757e-11,69327149753.00883,0.13996251525207426
0,0.005,5000,3.0,4,3,1.3778068520265332e-11,72579113576.70781,0.019892442670111234
1,0.0025,1000,2.0,1,0,4.6657337803033145e-12,214328559469.37268,0.053008124887933994
1,0.0025,1000,2.0,2,0,4.040667767560845e-12,247483846117.75482,0.05642317438140232
1,0.0025,1000,2.0,2,1,4.9643190967016e-12,201437494351.32434,0.3416465572529261
1,0.0025,1000,2.0,4,0,3.973217017508221e-12,251685220211.5916,0.002771892948946275
1,0.0025,1000,2.0,4,1,4.965063953468946e-12,201407274784.7143,0.035156040383677714
1,0.0025,1000,2.0,4,2,5.347655052308439e-12,186997850500.53424,0.4127202457599082
1,0.0025,1000,2.0,4,3,4.526134983761103e-12,220939058067.82312,0.19373275225958433
1,0.0025,1000,3.0,1,0,4.767177692555115e-12,209767720964.48105,0.04003577436351444
1,0.0025,1000,3.0,2,0,3.856122298716221e-12,259327874619.7753,0.091313130681897
1,0.0025,1000,3.0,2,1,4.978323919282416e-12,200870818414.75308,0.3966694396731683
1,0.0025,1000,3.0,4,0,3.931328627558543e-12,254366931573.7224,0.005347037265224123
1,0.0025,1000,3.0,4,1,4.9377967885856e-12,202519472310.33044,0.05259888048436112
1,0.0025,1000,3.0,4,2,5.378480383773799e-12,185926121998.48764,0.3386994492863021
1,0.0025,1000,3.0,4,3,4.505014972723314e-12,221974844934.97537,0.25993446162484884
1,0.0025,2000,2.0,1,0,4.389048819280798e-12,227839798820.8896,0.06110289192108784
1,0.0025,2000,2.0,2,0,4.658427662128547e-12,214664705031.19846,0.053844366302095395
1,0.0025,2000,2.0,2,1,4.130334876990148e-12,242111119263.22028,0.02415732818026784
1,0.0025,2000,2.0,4,0,4.105115656642495e-12,243598496033.0894,0.04733313632658571
1,0.0025,2000,2.0,4,1,4.871124647164424e-12,205291400330.33633,0.32776326044112664
1,0.0025,2000,2.0,4,2,3.9837101676419674e-12,251022277705.48846,0.062378130363127095
1,0.0025,2000,2.0,4,3,4.281411708276676e-12,233567820181.0947,0.07861847091724636
1,0.0025,2000,3.0,1,0,4.392138360439623e-12,227679530546.46182,0.08619328697315481
1,0.0025,2000,3.0,2,0,4.763230975477006e-12,209941530265.56866,0.04123694950911389
1,0.0025,2000,3.0,2,1,4.114889305885091e-12,243019903006.82104,0.012440796796139535
1,0.0025,2000,3.0,4,0,3.91820909089994e-12,255218641170.14706,0.0837088005299853
1,0.0025,2000,3.0,4,1,4.862848309162183e-12,205640796591.55344,0.3983634816061962
1,0.0025,2000,3.0,4,2,3.945719014562637e-12,253439232826.57898,0.04526757927739924
1,0.0025,2000,3.0,4,3,4.311833313668212e-12,231919911382.02615,0.13378826910695807
1,0.0025,5000,2.0,1,0,4.563954689367958e-12,219108222596.85617,0.033532418351395435
1,0.0025,5000,2.0,2,0,4.518572388091133e-12,221308836975.93015,0.0784401670427086
1,0.0025,5000,2.0,2,1,4.5196494529096374e-12,221256097495.8412,0.01588584285461345
1,0.0025,5000,2.0,4,0,4.521509060102254e-12,221165099241.75293,0.06134236572423776
1,0.0025,5000,2.0,4,1,4.518558996351155e-12,221309492873.17575,0.09089317354214667
1,0.0025,5000,2.0,4,2,4.844571566778738e-12,206416601801.78162,0.031200901808344728
1,0.0025,5000,2.0,4,3,4.107886662487065e-12,243434174835.42825,0.02259738026323757
1,0.0025,5000,3.0,1,0,4.585776422383243e-12,218065581025.49118,0.03407784808463985
1,0.0025,5000,3.0,2,0,4.5083216844465315e-12,221812033389.26468,0.0804039639643022
1,0.0025,5000,3.0,2,1,4.492971349837123e-12,222569859039.10815,0.017810479608759526
1,0.0025,5000,3.0,4,0,4.604965745095956e-12,217156881365.50134,0.06901203888955912
