model,profile,point_index,role,q,matrix_relative_error,minimax,strictly_positive_LJ,tail_bound,radius_change_bound,material_accepted
radial,interface,4,excluded,"(0.25, 0.25, 0.0)",0.9279090264162071,13.923142659781675,True,3.76866222755096e-05,1.581046032370486e-05,False
radial,interface,5,excluded,"(0.625, 0.625, 0.0)",6.2814637271071865,13.923142659781675,True,3.7579252734012355e-05,1.6188041208558574e-05,False
radial,interface,6,excluded,"(0.25, 0.25, 0.25)",0.12436771235923158,13.923142659781675,True,3.7659589828268854e-05,1.62073823432243e-05,False
radial,interface,7,excluded,"(0.45, 0.45, 0.45)",0.035931649651057426,13.923142659781675,True,3.758113294755167e-05,1.5901129520223047e-05,False
radial,joint,0,fit,"(0.125, 0.125, 0.0)",0.13958222096024842,33.33588259815745,True,0.00017107032846225314,8.09297500802067e-05,False
radial,joint,1,fit,"(0.375, 0.375, 0.0)",2.3246185417692105,33.33588259815745,True,0.00017100931983482425,7.75244772510846e-05,False
radial,joint,2,fit,"(0.125, 0.125, 0.125)",0.25556908833756514,33.33588259815745,True,0.00017107279959935537,7.642310194374266e-05,False
radial,joint,3,fit,"(0.375, 0.375, 0.375)",0.1782187508803349,33.33588259815745,True,0.00017098830769054276,7.713960773441972e-05,False
radial,joint,4,excluded,"(0.25, 0.25, 0.0)",0.5840499447140696,33.33588259815745,True,0.00017104929816167034,7.422791219184104e-05,False
radial,joint,5,excluded,"(0.625, 0.625, 0.0)",4.381848052018452,33.33588259815745,True,0.00017097032669408937,7.661584803136767e-05,False
radial,joint,6,excluded,"(0.25, 0.25, 0.25)",0.056427043329145644,33.33588259815745,True,0.00017102941550220158,7.662663770857388e-05,False
radial,joint,7,excluded,"(0.45, 0.45, 0.45)",0.04687842275576107,33.33588259815745,True,0.0001709717096116328,7.520501696052249e-05,False
