model,fraction_a1,fraction_a2,a_L0,ux_L0,uy_L0,energy_J_m2,normal_force_eV_L0,registry_x_force_eV_L0,registry_y_force_eV_L0,min_registry_hessian_eV_L0sq
analytic_candidate,0.05,0.0,0.816496580927726,0.05,0.0,0.013892361707438948,-0.060026897553414685,0.24541210140620429,-0.0364630151655705,3.417489922747084
analytic_candidate,0.05,0.05,0.816496580927726,0.07500000000000001,0.04330127018922193,0.03429761031183277,-0.14162409624810185,0.26931502560912507,0.15548910253224002,2.1740975604717723
analytic_candidate,0.05,0.1,0.816496580927726,0.1,0.08660254037844387,0.0741439716228885,-0.3058327786192777,0.2252376347985813,0.371196519386105,0.6677354702430882
analytic_candidate,0.05,0.15000000000000002,0.816496580927726,0.125,0.1299038105676658,0.13125101615747076,-0.551669783289968,0.1151293888695881,0.5951808387210776,-0.8288694607204767
analytic_candidate,0.05,0.2,0.816496580927726,0.15000000000000002,0.17320508075688773,0.20183773460439722,-0.8711401196585438,-0.055986530260262464,0.8062616838193808,-2.1982145096746835
analytic_candidate,0.05,0.25,0.816496580927726,0.175,0.21650635094610965,0.2802249469485908,-1.2441476009864036,-0.27865169890892527,0.9789982642870377,-3.352732049972118
analytic_candidate,0.05,0.30000000000000004,0.816496580927726,0.2,0.2598076211353316,0.35888779950475985,-1.6358315903264702,-0.5371823797198136,1.0875137817675085,-4.227818032097186
analytic_candidate,0.05,0.35000000000000003,0.816496580927726,0.22500000000000003,0.30310889132455354,0.4290702546711733,-1.9986192953278463,-0.8085905094123087,1.111223533858591,-4.797531584094008
analytic_candidate,0.05,0.4,0.816496580927726,0.25,0.34641016151377546,0.4820018576135618,-2.279910440217228,-1.0635326817725697,1.040903731941244,-5.093443211810906
analytic_candidate,0.05,0.45,0.816496580927726,0.275,0.3897114317029974,0.5104991472188208,-2.4339344875886475,-1.2700394873828231,0.8827717396590882,-5.2005932792171645
analytic_candidate,0.05,0.5,0.816496580927726,0.3,0.4330127018922193,0.5104991472188205,-2.4339344875886435,-1.3995224959791632,0.6585005900533453,-5.2005932792171645
analytic_candidate,0.05,0.55,0.816496580927726,0.325,0.4763139720814413,0.4820018576135624,-2.2799104402172325,-1.4332154156414312,0.40059445419941503,-5.0934432118109125
analytic_candidate,0.05,0.6000000000000001,0.816496580927726,0.35000000000000003,0.5196152422706632,0.42907025467117405,-1.9986192953278517,-1.3666430643108132,0.1446481554807646,-4.797531584094022
analytic_candidate,0.05,0.65,0.816496580927726,0.375,0.562916512459885,0.3588877995047594,-1.635831590326463,-1.210405751836254,-0.07854330358101583,-4.227818032097176
analytic_candidate,0.05,0.7000000000000001,0.816496580927726,0.4,0.6062177826491071,0.2802249469485911,-1.244147600986404,-0.9871632165879095,-0.24817968208069735,-3.352732049972124
analytic_candidate,0.05,0.75,0.816496580927726,0.425,0.649519052838329,0.20183773460439708,-0.8711401196585441,-0.7262363654157324,-0.35464508443455783,-2.1982145096746843
analytic_candidate,0.05,0.8,0.816496580927726,0.45,0.6928203230275509,0.13125101615747092,-0.5516697832899669,-0.4578770317433889,-0.39729539484377985,-0.8288694607204766
analytic_candidate,0.05,0.8500000000000001,0.816496580927726,0.47500000000000003,0.7361215932167728,0.07414397162288867,-0.3058327786192771,-0.20884679818543816,-0.3806597733169462,0.667735470243087
analytic_candidate,0.05,0.9,0.816496580927726,0.5,0.7794228634059948,0.03429761031183275,-0.14162409624810027,-5.257823195357821e-16,-0.310978205064479,2.1740975604717767
analytic_candidate,0.05,0.9500000000000001,0.816496580927726,0.525,0.8227241335952167,0.013892361707439049,-0.06002689755341267,0.15428394813506316,-0.19430160663110943,3.417489922747087
