model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq
analytic_candidate,saddle_downhill_1,0.8297097400976305,0.4999999999999999,0.28867513459481264,0.05621084573119881,0.12680016856250473,7.609875052910317e-15,2.939888873170636,2.9398888731706494,20.072807178686954,7.608497165634276e-15,5.993197215347317e-11,20.072807178686954,-1.7080792835637088e-15,-8.711312316555976e-17,1.1297089523011758e-16,8.898693657487771e-13,-1.7080792835637088e-15,2.939888873170636,-2.004787954689214e-15,-9.059127040108215e-17,-7.135855316537801e-13,-8.711312316555976e-17,-2.004787954689214e-15,2.9398888731706494
Mishin_source_only,perfect_fixed_a,0.8164965809277261,0.0,0.0,0.0,0.0,3.4616788673689394e-05,4.393593035123302,4.393593035123309,19.660912863289713,-3.4616788673689394e-05,-0.2726757163300154,19.660912863289713,-2.8163668888973368e-16,-1.8139773044146187e-15,8.439872011343522e-22,6.64806943278332e-18,-2.8163668888973368e-16,4.3935930351233,5.690856493454551e-17,4.968083585007145e-17,3.913348991146715e-13,-1.8139773044146187e-15,5.690856493454551e-17,4.393593035123307
Mishin_source_only,perfect_stationary,0.8164983416260694,1.0474551914826767e-17,-7.951931356618292e-17,-3.0475955092867935e-11,-6.874752003124795e-11,3.553679224380041e-15,4.393546621110358,4.393546621110361,19.660744714218286,3.5521197063765274e-15,2.7979972219732607e-11,19.660744714218286,5.097142348051317e-16,1.4201566482666566e-15,3.4775128731248367e-17,2.739229576332344e-13,5.097142348051317e-16,4.3935466211103575,9.247561750440745e-17,-9.935950776643814e-17,-7.82652752969062e-13,1.4201566482666566e-15,9.247561750440745e-17,4.39354662111036
Mishin_source_only,direct_half_fixed_a,0.8164965809277261,0.5,0.0,0.2673284762889408,0.6030383534361441,2.683589063747342,-7.566384645591331,-0.7650027021570938,38.76537702528361,-2.2878536362711803,-18021.374975276893,35.09995730873622,5.098994476445523e-17,11.465606462682738,5.395353327826165e-18,4.249908468940992e-14,5.098994476445523e-17,-7.56638464559133,4.454071577640821e-17,-1.4026318127238788,-11048.501288984222,11.465606462682738,4.454071577640821e-17,2.900417014390299
Mishin_source_only,partial_saddle_guess_fixed_a,0.8164965809277261,0.3,0.1732050807568877,0.08103358356877131,0.18279518698009953,0.6183742208921633,-1.8678324771341985,8.186066578474382,22.49222056656275,-0.6093692829297087,-4799.989025517459,22.481191023846076,0.4487972215934569,0.2591131966985381,0.09105940678640474,717.2730321152253,0.4487972215934569,0.6539144438054544,-4.348690062528322,0.0525731730203784,414.11777817418425,0.2591131966985381,-4.348690062528322,5.675349200251404
Mishin_source_only,partial_saddle_guess_stationary,0.8492922641076963,0.37140612594423394,0.21443142679257945,0.07624909750742462,0.17200236521817766,8.41469757193878e-16,-1.8621210587018409,4.541590774816404,12.81702905467783,7.749878245284445e-16,6.104562794438198e-12,12.717337762538293,1.0440707909133682,0.6027945521868562,-2.8565256352811256e-16,-2.250079235129464e-12,1.0440707909133682,-0.18642463121762476,-2.7297209674064455,1.608348129430025e-16,1.2668924389098505e-12,0.6027945521868562,-2.7297209674064455,2.965585639471727
Mishin_source_only,intrinsic_fault_fixed_a,0.8164965809277261,0.5,0.28867513459481287,0.06943467959307995,0.15663043247184877,0.2911327251546587,3.120501970882555,3.120501970882562,16.139824125760825,-0.2911327251546587,-2293.2463530042223,16.139824125760825,-6.179961128013614e-16,2.4902748432906556e-15,-1.183102939586905e-19,-9.319276972366938e-16,-6.179961128013614e-16,3.1205019708825565,-1.347759043733224e-16,1.3440081893668928e-16,1.0586724240760311e-12,2.4902748432906556e-15,-1.347759043733224e-16,3.1205019708825623
Mishin_source_only,intrinsic_fault_stationary,0.8356612484876701,0.5,0.2886751345948127,0.06670794504308633,0.15047947715234014,1.309512077696143e-15,2.485892977485628,2.485892977485637,14.140554350039652,1.3015821155541824e-15,1.0252534949633383e-11,14.140554350039652,3.9217529458273025e-16,3.552036194511115e-15,-1.9538664765098133e-17,-1.5390565142180613e-13,3.9217529458273025e-16,2.4858929774856273,5.705663826113481e-17,1.4256268333882332e-16,1.1229632583131156e-12,3.552036194511115e-15,5.705663826113481e-17,2.485892977485637
Mishin_source_only,on_top_fixed_a,0.8164965809277261,1.0,0.5773502691896257,0.6000780788565818,1.3536533841448004,4.537053619867007,-15.260925903463928,-15.260925903463928,30.873633648247505,-4.537053619867007,-35738.27594138509,30.873633648247505,2.6484099210465087e-16,3.7934402431602644e-17,1.1405450521481772e-17,8.984049388080147e-14,2.6484099210465087e-16,-15.260925903463928,-3.5634378331744835e-18,-3.670588754394055e-17,-2.891315041935188e-13,3.7934402431602644e-17,-3.5634378331744835e-18,-15.260925903463928
Mishin_source_only,on_top_stationary,1.0284825082069524,1.0,0.577350269189626,0.25649021997579946,0.5785894644441186,2.5442570608802755e-15,-0.20316466087291876,-0.20316466087291574,5.657957445765953,-2.5435497830677153e-15,-2.0035488145848443e-11,5.657957445765953,9.077869806172089e-17,-9.967137117781807e-15,-2.665445711757969e-18,-2.0995659812453385e-14,9.077869806172089e-17,-0.2031646608729157,-1.0867068704190413e-17,5.992819281835288e-17,4.720531144336812e-13,-9.967137117781807e-15,-1.0867068704190413e-17,-0.2031646608729188
Mishin_source_only,saddle_downhill_0,0.8164983416260693,-1.6722729279158296e-16,4.806500652353744e-17,-3.0475760803838625e-11,-6.874708175494476e-11,2.5471799689134002e-15,4.393546621110364,4.393546621110378,19.66074471421832,-2.1708527512172286e-15,-1.7099761464443628e-11,19.66074471421832,7.824703063039658e-15,-6.6700832590686045e-15,-1.142599110621729e-15,-9.000229163475812e-12,7.824703063039658e-15,4.393546621110366,4.907940697986811e-15,6.855591870675309e-16,5.400135298001887e-12,-6.6700832590686045e-15,4.907940697986811e-15,4.393546621110375
Mishin_source_only,saddle_downhill_1,0.83566124848767,0.49999999999999983,0.2886751345948128,0.06670794504308647,0.15047947715234047,4.121647043147072e-16,2.485892977485633,2.4858929774856375,14.14055435003965,-3.974296536043305e-16,-3.13054502278882e-12,14.14055435003965,-1.7112704278883931e-15,7.764799072957797e-16,3.3281791511839033e-19,2.6215997176348486e-15,-1.7112704278883931e-15,2.4858929774856326,-5.902240358399849e-16,1.0922134933705615e-16,8.603342716087513e-13,7.764799072957797e-16,-5.902240358399849e-16,2.485892977485637
