study,cutoff_ps,half,axis,temperature_K,variance_m2,correlation_integral_m2_s,integral_time_s,friction_J_s_per_m2,mobility_m2_per_J_s,cell_extensivity_hypothesis_mobility_m2_per_J_s,production_certified
nve_1000ps_dt5,12.8,1,normal,303.141549148292,1.7522390287907315e-25,1.0175284455839053e-40,5.807018499560129e-16,1.3870387955435993e-11,72096036766.44722,41527317177473.6,False
nve_1000ps_dt5,12.8,1,direct110,303.141549148292,8.599326476936079e-25,1.1988910044823508e-39,1.3941684941231736e-15,6.785464381032538e-12,147373848545.32697,84887336762108.33,False
nve_1000ps_dt5,12.8,1,transverse,303.141549148292,8.503739070298283e-25,1.2271199863759171e-39,1.4430357942919264e-15,7.1022495249478154e-12,140800459979.24124,81101064948042.95,False
nve_1000ps_dt5,12.8,1,transverse_symmetry_pooled,303.141549148292,8.55153277361718e-25,1.2206933399103982e-39,1.4274556061767414e-15,6.986302631958277e-12,143137229043.81223,82447043929235.84,False
nve_1000ps_dt5,25.6,0,normal,303.13807107456125,1.7544464238583624e-25,1.036853374131789e-40,5.909860569304537e-16,1.40981098324758e-11,70931494496.97455,40856540830257.34,False
nve_1000ps_dt5,25.6,0,direct110,303.13807107456125,8.362950131886924e-25,1.252542105246424e-39,1.4977275787770532e-15,7.49543919178805e-12,133414463704.22067,76846731093631.11,False
nve_1000ps_dt5,25.6,0,transverse,303.13807107456125,8.190299683084715e-25,1.1963328820532531e-39,1.4606704618196314e-15,7.46407886477728e-12,133975004567.40404,77169602630824.72,False
nve_1000ps_dt5,25.6,0,transverse_symmetry_pooled,303.13807107456125,8.27662490748582e-25,1.2467519906605969e-39,1.5063531386241366e-15,7.61723384685966e-12,131281252499.85173,75618001439914.6,False
nve_1000ps_dt5,25.6,1,normal,303.141549148292,1.7522390287907315e-25,1.0097443736105927e-40,5.762594925804415e-16,1.3764279768867385e-11,72651821729.30263,41847449316078.31,False
nve_1000ps_dt5,25.6,1,direct110,303.141549148292,8.599326476936079e-25,1.1603998886084588e-39,1.349407877140986e-15,6.5676129710444714e-12,152262321852.52634,87703097387055.17,False
nve_1000ps_dt5,25.6,1,transverse,303.141549148292,8.503739070298283e-25,1.2140676931244507e-39,1.4276869070041505e-15,7.026706265467149e-12,142314188500.30984,81972972576178.47,False
nve_1000ps_dt5,25.6,1,transverse_symmetry_pooled,303.141549148292,8.55153277361718e-25,1.2026972489046507e-39,1.4064113191674367e-15,6.883306954135014e-12,145279007120.156,83680708101209.86,False
nvt_1000ps_dt5,6.4,0,normal,299.875912588064,1.7287467402489294e-25,1.0280518030172582e-40,5.946804000158084e-16,1.4242201174493606e-11,70213865662.20554,40443186621430.39,False
nvt_1000ps_dt5,6.4,0,direct110,299.875912588064,8.116105240105185e-25,1.2091011020431314e-39,1.4897553275534674e-15,7.599624648888771e-12,131585446150.45186,75793216982660.27,False
nvt_1000ps_dt5,6.4,0,transverse,299.875912588064,8.520398591674768e-25,1.2380570337194386e-39,1.4530506060234517e-15,7.060666411984638e-12,141629690690.7568,81578701837875.92,False
nvt_1000ps_dt5,6.4,0,transverse_symmetry_pooled,299.875912588064,8.318251915889975e-25,1.2230298796089542e-39,1.4702967546253996e-15,7.318090824862904e-12,136647661792.13605,78709053192270.36,False
nvt_1000ps_dt5,6.4,1,normal,300.04961083093514,1.7231674123937544e-25,9.976851644172882e-41,5.789833055346285e-16,1.3919220637575041e-11,71843102860.26306,41381627247511.52,False
nvt_1000ps_dt5,6.4,1,direct110,300.04961083093514,8.51117896070727e-25,1.152586650897841e-39,1.3542032851369656e-15,6.591291081592821e-12,151715344933.3548,87388038681612.36,False
nvt_1000ps_dt5,6.4,1,transverse,300.04961083093514,8.266384902833232e-25,1.2431322594747242e-39,1.50384028095359e-15,7.536373966336143e-12,132689806061.48933,76429328291417.86,False
nvt_1000ps_dt5,6.4,1,transverse_symmetry_pooled,300.04961083093514,8.38878193177025e-25,1.1967939862800679e-39,1.426660027658525e-15,7.0452748235583214e-12,141939104583.42276,81756924240051.52,False
nvt_1000ps_dt5,12.8,0,normal,299.875912588064,1.7287467402489294e-25,1.020317152817473e-40,5.902062627580448e-16,1.4135048554522153e-11,70746131231.36922,40749771589268.67,False
nvt_1000ps_dt5,12.8,0,direct110,299.875912588064,8.116105240105185e-25,1.184297373606748e-39,1.4591942053124479e-15,7.443724513084613e-12,134341349984.43259,77380617591033.17,False
nvt_1000ps_dt5,12.8,0,transverse,299.875912588064,8.520398591674768e-25,1.2508741824437393e-39,1.4680935040597294e-15,7.133762892219644e-12,140178474545.40976,80742801338156.02,False
nvt_1000ps_dt5,12.8,0,transverse_symmetry_pooled,299.875912588064,8.318251915889975e-25,1.2197263341063415e-39,1.4663253126253056e-15,7.298323813087266e-12,137017762654.87318,78922231289206.95,False
nvt_1000ps_dt5,12.8,1,normal,300.04961083093514,1.7231674123937544e-25,9.894354937705653e-41,5.74195801669718e-16,1.3804125224698847e-11,72442113043.91554,41726657113295.35,False
nvt_1000ps_dt5,12.8,1,direct110,300.04961083093514,8.51117896070727e-25,1.1022965111757953e-39,1.2951161246457866e-15,6.303697130037193e-12,158637063198.19647,91374948402161.17,False
nvt_1000ps_dt5,12.8,1,transverse,300.04961083093514,8.266384902833232e-25,1.19407456821256e-39,1.4444942768190012e-15,7.23896626537844e-12,138141270913.5925,79569372046229.28,False
nvt_1000ps_dt5,12.8,1,transverse_symmetry_pooled,300.04961083093514,8.38878193177025e-25,1.1473716256260696e-39,1.3677452042002771e-15,6.754335767022195e-12,148053048366.71942,85278555859230.39,False
nvt_1000ps_dt5,25.6,0,normal,299.875912588064,1.7287467402489294e-25,1.0201498551254808e-40,5.901094887841034e-16,1.4132730882029005e-11,70757733119.47707,40756454276818.79,False
nvt_1000ps_dt5,25.6,0,direct110,299.875912588064,8.116105240105185e-25,1.1817762031670369e-39,1.4560878256326319e-15,7.427878072298725e-12,134627950306.47661,77545699376530.53,False
nvt_1000ps_dt5,25.6,0,transverse,299.875912588064,8.520398591674768e-25,1.218930791020944e-39,1.4306030145255813e-15,6.951589030466099e-12,143852002127.48346,82858753225430.47,False
nvt_1000ps_dt5,25.6,0,transverse_symmetry_pooled,299.875912588064,8.318251915889975e-25,1.19893084972083e-39,1.441325487426712e-15,7.173892475785146e-12,139394339039.14975,80291139286550.25,False
nvt_1000ps_dt5,25.6,1,normal,300.04961083093514,1.7231674123937544e-25,9.954216788818225e-41,5.776697445194968e-16,1.3887641582676989e-11,72006466616.14372,41475724770898.78,False
nvt_1000ps_dt5,25.6,1,direct110,300.04961083093514,8.51117896070727e-25,1.0971671374117036e-39,1.2890894933321083e-15,6.2743638078795255e-12,159378708442.7861,91802136063044.8,False
nvt_1000ps_dt5,25.6,1,transverse,300.04961083093514,8.266384902833232e-25,1.1454017697149619e-39,1.385613884640655e-15,6.943891941089713e-12,144011457621.13757,82950599589775.25,False
nvt_1000ps_dt5,25.6,1,transverse_symmetry_pooled,300.04961083093514,8.38878193177025e-25,1.127913117683783e-39,1.3445493360747836e-15,6.639787617815736e-12,150607226851.17538,86749762666277.02,False
nve_N6_serial_1000ps_dt2p5,6.4,0,normal,299.0821823607191,6.076974126803561e-25,3.793453711062333e-40,6.242339743278879e-16,4.241640313745235e-12,235757849801.51498,33949130371418.156,False
nve_N6_serial_1000ps_dt2p5,6.4,0,direct110,299.0821823607191,3.097089308589424e-24,3.677784356091652e-39,1.1874970301604594e-15,1.5832614111406212e-12,631607637856.5779,90951499851347.22,False
nve_N6_serial_1000ps_dt2p5,6.4,0,transverse,299.0821823607191,3.2046519842756283e-24,3.9496850542518556e-39,1.2324848606438095e-15,1.5880879250015481e-12,629688057101.1364,90675080222563.64,False
nve_N6_serial_1000ps_dt2p5,6.4,0,transverse_symmetry_pooled,299.0821823607191,3.150870646432526e-24,3.8215732194651975e-39,1.2128626174457696e-15,1.5894792394320616e-12,629136874009.95,90595709857432.8,False
nve_N6_serial_1000ps_dt2p5,6.4,1,normal,299.0555822528428,6.246328951593219e-25,3.637733813350825e-40,5.823794810587052e-16,3.8496071247035036e-12,259766767778.15863,37406414560054.84,False
nve_N6_serial_1000ps_dt2p5,6.4,1,direct110,299.0555822528428,2.9805842028766423e-24,4.146476061821825e-39,1.3911621949213678e-15,1.9271324659583035e-12,518905688978.0178,74722419212834.56,False
nve_N6_serial_1000ps_dt2p5,6.4,1,transverse,299.0555822528428,3.316773211534737e-24,3.609199673079458e-39,1.088165950125185e-15,1.3546108545163136e-12,738219390953.4755,106303592297300.47,False
nve_N6_serial_1000ps_dt2p5,6.4,1,transverse_symmetry_pooled,299.0555822528428,3.1486787072056896e-24,3.857801567749615e-39,1.2252128357590476e-15,1.6066393031141416e-12,622417239551.967,89628082495483.25,False
nve_N6_serial_1000ps_dt2p5,12.8,0,normal,299.0821823607191,6.076974126803561e-25,3.708338451411655e-40,6.10227783438369e-16,4.146468909492591e-12,241169057776.0467,34728344319750.723,False
nve_N6_serial_1000ps_dt2p5,12.8,0,direct110,299.0821823607191,3.097089308589424e-24,3.46371735348128e-39,1.1183782604767175e-15,1.4911070073430826e-12,670642680287.4746,96572545961396.34,False
nve_N6_serial_1000ps_dt2p5,12.8,0,transverse,299.0821823607191,3.2046519842756283e-24,3.806169550273807e-39,1.18770136943096e-15,1.5303832635443774e-12,653431087376.1084,94094076582159.61,False
nve_N6_serial_1000ps_dt2p5,12.8,0,transverse_symmetry_pooled,299.0821823607191,3.150870646432526e-24,3.661173249373998e-39,1.1619560623725528e-15,1.5227652429117583e-12,656700042672.2692,94564806144806.77,False
nve_N6_serial_1000ps_dt2p5,12.8,1,normal,299.0555822528428,6.246328951593219e-25,3.6659550664215243e-40,5.868975353093544e-16,3.879472074274664e-12,257767031403.87155,37118452522157.5,False
nve_N6_serial_1000ps_dt2p5,12.8,1,direct110,299.0555822528428,2.9805842028766423e-24,4.075716279983104e-39,1.3674219557526742e-15,1.8942458724190143e-12,527914572527.4656,76019698443955.05,False
nve_N6_serial_1000ps_dt2p5,12.8,1,transverse,299.0555822528428,3.316773211534737e-24,3.5611428042694304e-39,1.073676907388437e-15,1.3365740701816341e-12,748181505469.5059,107738136787608.84,False
nve_N6_serial_1000ps_dt2p5,12.8,1,transverse_symmetry_pooled,299.0555822528428,3.1486787072056896e-24,3.789149139342875e-39,1.2034092683611958e-15,1.5780479699946315e-12,633694297647.6196,91251978861257.22,False
nve_N6_serial_1000ps_dt2p5,25.6,0,normal,299.0821823607191,6.076974126803561e-25,3.682875686918299e-40,6.060377434674814e-16,4.117997786183648e-12,242836458862.39038,34968450076184.215,False
nve_N6_serial_1000ps_dt2p5,25.6,0,direct110,299.0821823607191,3.097089308589424e-24,3.3938120642692826e-39,1.0958069742635227e-15,1.4610132508506281e-12,684456488959.1399,98561734410116.14,False
nve_N6_serial_1000ps_dt2p5,25.6,0,transverse,299.0821823607191,3.2046519842756283e-24,3.777289830285275e-39,1.1786895578114028e-15,1.518771316272318e-12,658426972702.1224,94813484069105.62,False
nve_N6_serial_1000ps_dt2p5,25.6,0,transverse_symmetry_pooled,299.0821823607191,3.150870646432526e-24,3.6185206361865186e-39,1.1484192917546376e-15,1.5050250507773495e-12,664440767602.8364,95679470534808.44,False
nve_N6_serial_1000ps_dt2p5,25.6,1,normal,299.0555822528428,6.246328951593219e-25,3.6557012483609314e-40,5.852559602113959e-16,3.8686210408877226e-12,258490038034.46527,37222565476963.0,False
nve_N6_serial_1000ps_dt2p5,25.6,1,direct110,299.0555822528428,2.9805842028766423e-24,3.970068014370054e-39,1.331976466404953e-15,1.8451443704207993e-12,541963011692.1108,78042673683663.95,False
nve_N6_serial_1000ps_dt2p5,25.6,1,transverse,299.0555822528428,3.316773211534737e-24,3.594545052017019e-39,1.0837476133478996e-15,1.349110657642178e-12,741229041765.6964,106736982014260.28,False
nve_N6_serial_1000ps_dt2p5,25.6,1,transverse_symmetry_pooled,299.0555822528428,3.1486787072056896e-24,3.753848324299379e-39,1.192197957736612e-15,1.5633464163027635e-12,639653495586.0585,92110103364392.42,False
