source_frame,atoms,n_Si,n_O,n_H,source_config_type,observed_group,empty_gap_x_A,empty_gap_y_A,empty_gap_z_A,included
139,2,2,0,0,dimer,small_Si,,,,True
140,2,2,0,0,dimer,small_Si,,,,True
141,2,2,0,0,dimer,small_Si,,,,True
142,2,2,0,0,dimer,small_Si,,,,True
143,2,2,0,0,dimer,small_Si,,,,True
144,2,2,0,0,dimer,small_Si,,,,True
145,2,2,0,0,dimer,small_Si,,,,True
146,2,2,0,0,dimer,small_Si,,,,True
147,2,2,0,0,dimer,small_Si,,,,True
148,2,2,0,0,dimer,small_Si,,,,True
149,2,2,0,0,dimer,small_Si,,,,True
150,2,2,0,0,dimer,small_Si,,,,True
151,2,2,0,0,dimer,small_Si,,,,True
152,2,2,0,0,dimer,small_Si,,,,True
153,2,2,0,0,dimer,small_Si,,,,True
154,2,1,1,0,dimer,small_Si_O,,,,True
155,2,1,1,0,dimer,small_Si_O,,,,True
156,2,1,1,0,dimer,small_Si_O,,,,True
157,2,1,1,0,dimer,small_Si_O,,,,True
158,2,1,1,0,dimer,small_Si_O,,,,True
159,2,1,1,0,dimer,small_Si_O,,,,True
160,2,1,1,0,dimer,small_Si_O,,,,True
161,2,1,1,0,dimer,small_Si_O,,,,True
162,2,1,1,0,dimer,small_Si_O,,,,True
163,2,1,1,0,dimer,small_Si_O,,,,True
164,2,1,1,0,dimer,small_Si_O,,,,True
165,2,1,1,0,dimer,small_Si_O,,,,True
166,2,1,1,0,dimer,small_Si_O,,,,True
167,2,1,1,0,dimer,small_Si_O,,,,True
168,2,1,1,0,dimer,small_Si_O,,,,True
169,2,1,1,0,dimer,small_Si_O,,,,True
170,2,1,1,0,dimer,small_Si_O,,,,True
171,2,1,1,0,dimer,small_Si_O,,,,True
172,2,1,1,0,dimer,small_Si_O,,,,True
173,2,1,1,0,dimer,small_Si_O,,,,True
174,2,1,1,0,dimer,small_Si_O,,,,True
175,2,1,1,0,dimer,small_Si_O,,,,True
176,2,1,1,0,dimer,small_Si_O,,,,True
177,2,0,2,0,dimer,small_O,,,,True
178,2,0,2,0,dimer,small_O,,,,True
179,2,0,2,0,dimer,small_O,,,,True
180,2,0,2,0,dimer,small_O,,,,True
181,2,0,2,0,dimer,small_O,,,,True
182,2,0,2,0,dimer,small_O,,,,True
183,2,0,2,0,dimer,small_O,,,,True
184,2,0,2,0,dimer,small_O,,,,True
185,2,0,2,0,dimer,small_O,,,,True
186,2,0,2,0,dimer,small_O,,,,True
187,2,0,2,0,dimer,small_O,,,,True
188,2,0,2,0,dimer,small_O,,,,True
189,2,0,2,0,dimer,small_O,,,,True
190,2,0,2,0,dimer,small_O,,,,True
191,2,0,2,0,dimer,small_O,,,,True
192,2,0,2,0,dimer,small_O,,,,True
193,2,0,2,0,dimer,small_O,,,,True
194,2,0,2,0,dimer,small_O,,,,True
195,2,0,2,0,dimer,small_O,,,,True
196,2,0,2,0,dimer,small_O,,,,True
197,2,0,2,0,dimer,small_O,,,,True
198,2,0,2,0,dimer,small_O,,,,True
199,2,0,2,0,dimer,small_O,,,,True
200,2,0,2,0,dimer,small_O,,,,True
201,2,0,2,0,dimer,small_O,,,,True
202,2,0,2,0,dimer,small_O,,,,True
203,2,0,2,0,dimer,small_O,,,,True
204,2,0,2,0,dimer,small_O,,,,True
205,2,0,2,0,dimer,small_O,,,,True
206,2,0,2,0,dimer,small_O,,,,True
207,2,0,2,0,dimer,small_O,,,,True
208,2,0,2,0,dimer,small_O,,,,True
209,2,0,2,0,dimer,small_O,,,,True
210,2,0,2,0,dimer,small_O,,,,True
211,2,0,2,0,dimer,small_O,,,,True
212,2,0,2,0,dimer,small_O,,,,True
213,2,0,2,0,dimer,small_O,,,,True
214,2,0,2,0,dimer,small_O,,,,True
215,2,0,2,0,dimer,small_O,,,,True
216,2,0,2,0,dimer,small_O,,,,True
217,2,0,2,0,dimer,small_O,,,,True
218,2,0,2,0,dimer,small_O,,,,True
219,2,0,2,0,dimer,small_O,,,,True
220,2,0,2,0,dimer,small_O,,,,True
221,2,0,2,0,dimer,small_O,,,,True
222,2,0,2,0,dimer,small_O,,,,True
223,2,0,2,0,dimer,small_O,,,,True
224,2,0,2,0,dimer,small_O,,,,True
225,2,0,2,0,dimer,small_O,,,,True
226,2,0,2,0,dimer,small_O,,,,True
227,2,0,2,0,dimer,small_O,,,,True
228,2,0,2,0,dimer,small_O,,,,True
229,2,0,2,0,dimer,small_O,,,,True
230,2,0,2,0,dimer,small_O,,,,True
231,2,0,2,0,dimer,small_O,,,,True
232,192,192,0,0,bulk,Si_vacuum0,1.9406143199999983,1.940601580000001,1.3516545500000003,True
233,192,192,0,0,bulk,Si_vacuum0,1.6527783299999983,1.626445239999998,1.11845674,True
234,192,192,0,0,bulk,Si_vacuum0,1.4477748499999994,1.5209134200000023,0.9910570399999996,True
235,192,192,0,0,bulk,Si_vacuum0,1.4620577300000013,1.5889843200000004,1.090406060000001,True
236,192,192,0,0,bulk,Si_vacuum0,1.6292123400000003,1.6580888800000009,1.1610706100000008,True
237,192,192,0,0,bulk,Si_vacuum0,1.473321040000001,1.6135781300000012,1.0988556999999992,True
238,192,192,0,0,bulk,Si_vacuum0,1.4934318800000015,1.6247492100000003,1.08063778,True
239,192,192,0,0,bulk,Si_vacuum0,1.6112308,1.61164497,0.9754229100000005,True
240,192,192,0,0,bulk,Si_vacuum0,1.6287392799999998,1.6096206499999997,1.0083086699999997,True
241,192,192,0,0,bulk,Si_vacuum0,1.5548659299999996,1.616138370000001,1.0652805200000013,True
242,192,192,0,0,bulk,Si_vacuum0,1.4368127499999994,1.59806624,1.068900479999999,True
243,192,192,0,0,bulk,Si_vacuum0,1.4224213099999996,1.5273201900000004,0.9838942700000005,True
244,192,192,0,0,bulk,Si_vacuum0,1.4400020800000004,1.5212224000000012,0.9895608999999994,True
245,192,192,0,0,bulk,Si_vacuum0,1.4500338400000001,1.557408,1.0972001500000013,True
246,192,192,0,0,bulk,Si_vacuum0,1.549442420000001,1.52308771,1.0115011200000001,True
247,192,192,0,0,bulk,Si_vacuum0,1.556793050000001,1.6413414800000028,0.9435874499999988,True
248,192,192,0,0,bulk,Si_vacuum0,1.5083643899999983,1.60297489,0.9859265699999988,True
249,192,192,0,0,bulk,Si_vacuum0,1.48639342,1.5406649500000011,1.1009638800000003,True
250,192,192,0,0,bulk,Si_vacuum0,1.5639626199999994,1.5737882999999997,1.0937066599999992,True
251,192,192,0,0,bulk,Si_vacuum0,1.4841565500000005,1.51080283,1.1023620200000002,True
252,192,192,0,0,bulk,Si_vacuum0,1.3677223899999995,1.58086814,1.016211349999997,True
253,192,192,0,0,bulk,Si_vacuum0,1.40337415,1.55085704,0.9863410199999995,True
254,192,192,0,0,bulk,Si_vacuum0,1.536095149999999,1.5518909399999998,1.0187872700000007,True
255,192,192,0,0,bulk,Si_vacuum0,1.5752872800000017,1.5254268199999999,1.0136163700000003,True
256,192,192,0,0,bulk,Si_vacuum0,1.5668444500000005,1.6124801599999998,1.0386732899999995,True
257,192,192,0,0,bulk,Si_vacuum0,1.515595420000001,1.6086955100000022,1.0805335200000004,True
258,192,192,0,0,bulk,Si_vacuum0,1.4502854600000001,1.504135940000001,1.0425460999999998,True
259,192,192,0,0,bulk,Si_vacuum0,1.3435511000000018,1.4313134199999995,1.0399208299999994,True
260,192,192,0,0,bulk,Si_vacuum0,1.479922480000001,1.5365626499999994,0.9992644399999989,True
261,192,192,0,0,bulk,Si_vacuum0,1.4971685100000007,1.5040901299999996,1.0648919599999989,True
262,192,192,0,0,bulk,Si_vacuum0,1.5367489600000002,1.5689692999999998,1.1553101699999995,True
263,192,192,0,0,bulk,Si_vacuum0,1.6495737500000005,1.5615935499999989,0.9869843899999998,True
264,192,192,0,0,bulk,Si_vacuum0,1.5645660000000021,1.4871438999999997,0.9170937400000005,True
265,192,192,0,0,bulk,Si_vacuum0,1.4828545699999993,1.4575219500000005,0.9719985299999987,True
266,192,192,0,0,bulk,Si_vacuum0,1.4096159799999992,1.5370065099999997,0.9262326900000005,True
267,192,192,0,0,bulk,Si_vacuum0,1.4193839400000003,1.5930284799999996,1.0596691000000003,True
268,192,192,0,0,bulk,Si_vacuum0,1.4580186899999998,1.5689555500000003,1.0038939800000002,True
269,192,192,0,0,bulk,Si_vacuum0,1.5328295200000002,1.5695492899999999,1.0274719700000003,True
270,192,192,0,0,bulk,Si_vacuum0,1.5813197399999999,1.5829602200000006,1.0793803900000007,True
271,192,192,0,0,bulk,Si_vacuum0,1.45387145,1.5444608800000001,0.9989576299999999,True
272,192,192,0,0,bulk,Si_vacuum0,1.5802224099999989,1.4827456599999997,1.0253388200000007,True
273,192,192,0,0,bulk,Si_vacuum0,1.5197222,1.46561632,1.0725684699999998,True
274,192,192,0,0,bulk,Si_vacuum0,1.3974735100000002,1.5873474800000005,1.047985490000001,True
275,192,192,0,0,bulk,Si_vacuum0,1.3783493199999994,1.5513323700000001,1.076363169999999,True
276,192,192,0,0,bulk,Si_vacuum0,1.5736066499999999,1.4429085600000018,1.0389569900000006,True
277,192,192,0,0,bulk,Si_vacuum0,1.5279975999999988,1.4945911099999993,0.9542874400000003,True
278,192,192,0,0,bulk,Si_vacuum0,1.5822015100000002,1.5510476700000004,1.0106732000000005,True
279,192,192,0,0,bulk,Si_vacuum0,1.4784428300000012,1.5347863600000011,1.0212792499999988,True
280,192,192,0,0,bulk,Si_vacuum0,1.3459606899999998,1.573238859999998,1.0781333100000006,True
281,192,192,0,0,bulk,Si_vacuum0,1.4483119199999999,1.5336988900000001,1.04335921,True
282,192,192,0,0,bulk,Si_vacuum0,1.4978375700000002,1.5053685500000002,1.0455405600000005,True
283,192,192,0,0,bulk,Si_vacuum0,1.40306217,1.4451511499999992,1.0397660800000017,True
284,192,192,0,0,bulk,Si_vacuum0,1.470570439999998,1.4542325899999993,1.07064274,True
285,192,192,0,0,bulk,Si_vacuum0,1.62922782,1.54651276,1.0033575700000001,True
286,192,192,0,0,bulk,Si_vacuum0,1.55447945,1.5850505399999981,1.061581899999999,True
287,192,192,0,0,bulk,Si_vacuum0,1.5405916600000007,1.5375822999999997,1.0543134800000014,True
288,192,192,0,0,bulk,Si_vacuum0,1.53591871,1.5278897799999984,1.021860459999997,True
289,192,192,0,0,bulk,Si_vacuum0,1.4740820100000012,1.47513271,0.9961980200000005,True
290,192,192,0,0,bulk,Si_vacuum0,1.3165426700000002,1.4457648499999984,0.9951823999999999,True
291,192,192,0,0,bulk,Si_vacuum0,1.4426237000000002,1.4085534200000005,1.0907568599999997,True
292,192,192,0,0,bulk,Si_vacuum0,1.5511930999999999,1.53997649,1.0544259899999995,True
293,192,192,0,0,bulk,Si_vacuum0,1.5691327799999992,1.5521776100000004,1.0572809899999995,True
294,192,192,0,0,bulk,Si_vacuum0,1.5959541499999994,1.5341983300000004,1.03787423,True
295,192,192,0,0,bulk,Si_vacuum0,1.4250168599999993,1.4579113099999998,0.9682968000000005,True
296,192,192,0,0,bulk,Si_vacuum0,1.4949125300000001,1.4532591999999993,0.956385850000001,True
297,192,192,0,0,bulk,Si_vacuum0,1.4750274199999998,1.5264796400000005,1.0211160999999989,True
298,192,192,0,0,bulk,Si_vacuum0,1.4707025599999994,1.4393203300000006,1.01467163,True
299,192,192,0,0,bulk,Si_vacuum0,1.4711510999999995,1.5938069099999999,1.0283143300000015,True
300,192,192,0,0,bulk,Si_vacuum0,1.4872038800000005,1.50381148,0.92603461,True
301,192,192,0,0,bulk,Si_vacuum0,1.65222146,1.55980189,1.054161340000001,True
302,192,192,0,0,bulk,Si_vacuum0,1.5216699699999992,1.4299404499999993,1.0428168100000001,True
303,192,192,0,0,bulk,Si_vacuum0,1.4187578499999995,1.4972840300000003,0.9268837300000003,True
304,192,192,0,0,bulk,Si_vacuum0,1.4493283699999981,1.3887201999999998,0.9359201400000001,True
305,192,192,0,0,bulk,Si_vacuum0,1.4334557499999991,1.5615295799999995,1.1145808299999997,True
306,192,192,0,0,bulk,Si_vacuum0,1.5703023499999997,1.5641251299999994,1.0196239699999994,True
307,192,192,0,0,bulk,Si_vacuum0,1.5398708499999996,1.5762734099999998,0.9793887400000006,True
308,192,192,0,0,bulk,Si_vacuum0,1.5273339200000011,1.530070789999999,0.8812722099999998,True
309,192,192,0,0,bulk,Si_vacuum0,1.46504595,1.5256867900000004,0.9405598999999998,True
310,192,192,0,0,bulk,Si_vacuum0,1.512805240000001,1.504729639999999,1.00074314,True
311,192,192,0,0,bulk,Si_vacuum0,1.559145079999999,1.546685840000001,1.0275529500000002,True
312,192,192,0,0,bulk,Si_vacuum0,1.44467374,1.5625754199999986,1.0578561999999996,True
313,192,192,0,0,bulk,Si_vacuum0,1.3675902999999998,1.4775056999999998,0.9808404599999994,True
314,192,192,0,0,bulk,Si_vacuum0,1.3961137499999996,1.4599269999999982,1.0330367999999999,True
315,192,192,0,0,bulk,Si_vacuum0,1.5091926900000001,1.590628830000002,0.9963649200000011,True
316,192,192,0,0,bulk,Si_vacuum0,1.6243251499999993,1.5850014099999998,1.0105878,True
317,192,192,0,0,bulk,Si_vacuum0,1.49641392,1.5616411500000014,1.0199359299999997,True
318,192,192,0,0,bulk,Si_vacuum0,1.5382516499999999,1.5614384200000004,1.001002490000001,True
319,192,192,0,0,bulk,Si_vacuum0,1.548562479999998,1.5899451899999995,1.0121641199999993,True
320,192,192,0,0,bulk,Si_vacuum0,1.4689182100000004,1.4458576800000003,0.9934202999999996,True
321,192,192,0,0,bulk,Si_vacuum0,1.3798530200000008,1.5105888799999996,1.0403861200000006,True
322,192,192,0,0,bulk,Si_vacuum0,1.4940328800000022,1.56678706,1.0137619399999973,True
323,192,192,0,0,bulk,Si_vacuum0,1.6276483199999998,1.5566136699999993,1.0484614700000003,True
324,192,192,0,0,bulk,Si_vacuum0,1.5999452,1.608558059999999,1.0984073900000006,True
325,192,192,0,0,bulk,Si_vacuum0,1.5509103899999994,1.5257096700000001,1.040151500000001,True
326,192,192,0,0,bulk,Si_vacuum0,1.4642950499999992,1.5471341400000014,1.0360626600000005,True
327,192,192,0,0,bulk,Si_vacuum0,1.4439596000000001,1.4878215400000006,1.0067637299999999,True
328,192,192,0,0,bulk,Si_vacuum0,1.3614586800000001,1.5501634500000006,1.0207770500000006,True
329,192,192,0,0,bulk,Si_vacuum0,1.4742632500000001,1.45938349,0.9983605300000001,True
330,192,192,0,0,bulk,Si_vacuum0,1.5732552300000018,1.4722321399999998,1.0584630599999985,True
331,192,192,0,0,bulk,Si_vacuum0,1.5823246400000013,1.5626930700000006,1.07073261,True
332,192,192,0,0,bulk,Si_vacuum0,1.5553233999999996,1.4953656300000007,0.96327404,True
333,192,192,0,0,bulk,Si_vacuum0,1.5248227800000003,1.4472951100000007,0.9552638199999975,True
334,192,192,0,0,bulk,Si_vacuum0,1.4707095299999995,1.4732915099999997,1.005502740000001,True
335,192,192,0,0,bulk,Si_vacuum0,1.48454638,1.5487479600000003,1.0517091500000004,True
336,192,192,0,0,bulk,Si_vacuum0,1.5240393000000005,1.5501709600000004,1.0736908800000002,True
337,192,192,0,0,bulk,Si_vacuum0,1.544267190000001,1.5060257900000003,1.0479948199999958,True
338,192,192,0,0,bulk,Si_vacuum0,1.5358640099999992,1.5673811299999991,0.9613485700000003,True
339,192,192,0,0,bulk,Si_vacuum0,1.45057176,1.574072750000001,0.95344135,True
340,192,192,0,0,bulk,Si_vacuum0,1.4741801399999999,1.5161428200000002,1.10908093,True
341,192,192,0,0,bulk,Si_vacuum0,1.5196510900000006,1.6485556700000004,1.1339227499999984,True
342,192,192,0,0,bulk,Si_vacuum0,1.5387242099999998,1.5301309999999981,0.96920948,True
343,192,192,0,0,bulk,Si_vacuum0,1.3772345599999987,1.5158715499999997,0.9396605299999986,True
344,192,192,0,0,bulk,Si_vacuum0,1.538862019999999,1.528317499999999,0.9660806699999998,True
345,192,192,0,0,bulk,Si_vacuum0,1.4687576199999992,1.512503240000002,1.0875632899999996,True
346,192,192,0,0,bulk,Si_vacuum0,1.467676240000001,1.558937,1.00840636,True
347,192,192,0,0,bulk,Si_vacuum0,1.5453745399999994,1.6156056899999998,1.0304825199999987,True
348,192,192,0,0,bulk,Si_vacuum0,1.5295224099999998,1.5058522000000005,1.0528949699999999,True
349,192,192,0,0,bulk,Si_vacuum0,1.511435470000001,1.5941833700000012,1.0312779699999999,True
350,192,192,0,0,bulk,Si_vacuum0,1.44846906,1.4865758200000014,1.02117028,True
351,192,192,0,0,bulk,Si_vacuum0,1.4690106500000022,1.58391475,0.942041719999999,True
352,192,192,0,0,bulk,Si_vacuum0,1.4775998600000004,1.5335372100000009,1.0210176999999983,True
353,192,192,0,0,bulk,Si_vacuum0,1.5512898099999999,1.54012459,1.0063312300000022,True
354,192,192,0,0,bulk,Si_vacuum0,1.5547779499999999,1.5463303100000005,1.07314612,True
355,192,192,0,0,bulk,Si_vacuum0,1.5704871300000016,1.5505059699999995,1.10412689,True
356,192,192,0,0,bulk,Si_vacuum0,1.4529945600000005,1.5611392900000005,1.0381264800000003,True
357,192,192,0,0,bulk,Si_vacuum0,1.5294852600000004,1.5002413800000003,0.9702349399999997,True
358,192,192,0,0,bulk,Si_vacuum0,1.45094854,1.4383143299999996,1.0557881899999997,True
359,192,192,0,0,bulk,Si_vacuum0,1.3546337699999977,1.5791410500000012,1.0578097500000003,True
360,192,192,0,0,bulk,Si_vacuum0,1.4619094500000018,1.6466312100000016,1.0763698,True
361,192,192,0,0,bulk,Si_vacuum0,1.490260369999999,1.5911665799999997,1.0182034300000002,True
362,192,192,0,0,bulk,Si_vacuum0,1.5024877199999995,1.5393773299999995,1.07626063,True
363,192,192,0,0,bulk,Si_vacuum0,1.523253979999999,1.5916443699999994,0.9527250499999999,True
364,192,192,0,0,bulk,Si_vacuum0,1.52372387,1.5507170300000002,1.0525777499999998,True
365,192,192,0,0,bulk,Si_vacuum0,1.4304293799999994,1.5351089799999986,1.1647158499999999,True
366,192,192,0,0,bulk,Si_vacuum0,1.4720022999999984,1.4868265199999986,1.0401938099999994,True
367,192,192,0,0,bulk,Si_vacuum0,1.4877008999999997,1.4889969999999988,1.1021497700000007,True
368,192,192,0,0,bulk,Si_vacuum0,1.4820990000000007,1.510237870000001,1.0388493200000009,True
369,192,192,0,0,bulk,Si_vacuum0,1.6076375200000006,1.5470548899999998,1.11249675,True
370,192,192,0,0,bulk,Si_vacuum0,1.4794457199999997,1.6142591499999994,1.065652549999996,True
371,192,192,0,0,bulk,Si_vacuum0,1.5110249300000007,1.5339736300000002,1.1074000799999997,True
372,192,192,0,0,bulk,Si_vacuum0,1.4943885000000003,1.5282927600000002,1.090580289999999,True
373,192,192,0,0,bulk,Si_vacuum0,1.488116149999999,1.5057981699999992,1.0104275600000003,True
374,192,192,0,0,bulk,Si_vacuum0,1.4428698400000002,1.5294489500000004,1.0183720199999993,True
375,192,192,0,0,bulk,Si_vacuum0,1.4592987400000001,1.49349929,1.0679016399999994,True
376,192,192,0,0,bulk,Si_vacuum0,1.6249881699999997,1.5219593400000002,1.0363739699999994,True
377,192,192,0,0,bulk,Si_vacuum0,1.5110573400000005,1.5305165099999998,1.08638034,True
378,192,192,0,0,bulk,Si_vacuum0,1.523688139999999,1.6018530599999992,1.0769976700000001,True
379,192,192,0,0,bulk,Si_vacuum0,1.5102304300000002,1.5780119300000006,0.9762396300000004,True
380,192,192,0,0,bulk,Si_vacuum0,1.4646085300000002,1.4998647600000001,1.03784024,True
381,192,192,0,0,bulk,Si_vacuum0,1.4523739199999992,1.5719473900000003,1.01997218,True
382,192,192,0,0,bulk,Si_vacuum0,1.390571940000002,1.5009567900000003,1.05022826,True
383,192,192,0,0,bulk,Si_vacuum0,1.51446547,1.5281804799999998,0.9586418099999998,True
384,192,192,0,0,bulk,Si_vacuum0,1.6405687500000008,1.5758295800000008,1.03347376,True
385,192,192,0,0,bulk,Si_vacuum0,1.59646855,1.6081404000000008,1.02739586,True
386,192,192,0,0,bulk,Si_vacuum0,1.453345600000001,1.5207733700000001,0.980422229999997,True
387,192,192,0,0,bulk,Si_vacuum0,1.44370783,1.49636836,0.9586804699999997,True
388,192,192,0,0,bulk,Si_vacuum0,1.41268133,1.5072978900000018,1.0364475599999998,True
389,192,192,0,0,bulk,Si_vacuum0,1.48577386,1.59650313,1.0352753300000008,True
390,192,192,0,0,bulk,Si_vacuum0,1.59251513,1.5878329499999986,0.99745732,True
391,192,192,0,0,bulk,Si_vacuum0,1.5851956400000011,1.5901928900000002,0.9817212,True
392,192,192,0,0,bulk,Si_vacuum0,1.4263962200000004,1.5350484999999998,1.0395748199999983,True
393,192,192,0,0,bulk,Si_vacuum0,1.4550415899999993,1.5583766699999997,1.0254688199999984,True
394,192,192,0,0,bulk,Si_vacuum0,1.571446800000001,1.5371751899999981,1.1333378599999997,True
