source_frame,atoms,composition,observed_group,source_energy_eV,mace_energy_eV,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A,source_force_component_RMS_eV_A,source_total_force_norm_eV_A,mace_total_force_norm_eV_A,same_composition_reference_frame,relative_energy_error_eV_atom,Z1_force_RMSE_eV_A,Z8_force_RMSE_eV_A,Z14_force_RMSE_eV_A
14,2,HSi,small_Si_H,-119.16220070833458,-5.444248723574962,0.9773465718700893,0.564272506358119,1.6928182890743573,0.9277330624404492,8.739999999951564e-06,0.0,3,1.7823730963668698,0.9773440488461564,,0.9773490948875092
15,2,HSi,small_Si_H,-119.21884971906778,-5.409186106102462,1.1386527073611896,0.6574076170836681,1.9722061412510044,0.39944659659451875,3.599999999992498e-06,0.0,3,1.8282289104697176,1.1386537465912,,1.1386516681302308
16,2,HSi,small_Si_H,-119.23435398040723,-5.319885135037772,1.276163334125996,0.7367994144717818,2.210384103415345,0.025894507331358903,8.740000000000137e-06,0.0,3,1.8806315266717917,1.276165857144178,,1.2761608111028255
17,2,HSi,small_Si_H,-119.21679165528099,-5.187223625504278,1.3746522487224975,0.7936592725045787,2.380968822513736,0.36701095733954786,2.5700000000350443e-06,0.0,3,1.938181118875414,1.3746515068272014,,1.3746529906173932
18,2,HSi,small_Si_H,-119.1727734654649,-5.021573695655986,1.4258847470058418,0.8232378591784956,2.4697109975354863,0.6391779705295678,1.233999999983304e-05,0.0,3,1.9989969888915171,1.4258811847502313,,1.4258883092525527
19,2,HSi,small_Si_H,-119.10771212273863,-4.832712406985102,1.4238309411197823,0.8220503771349296,2.4661493314047886,0.8548642877767255,3.5999999998814758e-06,0.0,3,2.0608969618638255,1.4238299018889187,,1.4238319803498873
20,2,HSi,small_Si_H,-119.02604190953495,-4.629884974378479,1.364496249357495,0.7877929602067381,2.3633809456202144,1.0242468449846363,8.230000000164495e-06,0.0,3,2.1214755715652975,1.3644986251517845,,1.3644938735590688
21,2,HSi,small_Si_H,-118.9314018856657,-4.421706173880036,1.248595642652583,0.7208780570605141,2.1626328911815422,1.1556381494440642,3.5999999998814758e-06,0.0,3,2.1782449598798888,1.248596681882635,,1.2485946034216662
22,2,HSi,small_Si_H,-118.82677849634148,-4.215749786651958,1.0848201769443555,0.6263217345116976,1.8789690635350929,1.2558221794084123,1.0800000000088517e-05,0.0,3,2.228911458831819,1.0848170592484219,,1.0848232946313292
23,2,HSi,small_Si_H,-118.7146275463403,-4.017932355207017,0.8901009112916232,0.5139005140697636,1.5417056622092908,1.3303215990769006,1.1320000000036856e-05,0.0,3,2.2717446995537,0.890097643483101,,0.8901041790881484
24,2,HSi,small_Si_H,-118.59697037973903,-3.832074288206087,0.6847550251432538,0.395344011428099,1.186032294284297,1.38365842360294,3.5999999998814758e-06,0.0,3,2.3058451497535337,0.6847560643729498,,0.6847539859119808
25,2,HSi,small_Si_H,-118.47547384931397,-3.659993480513676,0.48545397742716423,0.28028144118633463,0.840835578559004,1.4195345218994153,9.250000000182723e-06,0.0,3,2.331137288387208,0.48545664766481517,,0.48545130717482554
26,2,HSi,small_Si_H,-118.35151501561921,-3.5020961511455657,0.30118339597009125,0.173891228058174,0.5216670041745219,1.4409711418984972,4.119999999829815e-06,0.0,3,2.348106536223884,0.3011822066261886,,0.30118458530929737
27,2,HSi,small_Si_H,-118.22623350992154,-3.3580888257329313,0.13409093808670883,0.07741983915092791,0.23225848745278377,1.4504643564930615,1.2340000000055085e-05,0.0,3,2.3574694460813657,0.13408737578823166,,0.13409450029055145
