name,axis,dt_ps,frequency_per_ps,fraction,sign,force_eV_A,parts,block,real_A2_eV,imag_A2_eV,magnitude_A2_eV,phase_rad,offset_A,residual_rms_A,harmonic_1_amplitude_A,harmonic_2_amplitude_A,harmonic_3_amplitude_A,joint_harmonic_residual_rms_A
axis1_dt0.0025_fraction0.5_sign-1,1,0.0025,1.0,0.5,-1,-0.7351730255153137,2,0,0.01376510426333792,6.85490779433578e-05,0.013765274946642026,0.0049798759223142,-0.00010832784966078554,0.01705320647619641,0.010119858829572977,0.000847968743234997,0.000345794134689973,0.017040907805432267
axis1_dt0.0025_fraction0.5_sign-1,1,0.0025,1.0,0.5,-1,-0.7351730255153137,2,1,0.013699869942855684,-0.000283735527155786,0.013702807825425087,-0.02070785857514132,-2.564703499018921e-05,0.01657820763671224,0.010073934687072659,0.0012458613223167569,0.0005378373269899134,0.01655041536438194
axis1_dt0.0025_fraction0.5_sign+1,1,0.0025,1.0,0.5,1,0.7351730255153137,1,0,0.013915451728277317,-0.00046386867341374516,0.013923181064260812,-0.033322451810797106,-3.8795175243292016e-05,0.01838368488696637,0.01023594714781012,0.00011278687848697269,0.0002782665445441239,0.01838245885207934
axis1_dt0.0025_fraction0.5_sign+1,1,0.0025,1.0,0.5,1,0.7351730255153137,2,0,0.013935642401998521,-0.00059682666477012,0.013948416799915313,-0.04280119655413145,-0.00012410207634117076,0.018307510808592376,0.010254499779942382,0.0008977304620356023,0.00021049583316003757,0.018295896746746372
axis1_dt0.0025_fraction0.5_sign+1,1,0.0025,1.0,0.5,1,0.7351730255153137,2,1,0.013895261054555968,-0.00033091068205737495,0.013899200755934116,-0.02381014252137868,4.651172585458671e-05,0.01845888562915655,0.01021831747198481,0.0006796676361750919,0.00045382422193201207,0.018449837571378348
axis1_dt0.0025_fraction1_sign-1,1,0.0025,1.0,1.0,-1,-1.4703460510306274,1,0,0.013751098541926772,-0.00033327582306587133,0.01375513663632684,-0.02423156155849094,-2.6777362532263996e-05,0.018458314944454338,0.020224810834609832,0.0007901163927753921,0.00020883389379433903,0.018449266728897427
axis1_dt0.0025_fraction1_sign-1,1,0.0025,1.0,1.0,-1,-1.4703460510306274,2,0,0.013818817321037716,-0.0002634241781299962,0.013821327883015997,-0.019060406592643304,-1.3276143208283e-05,0.019120825962927107,0.02032213487279211,0.001765102634969136,8.51515902270394e-05,0.019079951950985115
axis1_dt0.0025_fraction1_sign-1,1,0.0025,1.0,1.0,-1,-1.4703460510306274,2,1,0.013683379762815688,-0.00040312746800174877,0.01368931676486783,-0.029452584325203826,-4.0278581856245066e-05,0.017770536524629784,0.020128032846530763,0.00039007448790414137,0.00041599508475188986,0.017765960806127978
axis1_dt0.0025_fraction1_sign+1,1,0.0025,1.0,1.0,1,1.4703460510306274,1,0,0.013871178061333951,-0.00032573233879782163,0.013875002067234838,-0.023478358049659247,-2.6971842953657627e-05,0.018737394376552356,0.020401054497600497,4.4428689393420004e-05,0.00015034238219393723,0.018737066463357953
axis1_dt0.0025_fraction1_sign+1,1,0.0025,1.0,1.0,1,1.4703460510306274,2,0,0.01399501481506779,-0.000240299570871465,0.01399707767920604,-0.01716868206692256,-7.94337396865696e-05,0.01919487322007431,0.02058054789158956,0.0005544593272608522,0.00016323687927931085,0.019190521676665132
axis1_dt0.0025_fraction1_sign+1,1,0.0025,1.0,1.0,1,1.4703460510306274,2,1,0.01374734130759998,-0.00041116510672419004,0.013753488640073551,-0.029899786686003942,2.5490053779254224e-05,0.018266972932611193,0.020222387709826723,0.000503306659554012,0.0001452255334313731,0.01826321702483421
axis1_dt0.00125_fraction1_sign-1,1,0.00125,1.0,1.0,-1,-1.4703460510306274,1,0,0.013704401277489262,-0.000344336164407669,0.013708726482374952,-0.02512066915619459,2.6190366204313383e-05,0.01715980136465018,0.02015657184801895,0.00017744203709417936,9.665375821805076e-06,0.01715934128474171
axis1_dt0.00125_fraction1_sign-1,1,0.00125,1.0,1.0,-1,-1.4703460510306274,2,0,0.01385979259611738,-0.0003168910939981669,0.013863414830872136,-0.022860074510072003,-5.137979170551363e-05,0.017921707654069138,0.020384017250372304,0.0007551476508174767,6.734941442202363e-05,0.0179136878748861
axis1_dt0.00125_fraction1_sign-1,1,0.00125,1.0,1.0,-1,-1.4703460510306274,2,1,0.013549009958861016,-0.0003717812348171829,0.013554109788247887,-0.02743285070595431,0.00010376052411414034,0.016360443000352425,0.019929231802385827,0.00041267711023435953,8.0537074756805e-05,0.016357741312874458
axis1_dt0.00125_fraction1_sign+1,1,0.00125,1.0,1.0,1,1.4703460510306274,1,0,0.013887346149076323,-0.00036136004453479824,0.013892046794696999,-0.026014943164115373,-6.66272779510445e-05,0.018549952107959164,0.02042611614531537,0.00021817765836024477,4.6610137380150634e-05,0.018549281285532914
axis1_dt0.00125_fraction1_sign+1,1,0.00125,1.0,1.0,1,1.4703460510306274,2,0,0.013831251419173648,-0.00037156711963807386,0.013836241467421316,-0.026857856997366078,-0.00010196144739697798,0.017288457200779875,0.02034406300272917,0.0006173787165155005,7.977988592097372e-05,0.01728285253447172
axis1_dt0.00125_fraction1_sign+1,1,0.00125,1.0,1.0,1,1.4703460510306274,2,1,0.013943440878978869,-0.00035115296943153204,0.013947861913337098,-0.02517877491241326,-3.129310850511125e-05,0.019730716384783024,0.020508183684595664,0.0003049944937519547,0.00016717664568982864,0.019729183567008132
