axis,frequency_per_ps,duration_ps,block,site,real_A,imag_A
1,0.05,180.0,13,1,-0.00014661361260314088,-0.00020093960515701577
1,0.05,180.0,13,2,0.0001986047199088487,0.00012585407737440268
1,0.05,180.0,13,3,-0.00033134276230814037,0.00017881336163374015
1,0.05,180.0,13,4,9.070907721218123e-05,-9.486559717355794e-05
1,0.05,180.0,13,5,8.17420517276685e-05,3.4543255914135225e-05
1,0.05,180.0,14,0,0.00015958715752767438,0.00015967171214078483
1,0.05,180.0,14,1,-4.734141024308059e-05,8.089245563268338e-05
1,0.05,180.0,14,2,-0.0001424010550146216,-0.00034670571607334547
1,0.05,180.0,14,3,2.0464277403128015e-06,0.00020897542706633566
1,0.05,180.0,14,4,-8.882376298809745e-05,-9.019307422500006e-05
1,0.05,180.0,14,5,0.00011693264297781213,-1.2640804541458338e-05
1,0.05,180.0,15,0,0.00017000259069050212,0.0001388171512329655
1,0.05,180.0,15,1,-0.00016610002196120325,-0.00017861081628867362
1,0.05,180.0,15,2,0.00014317775863384954,0.00017583800725030384
1,0.05,180.0,15,3,-5.25891900780699e-05,0.00013708314191334428
1,0.05,180.0,15,4,-0.00015619183043023377,-3.3043574805726144e-05
1,0.05,180.0,15,5,6.170069314515525e-05,-0.00024008390930221397
1,0.05,180.0,16,0,-0.00032419810102066345,-3.552074779401699e-05
1,0.05,180.0,16,1,0.00025958787761539977,0.0004313098176533416
1,0.05,180.0,16,2,0.00014641599946602543,-4.27751391411627e-05
1,0.05,180.0,16,3,-0.00030403135087574894,-3.9558649924076576e-05
1,0.05,180.0,16,4,-5.422095191378775e-05,-5.8126383619910095e-05
1,0.05,180.0,16,5,0.00027644652672877536,-0.00025532889717417526
1,0.05,180.0,17,0,-0.00011083904603208121,0.00017041926024841195
1,0.05,180.0,17,1,8.065387143735178e-05,-0.0003004032750607653
1,0.05,180.0,17,2,0.00033250961336883807,8.787743099042979e-05
1,0.05,180.0,17,3,-2.6216195160475933e-05,4.468037227577914e-05
1,0.05,180.0,17,4,-0.00022577407991419916,-0.00033635638307730404
1,0.05,180.0,17,5,-5.033416369943352e-05,0.00033378259462344854
1,0.05,180.0,18,0,3.471378334044881e-05,-0.00023900996627312197
1,0.05,180.0,18,1,0.00021892045376256043,-1.0036495818398867e-05
1,0.05,180.0,18,2,-7.11738861474478e-05,9.826373711591459e-05
1,0.05,180.0,18,3,-9.496132043059083e-05,7.415257626527774e-05
1,0.05,180.0,18,4,8.298007901761628e-05,-0.00011926303761859232
1,0.05,180.0,18,5,-0.00017047910954258707,0.00019589318632892087
1,0.05,180.0,19,0,0.00021224772332684773,-0.00013088568178807385
1,0.05,180.0,19,1,8.390003890450777e-05,0.00028474716266042985
1,0.05,180.0,19,2,8.176221785740128e-05,-2.1287607325284987e-06
1,0.05,180.0,19,3,-0.00036516847405785344,0.00014827470225946087
1,0.05,180.0,19,4,-0.0004699059715689366,-0.00020763491669006202
1,0.05,180.0,19,5,0.0004571644655380336,-9.237250570922615e-05
1,0.05,180.0,20,0,-6.287843021360881e-05,-5.761536554713033e-05
1,0.05,180.0,20,1,-2.2353405482071406e-05,-0.00012048114828952934
1,0.05,180.0,20,2,0.0002756564932929207,0.00016744552983607557
1,0.05,180.0,20,3,-6.592284791026981e-05,-2.38799152790576e-05
1,0.05,180.0,20,4,-0.00018094320262388797,7.25962801319923e-07
1,0.05,180.0,20,5,5.644139293691737e-05,3.3804936478321766e-05
1,0.05,180.0,21,0,-0.000172561821165952,2.4506081793645464e-05
1,0.05,180.0,21,1,-4.6464028103059736e-05,0.00011328559007329425
1,0.05,180.0,21,2,0.00010754052449292341,2.505276144296186e-05
1,0.05,180.0,21,3,-0.00010626259394287877,-7.07105478270166e-05
1,0.05,180.0,21,4,0.000131707995588242,-0.00012961701158036867
