axis,frequency_per_ps,duration_ps,block,site,real_A,imag_A
0,0.05,180.0,24,2,-7.73479440959399e-05,4.776389457342943e-05
0,0.05,180.0,24,3,-3.386490077199356e-05,5.892146284865738e-05
0,0.05,180.0,24,4,7.217718849715998e-05,-2.7795655781276484e-05
0,0.05,180.0,24,5,4.516498828318209e-06,-1.7908142056153907e-05
0,0.05,180.0,25,0,4.944219175212751e-05,-4.886651446814401e-06
0,0.05,180.0,25,1,3.098892604514812e-05,-3.838041521438746e-05
0,0.05,180.0,25,2,3.0079447316803255e-05,1.9926232431089002e-05
0,0.05,180.0,25,3,-9.272303216438804e-05,-1.3243399203064494e-05
0,0.05,180.0,25,4,-4.553692842490549e-05,3.2058748661324067e-06
0,0.05,180.0,25,5,2.7749395475214844e-05,3.337835856704483e-05
0,0.05,180.0,26,0,-0.00013690938586468634,2.8391398230181707e-05
0,0.05,180.0,26,1,3.785947624374014e-05,4.606736147442429e-05
0,0.05,180.0,26,2,0.00010411727161484716,-3.711827969498948e-05
0,0.05,180.0,26,3,-1.4991837769435922e-05,-7.10544465821233e-05
0,0.05,180.0,26,4,4.754781747624927e-05,3.593340363556803e-05
0,0.05,180.0,26,5,-3.762334170071469e-05,-2.219437063061131e-06
0,0.05,360.0,0,0,-2.2242077470481834e-05,2.2621624940566726e-05
0,0.05,360.0,0,1,-6.219258526039712e-05,-7.539669616449573e-06
0,0.05,360.0,0,2,2.2640804819656205e-05,-5.668014041744168e-05
0,0.05,360.0,0,3,7.370976787403497e-05,-2.163925187580655e-05
0,0.05,360.0,0,4,-3.289899836561608e-05,5.1182598035292774e-05
0,0.05,360.0,0,5,2.0983088402804024e-05,1.2054838933838328e-05
0,0.05,360.0,1,0,-2.575039360053487e-05,2.629174585072189e-05
0,0.05,360.0,1,1,5.104662329380112e-05,-6.219201070851906e-06
0,0.05,360.0,1,2,1.2654507334597037e-05,3.803179647542797e-05
0,0.05,360.0,1,3,-4.2987565472109445e-05,-6.386598917670805e-07
0,0.05,360.0,1,4,-1.539901432779884e-05,-9.809604245351978e-05
0,0.05,360.0,1,5,2.0435842772044995e-05,4.063036108998877e-05
0,0.05,360.0,2,0,-1.5147889726979564e-05,-1.9056071835533045e-05
0,0.05,360.0,2,1,8.374143462591114e-06,-2.6686294746389654e-06
0,0.05,360.0,2,2,-2.252841437079845e-06,-6.872556681050007e-06
0,0.05,360.0,2,3,6.157686383791561e-05,-1.6878740457857935e-06
0,0.05,360.0,2,4,-1.5951155296326997e-05,2.4713351941124598e-05
0,0.05,360.0,2,5,-3.6599120840120475e-05,5.571780095883132e-06
0,0.05,360.0,3,0,1.9809234993652693e-05,-6.505455122882905e-05
0,0.05,360.0,3,1,-7.625100737174849e-05,3.283856917360412e-05
0,0.05,360.0,3,2,-1.5534500488368645e-05,1.4625311218410612e-05
0,0.05,360.0,3,3,7.247453875760328e-05,3.0540280043142236e-05
0,0.05,360.0,3,4,-2.4142466211163723e-05,1.1394029875460515e-05
0,0.05,360.0,3,5,2.3644200320024897e-05,-2.4343639081788578e-05
0,0.05,360.0,4,0,-3.693039111714006e-05,-3.128109788648413e-05
0,0.05,360.0,4,1,-2.1647068117791607e-05,-1.0823740891594072e-05
0,0.05,360.0,4,2,-2.8764773013204548e-05,1.3627143341677068e-06
0,0.05,360.0,4,3,-3.4035025720568614e-05,5.4516153206762555e-05
0,0.05,360.0,4,4,0.00010868747727573918,-8.583801975727969e-08
0,0.05,360.0,4,5,1.2689780692965927e-05,-1.3688190743094962e-05
0,0.05,360.0,5,0,-3.43156774461664e-05,9.328722877007757e-06
0,0.05,360.0,5,1,3.532014784155772e-05,-7.584060257670328e-07
0,0.05,360.0,5,2,9.679816837591995e-05,1.0635581960791076e-07
0,0.05,360.0,5,3,-8.219856470412817e-05,5.122915245378315e-06
0,0.05,360.0,5,4,-6.966979226785271e-06,-2.095959107622698e-05
0,0.05,360.0,5,5,-8.63709484039773e-06,7.160003160000093e-06
0,0.05,360.0,6,0,-5.392370397279978e-07,-5.3018650770185305e-05
0,0.05,360.0,6,1,-6.0585618922592915e-05,5.37554314585194e-05
0,0.05,360.0,6,2,-2.3616585864427564e-05,2.5235235772835247e-05
0,0.05,360.0,6,3,-1.7803703043994907e-05,-1.303697568510296e-05
0,0.05,360.0,6,4,3.077608002249543e-05,-3.919319075630556e-05
0,0.05,360.0,6,5,7.17690648482479e-05,2.625814998023909e-05
0,0.05,360.0,7,0,-2.710378363724459e-05,-7.896972816864343e-06
0,0.05,360.0,7,1,-1.607054805753112e-05,5.142218284147533e-06
0,0.05,360.0,7,2,-1.502836558939895e-05,5.6320629669698214e-05
0,0.05,360.0,7,3,-5.6877340618570544e-05,-6.622737573125027e-05
0,0.05,360.0,7,4,7.035130275284239e-05,-3.599366389389921e-05
0,0.05,360.0,7,5,4.472873514990296e-05,4.865516448816823e-05
0,0.05,360.0,8,0,-2.076899517316466e-05,-1.3083637616101563e-05
0,0.05,360.0,8,1,-7.258445142420583e-05,3.968570601690723e-05
0,0.05,360.0,8,2,-6.47416756411968e-06,4.301057738243016e-05
0,0.05,360.0,8,3,-2.6229835454003324e-06,-7.810508030315082e-05
0,0.05,360.0,8,4,8.095731562885402e-05,-2.5468265205854596e-05
