phase,time_reduced,force_reduced,survival_from_cycle_start,outflux,hazard,conditional_mean_lambda,conditional_variance,conditional_mean_shifted_energy
0.15,1.7999999999999998,0.013663118960624632,0.988301734824949,0.009180453253049637,0.009283946419504101,1.0170742153866315,0.000641210521090324,0.00034870590116065005
0.16,1.92,0.013910295478514105,0.9871447445300775,0.009641585790598227,0.00976142557523143,1.0174838516373153,0.0006445678671603953,0.00035389404044898763
0.17,2.04,0.014134146760307045,0.9859316533784409,0.010109092930303092,0.010247037788083176,1.017883148915839,0.0006478652903332058,0.0003590682767415675
0.18000000000000002,2.16,0.014333789367262137,0.9846620692740513,0.010579867536579813,0.010737747592294084,1.0182704960672924,0.0006510908144387571,0.0003641984020817849
0.18999999999999997,2.28,0.01450843540121776,0.9833360076492437,0.011050513540064505,0.011230209360505545,1.018644319971654,0.0006542332839568734,0.00036925364816344235
0.19999999999999998,2.4,0.014657395614066076,0.9819539218185436,0.011517381922501405,0.011720798695884814,1.0190030930037817,0.0006572824093047522,0.0003742029779239255
0.21,2.52,0.014780082127900418,0.9805167279096679,0.011976615907293393,0.0122056531648596,1.0193453403556823,0.0006602287945025328,0.00037901538459291753
0.21999999999999997,2.6399999999999997,0.01487601075510082,0.9790258233479594,0.012424204680906941,0.01268072190656499,1.0196696471505924,0.0006630639465850023,0.0003836601938919652
0.22999999999999998,2.76,0.014944802909201345,0.97748309799601,0.012856044599577706,0.013141823299379383,1.019974665283167,0.0006657802667186731,0.00038810736512719937
0.24,2.88,0.014986187098997902,0.975890937217435,0.013268006488125966,0.013584709520229887,1.0202591199265714,0.0006683710235854396,0.00039232778705563436
0.25,3.0,0.015,0.9742522163374877,0.01365600733289113,0.014005136517543539,1.0205218156552525,0.0006708303101801172,0.00039629356462495924
0.26,3.12,0.014986187098997902,0.9725702862062695,0.01401608442681789,0.014398937649056111,1.020761642141113,0.0006731529857141261,0.00039997829297467186
0.26999999999999996,3.2399999999999998,0.014944802909201346,0.9708489498234912,0.014344469856485121,0.014762099028019043,1.020977579390373,0.000675334604799324,0.0004033573154277856
0.27999999999999997,3.36,0.01487601075510082,0.9690924302467978,0.014637663139111726,0.015090834485690688,1.0211687024980303,0.0006773713364865037,0.0004064079625807805
0.29,3.48,0.014780082127900418,0.9673053302674266,0.01489249982809362,0.015381658004329389,1.0213341859061578,0.0006792598760392821,0.0004091097699984625
0.3,3.5999999999999996,0.014657395614066076,0.9654925845863627,0.01510621400886512,0.015631451505692177,1.0214733071608035,0.000680997352528055,0.00041144467242416855
0.31,3.7199999999999998,0.01450843540121776,0.9636594054506096,0.015276492797944961,0.015837525995825275,1.0215854501697053,0.0006825812354274999,0.0004133971728101701
0.32,3.84,0.014333789367262137,0.9618112229033559,0.015401521227114006,0.01599767426237211,1.0216701079690893,0.0006840092433965112,0.00041495448484651
0.33,3.96,0.014134146760307045,0.9599536209560171,0.015480016227822638,0.016110213586732456,1.0217268850122854,0.0006852792583169726,0.0004161066480100104
0.34,4.08,0.013910295478514106,0.9580922710986877,0.015511248811076798,0.016174017258504415,1.0217554989957023,0.0006863892474760925,0.0004168466144632975
0.35000000000000003,4.2,0.013663118960624632,0.95623286462514,0.015495053946230457,0.016188534047840753,1.0217557822388221,0.0006873371965067896,0.0004171703074041349
0.36000000000000004,4.32,0.013393592699430525,0.9543810452580954,0.015431828058706607,0.01615379518709706,1.0217276826343868,0.0006881210553637651,0.0004170766506991576
0.36999999999999994,4.4399999999999995,0.013102780391949884,0.9525423435213795,0.015322514472632718,0.01607040881808614,1.021671264183023,0.0006887386992217865,0.00041656756983708844
0.37999999999999995,4.56,0.012791829741500822,0.9507221142211015,0.015168577502315773,0.01593954225882598,1.021586707123412,0.0006891879057496134,0.0004156479644110477
0.38999999999999996,4.68,0.012461967928240829,0.9489254782733195,0.01497196623151644,0.01576289281733157,1.0214743076650068,0.0006894663497495525,0.0004143256524957639
0.39999999999999997,4.8,0.012114496766047313,0.9471572699573348,0.014735069299873001,0.015542648215276535,1.0213344773255992,0.0006895716156698547,0.0004126112874327101
