cells,charge_rate_model,initial,time_model,L1_marginal_error,L1_charge_disequilibrium,probability_mass_error,minimum_probability,generator_column_sum_max_abs,stationary_residual,detailed_balance_residual
48,30000.0,all_sector_0,0.3,1.736944649189791e-05,1.385334971423133e-05,6.263878304935133e-13,3.860502346930213e-10,4.977351863999502e-12,1.794120407794253e-13,1.4210854715202004e-13
48,30000.0,all_sector_0,1.0,1.0295579005885804e-05,3.6354966198112863e-06,2.0834445280115688e-12,6.450767588767307e-07,4.977351863999502e-12,1.794120407794253e-13,1.4210854715202004e-13
96,0.0,local_charge_equilibrium,0.03,0.0033537805130943277,0.04020198969498288,4.440892098500626e-16,9.558024640450906e-15,5.684341886080802e-14,3.552713678800501e-15,2.220446049250313e-15
96,0.0,local_charge_equilibrium,0.3,0.047366029421946856,0.13851567230858727,4.6629367034256575e-15,1.6874430802960407e-09,5.684341886080802e-14,3.552713678800501e-15,2.220446049250313e-15
96,0.0,local_charge_equilibrium,1.0,0.08621975741789267,0.12560231378303954,1.8207657603852567e-14,3.9585952843806456e-07,5.684341886080802e-14,3.552713678800501e-15,2.220446049250313e-15
96,0.0,all_sector_0,0.03,0.03659960918845114,0.5943850376167339,4.440892098500626e-16,0.0,5.684341886080802e-14,3.552713678800501e-15,2.220446049250313e-15
96,0.0,all_sector_0,0.3,0.15906333892267588,0.562790643520104,5.773159728050814e-15,0.0,5.684341886080802e-14,3.552713678800501e-15,2.220446049250313e-15
96,0.0,all_sector_0,1.0,0.3000629643848954,0.49207337629095643,2.3314683517128287e-14,0.0,5.684341886080802e-14,3.552713678800501e-15,2.220446049250313e-15
96,3.0,local_charge_equilibrium,0.03,0.0032544355711828523,0.03843489037697747,1.9984014443252818e-15,1.019597758325595e-14,1.1235457009206584e-13,3.5475095083725705e-15,2.220446049250313e-15
96,3.0,local_charge_equilibrium,0.3,0.03559112897452815,0.09001870516346291,9.769962616701378e-15,2.317541268530814e-08,1.1235457009206584e-13,3.5475095083725705e-15,2.220446049250313e-15
96,3.0,local_charge_equilibrium,1.0,0.03944232081346025,0.03795248110359796,2.808864252301646e-14,3.7825343576071363e-07,1.1235457009206584e-13,3.5475095083725705e-15,2.220446049250313e-15
96,3.0,all_sector_0,0.03,0.03497765649863633,0.5435159991427646,2.6645352591003757e-15,1.6739273691128563e-14,1.1235457009206584e-13,3.5475095083725705e-15,2.220446049250313e-15
96,3.0,all_sector_0,0.3,0.10401467797306035,0.2401733617969174,1.176836406102666e-14,2.26109257368268e-08,1.1235457009206584e-13,3.5475095083725705e-15,2.220446049250313e-15
96,3.0,all_sector_0,1.0,0.09639501603735484,0.0491749212622264,2.930988785010413e-14,4.0790843031578836e-07,1.1235457009206584e-13,3.5475095083725705e-15,2.220446049250313e-15
96,30.0,local_charge_equilibrium,0.03,0.002531648732280233,0.026431751519394354,1.2212453270876722e-15,1.3642329168618437e-14,1.1299728513991525e-13,3.6637359812630166e-15,2.220446049250313e-15
96,30.0,local_charge_equilibrium,0.3,0.009111267060854616,0.014236930523856555,1.1102230246251565e-14,2.9743288769855925e-09,1.1299728513991525e-13,3.6637359812630166e-15,2.220446049250313e-15
96,30.0,local_charge_equilibrium,1.0,0.005712069997966771,0.0037035304579522417,3.5860203695392556e-14,4.032033128165491e-07,1.1299728513991525e-13,3.6637359812630166e-15,2.220446049250313e-15
96,30.0,all_sector_0,0.03,0.024011089097848465,0.24337801170722723,1.1102230246251565e-15,9.253330657345312e-14,1.1299728513991525e-13,3.6637359812630166e-15,2.220446049250313e-15
96,30.0,all_sector_0,0.3,0.01739241207880581,0.013938249823509592,1.0769163338864018e-14,3.8768873359326474e-09,1.1299728513991525e-13,3.6637359812630166e-15,2.220446049250313e-15
96,30.0,all_sector_0,1.0,0.010316780378866679,0.0036908322354368564,3.5416114485542494e-14,4.100172010522739e-07,1.1299728513991525e-13,3.6637359812630166e-15,2.220446049250313e-15
96,300.0,local_charge_equilibrium,0.03,0.0006530731991156737,0.004394630944491981,8.881784197001252e-16,7.097211411297808e-16,2.2737367544323206e-13,3.9968028886505635e-15,2.220446049250313e-15
96,300.0,local_charge_equilibrium,0.3,0.001008136720645037,0.0013886225640054877,7.549516567451064e-15,1.4693304828260484e-10,2.2737367544323206e-13,3.9968028886505635e-15,2.220446049250313e-15
96,300.0,local_charge_equilibrium,1.0,0.0005914668584433755,0.0003644386961110826,2.731148640577885e-14,2.885099607541234e-07,2.2737367544323206e-13,3.9968028886505635e-15,2.220446049250313e-15
96,300.0,all_sector_0,0.03,0.003963613310825613,0.004368535011895542,8.881784197001252e-16,1.3934237594776804e-15,2.2737367544323206e-13,3.9968028886505635e-15,2.220446049250313e-15
96,300.0,all_sector_0,0.3,0.0017428377613543486,0.0013854974560988228,7.549516567451064e-15,1.5971484499368467e-10,2.2737367544323206e-13,3.9968028886505635e-15,2.220446049250313e-15
96,300.0,all_sector_0,1.0,0.0010307897596855953,0.00036428574240962737,2.731148640577885e-14,2.8926061897456917e-07,2.2737367544323206e-13,3.9968028886505635e-15,2.220446049250313e-15
96,3000.0,local_charge_equilibrium,0.03,7.226885260767163e-05,0.000437299082336325,7.882583474838611e-15,2.8388333675713243e-16,9.094947017729282e-13,1.0769163338864018e-14,7.105427357601002e-15
96,3000.0,local_charge_equilibrium,0.3,0.0001017755778475029,0.0001385428114077679,4.418687638008123e-14,1.0810740784227964e-10,9.094947017729282e-13,1.0769163338864018e-14,7.105427357601002e-15
96,3000.0,local_charge_equilibrium,1.0,5.935669467935186e-05,3.637346286279598e-05,4.3520742565306136e-14,2.785236434074129e-07,9.094947017729282e-13,1.0769163338864018e-14,7.105427357601002e-15
96,3000.0,all_sector_0,0.03,0.00039375354018052915,0.00043714070771499043,7.882583474838611e-15,3.0115528016107397e-16,9.094947017729282e-13,1.0769163338864018e-14,7.105427357601002e-15
96,3000.0,all_sector_0,0.3,0.00017438089094121636,0.00013851209488615411,4.418687638008123e-14,1.0910323093657074e-10,9.094947017729282e-13,1.0769163338864018e-14,7.105427357601002e-15
96,3000.0,all_sector_0,1.0,0.00010306851460059813,3.6371958224006335e-05,4.3520742565306136e-14,2.785993745898274e-07,9.094947017729282e-13,1.0769163338864018e-14,7.105427357601002e-15
96,30000.0,local_charge_equilibrium,0.03,7.295452513571595e-06,4.370600064463355e-05,5.917488721252084e-14,2.653084214558297e-16,7.275957614183426e-12,9.947598300641403e-14,5.684341886080802e-14
96,30000.0,local_charge_equilibrium,0.3,1.0187148408361822e-05,1.3850972614919972e-05,5.948574965941589e-13,1.0501914152890407e-10,7.275957614183426e-12,9.947598300641403e-14,5.684341886080802e-14
96,30000.0,local_charge_equilibrium,1.0,5.93776564016483e-06,3.6366292577443727e-06,2.0827783941967937e-12,2.7755085396629684e-07,7.275957614183426e-12,9.947598300641403e-14,5.684341886080802e-14
96,30000.0,all_sector_0,0.03,3.934869328667558e-05,4.370442946282198e-05,5.917488721252084e-14,2.668632674224854e-16,7.275957614183426e-12,9.947598300641403e-14,5.684341886080802e-14
96,30000.0,all_sector_0,0.3,1.743906716461299e-05,1.3850665983451066e-05,5.947464742916964e-13,1.0511626840901244e-10,7.275957614183426e-12,9.947598300641403e-14,5.684341886080802e-14
96,30000.0,all_sector_0,1.0,1.0306732119403018e-05,3.636614236382313e-06,2.0827783941967937e-12,2.7755843324978174e-07,7.275957614183426e-12,9.947598300641403e-14,5.684341886080802e-14
