sample_id,temperature_C,scenario,delta_c11_GPa,delta_c12_GPa,delta_c44_GPa,H_Airy_GPa_inv,H_Fourier_GPa_inv,relative_error,subspace_residual
P4.1,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.005764506572400524,0.005764506572400517,1.2212453270876722e-15,3.175899694458964e-15
P4.1,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.005750052237875541,0.005750052237875528,2.220446049250313e-15,1.6825494267638642e-15
P4.1,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.0057529176572619955,0.005752917657261999,6.661338147750939e-16,2.812444209197222e-15
P4.1,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.0057385041878629545,0.005738504187862951,5.551115123125783e-16,2.1077568406282677e-15
P4.1,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.0057533312865655425,0.005753331286565537,8.881784197001252e-16,2.301300142612168e-15
P4.1,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.00573891169225673,0.005738911692256726,7.771561172376096e-16,2.063548183842621e-15
P4.7,-40.0,measured_fit,0.0,0.0,0.0,0.005749091928556169,0.005749091928556171,2.220446049250313e-16,1.7662211255908412e-15
P4.7,25.0,measured_fit,0.0,0.0,0.0,0.005765058656007777,0.005765058656007772,7.771561172376096e-16,3.086304644070728e-15
P4.7,85.0,measured_fit,0.0,0.0,0.0,0.005783394413722016,0.005783394413722009,1.2212453270876722e-15,3.603377692605521e-15
P4.7,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.005777733592622614,0.005777733592622613,3.3306690738754696e-16,3.242602363324292e-15
P4.7,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.005763219697312166,0.005763219697312159,1.2212453270876722e-15,1.4369207859617543e-15
P4.7,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.005778185884415539,0.005778185884415533,9.992007221626409e-16,3.090535482770232e-15
P4.7,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.005763665626363206,0.0057636656263632055,1.1102230246251565e-16,2.1601814299971294e-15
P4.7,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.005766484564907677,0.005766484564907677,0.0,2.310651670001107e-15
P4.7,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.005752005751143472,0.005752005751143467,8.881784197001252e-16,2.410516713803713e-15
P4.7,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.00576692519518591,0.005766925195185904,9.992007221626409e-16,3.193546767411406e-15
P4.7,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.0057524401004422875,0.005752440100442282,8.881784197001252e-16,1.1527456130993586e-15
P7.5,-40.0,measured_fit,0.0,0.0,0.0,0.005791958322915081,0.005791958322915079,3.3306690738754696e-16,2.940069204057517e-15
P7.5,25.0,measured_fit,0.0,0.0,0.0,0.005808722777671163,0.005808722777671169,1.1102230246251565e-15,2.1951045824430384e-15
P7.5,85.0,measured_fit,0.0,0.0,0.0,0.005826807118813729,0.005826807118813727,3.3306690738754696e-16,2.182059420427611e-15
P7.5,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.0058215990309183115,0.005821599030918305,1.2212453270876722e-15,1.5962623420581351e-15
P7.5,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.0058068407051066005,0.0058068407051065935,1.2212453270876722e-15,1.6265639089551656e-15
P7.5,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.005822105108290603,0.0058221051082906075,6.661338147750939e-16,2.194690532051708e-15
P7.5,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.0058073400608841495,0.005807340060884135,2.55351295663786e-15,1.8844974284978466e-15
P7.5,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.005810139289388571,0.005810139289388564,1.2212453270876722e-15,1.9877275342501223e-15
P7.5,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.005795417173922773,0.00579541717392277,4.440892098500626e-16,2.485831503466918e-15
P7.5,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.005810633051029946,0.005810633051029939,1.2212453270876722e-15,2.0716172048249376e-15
P7.5,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.005795904300507427,0.005795904300507428,2.220446049250313e-16,3.3281600077825164e-15
