state_from,state_to,cutoff_A,change,atom_i,atom_j,contains_grip_atom,previous_length_A,new_length_A
3,4,3.7,formed,148,153,False,3.7411195178998846,3.6218548839021283
3,4,3.7,formed,149,188,False,3.754032512407911,3.5443794985206174
3,4,3.7,formed,150,164,False,3.7563800784815466,3.639898447462578
3,4,3.7,formed,150,200,False,3.7538986870560667,3.6560501089677566
3,4,3.7,formed,151,154,False,3.7540320147616506,3.5443792983647393
3,4,3.7,formed,151,161,False,3.8062579382062323,3.6128201984159736
3,4,3.7,formed,151,197,False,3.8157805882992357,3.632082319633998
3,4,3.7,formed,152,178,False,3.837190594245835,3.6568349680743273
3,4,3.7,formed,153,175,False,3.7538985541073857,3.656050005547285
3,4,3.7,formed,155,186,False,3.729243905265567,3.6058509702728725
3,4,3.7,formed,157,167,False,3.893635162166052,3.60175656254943
3,4,3.7,formed,165,167,False,3.7421207189469876,3.5743335699122536
3,4,3.7,formed,167,193,False,3.919373612564487,3.646794050932882
3,4,3.7,formed,167,201,False,3.7492209940538572,3.578772099598652
3,4,3.7,formed,168,176,False,3.745465597946287,3.699128223555609
3,4,3.7,formed,170,172,False,3.930166794872665,3.602908060703899
3,4,3.7,formed,170,208,False,3.8936355677132855,3.601756739015684
3,4,3.7,formed,172,174,False,3.746944695285385,3.5805156120273214
3,4,3.7,formed,174,208,False,3.742120448140559,3.5743335355895636
3,4,3.7,formed,175,189,False,3.7581410201904335,3.660468553189726
3,4,3.7,formed,178,188,False,3.8062574483161518,3.612820215280575
3,4,3.7,formed,180,214,False,3.846136793649875,3.6901089835608047
3,4,3.7,formed,183,197,False,3.827209620900474,3.6685242590327296
3,4,3.7,formed,184,189,False,3.7292442415842193,3.6058509265541554
3,4,3.7,formed,185,224,False,3.7539722850430284,3.510933912936993
3,4,3.7,formed,186,200,False,3.758140757140148,3.660468799244413
3,4,3.7,formed,186,236,False,3.736070291041604,3.650655509078214
3,4,3.7,formed,187,190,False,3.7539725059614577,3.510934623496971
3,4,3.7,formed,187,197,False,3.7928471204109813,3.5972331438894996
3,4,3.7,formed,187,226,False,3.701194254475199,3.474448520335873
3,4,3.7,formed,187,233,False,3.812444480819415,3.622951893766511
3,4,3.7,formed,188,214,False,3.81578056768052,3.632082348194077
3,4,3.7,formed,189,211,False,3.736070579666056,3.65065520512325
3,4,3.7,formed,191,222,False,3.727951956794242,3.5929151404994153
3,4,3.7,formed,193,203,False,3.9007153745958876,3.6448848466005415
3,4,3.7,formed,201,203,False,3.7312738898757973,3.570361870399908
3,4,3.7,formed,201,228,False,4.126159789497884,3.67870254069012
3,4,3.7,formed,203,229,False,3.9017697813736003,3.659436489382855
3,4,3.7,formed,203,237,False,3.7535452088550025,3.5923412903676475
3,4,3.7,formed,206,208,False,3.9193739052010352,3.646793417485565
3,4,3.7,formed,206,244,False,3.900715482877724,3.644884233621876
3,4,3.7,formed,207,210,False,4.126160249405169,3.678702718821818
3,4,3.7,formed,207,246,False,4.145700406009249,3.6915512608267487
3,4,3.7,formed,208,210,False,3.7492209335673032,3.5787721194562128
3,4,3.7,formed,210,244,False,3.731273991520082,3.5703615807842817
3,4,3.7,formed,211,225,False,3.7630963049105883,3.6676548035260703
3,4,3.7,formed,214,216,False,3.8272091341940513,3.6685243071328717
3,4,3.7,formed,214,224,False,3.7928473519964636,3.5972331423744976
3,4,3.7,formed,219,233,False,3.777252551771907,3.6055956697719576
3,4,3.7,formed,219,269,False,3.714206581296927,3.6607607597627627
3,4,3.7,formed,220,225,False,3.727951390338135,3.5929149827620197
3,4,3.7,formed,221,224,False,3.7011946926196764,3.4744482356358004
3,4,3.7,formed,221,260,False,3.7699972487205895,3.5220385190510806
3,4,3.7,formed,222,236,False,3.7630966608627876,3.6676549780649546
3,4,3.7,formed,222,272,False,3.723891377926232,3.6388082925156358
3,4,3.7,formed,223,226,False,3.7699979212275183,3.5220390126497914
3,4,3.7,formed,223,233,False,3.79810305154839,3.60171029682695
3,4,3.7,formed,223,262,False,3.779269528624257,3.5766774222191318
3,4,3.7,formed,223,269,False,3.7548834772205577,3.5914460218698325
3,4,3.7,formed,224,250,False,3.812443288553331,3.6229520653488176
3,4,3.7,formed,225,247,False,3.7238916304928034,3.6388083450187323
3,4,3.7,formed,227,258,False,3.708621143942491,3.572598794048874
3,4,3.7,formed,228,237,False,4.145701428474241,3.6915514339798454
3,4,3.7,formed,229,239,False,3.903618853983493,3.6253570733416667
3,4,3.7,formed,231,235,False,3.7814007759665045,3.6937851822271353
3,4,3.7,formed,237,239,False,3.7226120282104063,3.556667365423412
3,4,3.7,formed,239,265,False,3.884783295066677,3.5781658868911754
3,4,3.7,formed,239,273,False,3.8008497151792793,3.647459600879425
3,4,3.7,formed,242,244,False,3.901770152342253,3.6594365341076496
3,4,3.7,formed,242,280,False,3.903618190845417,3.6253569343600907
3,4,3.7,formed,244,246,False,3.75354476169757,3.5923410647471994
3,4,3.7,formed,246,280,False,3.7226124830302547,3.5566674957840365
3,4,3.7,formed,250,252,False,3.777251515059348,3.605595595019173
3,4,3.7,formed,250,260,False,3.7981033792998895,3.6017103779777515
3,4,3.7,formed,252,286,False,3.714204578817735,3.6607603741869053
3,4,3.7,formed,256,261,False,3.708619205869271,3.572598454980494
3,4,3.7,formed,257,260,False,3.7792715166048243,3.5766773533233165
3,4,3.7,formed,260,286,False,3.7548808244767287,3.591445753133436
3,4,3.7,formed,265,275,False,3.8956999483108947,3.508310481704446
3,4,3.7,formed,266,270,False,3.77182901706797,3.696124085510856
3,4,3.7,formed,267,271,False,3.7642664904510315,3.6710972106460464
3,4,3.7,formed,273,275,False,3.728520033706131,3.5451486238700562
3,4,3.7,formed,276,284,False,3.7814013951151004,3.6937854906150887
3,4,3.7,formed,277,285,False,3.771829781119906,3.696124247607499
3,4,3.7,formed,278,280,False,3.88478377636622,3.578166346153601
3,4,3.7,formed,278,316,False,3.8956986448274638,3.5083105954635454
3,4,3.7,formed,279,293,True,3.7194824314956847,3.6578345517236537
3,4,3.7,formed,280,282,False,3.800849401171117,3.6474598046538595
3,4,3.7,formed,282,316,False,3.7285214459469063,3.5451486399967846
3,4,3.7,formed,298,300,True,3.7194848734664636,3.6578348039087354
3,4,3.7,formed,312,320,False,3.7642672001411426,3.671097486439856
3,4,3.7,lost,115,146,False,3.6547719618702432,3.73586521020437
3,4,3.7,lost,115,165,False,3.5349244217941282,3.8133927150583844
3,4,3.7,lost,119,165,False,3.6449195417444553,3.955120097350929
3,4,3.7,lost,143,153,False,3.6877910348973426,3.8235076846050418
3,4,3.7,lost,145,152,False,3.6547727528816765,3.735865337549919
3,4,3.7,lost,148,174,False,3.6449200004210454,3.9551202436360176
3,4,3.7,lost,150,160,False,3.687791982326636,3.8235076241544164
3,4,3.7,lost,150,196,False,3.6988686596212803,3.8158466913917177
3,4,3.7,lost,151,165,False,3.5647707455077193,3.8320964406145954
3,4,3.7,lost,151,182,False,3.6556010491673034,3.7087282230752456
3,4,3.7,lost,151,201,False,3.5427562040993137,3.828970758711264
3,4,3.7,lost,152,174,False,3.5349241350642826,3.813392618012724
3,4,3.7,lost,153,179,False,3.698868793798359,3.815846479483084
3,4,3.7,lost,155,165,False,3.639142892186171,4.035804413526387
3,4,3.7,lost,155,201,False,3.6465220728192103,4.07762431002627
3,4,3.7,lost,174,184,False,3.6391429069740604,4.035804501323303
3,4,3.7,lost,174,188,False,3.5647712114716605,3.8320964112435845
3,4,3.7,lost,179,189,False,3.6849577471321826,3.8147568348307153
3,4,3.7,lost,181,188,False,3.6556013498871778,3.70872845757889
3,4,3.7,lost,184,210,False,3.646522344896495,4.077624950725073
3,4,3.7,lost,186,196,False,3.684958017005467,3.8147569927089133
3,4,3.7,lost,186,232,False,3.698633578972955,3.8322194136086867
3,4,3.7,lost,187,201,False,3.5764432622289366,3.851109655386064
3,4,3.7,lost,187,237,False,3.543677508931776,3.8263622415056133
3,4,3.7,lost,188,210,False,3.5427562293280865,3.828970829670371
3,4,3.7,lost,189,215,False,3.6986329423456707,3.8322195814767284
3,4,3.7,lost,191,201,False,3.6419010632178233,4.077413018701029
3,4,3.7,lost,191,237,False,3.6469205754123655,4.07008672313488
3,4,3.7,lost,210,220,False,3.64190141724935,4.07741368169481
3,4,3.7,lost,210,224,False,3.5764433682671353,3.8511094306030165
3,4,3.7,lost,215,225,False,3.6932164423543585,3.813439489567149
3,4,3.7,lost,217,260,False,3.6499576332220878,3.724281310329581
3,4,3.7,lost,218,223,False,3.6499559511965267,3.724281250323168
3,4,3.7,lost,220,246,False,3.6469206177699998,4.070086790623466
3,4,3.7,lost,222,232,False,3.693215884598058,3.81343950265017
3,4,3.7,lost,222,268,False,3.690628482978874,3.823402736763048
3,4,3.7,lost,223,237,False,3.5926591498670497,3.8602595436318436
3,4,3.7,lost,223,273,False,3.497961271142569,3.7555201325695426
3,4,3.7,lost,224,246,False,3.543678203622232,3.826361944694265
3,4,3.7,lost,225,251,False,3.6906270620212083,3.823402696979392
3,4,3.7,lost,227,237,False,3.6337331224225045,4.054777817086125
3,4,3.7,lost,227,273,False,3.586045006575689,3.9467474198617896
3,4,3.7,lost,246,256,False,3.6337334245452735,4.054777875287967
3,4,3.7,lost,246,260,False,3.59265930955251,3.8602594617973875
3,4,3.7,lost,256,282,False,3.5860443730909344,3.9467474960553597
3,4,3.7,lost,258,304,False,3.6955732543907804,3.817741654742058
3,4,3.7,lost,260,282,False,3.4979628615060068,3.7555202975266067
3,4,3.7,lost,261,287,False,3.6955705308642557,3.817741476072158
3,4,3.7,lost,263,308,False,3.664403207663385,3.8517329112545684
3,4,3.7,lost,283,292,False,3.664397032558454,3.8517323711330427
