seed,axis,parts,harmonic,block,site,real_A,imag_A
49277,0,1,2,0,0,-2.000958761666611e-05,1.4063107937147883e-06
49277,0,1,2,0,1,-1.518714362317809e-05,4.866637194638146e-06
49277,0,1,2,0,2,9.453198105913909e-06,-1.7856838223043235e-05
49277,0,1,2,0,3,4.007183801819555e-06,-1.5398244381638814e-05
49277,0,1,2,0,4,2.1251948787821428e-05,2.0172023537495445e-05
49277,0,1,2,0,5,4.844005442894443e-07,6.810111078833708e-06
49277,0,1,3,0,0,-1.2302349636051351e-05,-1.3772205303040081e-05
49277,0,1,3,0,1,1.8409424055794774e-05,8.716716911656993e-06
49277,0,1,3,0,2,-3.734974197044061e-06,-2.478642838536759e-05
49277,0,1,3,0,3,5.25915437735877e-06,1.2810158441216533e-05
49277,0,1,3,0,4,-1.6673491677206295e-05,9.581153324332357e-06
49277,0,1,3,0,5,9.042237077148151e-06,7.450605011201692e-06
49277,1,1,1,0,0,-3.69669314591459e-05,5.5838649062132535e-05
49277,1,1,1,0,1,2.8842893816872207e-06,-7.863603173844974e-05
49277,1,1,1,0,2,-8.728128487862497e-06,3.8839956962208995e-06
49277,1,1,1,0,3,7.941171624781948e-05,1.2319803715381976e-05
49277,1,1,1,0,4,-1.9506842946739217e-05,2.362616712367813e-05
49277,1,1,1,0,5,-1.7094102735759074e-05,-1.7032583858963722e-05
49277,1,1,2,0,0,4.8529189116388764e-05,2.2366633955393483e-05
49277,1,1,2,0,1,2.114164223293168e-05,-4.49645664316655e-06
49277,1,1,2,0,2,4.806377566885077e-05,1.8960057840363333e-05
49277,1,1,2,0,3,-4.83906974725296e-05,-5.916661353142262e-05
49277,1,1,2,0,4,-1.867057827647305e-05,6.472393045893195e-05
49277,1,1,2,0,5,-5.067333126916865e-05,-4.2387552080099714e-05
49277,1,1,3,0,0,2.8227333105412366e-05,1.0926256950166138e-05
49277,1,1,3,0,1,-3.956057960336185e-05,5.882718837263228e-05
49277,1,1,3,0,2,7.643585578515519e-06,-1.1116564684170996e-05
49277,1,1,3,0,3,-3.7505477847293467e-06,1.8313728413600713e-05
49277,1,1,3,0,4,6.0537883789027645e-05,-2.3157128020640837e-05
49277,1,1,3,0,5,-5.3097675084864376e-05,-5.3793481031587316e-05
49277,0,2,1,0,0,7.419610116312819e-06,2.9760605669087623e-05
49277,0,2,1,0,1,9.101960848261527e-06,5.568699910472376e-06
49277,0,2,1,0,2,1.2633364414275866e-05,-3.95023823270425e-05
49277,0,2,1,0,3,-2.5235818911668577e-05,9.285524168371553e-06
49277,0,2,1,0,4,-3.7536964952247014e-05,6.022945937310072e-06
49277,0,2,1,0,5,3.361784848506514e-05,-1.113539335819898e-05
49277,0,2,1,1,0,5.2055464842369934e-05,2.6926142912428154e-05
49277,0,2,1,1,1,1.0771509995886499e-05,-2.7982792369696766e-05
49277,0,2,1,1,2,-1.058714664882769e-05,1.775541083834182e-05
49277,0,2,1,1,3,-4.7817304605157964e-05,1.5285460631285604e-05
49277,0,2,1,1,4,-3.3634598922173053e-06,-8.65321416592164e-06
49277,0,2,1,1,5,-1.0590636920532807e-06,-2.333100784643698e-05
49277,0,2,2,0,0,5.050612225354469e-06,7.833009331478696e-07
49277,0,2,2,0,1,5.93598525845352e-06,-5.170235034333801e-06
49277,0,2,2,0,2,1.0379354545902897e-05,-6.693274435384911e-06
49277,0,2,2,0,3,-7.135098225782924e-06,-6.2155435773678165e-06
49277,0,2,2,0,4,-1.0132507944921717e-05,3.131422838766648e-05
49277,0,2,2,0,5,-4.098345859006225e-06,-1.4018476273727678e-05
49277,0,2,2,1,0,-4.506978745868675e-05,2.029320654281651e-06
49277,0,2,2,1,1,-3.631027250480986e-05,1.4903509423609934e-05
49277,0,2,2,1,2,8.527041665925201e-06,-2.9020402010701312e-05
49277,0,2,2,1,3,1.5149465829421935e-05,-2.4580945185909556e-05
49277,0,2,2,1,4,5.263640552056428e-05,9.029818687324257e-06
49277,0,2,2,1,5,5.067146947585199e-06,2.7638698431395155e-05
49277,0,2,3,0,0,-3.528823156188715e-05,-4.525243039098148e-06
49277,0,2,3,0,1,4.311401068278686e-05,-8.502735187130533e-06
49277,0,2,3,0,2,-5.450513136801352e-06,-2.2541410392015537e-05
49277,0,2,3,0,3,1.99616756954837e-05,1.8532079545372515e-05
49277,0,2,3,0,4,-3.382472674629088e-05,1.0107616296653368e-05
49277,0,2,3,0,5,1.1487785066708799e-05,6.929692776218354e-06
49277,0,2,3,1,0,1.0683532289784689e-05,-2.3019167566981996e-05
49277,0,2,3,1,1,-6.295162571197576e-06,2.593616901044443e-05
49277,0,2,3,1,2,-2.01943525728668e-06,-2.7031446378719496e-05
49277,0,2,3,1,3,-9.443366940766229e-06,7.088237337060713e-06
49277,0,2,3,1,4,4.777433918783919e-07,9.054690352011319e-06
49277,0,2,3,1,5,6.596689087587495e-06,7.971517246185083e-06
49277,1,2,1,0,0,-0.0001120874660672368,9.704852219510538e-05
49277,1,2,1,0,1,1.697620992079003e-05,-0.00012122129260458319
49277,1,2,1,0,2,4.0906525680654975e-05,3.651269966116878e-05
49277,1,2,1,0,3,0.00011072556648632343,-3.787361559019565e-05
49277,1,2,1,0,4,-3.567328697989106e-05,2.29406985590961e-05
49277,1,2,1,0,5,-2.0847549040640553e-05,2.5929877794086174e-06
49277,1,2,1,1,0,3.815360314894468e-05,1.4628775929159203e-05
49277,1,2,1,1,1,-1.120763115741623e-05,-3.6050770872315534e-05
49277,1,2,1,1,2,-5.836278265637972e-05,-2.8744708268727164e-05
49277,1,2,1,1,3,4.8097866009316515e-05,6.251322302095949e-05
49277,1,2,1,1,4,-3.3403989135875046e-06,2.4311635688259964e-05
49277,1,2,1,1,5,-1.3340656430877744e-05,-3.6658155497335874e-05
49277,1,2,2,0,0,3.184860393628365e-05,-2.442107531215741e-06
49277,1,2,2,0,1,2.6821905604288716e-05,3.977183125212947e-05
49277,1,2,2,0,2,9.691237784936732e-05,-8.028971821608307e-05
49277,1,2,2,0,3,-2.7032659871471028e-05,-1.3649480941666559e-05
49277,1,2,2,0,4,-3.3434514700158544e-05,6.298299830864232e-05
49277,1,2,2,0,5,-9.51157128183101e-05,-6.373522871806306e-06
49277,1,2,2,1,0,6.520977429649391e-05,4.71753754420025e-05
49277,1,2,2,1,1,1.5461378861574904e-05,-4.8764744538462346e-05
49277,1,2,2,1,2,-7.848265116656517e-07,0.00011820983389680944
49277,1,2,2,1,3,-6.974873507358795e-05,-0.00010468374612117788
49277,1,2,2,1,4,-3.906641852787787e-06,6.64648626092211e-05
49277,1,2,2,1,5,-6.23094972002732e-06,-7.840158128839266e-05
49277,1,2,3,0,0,1.7799272515988495e-05,-5.8907354297156734e-05
49277,1,2,3,0,1,-5.022973896593528e-05,0.00013421621438973707
49277,1,2,3,0,2,6.117068488650924e-06,-3.9678622249482066e-05
49277,1,2,3,0,3,7.224066807766749e-06,-3.278273766561562e-05
49277,1,2,3,0,4,7.86404273881075e-05,7.807840059765025e-07
49277,1,2,3,0,5,-5.955109623457832e-05,-3.6282841834591727e-06
49277,1,2,3,1,0,3.865539369483597e-05,8.07598681974885e-05
49277,1,2,3,1,1,-2.8891420240788218e-05,-1.6561837644472135e-05
49277,1,2,3,1,2,9.17010266838013e-06,1.7445492881140005e-05
49277,1,2,3,1,3,-1.4725162377225339e-05,6.941019449281667e-05
49277,1,2,3,1,4,4.243534018994701e-05,-4.709504004725799e-05
49277,1,2,3,1,5,-4.664425393514968e-05,-0.00010395867787971511
